,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SACRAMENTO_ACTION,MEMPHIS_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,D. Brooks makes 2-pt layup from 2 ft (assist by K. Anderson),,2,0
1,1,11:16.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by N. Bjelica),2,3
2,1,11:05.0,D. Brooks makes 2-pt layup from 2 ft,,4,3
3,1,10:50.0,,B. Bogdanović makes 2-pt jump shot from 10 ft,4,5
4,1,10:43.0,K. Anderson makes 2-pt jump shot from 15 ft (assist by J. Morant),,6,5
5,1,10:32.0,,Turnover by D. Fox (out of bounds lost ball),6,5
6,1,10:18.0,Shooting foul by B. Bogdanović (drawn by D. Brooks),,6,5
7,1,10:18.0,D. Brooks makes free throw 1 of 2,,7,5
8,1,10:18.0,D. Brooks misses free throw 2 of 2,,7,5
9,1,10:15.0,,Defensive rebound by H. Barnes,7,5
10,1,10:04.0,,H. Giles makes 2-pt jump shot from 18 ft,7,7
11,1,9:43.0,J. Valančiūnas makes 2-pt layup from 2 ft,,9,7
12,1,9:24.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Fox),9,10
13,1,9:08.0,Personal foul by H. Giles (drawn by J. Valančiūnas),,9,10
14,1,9:07.0,Personal foul by B. Bogdanović (drawn by D. Brooks),,9,10
15,1,9:07.0,,B. Hield enters the game for B. Bogdanović,9,10
16,1,9:06.0,Offensive foul by K. Anderson (drawn by H. Barnes),,9,10
17,1,9:06.0,Turnover by K. Anderson (offensive foul),,9,10
18,1,8:55.0,,D. Fox misses 3-pt jump shot from 26 ft,9,10
19,1,8:51.0,,Offensive rebound by H. Giles,9,10
20,1,8:49.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by H. Giles),9,13
21,1,8:48.0,Memphis full timeout,,9,13
22,1,8:28.0,J. Morant misses 2-pt layup from 3 ft,,9,13
23,1,8:27.0,,Defensive rebound by N. Bjelica,9,13
24,1,8:19.0,,D. Fox makes 2-pt jump shot from 10 ft,9,15
25,1,8:06.0,D. Brooks makes 2-pt layup from 4 ft (assist by J. Valančiūnas),,11,15
26,1,7:48.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by N. Bjelica),11,18
27,1,7:35.0,D. Brooks misses 2-pt jump shot from 15 ft,,11,18
28,1,7:32.0,,Defensive rebound by H. Giles,11,18
29,1,7:25.0,,Turnover by D. Fox (lost ball; steal by K. Anderson),11,18
30,1,7:16.0,J. Valančiūnas misses 2-pt jump shot from 20 ft,,11,18
31,1,7:13.0,,Defensive rebound by N. Bjelica,11,18
32,1,7:03.0,,N. Bjelica makes 2-pt layup from 3 ft,11,20
33,1,6:54.0,Turnover by J. Morant (palming),,11,20
34,1,6:54.0,T. Jones enters the game for J. Morant,,11,20
35,1,6:41.0,,H. Barnes makes 3-pt jump shot from 25 ft,11,23
36,1,6:25.0,Shooting foul by H. Barnes (drawn by K. Anderson),,11,23
37,1,6:25.0,K. Anderson misses free throw 1 of 2,,11,23
38,1,6:25.0,Offensive rebound by Team,,11,23
39,1,6:25.0,K. Anderson makes free throw 2 of 2,,12,23
40,1,6:02.0,,H. Barnes makes 2-pt dunk from 2 ft (assist by H. Giles),12,25
41,1,5:49.0,Turnover by D. Brooks (lost ball; steal by N. Bjelica),,12,25
42,1,5:44.0,,N. Bjelica misses 3-pt jump shot from 27 ft,12,25
43,1,5:40.0,Defensive rebound by K. Anderson,,12,25
44,1,5:33.0,K. Anderson makes 2-pt layup from 1 ft,,14,25
45,1,5:20.0,,B. Hield misses 2-pt layup from 3 ft (block by D. Brooks),14,25
46,1,5:18.0,Defensive rebound by J. Valančiūnas,,14,25
47,1,5:12.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by T. Jones),,17,25
48,1,5:11.0,,Sacramento full timeout,17,25
49,1,5:11.0,J. Jackson enters the game for K. Anderson,,17,25
50,1,5:11.0,D. Melton enters the game for D. Brooks,,17,25
51,1,5:11.0,,K. Bazemore enters the game for N. Bjelica,17,25
52,1,4:55.0,,H. Giles misses 2-pt jump shot from 20 ft,17,25
53,1,4:52.0,Defensive rebound by T. Jones,,17,25
54,1,4:40.0,J. Jackson misses 2-pt layup from 5 ft,,17,25
55,1,4:38.0,,Defensive rebound by D. Fox,17,25
56,1,4:25.0,,K. Bazemore makes 2-pt jump shot from 8 ft,17,27
57,1,4:05.0,Turnover by D. Melton (bad pass; steal by B. Hield),,17,27
58,1,4:00.0,,B. Hield misses 3-pt jump shot from 26 ft,17,27
59,1,3:55.0,Defensive rebound by T. Jones,,17,27
60,1,3:50.0,J. Jackson makes 3-pt jump shot from 29 ft (assist by T. Jones),,20,27
61,1,3:31.0,,H. Barnes misses 2-pt jump shot from 8 ft,20,27
62,1,3:28.0,Defensive rebound by J. Valančiūnas,,20,27
63,1,3:22.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by T. Jones),,23,27
64,1,3:04.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by H. Barnes),23,30
65,1,2:45.0,J. Jackson misses 3-pt jump shot from 26 ft,,23,30
66,1,2:42.0,Offensive rebound by J. Valančiūnas,,23,30
67,1,2:41.0,J. Valančiūnas makes 2-pt layup from 1 ft,,25,30
68,1,2:27.0,,D. Fox makes 2-pt jump shot from 3 ft,25,32
69,1,2:10.0,D. Melton makes 3-pt jump shot from 25 ft (assist by J. Jackson),,28,32
70,1,1:56.0,,D. Fox makes 2-pt layup from 2 ft,28,34
71,1,1:45.0,Turnover by J. Jackson (bad pass; steal by K. Bazemore),,28,34
72,1,1:41.0,,K. Bazemore makes 2-pt layup from 2 ft,28,36
73,1,1:41.0,Memphis full timeout,,28,36
74,1,1:41.0,B. Clarke enters the game for J. Jackson,,28,36
75,1,1:41.0,G. Dieng enters the game for J. Valančiūnas,,28,36
76,1,1:41.0,,C. Joseph enters the game for D. Fox,28,36
77,1,1:41.0,,J. Parker enters the game for H. Giles,28,36
78,1,1:26.0,D. Melton misses 2-pt jump shot from 19 ft,,28,36
79,1,1:21.0,,Defensive rebound by B. Hield,28,36
80,1,1:10.0,,K. Bazemore misses 2-pt jump shot from 13 ft,28,36
81,1,1:07.0,Defensive rebound by G. Dieng,,28,36
82,1,1:01.0,Shooting foul by B. Hield (drawn by T. Jones),,28,36
83,1,1:01.0,T. Jones makes free throw 1 of 2,,29,36
84,1,1:01.0,T. Jones makes free throw 2 of 2,,30,36
85,1,0:51.0,,Shooting foul by G. Dieng (drawn by K. Bazemore),30,36
86,1,0:51.0,,K. Bazemore misses free throw 1 of 2,30,36
87,1,0:51.0,,Offensive rebound by Team,30,36
88,1,0:51.0,,K. Bazemore makes free throw 2 of 2,30,37
89,1,0:34.0,Shooting foul by K. Bazemore (drawn by J. Jackson),,30,37
90,1,0:34.0,J. Jackson makes free throw 1 of 3,,31,37
91,1,0:34.0,J. Jackson makes free throw 2 of 3,,32,37
92,1,0:34.0,J. Jackson makes free throw 3 of 3,,33,37
93,1,0:22.0,,J. Parker misses 2-pt dunk from 2 ft (block by J. Jackson),33,37
94,1,0:20.0,Defensive rebound by G. Dieng,,33,37
95,1,0:04.0,T. Jones makes 2-pt jump shot from 9 ft,,35,37
96,1,0:00.0,,K. Bazemore misses 2-pt jump shot from 21 ft,35,37
97,1,0:00.0,,Offensive rebound by Team,35,37
98,2,11:50.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by J. Parker),35,40
99,2,11:31.0,D. Melton misses 2-pt dunk from 1 ft,,35,40
100,2,11:27.0,,Defensive rebound by C. Joseph,35,40
101,2,11:23.0,,B. Hield misses 3-pt jump shot from 25 ft,35,40
102,2,11:21.0,Defensive rebound by B. Clarke,,35,40
103,2,11:05.0,B. Clarke misses 3-pt jump shot from 26 ft,,35,40
104,2,11:01.0,,Defensive rebound by B. Hield,35,40
105,2,10:58.0,,Shooting foul by D. Melton (drawn by B. Hield),35,40
106,2,10:58.0,,B. Hield makes free throw 1 of 2,35,41
107,2,10:58.0,D. Brooks enters the game for D. Melton,,35,41
108,2,10:58.0,,B. Hield makes free throw 2 of 2,35,42
109,2,10:48.0,Offensive foul by G. Dieng (drawn by C. Joseph),,35,42
110,2,10:48.0,Turnover by G. Dieng (offensive foul),,35,42
111,2,10:48.0,M. Guduric enters the game for J. Jackson,,35,42
112,2,10:48.0,,B. Bogdanović enters the game for B. Hield,35,42
113,2,10:29.0,,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by J. Parker),35,44
114,2,10:20.0,J. Morant misses 3-pt jump shot from 26 ft,,35,44
115,2,10:20.0,,Defensive rebound by K. Bazemore,35,44
