,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHARLOTTE_ACTION,ATLANTA_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,D. Jones makes 2-pt dunk from 1 ft (assist by T. Young),,2,0
1,1,11:23.0,,M. Bridges makes 2-pt layup from 1 ft,2,2
2,1,11:12.0,Turnover by J. Parker (traveling),,2,2
3,1,11:03.0,,M. Bridges makes 2-pt dunk from 1 ft (assist by D. Graham),2,4
4,1,10:47.0,D. Jones misses 2-pt layup from 1 ft (block by P. Washington),,2,4
5,1,10:44.0,,Defensive rebound by B. Biyombo,2,4
6,1,10:41.0,,T. Rozier misses 2-pt layup from 2 ft (block by D. Jones),2,4
7,1,10:38.0,,Offensive rebound by B. Biyombo,2,4
8,1,10:35.0,,B. Biyombo misses 2-pt dunk from 4 ft (block by J. Parker),2,4
9,1,10:32.0,Defensive rebound by T. Young,,2,4
10,1,10:25.0,T. Young makes 3-pt jump shot from 25 ft,,5,4
11,1,10:13.0,,B. Biyombo makes 2-pt dunk from 1 ft (assist by P. Washington),5,6
12,1,9:59.0,D. Jones misses 2-pt layup from 1 ft,,5,6
13,1,9:57.0,,Defensive rebound by P. Washington,5,6
14,1,9:52.0,,T. Rozier misses 3-pt jump shot from 23 ft,5,6
15,1,9:49.0,Defensive rebound by D. Jones,,5,6
16,1,9:37.0,T. Young misses 3-pt jump shot from 26 ft,,5,6
17,1,9:32.0,,Defensive rebound by P. Washington,5,6
18,1,9:13.0,,D. Graham misses 2-pt jump shot from 6 ft,5,6
19,1,9:09.0,,Offensive rebound by D. Graham,5,6
20,1,9:09.0,,D. Graham makes 2-pt layup from 1 ft,5,8
21,1,8:53.0,J. Parker makes 3-pt jump shot from 27 ft (assist by K. Huerter),,8,8
22,1,8:39.0,,T. Rozier misses 3-pt jump shot from 26 ft,8,8
23,1,8:36.0,Defensive rebound by D. Jones,,8,8
24,1,8:23.0,K. Huerter misses 3-pt jump shot from 25 ft,,8,8
25,1,8:23.0,,Defensive rebound by Team,8,8
26,1,8:10.0,,D. Graham misses 3-pt jump shot from 24 ft,8,8
27,1,8:05.0,Defensive rebound by C. Reddish,,8,8
28,1,7:59.0,T. Young makes 3-pt jump shot from 26 ft,,11,8
29,1,7:43.0,,B. Biyombo misses 2-pt hook shot from 7 ft,11,8
30,1,7:40.0,Defensive rebound by J. Parker,,11,8
31,1,7:36.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by J. Parker),,14,8
32,1,7:23.0,,D. Graham makes 3-pt jump shot from 27 ft,14,11
33,1,7:05.0,J. Parker misses 2-pt jump shot from 13 ft,,14,11
34,1,7:03.0,,Defensive rebound by B. Biyombo,14,11
35,1,6:56.0,,D. Graham misses 3-pt jump shot from 25 ft,14,11
36,1,6:56.0,Defensive rebound by Team,,14,11
37,1,6:56.0,,Charlotte full timeout,14,11
38,1,6:56.0,V. Carter enters the game for K. Huerter,,14,11
39,1,6:56.0,D. Hunter enters the game for J. Parker,,14,11
40,1,6:56.0,,M. Monk enters the game for D. Graham,14,11
41,1,6:39.0,D. Hunter misses 3-pt jump shot from 25 ft,,14,11
42,1,6:36.0,,Defensive rebound by T. Rozier,14,11
43,1,6:25.0,,Personal foul by V. Carter (drawn by P. Washington),14,11
44,1,6:16.0,,M. Monk misses 3-pt jump shot from 27 ft,14,11
45,1,6:16.0,,Offensive rebound by Team,14,11
46,1,6:16.0,Loose ball foul by D. Jones (drawn by B. Biyombo),,14,11
47,1,6:03.0,,B. Biyombo misses 2-pt jump shot from 6 ft,14,11
48,1,6:01.0,,Offensive rebound by T. Rozier,14,11
49,1,5:59.0,,T. Rozier makes 2-pt layup from 2 ft,14,13
50,1,5:47.0,V. Carter misses 3-pt jump shot from 26 ft,,14,13
51,1,5:47.0,Offensive rebound by Team,,14,13
52,1,5:47.0,,Loose ball foul by M. Monk (drawn by D. Jones),14,13
53,1,5:47.0,A. Crabbe enters the game for D. Jones,,14,13
54,1,5:47.0,A. Len enters the game for C. Reddish,,14,13
55,1,5:47.0,,M. Kidd-Gilchrist enters the game for B. Biyombo,14,13
56,1,5:47.0,,C. Zeller enters the game for M. Bridges,14,13
57,1,5:34.0,V. Carter makes 2-pt jump shot from 12 ft,,16,13
58,1,5:16.0,,Turnover by M. Monk (bad pass),16,13
59,1,5:07.0,Personal foul by M. Monk (drawn by T. Young),,16,13
60,1,5:02.0,T. Young misses 3-pt jump shot from 26 ft,,16,13
61,1,4:59.0,,Defensive rebound by P. Washington,16,13
62,1,4:51.0,,P. Washington makes 3-pt jump shot from 27 ft,16,16
63,1,4:32.0,,Violation by Team (kicked ball),16,16
64,1,4:28.0,V. Carter misses 3-pt jump shot from 24 ft,,16,16
65,1,4:25.0,,Defensive rebound by C. Zeller,16,16
66,1,4:15.0,,C. Zeller misses 3-pt jump shot from 25 ft,16,16
67,1,4:13.0,Defensive rebound by A. Crabbe,,16,16
68,1,4:06.0,T. Young misses 3-pt jump shot from 26 ft,,16,16
69,1,4:04.0,,Defensive rebound by C. Zeller,16,16
70,1,3:56.0,,Turnover by T. Rozier (lost ball; steal by D. Hunter),16,16
71,1,3:54.0,Personal foul by M. Kidd-Gilchrist (drawn by D. Hunter),,16,16
72,1,3:54.0,K. Huerter enters the game for T. Young,,16,16
73,1,3:54.0,,D. Graham enters the game for T. Rozier,16,16
74,1,3:46.0,Turnover by V. Carter (bad pass; steal by C. Zeller),,16,16
75,1,3:41.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,16,16
76,1,3:36.0,,Offensive rebound by D. Graham,16,16
77,1,3:33.0,,M. Kidd-Gilchrist makes 3-pt jump shot from 23 ft (assist by D. Graham),16,19
78,1,3:33.0,Atlanta full timeout,,16,19
79,1,3:33.0,J. Parker enters the game for V. Carter,,16,19
80,1,3:33.0,,M. Bridges enters the game for P. Washington,16,19
