,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
54,1,4:11.0,D. Brooks misses 3-pt jump shot from 25 ft,,17,15
55,1,4:08.0,,Defensive rebound by K. Durant,17,15
56,1,4:04.0,,Shooting foul by J. Jackson (drawn by K. Durant),17,15
57,1,4:04.0,,K. Durant makes free throw 1 of 2,17,16
58,1,4:04.0,K. Anderson enters the game for J. Jackson,,17,16
59,1,4:04.0,,J. Jerebko enters the game for D. Green,17,16
60,1,4:04.0,,A. McKinnie enters the game for K. Thompson,17,16
61,1,4:04.0,,K. Durant makes free throw 2 of 2,17,17
62,1,3:44.0,D. Brooks makes 2-pt layup from 3 ft (assist by M. Gasol),,19,17
63,1,3:36.0,,Turnover by S. Curry (lost ball; steal by K. Anderson),19,17
64,1,3:31.0,W. Selden makes 2-pt layup from 2 ft (assist by K. Anderson),,21,17
65,1,3:23.0,,Shooting foul by M. Gasol (drawn by K. Durant),21,17
66,1,3:23.0,,K. Durant makes free throw 1 of 2,21,18
67,1,3:23.0,,K. Durant makes free throw 2 of 2,21,19
68,1,3:15.0,D. Brooks misses 3-pt jump shot from 27 ft,,21,19
69,1,3:09.0,,Defensive rebound by K. Looney,21,19
70,1,2:56.0,,S. Curry misses 3-pt jump shot from 28 ft,21,19
71,1,2:53.0,Defensive rebound by K. Anderson,,21,19
72,1,2:46.0,Shooting foul by K. Looney (drawn by M. Gasol),,21,19
73,1,2:46.0,,Golden State full timeout,21,19
74,1,2:46.0,M. Gasol makes free throw 1 of 2,,22,19
75,1,2:46.0,M. Gasol makes free throw 2 of 2,,23,19
76,1,2:32.0,,S. Curry misses 2-pt jump shot from 17 ft,23,19
77,1,2:30.0,,Offensive rebound by K. Looney,23,19
78,1,2:22.0,,Turnover by S. Curry (lost ball; steal by K. Anderson),23,19
79,1,2:10.0,D. Brooks makes 3-pt jump shot from 26 ft (assist by M. Gasol),,26,19
80,1,1:57.0,,S. Curry makes 3-pt jump shot from 31 ft (assist by K. Durant),26,22
81,1,1:31.0,Personal foul by A. McKinnie (drawn by M. Gasol),,26,22
82,1,1:31.0,,Q. Cook enters the game for K. Durant,26,22
83,1,1:29.0,Offensive foul by D. Brooks (drawn by A. McKinnie),,26,22
84,1,1:29.0,Turnover by D. Brooks (offensive foul),,26,22
85,1,1:17.0,,S. Curry misses 2-pt jump shot from 19 ft,26,22
86,1,1:12.0,Defensive rebound by M. Gasol,,26,22
87,1,1:10.0,K. Anderson makes 2-pt layup from 2 ft (assist by D. Brooks),,28,22
88,1,1:00.0,,J. Jerebko makes 3-pt jump shot from 24 ft (assist by S. Curry),28,25
89,1,0:48.0,S. Mack misses 2-pt jump shot from 6 ft,,28,25
90,1,0:47.0,Offensive rebound by S. Mack,,28,25
91,1,0:43.0,S. Mack misses 2-pt layup at rim,,28,25
92,1,0:43.0,,Defensive rebound by J. Jerebko,28,25
93,1,0:41.0,,S. Curry misses 2-pt layup from 3 ft,28,25
94,1,0:41.0,,Offensive rebound by Team,28,25
95,1,0:41.0,Loose ball foul by K. Anderson (drawn by J. Jerebko),,28,25
96,1,0:41.0,M. Brooks enters the game for K. Anderson,,28,25
97,1,0:41.0,,J. Jerebko makes free throw 2 of 2,28,26
98,1,0:41.0,,J. Jerebko makes free throw 1 of 2,28,27
99,1,0:31.0,W. Selden makes 3-pt jump shot from 23 ft (assist by S. Mack),,31,27
100,1,0:12.0,,Q. Cook misses 3-pt jump shot from 27 ft,31,27
101,1,0:09.0,,Offensive rebound by A. McKinnie,31,27
102,1,0:09.0,,A. McKinnie makes 2-pt layup from 1 ft,31,29
103,1,0:03.0,M. Brooks misses 2-pt jump shot from 11 ft,,31,29
104,1,0:01.0,,Defensive rebound by K. Looney,31,29
105,2,11:45.0,,K. Thompson makes 2-pt jump shot from 15 ft (assist by A. McKinnie),31,31
106,2,11:29.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Conley),,33,31
107,2,11:10.0,,K. Thompson misses 2-pt jump shot from 14 ft,33,31
108,2,11:05.0,Defensive rebound by M. Conley,,33,31
109,2,10:59.0,Personal foul by J. Jerebko (drawn by J. Jackson),,33,31
110,2,10:44.0,D. Brooks misses 2-pt jump shot from 7 ft,,33,31
111,2,10:39.0,,Defensive rebound by D. Green,33,31
112,2,10:36.0,,Turnover by D. Green (bad pass; steal by D. Brooks),33,31
113,2,10:32.0,W. Selden makes 2-pt dunk from 1 ft (assist by M. Brooks),,35,31
114,2,10:14.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by J. Jerebko),35,33
115,2,9:53.0,Turnover by M. Brooks (traveling),,35,33
116,2,9:50.0,Violation by Team (kicked ball),,35,33
117,2,9:41.0,,J. Jerebko misses 2-pt layup from 4 ft,35,33
118,2,9:40.0,Defensive rebound by J. Jackson,,35,33
119,2,9:36.0,M. Conley misses 3-pt jump shot from 23 ft (block by D. Green),,35,33
120,2,9:35.0,Offensive rebound by Team,,35,33
121,2,9:27.0,W. Selden misses 2-pt jump shot from 11 ft,,35,33
122,2,9:26.0,Offensive rebound by M. Brooks,,35,33
123,2,9:19.0,M. Brooks makes 2-pt layup at rim,,37,33
124,2,9:08.0,,Shooting foul by D. Brooks (drawn by K. Thompson),37,33
125,2,9:08.0,,K. Thompson makes free throw 1 of 2,37,34
126,2,9:08.0,G. Temple enters the game for D. Brooks,,37,34
127,2,9:08.0,,J. Bell enters the game for J. Jerebko,37,34
128,2,9:08.0,,K. Thompson makes free throw 2 of 2,37,35
129,2,8:49.0,J. Jackson makes 2-pt layup from 2 ft (assist by W. Selden),,39,35
130,2,8:49.0,Shooting foul by J. Bell (drawn by J. Jackson),,39,35
131,2,8:49.0,J. Jackson makes free throw 1 of 1,,40,35
132,2,8:39.0,,Q. Cook misses 2-pt jump shot from 7 ft (block by J. Jackson),40,35
133,2,8:38.0,,Offensive rebound by Q. Cook,40,35
134,2,8:35.0,,Q. Cook misses 2-pt layup from 3 ft (block by J. Jackson),40,35
135,2,8:34.0,Defensive rebound by W. Selden,,40,35
136,2,8:22.0,M. Brooks misses 2-pt jump shot from 17 ft,,40,35
137,2,8:20.0,,Defensive rebound by J. Bell,40,35
138,2,8:20.0,,Personal foul by J. Jackson (drawn by J. Bell),40,35
139,2,8:02.0,,K. Thompson misses 2-pt dunk from 5 ft (block by J. Jackson),40,35
140,2,8:00.0,Defensive rebound by W. Selden,,40,35
141,2,7:55.0,W. Selden misses 3-pt jump shot from 26 ft,,40,35
142,2,7:53.0,,Defensive rebound by Q. Cook,40,35
143,2,7:48.0,,Q. Cook misses 2-pt layup from 3 ft (block by W. Selden),40,35
144,2,7:47.0,Defensive rebound by G. Temple,,40,35
145,2,7:41.0,J. Jackson misses 3-pt jump shot from 27 ft,,40,35
146,2,7:39.0,,Defensive rebound by D. Green,40,35
147,2,7:36.0,,Golden State full timeout,40,35
148,2,7:36.0,S. Mack enters the game for W. Selden,,40,35
149,2,7:36.0,,K. Durant enters the game for D. Green,40,35
150,2,7:36.0,,K. Looney enters the game for A. McKinnie,40,35
151,2,7:35.0,,K. Durant makes 2-pt layup from 4 ft (assist by K. Looney),40,37
152,2,7:14.0,Turnover by M. Conley (lost ball; steal by K. Thompson),,40,37
153,2,7:00.0,,K. Durant makes 2-pt jump shot from 15 ft,40,39
154,2,6:35.0,M. Brooks makes 3-pt jump shot from 26 ft,,43,39
155,2,6:12.0,,Personal foul by G. Temple (drawn by K. Durant),43,39
156,2,6:12.0,M. Gasol enters the game for M. Brooks,,43,39
157,2,6:12.0,,S. Curry enters the game for Q. Cook,43,39
158,2,6:12.0,,A. McKinnie enters the game for K. Thompson,43,39
159,2,6:06.0,,Def 3 sec tech foul by Team,43,39
160,2,6:06.0,,S. Curry makes technical free throw,43,40
161,2,5:53.0,,A. McKinnie makes 3-pt jump shot from 27 ft (assist by S. Curry),43,43
162,2,5:44.0,Personal foul by J. Bell (drawn by J. Jackson),,43,43
163,2,5:33.0,G. Temple misses 3-pt jump shot from 25 ft,,43,43
164,2,5:32.0,Offensive rebound by J. Jackson,,43,43
165,2,5:32.0,J. Jackson misses 2-pt layup from 1 ft,,43,43
166,2,5:31.0,Offensive rebound by J. Jackson,,43,43
167,2,5:22.0,S. Mack makes 2-pt layup from 10 ft (assist by M. Gasol),,45,43
168,2,5:09.0,,K. Durant makes 2-pt jump shot from 12 ft,45,45
169,2,4:43.0,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),,47,45
170,2,4:35.0,,A. McKinnie misses 2-pt jump shot from 17 ft,47,45
171,2,4:34.0,Defensive rebound by J. Jackson,,47,45
172,2,4:20.0,J. Jackson makes 2-pt dunk from 2 ft (assist by M. Gasol),,49,45
173,2,4:07.0,,S. Curry misses 2-pt layup from 4 ft (block by M. Conley),49,45
174,2,4:07.0,,Offensive rebound by Team,49,45
175,2,4:07.0,K. Anderson enters the game for J. Jackson,,49,45
176,2,4:07.0,,K. Thompson enters the game for J. Bell,49,45
177,2,3:57.0,,S. Curry makes 2-pt jump shot from 13 ft,49,47
178,2,3:34.0,S. Mack makes 2-pt layup from 2 ft (assist by M. Gasol),,51,47
179,2,3:34.0,,D. Jones enters the game for K. Looney,51,47
180,2,3:19.0,,A. McKinnie misses 2-pt layup from 3 ft (block by S. Mack),51,47
181,2,3:18.0,Defensive rebound by Team,,51,47
182,2,3:04.0,M. Conley makes 2-pt layup from 1 ft (assist by K. Anderson),,53,47
183,2,2:57.0,,Golden State full timeout,53,47
184,2,2:52.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Thompson),53,50
185,2,2:52.0,,Shooting foul by S. Mack (drawn by S. Curry),53,50
186,2,2:52.0,,S. Curry makes free throw 1 of 1,53,51
187,2,2:28.0,G. Temple misses 3-pt jump shot from 23 ft,,53,51
188,2,2:26.0,,Defensive rebound by A. McKinnie,53,51
189,2,2:20.0,,K. Durant misses 2-pt jump shot from 13 ft,53,51
190,2,2:19.0,Defensive rebound by M. Gasol,,53,51
191,2,2:11.0,G. Temple makes 2-pt layup from 2 ft (assist by M. Conley),,55,51
192,2,2:00.0,,Shooting foul by S. Mack (drawn by D. Jones),55,51
193,2,2:00.0,,D. Jones makes free throw 1 of 2,55,52
194,2,2:00.0,D. Brooks enters the game for K. Anderson,,55,52
195,2,2:00.0,,D. Jones makes free throw 2 of 2,55,53
196,2,1:47.0,S. Mack misses 3-pt jump shot from 25 ft,,55,53
197,2,1:45.0,Offensive rebound by Team,,55,53
198,2,1:45.0,,Loose ball foul by A. McKinnie (drawn by M. Gasol),55,53
199,2,1:34.0,M. Conley misses 3-pt jump shot from 25 ft,,55,53
200,2,1:32.0,,Defensive rebound by K. Durant,55,53
201,2,1:21.0,,Shooting foul by M. Gasol (drawn by K. Durant),55,53
202,2,1:21.0,,K. Durant makes free throw 1 of 2,55,54
203,2,1:21.0,,D. Green enters the game for A. McKinnie,55,54
204,2,1:21.0,,K. Durant makes free throw 2 of 2,55,55
205,2,1:13.0,Personal foul by D. Jones (drawn by S. Mack),,55,55
206,2,1:13.0,S. Mack makes free throw 1 of 2,,56,55
207,2,1:13.0,,J. Evans enters the game for D. Jones,56,55
208,2,1:13.0,S. Mack makes free throw 2 of 2,,57,55
209,2,0:58.0,,Turnover by D. Green (bad pass; steal by S. Mack),57,55
210,2,0:54.0,Shooting foul by D. Green (drawn by S. Mack),,57,55
211,2,0:54.0,S. Mack makes free throw 1 of 2,,58,55
212,2,0:54.0,S. Mack misses free throw 2 of 2,,58,55
213,2,0:52.0,,Defensive rebound by D. Green,58,55
214,2,0:43.0,,S. Curry misses 2-pt jump shot from 19 ft,58,55
215,2,0:42.0,Defensive rebound by M. Gasol,,58,55
216,2,0:22.0,G. Temple misses 3-pt jump shot from 28 ft,,58,55
217,2,0:20.0,,Defensive rebound by K. Thompson,58,55
218,2,0:04.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),58,58
219,3,11:46.0,,S. Curry makes 2-pt jump shot from 19 ft,58,60
220,3,11:28.0,Personal foul by J. Bell (drawn by M. Conley),,58,60
221,3,11:22.0,Def 3 sec tech foul by Team,,58,60
222,3,11:22.0,M. Conley misses technical free throw,,58,60
223,3,11:22.0,Offensive rebound by Team,,58,60
224,3,11:16.0,G. Temple makes 3-pt jump shot from 26 ft (assist by M. Gasol),,61,60
225,3,11:02.0,,K. Thompson misses 2-pt jump shot from 18 ft,61,60
226,3,10:54.0,Defensive rebound by K. Anderson,,61,60
227,3,10:49.0,Personal foul by D. Jones (drawn by M. Gasol),,61,60
228,3,10:42.0,J. Jackson makes 2-pt dunk from 2 ft (assist by M. Gasol),,63,60
229,3,10:29.0,,K. Durant misses 2-pt jump shot from 10 ft,63,60
230,3,10:27.0,Defensive rebound by Team,,63,60
231,3,10:27.0,,Loose ball foul by D. Jones (drawn by M. Gasol),63,60
232,3,10:27.0,,K. Looney enters the game for D. Jones,63,60
233,3,10:16.0,J. Jackson misses 2-pt layup from 2 ft,,63,60
234,3,10:15.0,,Defensive rebound by J. Bell,63,60
235,3,10:07.0,,S. Curry makes 2-pt layup from 4 ft,63,62
236,3,9:45.0,J. Jackson misses 2-pt jump shot from 7 ft,,63,62
237,3,9:44.0,,Defensive rebound by S. Curry,63,62
238,3,9:27.0,,K. Looney makes 2-pt dunk from 1 ft (assist by K. Durant),63,64
239,3,8:58.0,J. Jackson misses 3-pt jump shot from 24 ft,,63,64
240,3,8:56.0,,Defensive rebound by K. Thompson,63,64
241,3,8:51.0,,S. Curry misses 3-pt jump shot from 27 ft,63,64
242,3,8:49.0,Defensive rebound by M. Gasol,,63,64
243,3,8:39.0,J. Jackson misses 2-pt jump shot from 5 ft,,63,64
244,3,8:38.0,,Defensive rebound by K. Looney,63,64
245,3,8:26.0,,Turnover by S. Curry (lost ball; steal by G. Temple),63,64
246,3,8:23.0,G. Temple makes 2-pt dunk from 2 ft (assist by M. Conley),,65,64
247,3,8:03.0,,Shooting foul by G. Temple (drawn by K. Durant),65,64
248,3,8:03.0,,K. Durant makes free throw 1 of 2,65,65
249,3,8:03.0,,K. Durant makes free throw 2 of 2,65,66
250,3,7:53.0,Turnover by M. Conley (out of bounds lost ball),,65,66
251,3,7:40.0,,K. Thompson misses 2-pt jump shot from 20 ft,65,66
252,3,7:39.0,Defensive rebound by K. Anderson,,65,66
253,3,7:24.0,G. Temple misses 2-pt jump shot from 19 ft,,65,66
254,3,7:22.0,,Defensive rebound by Team,65,66
255,3,7:22.0,S. Mack enters the game for M. Conley,,65,66
256,3,7:06.0,Violation by Team (kicked ball),,65,66
257,3,6:59.0,,Shooting foul by J. Jackson (drawn by K. Looney),65,66
258,3,6:59.0,,Golden State full timeout,65,66
259,3,6:59.0,,K. Looney misses free throw 1 of 2,65,66
260,3,6:59.0,,Offensive rebound by Team,65,66
261,3,6:59.0,,K. Looney makes free throw 2 of 2,65,67
262,3,6:46.0,K. Anderson misses 2-pt hook shot from 9 ft,,65,67
263,3,6:42.0,,Defensive rebound by K. Durant,65,67
264,3,6:33.0,,J. Bell makes 2-pt hook shot from 5 ft (assist by K. Thompson),65,69
265,3,6:21.0,S. Mack misses 2-pt layup from 3 ft,,65,69
266,3,6:19.0,,Defensive rebound by K. Looney,65,69
267,3,6:12.0,,J. Bell misses 2-pt hook shot from 12 ft,65,69
268,3,6:09.0,Defensive rebound by M. Gasol,,65,69
269,3,5:53.0,J. Jackson misses 3-pt jump shot from 27 ft,,65,69
270,3,5:49.0,,Defensive rebound by K. Durant,65,69
271,3,5:35.0,,K. Looney misses 2-pt layup from 3 ft (block by J. Jackson),65,69
272,3,5:34.0,,Offensive rebound by K. Looney,65,69
273,3,5:27.0,,K. Thompson misses 3-pt jump shot from 25 ft,65,69
274,3,5:25.0,,Offensive rebound by K. Looney,65,69
275,3,5:25.0,,K. Looney makes 2-pt layup from 3 ft,65,71
276,3,5:25.0,Memphis full timeout,,65,71
277,3,5:25.0,D. Brooks enters the game for G. Temple,,65,71
278,3,5:25.0,,J. Jerebko enters the game for J. Bell,65,71
279,3,5:16.0,Personal foul by J. Jerebko (drawn by J. Jackson),,65,71
280,3,5:11.0,S. Mack makes 2-pt layup from 2 ft (assist by M. Gasol),,67,71
281,3,4:57.0,,K. Thompson makes 3-pt jump shot from 29 ft (assist by K. Durant),67,74
282,3,4:43.0,Personal foul by S. Curry (drawn by D. Brooks),,67,74
283,3,4:43.0,D. Brooks makes free throw 1 of 2,,68,74
284,3,4:43.0,W. Selden enters the game for J. Jackson,,68,74
285,3,4:43.0,D. Brooks makes free throw 2 of 2,,69,74
286,3,4:35.0,,Personal foul by M. Gasol (drawn by K. Looney),69,74
287,3,4:23.0,,K. Durant misses 3-pt jump shot from 27 ft,69,74
288,3,4:17.0,,Offensive rebound by S. Curry,69,74
289,3,4:10.0,,S. Curry misses 2-pt layup from 10 ft,69,74
290,3,4:08.0,,Offensive rebound by Team,69,74
291,3,4:08.0,Loose ball foul by W. Selden (drawn by J. Jerebko),,69,74
292,3,4:01.0,,K. Looney makes 2-pt layup from 3 ft (assist by S. Curry),69,76
293,3,3:44.0,Personal foul by K. Looney (drawn by M. Gasol),,69,76
294,3,3:44.0,M. Gasol makes free throw 1 of 2,,70,76
295,3,3:44.0,M. Conley enters the game for K. Anderson,,70,76
296,3,3:44.0,,A. McKinnie enters the game for K. Thompson,70,76
297,3,3:44.0,M. Gasol makes free throw 2 of 2,,71,76
298,3,3:31.0,,A. McKinnie makes 2-pt jump shot from 19 ft (assist by S. Curry),71,78
299,3,3:21.0,Turnover by M. Gasol (bad pass),,71,78
300,3,3:14.0,,S. Curry makes 3-pt jump shot from 27 ft,71,81
301,3,2:56.0,W. Selden misses 3-pt jump shot from 23 ft,,71,81
302,3,2:53.0,,Defensive rebound by K. Durant,71,81
303,3,2:38.0,,S. Curry misses 2-pt layup from 3 ft,71,81
304,3,2:37.0,Defensive rebound by M. Gasol,,71,81
305,3,2:29.0,D. Brooks misses 2-pt layup from 2 ft,,71,81
306,3,2:28.0,,Defensive rebound by K. Looney,71,81
307,3,2:20.0,,K. Durant makes 2-pt jump shot from 10 ft,71,83
308,3,2:02.0,D. Brooks misses 2-pt jump shot from 13 ft,,71,83
309,3,1:59.0,,Defensive rebound by K. Durant,71,83
310,3,1:50.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by A. McKinnie),71,85
311,3,1:48.0,Memphis full timeout,,71,85
312,3,1:48.0,K. Anderson enters the game for D. Brooks,,71,85
313,3,1:48.0,M. Brooks enters the game for M. Gasol,,71,85
314,3,1:48.0,J. Jackson enters the game for S. Mack,,71,85
315,3,1:30.0,M. Brooks misses 3-pt jump shot from 28 ft,,71,85
316,3,1:19.0,,Defensive rebound by K. Looney,71,85
317,3,1:12.0,,K. Looney makes 2-pt layup from 1 ft (assist by K. Durant),71,87
318,3,0:53.0,Shooting foul by K. Looney (drawn by J. Jackson),,71,87
319,3,0:53.0,J. Jackson misses free throw 1 of 2,,71,87
320,3,0:53.0,Offensive rebound by Team,,71,87
321,3,0:53.0,,J. Evans enters the game for K. Looney,71,87
322,3,0:53.0,J. Jackson misses free throw 2 of 2,,71,87
323,3,0:53.0,,Defensive rebound by J. Jerebko,71,87
324,3,0:40.0,,Turnover by S. Curry (bad pass; steal by K. Anderson),71,87
325,3,0:35.0,W. Selden misses 2-pt dunk from 2 ft,,71,87
326,3,0:34.0,,Defensive rebound by J. Evans,71,87
327,3,0:27.0,,A. McKinnie makes 3-pt jump shot from 23 ft (assist by J. Jerebko),71,90
328,3,0:08.0,M. Conley makes 2-pt jump shot from 20 ft,,73,90
329,3,0:02.0,,Personal foul by M. Brooks (drawn by S. Curry),73,90
330,3,0:02.0,,S. Curry makes free throw 1 of 2,73,91
331,3,0:02.0,,S. Curry makes free throw 2 of 2,73,92
332,3,0:02.0,,D. Lee enters the game for K. Durant,73,92
333,3,0:00.0,W. Selden misses 2-pt layup from 1 ft (block by S. Curry),,73,92
334,3,0:00.0,Offensive rebound by Team,,73,92
335,4,11:37.0,K. Anderson misses 2-pt jump shot from 8 ft,,73,92
336,4,11:36.0,,Defensive rebound by Q. Cook,73,92
337,4,11:22.0,,K. Thompson makes 2-pt layup from 1 ft (assist by J. Jerebko),73,94
338,4,11:04.0,M. Brooks makes 3-pt jump shot from 25 ft,,76,94
339,4,10:45.0,,K. Thompson misses 2-pt jump shot from 16 ft,76,94
340,4,10:43.0,Defensive rebound by W. Selden,,76,94
341,4,10:31.0,J. Jackson misses 2-pt layup from 1 ft (block by J. Jerebko),,76,94
342,4,10:28.0,,Defensive rebound by J. Jerebko,76,94
343,4,10:12.0,,K. Thompson makes 2-pt jump shot from 10 ft,76,96
344,4,9:51.0,W. Selden misses 2-pt jump shot from 10 ft,,76,96
345,4,9:48.0,,Defensive rebound by J. Jerebko,76,96
346,4,9:42.0,,A. McKinnie makes 2-pt jump shot from 19 ft (assist by Q. Cook),76,98
347,4,9:21.0,Shooting foul by J. Bell (drawn by J. Jackson),,76,98
348,4,9:21.0,J. Jackson misses free throw 1 of 2,,76,98
349,4,9:21.0,Offensive rebound by Team,,76,98
350,4,9:21.0,D. Brooks enters the game for K. Anderson,,76,98
351,4,9:21.0,G. Temple enters the game for W. Selden,,76,98
352,4,9:21.0,J. Jackson makes free throw 2 of 2,,77,98
353,4,9:07.0,,K. Thompson makes 2-pt layup from 2 ft (assist by A. McKinnie),77,100
354,4,8:51.0,J. Jackson misses 2-pt jump shot from 8 ft (block by J. Bell),,77,100
355,4,8:48.0,,Defensive rebound by Q. Cook,77,100
356,4,8:47.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by Q. Cook),77,102
357,4,8:47.0,Memphis full timeout,,77,102
358,4,8:47.0,S. Mack enters the game for M. Brooks,,77,102
359,4,8:47.0,I. Rabb enters the game for M. Conley,,77,102
360,4,8:25.0,J. Jackson makes 2-pt layup from 4 ft (assist by S. Mack),,79,102
361,4,8:25.0,Shooting foul by J. Jerebko (drawn by J. Jackson),,79,102
362,4,8:25.0,J. Jackson makes free throw 1 of 1,,80,102
363,4,8:15.0,,Turnover by K. Thompson (lost ball; steal by G. Temple),80,102
364,4,8:10.0,G. Temple makes 2-pt layup from 2 ft (assist by S. Mack),,82,102
365,4,7:52.0,,Q. Cook makes 3-pt jump shot from 26 ft (assist by J. Bell),82,105
366,4,7:34.0,S. Mack makes 3-pt jump shot from 26 ft (assist by I. Rabb),,85,105
367,4,7:17.0,,J. Jerebko misses 2-pt layup from 4 ft (block by J. Jackson),85,105
368,4,7:14.0,,Offensive rebound by J. Jerebko,85,105
369,4,7:14.0,,Turnover by J. Jerebko (bad pass),85,105
370,4,6:51.0,G. Temple makes 2-pt layup from 4 ft,,87,105
371,4,6:39.0,,Q. Cook makes 3-pt jump shot from 23 ft (assist by K. Thompson),87,108
372,4,6:23.0,S. Mack makes 3-pt jump shot from 26 ft (assist by J. Jackson),,90,108
373,4,6:06.0,,K. Thompson misses 2-pt jump shot from 17 ft,90,108
374,4,6:02.0,Defensive rebound by J. Jackson,,90,108
375,4,5:52.0,Turnover by G. Temple (bad pass),,90,108
376,4,5:52.0,,S. Curry enters the game for J. Bell,90,108
377,4,5:52.0,,K. Durant enters the game for K. Thompson,90,108
378,4,5:31.0,,K. Durant misses 2-pt jump shot from 19 ft,90,108
379,4,5:26.0,Defensive rebound by J. Jackson,,90,108
380,4,5:08.0,Turnover by J. Jackson (lost ball; steal by S. Curry),,90,108
381,4,5:04.0,,J. Jerebko makes 2-pt dunk from 2 ft (assist by S. Curry),90,110
382,4,4:40.0,S. Mack misses 3-pt jump shot from 28 ft,,90,110
383,4,4:37.0,,Defensive rebound by J. Jerebko,90,110
