,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MILWAUKEE_ACTION,ORLANDO_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,E. Bledsoe makes 2-pt layup from 4 ft,0,2
1,1,11:19.0,A. Gordon misses 2-pt jump shot from 14 ft,,0,2
2,1,11:17.0,,Defensive rebound by K. Middleton,0,2
3,1,11:04.0,,B. Lopez misses 3-pt jump shot from 26 ft,0,2
4,1,11:01.0,Defensive rebound by J. Isaac,,0,2
5,1,10:54.0,D. Augustin misses 2-pt jump shot from 11 ft,,0,2
6,1,10:52.0,,Defensive rebound by K. Middleton,0,2
7,1,10:41.0,,M. Brogdon makes 2-pt jump shot from 8 ft (assist by K. Middleton),0,4
8,1,10:19.0,Turnover by J. Isaac (bad pass; steal by K. Middleton),,0,4
9,1,10:08.0,,K. Middleton misses 2-pt jump shot from 14 ft,0,4
10,1,10:04.0,,Offensive rebound by M. Brogdon,0,4
11,1,9:53.0,,B. Lopez misses 3-pt jump shot from 27 ft,0,4
12,1,9:49.0,Defensive rebound by N. Vučević,,0,4
13,1,9:39.0,Personal foul by M. Brogdon (drawn by A. Gordon),,0,4
14,1,9:31.0,J. Isaac misses 3-pt jump shot from 24 ft,,0,4
15,1,9:27.0,,Defensive rebound by E. Bledsoe,0,4
16,1,9:22.0,,E. Bledsoe makes 2-pt layup from 2 ft,0,6
17,1,9:06.0,E. Fournier misses 2-pt jump shot from 17 ft,,0,6
18,1,9:03.0,,Defensive rebound by E. Bledsoe,0,6
19,1,8:58.0,,E. Bledsoe makes 2-pt layup from 2 ft,0,8
20,1,8:57.0,Orlando full timeout,,0,8
21,1,8:37.0,A. Gordon misses 2-pt layup from 3 ft (block by T. Snell),,0,8
22,1,8:35.0,Offensive rebound by A. Gordon,,0,8
23,1,8:33.0,A. Gordon makes 2-pt layup from 1 ft,,2,8
24,1,8:17.0,,T. Snell makes 2-pt jump shot from 10 ft (assist by E. Bledsoe),2,10
25,1,8:04.0,N. Vučević misses 2-pt jump shot from 15 ft,,2,10
26,1,8:00.0,,Defensive rebound by E. Bledsoe,2,10
27,1,7:57.0,,K. Middleton misses 3-pt jump shot from 26 ft,2,10
28,1,7:51.0,Defensive rebound by N. Vučević,,2,10
29,1,7:47.0,D. Augustin makes 2-pt jump shot from 12 ft,,4,10
30,1,7:47.0,Shooting foul by E. Bledsoe (drawn by D. Augustin),,4,10
31,1,7:47.0,,S. Brown enters the game for M. Brogdon,4,10
32,1,7:47.0,D. Augustin makes free throw 1 of 1,,5,10
33,1,7:29.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,5,10
34,1,7:24.0,Defensive rebound by D. Augustin,,5,10
35,1,7:21.0,N. Vučević misses 2-pt jump shot from 16 ft,,5,10
36,1,7:18.0,Offensive rebound by J. Isaac,,5,10
37,1,7:16.0,E. Fournier misses 3-pt jump shot from 29 ft,,5,10
38,1,7:16.0,,Defensive rebound by B. Lopez,5,10
39,1,7:03.0,,K. Middleton misses 2-pt layup from 5 ft (block by N. Vučević),5,10
40,1,6:57.0,,Offensive rebound by K. Middleton,5,10
41,1,6:56.0,,S. Brown misses 3-pt jump shot from 24 ft,5,10
42,1,6:53.0,Defensive rebound by N. Vučević,,5,10
43,1,6:41.0,J. Isaac makes 2-pt jump shot from 11 ft (assist by N. Vučević),,7,10
44,1,6:26.0,,B. Lopez misses 3-pt jump shot from 27 ft,7,10
45,1,6:23.0,Defensive rebound by A. Gordon,,7,10
46,1,6:19.0,N. Vučević misses 3-pt jump shot from 26 ft,,7,10
47,1,6:17.0,,Defensive rebound by E. Bledsoe,7,10
48,1,6:04.0,,E. Bledsoe misses 2-pt jump shot from 15 ft,7,10
49,1,6:01.0,Defensive rebound by E. Fournier,,7,10
50,1,5:55.0,E. Fournier misses 2-pt jump shot from 14 ft,,7,10
51,1,5:53.0,Offensive rebound by E. Fournier,,7,10
52,1,5:50.0,E. Fournier makes 2-pt jump shot from 12 ft,,9,10
53,1,5:28.0,,B. Lopez makes 2-pt layup from 2 ft (assist by T. Snell),9,12
54,1,5:16.0,N. Vučević makes 3-pt jump shot from 28 ft (assist by D. Augustin),,12,12
55,1,5:03.0,,S. Brown misses 2-pt layup from 3 ft (block by J. Isaac),12,12
56,1,4:59.0,Defensive rebound by J. Isaac,,12,12
57,1,4:58.0,D. Augustin makes 2-pt layup from 2 ft,,14,12
58,1,4:58.0,,Milwaukee full timeout,14,12
59,1,4:58.0,I. Briscoe enters the game for D. Augustin,,14,12
60,1,4:58.0,W. Iwundu enters the game for A. Gordon,,14,12
61,1,4:58.0,,G. Hill enters the game for E. Bledsoe,14,12
62,1,4:58.0,,D. Wilson enters the game for T. Snell,14,12
63,1,4:42.0,,K. Middleton misses 2-pt jump shot from 16 ft,14,12
64,1,4:39.0,Defensive rebound by N. Vučević,,14,12
65,1,4:34.0,J. Isaac makes 2-pt dunk from 2 ft (assist by I. Briscoe),,16,12
66,1,4:14.0,,G. Hill misses 2-pt jump shot from 13 ft,16,12
67,1,4:12.0,Defensive rebound by E. Fournier,,16,12
68,1,4:07.0,I. Briscoe makes 2-pt layup from 2 ft,,18,12
69,1,3:44.0,,Turnover by S. Brown (bad pass; steal by W. Iwundu),18,12
70,1,3:33.0,N. Vučević misses 2-pt hook shot from 8 ft,,18,12
71,1,3:31.0,,Defensive rebound by K. Middleton,18,12
72,1,3:26.0,,K. Middleton misses 2-pt jump shot from 8 ft,18,12
73,1,3:26.0,Defensive rebound by N. Vučević,,18,12
74,1,3:26.0,Turnover by N. Vučević (out of bounds lost ball),,18,12
75,1,3:26.0,T. Ross enters the game for E. Fournier,,18,12
76,1,3:26.0,,M. Brogdon enters the game for B. Lopez,18,12
77,1,3:26.0,,E. İlyasova enters the game for K. Middleton,18,12
78,1,3:22.0,,S. Brown misses 3-pt jump shot from 26 ft,18,12
79,1,3:18.0,Defensive rebound by I. Briscoe,,18,12
80,1,3:13.0,Personal foul by E. İlyasova (drawn by J. Isaac),,18,12
