,QUARTER,TIME_REMAINING,MIAMI_ACTION,PORTLAND_ACTION,MIAMI_SCORE,PORTLAND_SCORE
0,1,11:37.0,H. Whiteside makes 2-pt hook shot from 3 ft,,2,0
1,1,11:19.0,,C. McCollum makes 2-pt jump shot from 20 ft,2,2
2,1,11:04.0,J. Winslow misses 2-pt jump shot from 14 ft,,2,2
3,1,11:01.0,Offensive rebound by K. Olynyk,,2,2
4,1,11:00.0,K. Olynyk misses 2-pt layup from 2 ft,,2,2
5,1,11:00.0,Offensive rebound by H. Whiteside,,2,2
6,1,10:57.0,H. Whiteside makes 2-pt layup at rim,,4,2
7,1,10:45.0,,J. Nurkić misses 2-pt jump shot from 22 ft,4,2
8,1,10:43.0,Defensive rebound by J. Winslow,,4,2
9,1,10:38.0,T. Johnson misses 3-pt jump shot from 24 ft,,4,2
10,1,10:36.0,,Defensive rebound by C. McCollum,4,2
11,1,10:31.0,,D. Lillard misses 3-pt jump shot from 26 ft (block by T. Johnson),4,2
12,1,10:28.0,Defensive rebound by H. Whiteside,,4,2
13,1,10:23.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Winslow),,7,2
14,1,10:00.0,,D. Lillard makes 2-pt jump shot from 22 ft (assist by A. Aminu),7,4
15,1,9:41.0,J. Winslow misses 2-pt jump shot from 8 ft (block by M. Harkless),,7,4
16,1,9:41.0,Offensive rebound by Team,,7,4
17,1,9:40.0,J. Richardson makes 2-pt jump shot from 9 ft (assist by J. Winslow),,9,4
18,1,9:28.0,,Shooting foul by H. Whiteside (drawn by J. Nurkić),9,4
19,1,9:28.0,,J. Nurkić makes free throw 1 of 2,9,5
20,1,9:28.0,,J. Nurkić makes free throw 2 of 2,9,6
21,1,9:17.0,Shooting foul by C. McCollum (drawn by J. Winslow),,9,6
22,1,9:17.0,J. Richardson makes free throw 1 of 2,,10,6
23,1,9:17.0,J. Richardson makes free throw 2 of 2,,11,6
24,1,8:59.0,,D. Lillard misses 3-pt jump shot from 26 ft,11,6
25,1,8:56.0,Defensive rebound by J. Winslow,,11,6
26,1,8:46.0,J. Winslow misses 2-pt jump shot from 13 ft,,11,6
27,1,8:43.0,,Defensive rebound by D. Lillard,11,6
28,1,8:35.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. Nurkić),11,9
29,1,8:27.0,Personal foul by M. Harkless (drawn by J. Winslow),,11,9
30,1,8:19.0,J. Richardson makes 2-pt jump shot from 19 ft,,13,9
31,1,8:04.0,,C. McCollum misses 3-pt jump shot from 25 ft,13,9
32,1,8:02.0,Defensive rebound by K. Olynyk,,13,9
33,1,7:44.0,J. Winslow makes 3-pt jump shot from 23 ft (assist by J. Richardson),,16,9
34,1,7:25.0,,Turnover by D. Lillard (bad pass; steal by J. Richardson),16,9
35,1,7:19.0,Offensive foul by K. Olynyk (drawn by J. Nurkić),,16,9
36,1,7:19.0,Turnover by K. Olynyk (offensive foul),,16,9
37,1,7:19.0,D. Wade enters the game for J. Richardson,,16,9
38,1,7:06.0,,M. Harkless makes 2-pt dunk at rim (assist by C. McCollum),16,11
39,1,6:51.0,K. Olynyk misses 3-pt jump shot from 24 ft,,16,11
40,1,6:49.0,,Defensive rebound by C. McCollum,16,11
41,1,6:43.0,,D. Lillard misses 3-pt jump shot from 26 ft,16,11
42,1,6:41.0,Defensive rebound by J. Winslow,,16,11
43,1,6:27.0,D. Wade misses 2-pt jump shot from 5 ft,,16,11
44,1,6:26.0,Offensive rebound by H. Whiteside,,16,11
45,1,6:26.0,H. Whiteside makes 2-pt layup at rim,,18,11
46,1,6:26.0,,Portland full timeout,18,11
47,1,6:07.0,,C. McCollum makes 2-pt jump shot from 18 ft,18,13
48,1,5:44.0,H. Whiteside makes 2-pt jump shot from 15 ft (assist by D. Wade),,20,13
49,1,5:34.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by C. McCollum),20,15
50,1,5:13.0,K. Olynyk makes 2-pt hook shot from 4 ft,,22,15
51,1,4:56.0,,A. Aminu misses 2-pt jump shot from 22 ft,22,15
52,1,4:53.0,,Offensive rebound by J. Nurkić,22,15
53,1,4:52.0,,J. Nurkić misses 2-pt layup from 3 ft,22,15
54,1,4:51.0,,Offensive rebound by J. Nurkić,22,15
55,1,4:46.0,,J. Nurkić misses 2-pt hook shot from 2 ft,22,15
56,1,4:45.0,Defensive rebound by Team,,22,15
57,1,4:45.0,,E. Turner enters the game for M. Harkless,22,15
58,1,4:34.0,Shooting foul by E. Turner (drawn by K. Olynyk),,22,15
59,1,4:34.0,K. Olynyk makes free throw 1 of 2,,23,15
60,1,4:34.0,K. Olynyk makes free throw 2 of 2,,24,15
61,1,4:23.0,,Turnover by J. Nurkić (bad pass; steal by H. Whiteside),24,15
62,1,4:14.0,Turnover by J. Winslow (bad pass; steal by E. Turner),,24,15
63,1,4:10.0,,E. Turner makes 2-pt jump shot from 5 ft,24,17
64,1,3:50.0,D. Wade makes 2-pt jump shot from 16 ft,,26,17
65,1,3:33.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),26,20
66,1,3:24.0,Miami full timeout,,26,20
67,1,3:24.0,B. Adebayo enters the game for T. Johnson,,26,20
68,1,3:24.0,D. Waiters enters the game for H. Whiteside,,26,20
69,1,3:24.0,,Z. Collins enters the game for A. Aminu,26,20
70,1,3:24.0,,M. Leonard enters the game for J. Nurkić,26,20
71,1,3:24.0,D. Wade misses 2-pt jump shot from 16 ft,,26,20
72,1,3:06.0,,Defensive rebound by Team,26,20
73,1,2:56.0,,C. McCollum makes 3-pt jump shot from 25 ft,26,23
74,1,2:44.0,Offensive foul by K. Olynyk (drawn by D. Lillard),,26,23
75,1,2:44.0,Turnover by K. Olynyk (offensive foul),,26,23
76,1,2:44.0,J. Johnson enters the game for K. Olynyk,,26,23
77,1,2:44.0,J. Richardson enters the game for J. Winslow,,26,23
78,1,2:44.0,,J. Layman enters the game for C. McCollum,26,23
79,1,2:21.0,,E. Turner misses 2-pt jump shot from 14 ft,26,23
80,1,2:19.0,Defensive rebound by D. Wade,,26,23
81,1,2:05.0,J. Richardson makes 2-pt jump shot from 12 ft,,28,23
82,1,1:50.0,,D. Lillard makes 3-pt jump shot from 27 ft,28,26
83,1,1:40.0,Shooting foul by D. Lillard (drawn by J. Richardson),,28,26
84,1,1:40.0,J. Richardson misses free throw 1 of 2,,28,26
85,1,1:40.0,Offensive rebound by Team,,28,26
86,1,1:40.0,J. Richardson makes free throw 2 of 2,,29,26
87,1,1:29.0,,Turnover by Z. Collins (lost ball; steal by J. Johnson),29,26
88,1,1:22.0,D. Waiters makes 3-pt jump shot from 23 ft (assist by D. Wade),,32,26
89,1,1:01.0,,E. Turner misses 2-pt layup from 3 ft (block by D. Wade),32,26
90,1,1:01.0,,Offensive rebound by Team,32,26
91,1,0:54.0,,E. Turner misses 2-pt layup from 2 ft (block by J. Johnson),32,26
92,1,0:54.0,,Offensive rebound by Team,32,26
93,1,0:49.0,,M. Leonard misses 2-pt jump shot from 22 ft,32,26
94,1,0:49.0,,Offensive rebound by Team,32,26
95,1,0:49.0,,Turnover by Team (shot clock),32,26
96,1,0:38.0,Turnover by D. Wade (bad pass; steal by D. Lillard),,32,26
97,1,0:35.0,,J. Layman makes 2-pt dunk from 1 ft (assist by D. Lillard),32,28
98,1,0:22.0,J. Richardson makes 2-pt jump shot from 12 ft,,34,28
99,1,0:03.0,,Personal foul by D. Waiters (drawn by J. Layman),34,28
100,1,0:01.0,,E. Turner makes 2-pt layup at rim (assist by D. Lillard),34,30
101,1,0:00.0,Turnover by J. Johnson (traveling),,34,30
102,1,0:00.0,,Turnover by E. Turner (bad pass; steal by J. Richardson),34,30
103,2,11:43.0,,J. Layman misses 2-pt jump shot from 20 ft,34,30
104,2,11:39.0,Defensive rebound by J. Johnson,,34,30
105,2,11:28.0,J. Johnson makes 2-pt layup from 1 ft (assist by D. Wade),,36,30
106,2,11:12.0,,J. Layman makes 3-pt jump shot from 26 ft (assist by E. Turner),36,33
107,2,10:52.0,D. Wade misses 2-pt jump shot from 16 ft,,36,33
108,2,10:49.0,,Defensive rebound by M. Leonard,36,33
109,2,10:37.0,,M. Leonard misses 3-pt jump shot from 26 ft,36,33
110,2,10:35.0,Defensive rebound by B. Adebayo,,36,33
111,2,10:28.0,J. Richardson makes 2-pt jump shot from 21 ft,,38,33
112,2,10:01.0,,E. Turner misses 3-pt jump shot from 25 ft,38,33
113,2,10:00.0,Defensive rebound by D. Wade,,38,33
114,2,9:48.0,J. Johnson misses 3-pt jump shot from 25 ft,,38,33
115,2,9:46.0,,Defensive rebound by S. Curry,38,33
116,2,9:39.0,,S. Curry misses 3-pt jump shot from 25 ft,38,33
117,2,9:39.0,,Offensive rebound by Team,38,33
118,2,9:39.0,Loose ball foul by J. Richardson (drawn by J. Layman),,38,33
119,2,9:29.0,,S. Curry makes 2-pt jump shot from 22 ft (assist by Z. Collins),38,35
120,2,9:02.0,D. Waiters makes 3-pt jump shot from 26 ft,,41,35
