,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ATLANTA_ACTION,CHICAGO_SCORE,ATLANTA_SCORE
0,1,11:44.0,L. Markkanen misses 2-pt jump shot from 11 ft,,0,0
1,1,11:39.0,,Defensive rebound by D. Dedmon,0,0
2,1,11:35.0,,Turnover by T. Young (traveling),0,0
3,1,11:23.0,L. Markkanen misses 3-pt jump shot from 25 ft,,0,0
4,1,11:19.0,,Defensive rebound by D. Dedmon,0,0
5,1,11:13.0,,K. Huerter misses 3-pt jump shot from 25 ft,0,0
6,1,11:10.0,Defensive rebound by R. Lopez,,0,0
7,1,10:53.0,K. Dunn makes 2-pt layup from 1 ft,,2,0
8,1,10:39.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by O. Spellman),2,3
9,1,10:15.0,R. Lopez misses 2-pt hook shot from 6 ft,,2,3
10,1,10:12.0,,Defensive rebound by D. Dedmon,2,3
11,1,10:02.0,,Turnover by O. Spellman (out of bounds lost ball),2,3
12,1,9:53.0,Z. LaVine makes 3-pt jump shot from 26 ft,,5,3
13,1,9:35.0,,Personal foul by K. Dunn (drawn by T. Young),5,3
14,1,9:34.0,,D. Dedmon misses 3-pt jump shot from 25 ft,5,3
15,1,9:29.0,Defensive rebound by O. Porter,,5,3
16,1,9:21.0,O. Porter misses 2-pt layup from 1 ft,,5,3
17,1,9:19.0,,Defensive rebound by K. Huerter,5,3
18,1,9:11.0,,T. Prince makes 2-pt jump shot from 15 ft,5,5
19,1,8:57.0,K. Dunn misses 3-pt jump shot from 23 ft,,5,5
20,1,8:57.0,,Defensive rebound by O. Spellman,5,5
21,1,8:45.0,,D. Dedmon misses 3-pt jump shot from 23 ft,5,5
22,1,8:42.0,Defensive rebound by K. Dunn,,5,5
23,1,8:37.0,K. Dunn misses 2-pt layup from 5 ft,,5,5
24,1,8:33.0,Offensive rebound by R. Lopez,,5,5
25,1,8:31.0,L. Markkanen misses 3-pt jump shot from 25 ft,,5,5
26,1,8:31.0,,Defensive rebound by D. Dedmon,5,5
27,1,8:22.0,,T. Young misses 3-pt jump shot from 27 ft,5,5
28,1,8:19.0,Defensive rebound by R. Lopez,,5,5
29,1,8:06.0,Z. LaVine makes 2-pt layup at rim (assist by K. Dunn),,7,5
