,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MILWAUKEE_ACTION,NEW ORLEANS_SCORE,MILWAUKEE_SCORE
73,1,3:13.0,,Defensive rebound by S. Brown,26,22
74,1,3:01.0,,S. Brown makes 3-pt jump shot from 26 ft,26,25
75,1,2:43.0,A. Harrison misses 3-pt jump shot from 24 ft,,26,25
76,1,2:40.0,,Defensive rebound by T. Maker,26,25
77,1,2:26.0,,M. Brogdon makes 3-pt jump shot from 26 ft,26,28
78,1,2:12.0,E. Moore misses 3-pt jump shot from 23 ft,,26,28
79,1,2:10.0,Offensive rebound by A. Harrison,,26,28
80,1,2:04.0,Turnover by A. Harrison (bad pass; steal by M. Brogdon),,26,28
81,1,1:59.0,,M. Brogdon makes 2-pt layup at rim,26,30
82,1,1:45.0,E. Moore makes 2-pt jump shot from 16 ft,,28,30
83,1,1:30.0,,M. Brogdon misses 2-pt layup from 2 ft,28,30
84,1,1:27.0,Defensive rebound by A. Harrison,,28,30
85,1,1:18.0,W. Johnson misses 3-pt jump shot from 26 ft,,28,30
86,1,1:15.0,,Defensive rebound by M. Brogdon,28,30
87,1,0:57.0,,M. Brogdon misses 2-pt layup from 1 ft,28,30
88,1,0:55.0,,Offensive rebound by D. Wilson,28,30
89,1,0:55.0,,D. Wilson misses 2-pt layup from 1 ft (block by A. Davis),28,30
90,1,0:55.0,Defensive rebound by E. Moore,,28,30
91,1,0:46.0,E. Moore makes 3-pt jump shot from 26 ft,,31,30
92,1,0:34.0,,Offensive foul by T. Maker (drawn by A. Harrison),31,30
93,1,0:34.0,,Turnover by T. Maker (offensive foul),31,30
94,1,0:34.0,C. Diallo enters the game for A. Davis,,31,30
95,1,0:34.0,S. Hill enters the game for D. Miller,,31,30
96,1,0:34.0,,G. Antetokounmpo enters the game for D. Wilson,31,30
97,1,0:17.0,A. Harrison misses 3-pt jump shot from 28 ft,,31,30
98,1,0:14.0,,Defensive rebound by M. Brogdon,31,30
99,1,0:02.0,,G. Hill makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),31,33
100,1,0:00.0,A. Harrison misses 3-pt jump shot from 55 ft,,31,33
101,1,0:00.0,Offensive rebound by Team,,31,33
102,2,11:48.0,,Personal foul by S. Hill (drawn by G. Antetokounmpo),31,33
103,2,11:35.0,,T. Maker makes 2-pt jump shot from 23 ft (assist by G. Antetokounmpo),31,35
104,2,11:14.0,Personal foul by T. Snell (drawn by E. Moore),,31,35
105,2,11:06.0,C. Diallo makes 2-pt layup from 1 ft (assist by E. Moore),,33,35
106,2,10:48.0,,G. Hill makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),33,37
107,2,10:42.0,Turnover by J. Holiday (out of bounds lost ball),,33,37
108,2,10:27.0,,Shooting foul by J. Holiday (drawn by G. Antetokounmpo),33,37
109,2,10:27.0,,G. Antetokounmpo misses free throw 1 of 2,33,37
110,2,10:27.0,,Offensive rebound by Team,33,37
111,2,10:27.0,W. Johnson enters the game for S. Hill,,33,37
112,2,10:27.0,,G. Antetokounmpo makes free throw 2 of 2,33,38
113,2,10:17.0,E. Moore misses 2-pt jump shot from 16 ft,,33,38
114,2,10:14.0,,Defensive rebound by G. Antetokounmpo,33,38
115,2,10:08.0,,T. Maker makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),33,41
116,2,9:54.0,F. Jackson makes 3-pt jump shot from 27 ft (assist by C. Diallo),,36,41
117,2,9:47.0,,Shooting foul by W. Johnson (drawn by G. Antetokounmpo),36,41
118,2,9:47.0,,G. Antetokounmpo misses free throw 1 of 2,36,41
119,2,9:47.0,,Offensive rebound by Team,36,41
120,2,9:47.0,,G. Antetokounmpo misses free throw 2 of 2,36,41
121,2,9:43.0,Defensive rebound by W. Johnson,,36,41
122,2,9:29.0,Turnover by C. Diallo (bad pass; steal by T. Snell),,36,41
123,2,9:14.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),36,44
124,2,9:03.0,W. Johnson misses 2-pt jump shot from 15 ft,,36,44
125,2,9:00.0,,Defensive rebound by E. Bledsoe,36,44
126,2,8:43.0,,Turnover by G. Antetokounmpo (traveling),36,44
127,2,8:43.0,,D. Wilson enters the game for T. Maker,36,44
128,2,8:28.0,J. Holiday makes 2-pt jump shot from 9 ft,,38,44
129,2,8:28.0,,K. Middleton enters the game for G. Hill,38,44
130,2,8:10.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),38,47
131,2,7:59.0,W. Johnson misses 3-pt jump shot from 26 ft,,38,47
132,2,7:56.0,,Defensive rebound by G. Antetokounmpo,38,47
133,2,7:49.0,,T. Snell misses 3-pt jump shot from 23 ft,38,47
134,2,7:43.0,,Offensive rebound by D. Wilson,38,47
135,2,7:43.0,,D. Wilson misses 2-pt layup at rim,38,47
136,2,7:42.0,Defensive rebound by F. Jackson,,38,47
137,2,7:40.0,F. Jackson makes 2-pt layup from 1 ft,,40,47
138,2,7:24.0,,K. Middleton makes 2-pt layup from 1 ft (assist by E. Bledsoe),40,49
139,2,7:06.0,J. Holiday makes 2-pt jump shot from 1 ft,,42,49
140,2,6:57.0,,D. Wilson misses 3-pt jump shot from 26 ft,42,49
141,2,6:54.0,Defensive rebound by C. Diallo,,42,49
142,2,6:48.0,J. Holiday misses 2-pt jump shot from 11 ft (block by G. Antetokounmpo),,42,49
143,2,6:48.0,Offensive rebound by Team,,42,49
144,2,6:48.0,,Milwaukee full timeout,42,49
145,2,6:48.0,T. Frazier enters the game for C. Diallo,,42,49
146,2,6:48.0,S. Hill enters the game for J. Holiday,,42,49
147,2,6:48.0,D. Miller enters the game for W. Johnson,,42,49
148,2,6:48.0,J. Okafor enters the game for E. Moore,,42,49
149,2,6:48.0,,M. Brogdon enters the game for G. Antetokounmpo,42,49
150,2,6:34.0,S. Hill misses 2-pt jump shot from 20 ft,,42,49
151,2,6:30.0,,Defensive rebound by T. Snell,42,49
152,2,6:24.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),42,52
153,2,5:58.0,D. Miller misses 2-pt jump shot from 15 ft,,42,52
154,2,5:56.0,,Defensive rebound by K. Middleton,42,52
155,2,5:51.0,,M. Brogdon makes 2-pt layup at rim,42,54
156,2,5:43.0,New Orleans full timeout,,42,54
157,2,5:43.0,,B. Lopez enters the game for E. Bledsoe,42,54
158,2,5:35.0,Shooting foul by B. Lopez (drawn by J. Okafor),,42,54
159,2,5:35.0,J. Okafor makes free throw 1 of 2,,43,54
160,2,5:35.0,J. Okafor misses free throw 2 of 2,,43,54
161,2,5:32.0,,Defensive rebound by D. Wilson,43,54
162,2,5:19.0,,T. Snell misses 3-pt jump shot from 25 ft,43,54
163,2,5:16.0,Defensive rebound by S. Hill,,43,54
164,2,5:12.0,D. Miller misses 3-pt jump shot from 28 ft,,43,54
165,2,5:08.0,Offensive rebound by T. Frazier,,43,54
166,2,5:07.0,T. Frazier misses 2-pt layup from 3 ft,,43,54
167,2,5:05.0,Offensive rebound by J. Okafor,,43,54
168,2,4:55.0,J. Okafor misses 2-pt jump shot from 9 ft,,43,54
169,2,4:53.0,,Defensive rebound by D. Wilson,43,54
170,2,4:42.0,,K. Middleton misses 3-pt jump shot from 27 ft,43,54
171,2,4:40.0,Defensive rebound by J. Okafor,,43,54
172,2,4:34.0,D. Miller makes 2-pt jump shot from 16 ft (assist by T. Frazier),,45,54
173,2,4:34.0,,G. Antetokounmpo enters the game for D. Wilson,45,54
174,2,4:19.0,,Personal foul by D. Miller (drawn by G. Antetokounmpo),45,54
175,2,4:19.0,J. Holiday enters the game for F. Jackson,,45,54
176,2,4:08.0,,B. Lopez misses 3-pt jump shot from 29 ft,45,54
177,2,4:05.0,Defensive rebound by T. Frazier,,45,54
178,2,3:48.0,J. Okafor makes 2-pt layup at rim,,47,54
179,2,3:34.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by M. Brogdon),47,56
180,2,3:20.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by D. Miller),,50,56
181,2,3:07.0,,M. Brogdon misses 2-pt layup from 2 ft,50,56
182,2,3:04.0,Defensive rebound by D. Miller,,50,56
183,2,2:58.0,D. Miller makes 3-pt jump shot from 27 ft (assist by J. Holiday),,53,56
184,2,2:57.0,,Milwaukee full timeout,53,56
185,2,2:57.0,,S. Brown enters the game for M. Brogdon,53,56
186,2,2:57.0,,G. Hill enters the game for T. Snell,53,56
187,2,2:57.0,,Violation by Team (delay of game),53,56
188,2,2:40.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),53,58
189,2,2:27.0,Turnover by D. Miller (bad pass; steal by G. Hill),,53,58
190,2,2:26.0,,Offensive foul by G. Antetokounmpo (drawn by S. Hill),53,58
191,2,2:26.0,,Turnover by G. Antetokounmpo (offensive foul),53,58
192,2,2:18.0,D. Miller makes 3-pt jump shot from 27 ft (assist by S. Hill),,56,58
193,2,2:07.0,,B. Lopez misses 3-pt jump shot from 27 ft,56,58
194,2,2:05.0,Defensive rebound by S. Hill,,56,58
195,2,1:49.0,Shooting foul by G. Antetokounmpo (drawn by J. Okafor),,56,58
196,2,1:49.0,J. Okafor misses free throw 1 of 2,,56,58
197,2,1:49.0,Offensive rebound by Team,,56,58
198,2,1:49.0,,T. Snell enters the game for S. Brown,56,58
199,2,1:49.0,J. Okafor makes free throw 2 of 2,,57,58
200,2,1:29.0,,K. Middleton misses 3-pt jump shot from 27 ft,57,58
201,2,1:26.0,Defensive rebound by D. Miller,,57,58
202,2,1:24.0,J. Okafor makes 2-pt layup from 2 ft (assist by J. Holiday),,59,58
203,2,1:24.0,Shooting foul by T. Snell (drawn by J. Okafor),,59,58
204,2,1:24.0,J. Okafor makes free throw 1 of 1,,60,58
205,2,1:04.0,,B. Lopez misses 3-pt jump shot from 26 ft,60,58
206,2,1:03.0,,Offensive rebound by G. Hill,60,58
207,2,0:58.0,,Personal foul by T. Frazier (drawn by G. Antetokounmpo),60,58
208,2,0:58.0,,G. Antetokounmpo makes free throw 1 of 2,60,59
209,2,0:58.0,W. Johnson enters the game for T. Frazier,,60,59
210,2,0:58.0,E. Moore enters the game for S. Hill,,60,59
211,2,0:58.0,,G. Antetokounmpo makes free throw 2 of 2,60,60
212,2,0:40.0,J. Holiday misses 2-pt layup from 2 ft (block by B. Lopez),,60,60
213,2,0:40.0,Offensive rebound by J. Okafor,,60,60
214,2,0:40.0,Shooting foul by G. Antetokounmpo (drawn by J. Okafor),,60,60
215,2,0:40.0,J. Okafor makes free throw 1 of 2,,61,60
216,2,0:40.0,,S. Brown enters the game for G. Antetokounmpo,61,60
217,2,0:40.0,J. Okafor makes free throw 2 of 2,,62,60
218,2,0:34.0,,Shooting foul by J. Okafor (drawn by B. Lopez),62,60
219,2,0:34.0,,B. Lopez makes free throw 1 of 2,62,61
220,2,0:34.0,,D. Wilson enters the game for T. Snell,62,61
221,2,0:34.0,,B. Lopez makes free throw 2 of 2,62,62
222,2,0:22.0,W. Johnson makes 2-pt layup from 1 ft (assist by J. Holiday),,64,62
223,2,0:05.0,,Turnover by K. Middleton (bad pass),64,62
224,2,0:05.0,F. Jackson enters the game for W. Johnson,,64,62
225,2,0:00.0,J. Holiday makes 2-pt layup from 1 ft,,66,62
226,3,11:46.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),66,64
227,3,11:24.0,J. Okafor makes 2-pt jump shot from 14 ft,,68,64
228,3,11:11.0,,Shooting foul by J. Okafor (drawn by K. Middleton),68,64
229,3,11:11.0,,K. Middleton makes free throw 1 of 2,68,65
230,3,11:11.0,,K. Middleton makes free throw 2 of 2,68,66
231,3,10:51.0,S. Hill misses 2-pt layup from 4 ft,,68,66
232,3,10:49.0,,Defensive rebound by M. Brogdon,68,66
233,3,10:48.0,,Shooting foul by D. Miller (drawn by G. Antetokounmpo),68,66
234,3,10:48.0,,G. Antetokounmpo makes free throw 1 of 2,68,67
235,3,10:48.0,,G. Antetokounmpo makes free throw 2 of 2,68,68
236,3,10:30.0,D. Miller misses 2-pt jump shot from 14 ft,,68,68
237,3,10:27.0,,Defensive rebound by E. Bledsoe,68,68
238,3,10:25.0,,Turnover by E. Bledsoe (lost ball; steal by D. Miller),68,68
239,3,10:20.0,T. Frazier misses 3-pt jump shot from 28 ft,,68,68
240,3,10:15.0,,Defensive rebound by K. Middleton,68,68
241,3,10:01.0,,M. Brogdon makes 3-pt jump shot from 23 ft (assist by B. Lopez),68,71
242,3,9:51.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by T. Frazier),,71,71
243,3,9:38.0,,K. Middleton misses 3-pt jump shot from 24 ft,71,71
244,3,9:35.0,Defensive rebound by T. Frazier,,71,71
245,3,9:19.0,J. Okafor makes 2-pt layup at rim,,73,71
246,3,8:56.0,,E. Bledsoe misses 2-pt layup from 6 ft (block by J. Okafor),73,71
247,3,8:53.0,Defensive rebound by J. Holiday,,73,71
248,3,8:50.0,J. Holiday makes 3-pt jump shot from 26 ft,,76,71
249,3,8:33.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Middleton),76,74
250,3,8:07.0,J. Okafor makes 2-pt hook shot from 10 ft,,78,74
251,3,7:41.0,,M. Brogdon misses 2-pt layup from 1 ft,78,74
252,3,7:39.0,Defensive rebound by S. Hill,,78,74
253,3,7:34.0,Turnover by S. Hill (bad pass; steal by G. Antetokounmpo),,78,74
254,3,7:32.0,,Personal foul by J. Holiday (drawn by G. Antetokounmpo),78,74
255,3,7:32.0,E. Moore enters the game for T. Frazier,,78,74
256,3,7:32.0,,S. Brown enters the game for M. Brogdon,78,74
257,3,7:21.0,,S. Brown misses 3-pt jump shot from 23 ft (block by J. Holiday),78,74
258,3,7:17.0,Defensive rebound by S. Hill,,78,74
259,3,7:14.0,J. Holiday misses 3-pt jump shot from 26 ft,,78,74
260,3,7:11.0,,Defensive rebound by B. Lopez,78,74
261,3,7:03.0,,G. Antetokounmpo misses 2-pt dunk from 2 ft (block by J. Okafor),78,74
262,3,7:03.0,Defensive rebound by J. Holiday,,78,74
263,3,7:03.0,Personal foul by E. Bledsoe (drawn by J. Holiday),,78,74
264,3,7:03.0,,G. Hill enters the game for E. Bledsoe,78,74
265,3,6:49.0,J. Okafor makes 2-pt hook shot from 6 ft,,80,74
266,3,6:33.0,,Personal foul by J. Holiday (drawn by G. Antetokounmpo),80,74
267,3,6:33.0,,Milwaukee full timeout,80,74
268,3,6:33.0,K. Williams enters the game for S. Hill,,80,74
269,3,6:21.0,,B. Lopez misses 2-pt jump shot from 13 ft,80,74
270,3,6:18.0,Defensive rebound by E. Moore,,80,74
271,3,5:59.0,J. Okafor misses 2-pt layup from 3 ft,,80,74
272,3,5:56.0,,Defensive rebound by G. Antetokounmpo,80,74
273,3,5:56.0,A. Davis enters the game for J. Okafor,,80,74
274,3,5:41.0,,Turnover by G. Antetokounmpo (traveling),80,74
275,3,5:20.0,A. Davis misses 3-pt jump shot from 29 ft,,80,74
276,3,5:17.0,,Defensive rebound by S. Brown,80,74
277,3,5:12.0,,G. Antetokounmpo misses 2-pt dunk from 1 ft (block by A. Davis),80,74
278,3,5:11.0,,Offensive rebound by G. Antetokounmpo,80,74
279,3,5:10.0,,Shooting foul by A. Davis (drawn by G. Antetokounmpo),80,74
280,3,5:10.0,,G. Antetokounmpo misses free throw 1 of 2,80,74
281,3,5:10.0,,Offensive rebound by Team,80,74
282,3,5:10.0,,D. Wilson enters the game for B. Lopez,80,74
283,3,5:10.0,,G. Antetokounmpo makes free throw 2 of 2,80,75
284,3,4:58.0,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),,82,75
285,3,4:51.0,,Personal foul by D. Miller (drawn by S. Brown),82,75
286,3,4:51.0,,S. Brown makes free throw 1 of 2,82,76
287,3,4:51.0,T. Frazier enters the game for J. Holiday,,82,76
288,3,4:51.0,,T. Maker enters the game for G. Antetokounmpo,82,76
289,3,4:51.0,,S. Brown makes free throw 2 of 2,82,77
290,3,4:37.0,Turnover by A. Davis (lost ball; steal by G. Hill),,82,77
291,3,4:37.0,,Shooting foul by T. Frazier (drawn by T. Maker),82,77
292,3,4:37.0,,T. Maker misses free throw 1 of 2,82,77
293,3,4:37.0,,Offensive rebound by Team,82,77
294,3,4:37.0,,T. Maker makes free throw 2 of 2,82,78
295,3,4:24.0,E. Moore misses 2-pt layup at rim,,82,78
296,3,4:23.0,Offensive rebound by K. Williams,,82,78
297,3,4:22.0,K. Williams misses 2-pt layup from 1 ft,,82,78
298,3,4:17.0,Offensive rebound by K. Williams,,82,78
299,3,4:17.0,K. Williams misses 2-pt layup from 1 ft,,82,78
300,3,4:16.0,,Defensive rebound by D. Wilson,82,78
301,3,4:08.0,,D. Wilson misses 2-pt layup from 1 ft,82,78
302,3,4:06.0,Defensive rebound by A. Davis,,82,78
303,3,3:51.0,E. Moore misses 2-pt layup from 2 ft,,82,78
304,3,3:47.0,,Defensive rebound by T. Maker,82,78
305,3,3:38.0,,K. Middleton misses 3-pt jump shot from 27 ft,82,78
306,3,3:35.0,Defensive rebound by A. Davis,,82,78
307,3,3:32.0,Personal foul by S. Brown (drawn by T. Frazier),,82,78
308,3,3:32.0,,M. Brogdon enters the game for K. Middleton,82,78
309,3,3:27.0,Turnover by E. Moore (lost ball; steal by T. Maker),,82,78
310,3,3:24.0,,Shooting foul by T. Frazier (drawn by G. Hill),82,78
311,3,3:24.0,,T. Maker makes free throw 1 of 2,82,79
312,3,3:24.0,F. Jackson enters the game for D. Miller,,82,79
313,3,3:24.0,,T. Maker misses free throw 2 of 2,82,79
314,3,3:19.0,,Offensive rebound by T. Maker,82,79
315,3,3:09.0,,G. Hill makes 2-pt jump shot from 9 ft,82,81
316,3,2:49.0,E. Moore misses 3-pt jump shot from 27 ft,,82,81
317,3,2:44.0,,Defensive rebound by M. Brogdon,82,81
318,3,2:39.0,,D. Wilson makes 2-pt layup from 1 ft (assist by M. Brogdon),82,83
319,3,2:37.0,New Orleans full timeout,,82,83
320,3,2:37.0,J. Holiday enters the game for T. Frazier,,82,83
321,3,2:22.0,Personal foul by T. Maker (drawn by A. Davis),,82,83
322,3,2:16.0,A. Davis makes 2-pt jump shot from 15 ft (assist by E. Moore),,84,83
323,3,1:58.0,,M. Brogdon misses 3-pt jump shot from 27 ft,84,83
324,3,1:55.0,Defensive rebound by A. Davis,,84,83
325,3,1:36.0,K. Williams makes 2-pt layup from 2 ft (assist by J. Holiday),,86,83
326,3,1:23.0,,S. Brown misses 2-pt layup at rim,86,83
327,3,1:21.0,Defensive rebound by F. Jackson,,86,83
328,3,1:21.0,F. Jackson misses 2-pt layup at rim,,86,83
329,3,1:19.0,Offensive rebound by Team,,86,83
330,3,1:19.0,,Loose ball foul by D. Wilson (drawn by A. Davis),86,83
331,3,1:19.0,,G. Antetokounmpo enters the game for S. Brown,86,83
332,3,1:19.0,,T. Snell enters the game for D. Wilson,86,83
333,3,1:08.0,J. Holiday makes 2-pt jump shot from 13 ft,,88,83
334,3,0:51.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,88,85
335,3,0:40.0,J. Holiday makes 2-pt jump shot from 15 ft (assist by A. Davis),,90,85
336,3,0:30.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),90,87
337,3,0:18.0,A. Davis misses 3-pt jump shot from 25 ft,,90,87
338,3,0:14.0,,Defensive rebound by M. Brogdon,90,87
339,3,0:00.0,,G. Hill makes 3-pt jump shot from 27 ft (assist by T. Snell),90,90
340,4,11:45.0,A. Davis makes 2-pt jump shot from 10 ft,,92,90
341,4,11:34.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,92,90
342,4,11:31.0,Defensive rebound by A. Davis,,92,90
343,4,11:21.0,Shooting foul by T. Maker (drawn by A. Davis),,92,90
344,4,11:21.0,A. Davis misses free throw 1 of 2,,92,90
345,4,11:21.0,Offensive rebound by Team,,92,90
346,4,11:21.0,A. Davis makes free throw 2 of 2,,93,90
347,4,11:06.0,,Turnover by G. Antetokounmpo (bad pass),93,90
348,4,10:51.0,A. Davis makes 2-pt layup from 1 ft (assist by E. Moore),,95,90
349,4,10:33.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by T. Snell),95,92
350,4,10:20.0,Personal foul by E. Bledsoe (drawn by J. Holiday),,95,92
351,4,10:20.0,,D. Wilson enters the game for T. Maker,95,92
352,4,10:11.0,A. Davis misses 3-pt jump shot from 27 ft,,95,92
353,4,10:08.0,,Defensive rebound by G. Antetokounmpo,95,92
354,4,9:59.0,,D. Wilson makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),95,95
355,4,9:48.0,J. Holiday misses 2-pt jump shot from 6 ft,,95,95
356,4,9:43.0,Offensive rebound by J. Holiday,,95,95
357,4,9:43.0,J. Holiday misses 2-pt layup at rim,,95,95
358,4,9:43.0,,Defensive rebound by D. Wilson,95,95
359,4,9:42.0,,Shooting foul by F. Jackson (drawn by G. Antetokounmpo),95,95
360,4,9:42.0,,G. Antetokounmpo makes free throw 1 of 2,95,96
361,4,9:42.0,T. Frazier enters the game for J. Holiday,,95,96
362,4,9:42.0,D. Miller enters the game for F. Jackson,,95,96
363,4,9:42.0,,G. Antetokounmpo makes free throw 2 of 2,95,97
364,4,9:26.0,A. Davis misses 2-pt jump shot from 5 ft,,95,97
365,4,9:23.0,,Defensive rebound by E. Bledsoe,95,97
366,4,9:22.0,,Personal foul by E. Moore (drawn by E. Bledsoe),95,97
367,4,9:14.0,,E. Bledsoe misses 3-pt jump shot from 28 ft,95,97
368,4,9:11.0,Defensive rebound by A. Davis,,95,97
369,4,8:54.0,A. Davis misses 2-pt jump shot from 4 ft,,95,97
370,4,8:51.0,,Defensive rebound by T. Snell,95,97
371,4,8:49.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,95,99
372,4,8:40.0,Shooting foul by E. Bledsoe (drawn by A. Davis),,95,99
373,4,8:40.0,A. Davis misses free throw 1 of 2,,95,99
374,4,8:40.0,Offensive rebound by Team,,95,99
375,4,8:40.0,F. Jackson enters the game for E. Moore,,95,99
376,4,8:40.0,,K. Middleton enters the game for G. Hill,95,99
