,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PORTLAND_ACTION,HOUSTON_SCORE,PORTLAND_SCORE
112,2,10:39.0,B. Knight misses 2-pt jump shot from 18 ft,,30,32
113,2,10:37.0,,Defensive rebound by J. Layman,30,32
114,2,10:25.0,,C. McCollum makes 2-pt layup from 2 ft,30,34
115,2,10:01.0,D. House makes 2-pt jump shot from 8 ft,,32,34
116,2,9:32.0,,M. Leonard misses 2-pt jump shot from 13 ft,32,34
117,2,9:31.0,Defensive rebound by D. House,,32,34
118,2,9:21.0,A. Rivers misses 2-pt jump shot from 5 ft,,32,34
119,2,9:17.0,,Defensive rebound by M. Leonard,32,34
120,2,9:06.0,,Turnover by S. Curry (bad pass; steal by D. House),32,34
121,2,8:55.0,D. House makes 2-pt layup from 3 ft,,34,34
122,2,8:30.0,,M. Leonard misses 2-pt jump shot from 7 ft,34,34
123,2,8:29.0,Defensive rebound by C. Capela,,34,34
124,2,8:23.0,J. Ennis misses 3-pt jump shot from 23 ft,,34,34
125,2,8:23.0,Offensive rebound by C. Capela,,34,34
126,2,8:21.0,C. Capela makes 2-pt layup at rim,,36,34
127,2,8:21.0,,Portland full timeout,36,34
128,2,8:21.0,G. Green enters the game for J. Ennis,,36,34
129,2,8:03.0,,C. McCollum misses 2-pt jump shot from 19 ft,36,34
130,2,8:00.0,,Offensive rebound by M. Leonard,36,34
131,2,7:54.0,,C. McCollum misses 3-pt jump shot from 26 ft,36,34
132,2,7:52.0,,Offensive rebound by Z. Collins,36,34
133,2,7:51.0,,Z. Collins misses 2-pt hook shot from 2 ft (block by C. Capela),36,34
134,2,7:51.0,,Offensive rebound by Team,36,34
135,2,7:46.0,,Z. Collins makes 2-pt hook shot from 2 ft (assist by M. Leonard),36,36
136,2,7:24.0,C. Capela makes 2-pt hook shot from 5 ft,,38,36
137,2,7:03.0,,S. Curry misses 3-pt jump shot from 25 ft,38,36
138,2,7:01.0,Defensive rebound by C. Capela,,38,36
139,2,6:43.0,G. Green makes 2-pt jump shot from 3 ft,,40,36
140,2,6:32.0,,C. McCollum misses 2-pt jump shot from 7 ft,40,36
141,2,6:29.0,Defensive rebound by D. House,,40,36
142,2,6:19.0,B. Knight misses 2-pt jump shot from 11 ft,,40,36
143,2,6:18.0,,Defensive rebound by Z. Collins,40,36
144,2,6:09.0,,J. Layman makes 3-pt jump shot from 22 ft (assist by C. McCollum),40,39
145,2,6:08.0,Houston full timeout,,40,39
146,2,6:08.0,J. Harden enters the game for D. House,,40,39
147,2,6:08.0,P. Tucker enters the game for B. Knight,,40,39
148,2,6:08.0,,A. Aminu enters the game for Z. Collins,40,39
149,2,6:08.0,,J. Nurkić enters the game for J. Layman,40,39
150,2,6:08.0,,E. Turner enters the game for M. Leonard,40,39
151,2,5:55.0,J. Harden makes 2-pt jump shot from 6 ft (assist by C. Capela),,42,39
152,2,5:40.0,,C. McCollum misses 2-pt layup from 2 ft (block by C. Capela),42,39
153,2,5:37.0,Defensive rebound by P. Tucker,,42,39
154,2,5:24.0,J. Harden misses 2-pt jump shot from 4 ft,,42,39
155,2,5:22.0,Offensive rebound by G. Green,,42,39
156,2,5:22.0,,D. Lillard enters the game for C. McCollum,42,39
157,2,5:12.0,Turnover by J. Harden (lost ball; steal by E. Turner),,42,39
158,2,4:59.0,,Personal foul by P. Tucker (drawn by J. Nurkić),42,39
159,2,4:52.0,,S. Curry misses 3-pt jump shot from 23 ft,42,39
160,2,4:50.0,Defensive rebound by P. Tucker,,42,39
161,2,4:43.0,Def 3 sec tech foul by Team,,42,39
162,2,4:43.0,J. Harden makes technical free throw,,43,39
163,2,4:38.0,J. Harden misses 3-pt jump shot from 25 ft,,43,39
164,2,4:34.0,,Defensive rebound by J. Nurkić,43,39
165,2,4:26.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),43,42
166,2,4:11.0,Turnover by A. Rivers (bad pass; steal by S. Curry),,43,42
167,2,3:55.0,,J. Nurkić makes 2-pt hook shot from 2 ft,43,44
168,2,3:45.0,J. Harden misses 3-pt jump shot from 26 ft,,43,44
169,2,3:42.0,,Defensive rebound by J. Nurkić,43,44
170,2,3:35.0,,S. Curry misses 2-pt jump shot from 19 ft,43,44
171,2,3:33.0,Defensive rebound by C. Capela,,43,44
172,2,3:33.0,D. House enters the game for G. Green,,43,44
173,2,3:15.0,A. Rivers misses 3-pt jump shot from 25 ft (block by S. Curry),,43,44
174,2,3:15.0,,Defensive rebound by Team,43,44
175,2,3:07.0,,A. Aminu makes 2-pt dunk at rim (assist by E. Turner),43,46
176,2,2:45.0,A. Rivers makes 3-pt jump shot from 23 ft (assist by J. Harden),,46,46
177,2,2:31.0,,J. Nurkić misses 2-pt layup from 1 ft,46,46
178,2,2:29.0,,Offensive rebound by J. Nurkić,46,46
179,2,2:27.0,,J. Nurkić makes 2-pt hook shot from 5 ft,46,48
180,2,2:13.0,Turnover by J. Harden (lost ball; steal by D. Lillard),,46,48
181,2,2:09.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by D. Lillard),46,50
182,2,1:52.0,J. Harden misses 2-pt jump shot from 7 ft,,46,50
183,2,1:51.0,,Defensive rebound by J. Nurkić,46,50
184,2,1:45.0,,D. Lillard makes 2-pt layup from 1 ft,46,52
185,2,1:44.0,Houston full timeout,,46,52
186,2,1:44.0,N. Hilário enters the game for C. Capela,,46,52
187,2,1:44.0,,C. McCollum enters the game for S. Curry,46,52
188,2,1:31.0,A. Rivers misses 3-pt jump shot from 26 ft,,46,52
189,2,1:28.0,,Defensive rebound by A. Aminu,46,52
190,2,1:21.0,,E. Turner makes 2-pt jump shot from 6 ft (assist by D. Lillard),46,54
191,2,1:05.0,J. Harden misses 3-pt jump shot from 26 ft,,46,54
192,2,1:04.0,,Defensive rebound by A. Aminu,46,54
193,2,1:01.0,,Personal foul by J. Harden (drawn by D. Lillard),46,54
194,2,0:43.0,,J. Nurkić misses 2-pt hook shot from 2 ft,46,54
195,2,0:42.0,,Offensive rebound by Team,46,54
196,2,0:42.0,,Flagrant foul type 1 by N. Hilário (drawn by J. Nurkić),46,54
197,2,0:42.0,,J. Nurkić makes flagrant free throw 1 of 2,46,55
198,2,0:42.0,,J. Nurkić misses flagrant free throw 2 of 2,46,55
199,2,0:42.0,,Offensive rebound by Team,46,55
200,2,0:32.0,,J. Nurkić misses 2-pt layup from 3 ft,46,55
201,2,0:31.0,,Offensive rebound by J. Nurkić,46,55
202,2,0:31.0,,J. Nurkić makes 2-pt dunk from 1 ft,46,57
203,2,0:08.0,J. Harden misses 3-pt jump shot from 28 ft,,46,57
204,2,0:06.0,,Defensive rebound by D. Lillard,46,57
205,2,0:00.0,,D. Lillard makes 2-pt jump shot from 13 ft,46,59
206,3,11:36.0,P. Tucker misses 2-pt jump shot from 12 ft,,46,59
207,3,11:34.0,,Defensive rebound by J. Nurkić,46,59
208,3,11:26.0,,D. Lillard misses 2-pt jump shot from 14 ft,46,59
209,3,11:24.0,Defensive rebound by C. Capela,,46,59
210,3,11:15.0,J. Harden makes 2-pt layup from 2 ft,,48,59
211,3,11:00.0,,Turnover by A. Aminu (offensive foul),48,59
212,3,11:00.0,,Offensive foul by A. Aminu (drawn by P. Tucker),48,59
213,3,10:46.0,J. Harden misses 2-pt jump shot from 14 ft (block by E. Turner),,48,59
214,3,10:43.0,Offensive rebound by P. Tucker,,48,59
215,3,10:38.0,J. Harden makes 3-pt jump shot from 26 ft,,51,59
216,3,10:16.0,,C. McCollum misses 2-pt jump shot from 13 ft,51,59
217,3,10:14.0,,Offensive rebound by J. Nurkić,51,59
218,3,10:04.0,,D. Lillard misses 2-pt layup from 2 ft,51,59
219,3,10:03.0,Defensive rebound by C. Capela,,51,59
220,3,9:57.0,D. House misses 3-pt jump shot from 23 ft,,51,59
221,3,9:55.0,,Defensive rebound by A. Aminu,51,59
222,3,9:46.0,,C. McCollum misses 3-pt jump shot from 23 ft,51,59
223,3,9:42.0,,Offensive rebound by A. Aminu,51,59
224,3,9:40.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by A. Aminu),51,62
225,3,9:21.0,J. Harden makes 3-pt jump shot from 23 ft,,54,62
226,3,9:00.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),54,64
227,3,8:41.0,A. Rivers misses 3-pt jump shot from 25 ft,,54,64
228,3,8:40.0,,Defensive rebound by A. Aminu,54,64
229,3,8:32.0,,C. McCollum makes 3-pt jump shot from 25 ft,54,67
230,3,8:17.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,56,67
231,3,7:58.0,,C. McCollum misses 3-pt jump shot from 25 ft,56,67
232,3,7:57.0,Defensive rebound by C. Capela,,56,67
233,3,7:42.0,D. House misses 2-pt layup from 2 ft,,56,67
234,3,7:40.0,,Defensive rebound by J. Nurkić,56,67
235,3,7:33.0,,A. Aminu misses 3-pt jump shot from 25 ft,56,67
236,3,7:32.0,Defensive rebound by C. Capela,,56,67
237,3,7:25.0,J. Harden misses 3-pt jump shot from 29 ft,,56,67
238,3,7:22.0,,Defensive rebound by C. McCollum,56,67
239,3,7:20.0,,E. Turner makes 2-pt layup at rim (assist by C. McCollum),56,69
240,3,7:20.0,,Shooting foul by J. Harden (drawn by E. Turner),56,69
241,3,7:20.0,G. Green enters the game for D. House,,56,69
242,3,7:20.0,,E. Turner makes free throw 1 of 1,56,70
243,3,7:01.0,G. Green makes 2-pt jump shot from 6 ft,,58,70
244,3,6:46.0,,Turnover by D. Lillard (bad pass; steal by P. Tucker),58,70
245,3,6:41.0,Turnover by J. Harden (lost ball; steal by C. McCollum),,58,70
246,3,6:38.0,,Personal foul by A. Rivers (drawn by A. Aminu),58,70
247,3,6:38.0,,Portland full timeout,58,70
248,3,6:38.0,N. Hilário enters the game for C. Capela,,58,70
249,3,6:30.0,,Shooting foul by N. Hilário (drawn by J. Nurkić),58,70
250,3,6:30.0,,J. Nurkić misses free throw 1 of 2,58,70
251,3,6:30.0,,Offensive rebound by Team,58,70
252,3,6:30.0,,J. Nurkić misses free throw 2 of 2,58,70
253,3,6:27.0,Defensive rebound by J. Harden,,58,70
254,3,6:19.0,G. Green makes 3-pt jump shot from 25 ft (assist by J. Harden),,61,70
255,3,6:03.0,,J. Nurkić makes 2-pt jump shot from 15 ft (assist by D. Lillard),61,72
256,3,5:52.0,Turnover by J. Harden (bad pass),,61,72
257,3,5:52.0,Loose ball foul by G. Green (drawn by E. Turner),,61,72
258,3,5:52.0,,J. Layman enters the game for E. Turner,61,72
259,3,5:44.0,,Turnover by D. Lillard (bad pass; steal by P. Tucker),61,72
260,3,5:32.0,J. Harden misses 2-pt jump shot from 13 ft,,61,72
261,3,5:27.0,,Defensive rebound by D. Lillard,61,72
262,3,5:17.0,,C. McCollum makes 2-pt jump shot from 15 ft,61,74
263,3,5:04.0,Turnover by G. Green (traveling),,61,74
264,3,4:54.0,,D. Lillard makes 3-pt jump shot from 25 ft,61,77
265,3,4:37.0,J. Harden makes 3-pt jump shot from 27 ft,,64,77
266,3,4:19.0,,C. McCollum misses 3-pt jump shot from 26 ft,64,77
267,3,4:14.0,Defensive rebound by N. Hilário,,64,77
268,3,4:06.0,J. Harden misses 3-pt jump shot from 27 ft,,64,77
269,3,4:06.0,,Defensive rebound by Team,64,77
270,3,4:06.0,J. Ennis enters the game for A. Rivers,,64,77
271,3,3:50.0,,J. Layman makes 2-pt jump shot from 17 ft (assist by D. Lillard),64,79
272,3,3:31.0,J. Harden makes 2-pt layup from 2 ft,,66,79
273,3,3:18.0,,Turnover by D. Lillard (bad pass; steal by N. Hilário),66,79
274,3,3:15.0,Turnover by G. Green (bad pass; steal by D. Lillard),,66,79
275,3,3:07.0,,J. Layman makes 2-pt layup from 2 ft (assist by J. Nurkić),66,81
276,3,2:50.0,J. Harden makes 2-pt layup from 3 ft,,68,81
277,3,2:31.0,,J. Layman misses 2-pt dunk from 2 ft,68,81
278,3,2:29.0,Defensive rebound by J. Harden,,68,81
279,3,2:24.0,J. Ennis makes 2-pt layup from 1 ft (assist by J. Harden),,70,81
280,3,2:10.0,,D. Lillard misses 2-pt layup from 2 ft,70,81
281,3,2:10.0,,Offensive rebound by Team,70,81
282,3,2:10.0,Houston full timeout,,70,81
283,3,2:10.0,C. Capela enters the game for N. Hilário,,70,81
284,3,2:10.0,,S. Curry enters the game for C. McCollum,70,81
285,3,1:58.0,,Shooting foul by P. Tucker (drawn by J. Layman),70,81
286,3,1:58.0,,J. Layman makes free throw 1 of 2,70,82
287,3,1:58.0,,Z. Collins enters the game for A. Aminu,70,82
288,3,1:58.0,,E. Turner enters the game for J. Nurkić,70,82
289,3,1:58.0,,J. Layman makes free throw 2 of 2,70,83
290,3,1:44.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,72,83
291,3,1:19.0,,D. Lillard misses 3-pt jump shot from 25 ft,72,83
292,3,1:16.0,,Offensive rebound by Z. Collins,72,83
293,3,1:16.0,D. House enters the game for P. Tucker,,72,83
294,3,1:12.0,,E. Turner misses 3-pt jump shot from 25 ft,72,83
295,3,1:10.0,Defensive rebound by J. Harden,,72,83
296,3,1:01.0,J. Harden makes 2-pt layup from 1 ft,,74,83
297,3,1:01.0,Shooting foul by J. Layman (drawn by J. Harden),,74,83
298,3,1:01.0,J. Harden makes free throw 1 of 1,,75,83
299,3,0:41.0,,Turnover by S. Curry (bad pass),75,83
300,3,0:32.0,J. Harden misses 3-pt jump shot from 27 ft,,75,83
301,3,0:30.0,,Defensive rebound by D. Lillard,75,83
302,3,0:17.0,,D. Lillard makes 2-pt layup from 1 ft,75,85
303,3,0:17.0,,Shooting foul by J. Ennis (drawn by D. Lillard),75,85
304,3,0:17.0,,D. Lillard makes free throw 1 of 1,75,86
305,3,0:00.0,J. Harden makes 2-pt jump shot from 9 ft,,77,86
306,3,0:00.0,,J. Layman misses 3-pt jump shot from 44 ft (block by J. Harden),77,86
307,3,0:00.0,,Offensive rebound by Team,77,86
308,4,11:47.0,,E. Turner misses 2-pt layup from 1 ft (block by D. House),77,86
309,4,11:45.0,,Offensive rebound by E. Turner,77,86
310,4,11:44.0,,S. Curry makes 2-pt jump shot from 19 ft (assist by E. Turner),77,88
311,4,11:28.0,G. Green misses 3-pt jump shot from 23 ft,,77,88
312,4,11:28.0,Offensive rebound by C. Capela,,77,88
313,4,11:28.0,Personal foul by Z. Collins (drawn by C. Capela),,77,88
314,4,11:28.0,,M. Leonard enters the game for E. Turner,77,88
315,4,11:17.0,A. Rivers makes 2-pt jump shot from 2 ft,,79,88
316,4,10:58.0,,Personal foul by A. Rivers (drawn by C. McCollum),79,88
317,4,10:50.0,,J. Layman misses 3-pt jump shot from 24 ft,79,88
318,4,10:49.0,Defensive rebound by C. Capela,,79,88
319,4,10:41.0,B. Knight makes 2-pt jump shot from 15 ft,,81,88
320,4,10:26.0,,C. McCollum misses 2-pt layup from 2 ft,81,88
321,4,10:24.0,Defensive rebound by C. Capela,,81,88
322,4,10:08.0,A. Rivers misses 3-pt jump shot from 26 ft,,81,88
323,4,10:06.0,,Defensive rebound by J. Layman,81,88
324,4,9:54.0,,S. Curry misses 3-pt jump shot from 24 ft,81,88
325,4,9:51.0,Defensive rebound by D. House,,81,88
326,4,9:48.0,,Violation by Team (kicked ball),81,88
327,4,9:33.0,G. Green misses 3-pt jump shot from 26 ft,,81,88
328,4,9:31.0,,Defensive rebound by M. Leonard,81,88
329,4,9:21.0,,Turnover by M. Leonard (traveling),81,88
330,4,9:12.0,Personal foul by M. Leonard (drawn by C. Capela),,81,88
331,4,9:12.0,J. Harden enters the game for D. House,,81,88
332,4,9:12.0,,E. Turner enters the game for J. Layman,81,88
333,4,9:08.0,G. Green makes 2-pt dunk from 1 ft (assist by J. Harden),,83,88
334,4,8:55.0,,E. Turner misses 2-pt jump shot from 11 ft (block by G. Green),83,88
335,4,8:55.0,Defensive rebound by Team,,83,88
336,4,8:55.0,,Loose ball foul by E. Turner (drawn by G. Green),83,88
337,4,8:55.0,,J. Layman enters the game for Z. Collins,83,88
338,4,8:32.0,J. Harden misses 2-pt layup from 2 ft,,83,88
339,4,8:31.0,Offensive rebound by C. Capela,,83,88
340,4,8:28.0,Turnover by C. Capela (bad pass; steal by J. Layman),,83,88
341,4,8:23.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by E. Turner),83,91
342,4,8:08.0,A. Rivers misses 3-pt jump shot from 28 ft,,83,91
343,4,8:05.0,Offensive rebound by C. Capela,,83,91
344,4,7:51.0,B. Knight misses 2-pt jump shot from 14 ft,,83,91
345,4,7:48.0,Offensive rebound by C. Capela,,83,91
346,4,7:46.0,G. Green misses 3-pt jump shot from 25 ft,,83,91
347,4,7:43.0,,Defensive rebound by C. McCollum,83,91
348,4,7:21.0,,M. Leonard misses 3-pt jump shot from 26 ft,83,91
349,4,7:20.0,Defensive rebound by C. Capela,,83,91
350,4,7:02.0,J. Harden misses 2-pt jump shot from 16 ft,,83,91
351,4,7:00.0,,Defensive rebound by C. McCollum,83,91
352,4,7:00.0,,Portland full timeout,83,91
353,4,7:00.0,P. Tucker enters the game for B. Knight,,83,91
354,4,7:00.0,,D. Lillard enters the game for J. Layman,83,91
355,4,7:00.0,,J. Nurkić enters the game for M. Leonard,83,91
356,4,6:50.0,,C. McCollum misses 2-pt jump shot from 18 ft,83,91
357,4,6:48.0,,Offensive rebound by J. Nurkić,83,91
358,4,6:46.0,,J. Nurkić misses 2-pt hook shot from 2 ft,83,91
359,4,6:43.0,,Offensive rebound by J. Nurkić,83,91
360,4,6:43.0,,J. Nurkić makes 2-pt layup at rim,83,93
361,4,6:24.0,A. Rivers makes 2-pt layup from 1 ft,,85,93
362,4,6:11.0,,E. Turner makes 2-pt layup from 2 ft (assist by C. McCollum),85,95
363,4,6:04.0,Offensive foul by G. Green (drawn by E. Turner),,85,95
364,4,6:04.0,Turnover by G. Green (offensive foul),,85,95
365,4,5:44.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by D. Lillard),85,97
366,4,5:24.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,87,97
367,4,5:01.0,,J. Nurkić misses 2-pt hook shot from 4 ft,87,97
368,4,4:59.0,Defensive rebound by J. Harden,,87,97
369,4,4:56.0,Shooting foul by D. Lillard (drawn by C. Capela),,87,97
370,4,4:56.0,C. Capela misses free throw 1 of 2,,87,97
371,4,4:56.0,Offensive rebound by Team,,87,97
372,4,4:56.0,C. Capela makes free throw 2 of 2,,88,97
373,4,4:38.0,,D. Lillard misses 2-pt jump shot from 20 ft,88,97
374,4,4:36.0,Defensive rebound by C. Capela,,88,97
375,4,4:23.0,G. Green makes 2-pt dunk at rim,,90,97
376,4,4:05.0,,Portland full timeout,90,97
377,4,4:05.0,N. Hilário enters the game for C. Capela,,90,97
378,4,4:05.0,,A. Aminu enters the game for S. Curry,90,97
379,4,3:56.0,,J. Nurkić makes 2-pt hook shot from 4 ft (assist by E. Turner),90,99
380,4,3:42.0,J. Harden misses 3-pt jump shot from 26 ft,,90,99
381,4,3:40.0,,Defensive rebound by J. Nurkić,90,99
382,4,3:22.0,,Personal foul by J. Harden (drawn by J. Nurkić),90,99
383,4,3:22.0,Violation by Team (delay of game),,90,99
384,4,3:10.0,,C. McCollum makes 2-pt jump shot from 18 ft,90,101
385,4,2:44.0,G. Green makes 2-pt jump shot from 14 ft,,92,101
386,4,2:24.0,,C. McCollum makes 2-pt jump shot from 12 ft (assist by J. Nurkić),92,103
387,4,2:13.0,J. Harden makes 3-pt jump shot from 26 ft,,95,103
388,4,1:51.0,,A. Aminu misses 2-pt jump shot from 3 ft,95,103
389,4,1:51.0,,Offensive rebound by A. Aminu,95,103
