,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:40.0,,E. Freedom makes 2-pt hook shot from 1 ft,0,2
1,1,11:25.0,Shooting foul by C. McCollum (drawn by G. Harris),,0,2
2,1,11:25.0,G. Harris makes free throw 1 of 2,,1,2
3,1,11:25.0,G. Harris misses free throw 2 of 2,,1,2
4,1,11:23.0,,Defensive rebound by A. Aminu,1,2
5,1,11:13.0,,E. Freedom misses 2-pt dunk from 1 ft,1,2
6,1,11:13.0,Defensive rebound by Team,,1,2
7,1,11:00.0,W. Barton makes 2-pt layup from 2 ft,,3,2
8,1,10:45.0,,Turnover by M. Harkless (lost ball; steal by M. Morris),3,2
9,1,10:39.0,G. Harris makes 2-pt layup from 2 ft (assist by W. Barton),,5,2
10,1,10:33.0,,C. McCollum makes 2-pt layup from 2 ft,5,4
11,1,10:25.0,G. Harris makes 3-pt jump shot from 23 ft (assist by M. Morris),,8,4
12,1,10:08.0,,A. Aminu misses 3-pt jump shot from 26 ft,8,4
13,1,10:07.0,,Offensive rebound by E. Freedom,8,4
14,1,10:07.0,,Personal foul by G. Harris (drawn by E. Freedom),8,4
15,1,10:02.0,,D. Lillard misses 3-pt jump shot from 25 ft,8,4
16,1,9:58.0,Defensive rebound by M. Plumlee,,8,4
17,1,9:50.0,M. Morris misses 2-pt jump shot from 12 ft,,8,4
18,1,9:48.0,,Defensive rebound by C. McCollum,8,4
19,1,9:32.0,,A. Aminu misses 2-pt jump shot from 13 ft,8,4
20,1,9:30.0,Defensive rebound by T. Lyles,,8,4
21,1,9:16.0,W. Barton misses 3-pt jump shot from 24 ft,,8,4
22,1,9:12.0,,Defensive rebound by M. Harkless,8,4
23,1,9:06.0,,C. McCollum misses 3-pt jump shot from 25 ft,8,4
24,1,9:03.0,Defensive rebound by W. Barton,,8,4
25,1,8:51.0,G. Harris makes 2-pt layup from 1 ft,,10,4
26,1,8:31.0,,D. Lillard misses 3-pt jump shot from 24 ft,10,4
27,1,8:30.0,Defensive rebound by M. Morris,,10,4
28,1,8:24.0,Shooting foul by D. Lillard (drawn by M. Morris),,10,4
29,1,8:24.0,M. Morris makes free throw 1 of 2,,11,4
30,1,8:24.0,M. Morris makes free throw 2 of 2,,12,4
31,1,8:12.0,,D. Lillard makes 2-pt layup at rim,12,6
32,1,7:57.0,Shooting foul by M. Harkless (drawn by M. Morris),,12,6
33,1,7:57.0,M. Morris misses free throw 1 of 2,,12,6
34,1,7:57.0,Offensive rebound by Team,,12,6
35,1,7:57.0,M. Morris makes free throw 2 of 2,,13,6
36,1,7:46.0,,A. Aminu misses 3-pt jump shot from 24 ft,13,6
37,1,7:43.0,Defensive rebound by G. Harris,,13,6
38,1,7:38.0,M. Morris misses 3-pt jump shot from 23 ft,,13,6
39,1,7:36.0,,Defensive rebound by A. Aminu,13,6
40,1,7:26.0,,A. Aminu makes 2-pt jump shot from 4 ft,13,8
41,1,7:15.0,G. Harris misses 2-pt jump shot from 15 ft,,13,8
42,1,7:15.0,,Defensive rebound by Team,13,8
43,1,7:15.0,,Portland full timeout,13,8
44,1,6:55.0,,C. McCollum makes 2-pt jump shot from 4 ft,13,10
45,1,6:35.0,T. Lyles misses 2-pt jump shot from 15 ft,,13,10
46,1,6:32.0,,Defensive rebound by M. Harkless,13,10
47,1,6:27.0,,E. Freedom makes 2-pt dunk at rim (assist by C. McCollum),13,12
48,1,6:10.0,T. Lyles misses 3-pt jump shot from 25 ft,,13,12
49,1,6:08.0,,Defensive rebound by E. Freedom,13,12
50,1,6:02.0,,M. Harkless makes 2-pt dunk from 1 ft (assist by C. McCollum),13,14
51,1,5:44.0,M. Plumlee misses 2-pt jump shot from 3 ft,,13,14
52,1,5:44.0,Offensive rebound by M. Plumlee,,13,14
