,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MILWAUKEE_ACTION,LA CLIPPERS_SCORE,MILWAUKEE_SCORE
42,1,5:50.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,17,17
43,1,5:45.0,Defensive rebound by D. Gallinari,,17,17
44,1,5:44.0,Shooting foul by B. Lopez (drawn by D. Gallinari),,17,17
45,1,5:44.0,D. Gallinari makes free throw 1 of 2,,18,17
46,1,5:44.0,,G. Hill enters the game for E. Bledsoe,18,17
47,1,5:44.0,D. Gallinari makes free throw 2 of 2,,19,17
48,1,5:29.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),19,19
49,1,5:12.0,I. Zubac makes 2-pt dunk from 1 ft (assist by L. Shamet),,21,19
50,1,4:58.0,,Turnover by K. Middleton (bad pass; steal by I. Zubac),21,19
51,1,4:53.0,L. Shamet misses 2-pt layup at rim (block by G. Antetokounmpo),,21,19
52,1,4:49.0,,Defensive rebound by G. Antetokounmpo,21,19
53,1,4:47.0,,K. Middleton makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),21,21
54,1,4:38.0,I. Zubac makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),,23,21
55,1,4:19.0,,K. Middleton misses 3-pt jump shot from 26 ft,23,21
56,1,4:16.0,Defensive rebound by D. Gallinari,,23,21
57,1,4:12.0,L. Shamet misses 2-pt jump shot from 12 ft,,23,21
58,1,4:08.0,,Defensive rebound by G. Antetokounmpo,23,21
59,1,4:03.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,23,21
60,1,3:59.0,Defensive rebound by I. Zubac,,23,21
61,1,3:56.0,Turnover by S. Gilgeous-Alexander (out of bounds lost ball),,23,21
62,1,3:56.0,J. Green enters the game for D. Gallinari,,23,21
63,1,3:56.0,M. Harrell enters the game for I. Zubac,,23,21
64,1,3:56.0,,E. İlyasova enters the game for G. Antetokounmpo,23,21
65,1,3:56.0,,D. Wilson enters the game for B. Lopez,23,21
66,1,3:34.0,,K. Middleton misses 2-pt layup from 4 ft,23,21
67,1,3:34.0,Defensive rebound by Team,,23,21
68,1,3:34.0,LA Clippers full timeout,,23,21
69,1,3:11.0,M. Harrell misses 2-pt hook shot from 7 ft,,23,21
70,1,3:07.0,Offensive rebound by J. Green,,23,21
71,1,3:07.0,J. Green misses 2-pt layup from 1 ft,,23,21
72,1,3:06.0,Offensive rebound by S. Gilgeous-Alexander,,23,21
73,1,2:59.0,M. Harrell makes 2-pt jump shot from 19 ft (assist by L. Shamet),,25,21
74,1,2:37.0,,D. Wilson makes 3-pt jump shot from 28 ft,25,24
75,1,2:20.0,Personal foul by E. İlyasova (drawn by M. Harrell),,25,24
76,1,2:20.0,W. Chandler enters the game for L. Shamet,,25,24
77,1,2:20.0,J. Robinson enters the game for G. Temple,,25,24
78,1,2:06.0,J. Green misses 2-pt hook shot from 5 ft,,25,24
79,1,2:04.0,,Defensive rebound by K. Middleton,25,24
80,1,1:54.0,,K. Middleton makes 2-pt jump shot from 21 ft,25,26
81,1,1:30.0,M. Harrell misses 2-pt hook shot from 6 ft,,25,26
82,1,1:29.0,,Defensive rebound by Team,25,26
83,1,1:29.0,T. Wallace enters the game for S. Gilgeous-Alexander,,25,26
84,1,1:29.0,,G. Antetokounmpo enters the game for P. Connaughton,25,26
85,1,1:29.0,,E. Bledsoe enters the game for K. Middleton,25,26
86,1,1:16.0,,D. Wilson misses 3-pt jump shot from 29 ft,25,26
87,1,1:12.0,Defensive rebound by T. Wallace,,25,26
88,1,1:09.0,J. Green misses 2-pt jump shot from 19 ft,,25,26
89,1,1:06.0,,Defensive rebound by G. Antetokounmpo,25,26
90,1,1:02.0,,Shooting foul by W. Chandler (drawn by G. Antetokounmpo),25,26
91,1,1:02.0,,G. Antetokounmpo makes free throw 1 of 2,25,27
92,1,1:02.0,,G. Antetokounmpo makes free throw 2 of 2,25,28
93,1,0:50.0,Turnover by M. Harrell (lost ball; steal by G. Hill),,25,28
94,1,0:39.0,,G. Hill misses 3-pt jump shot from 27 ft,25,28
95,1,0:36.0,Defensive rebound by J. Green,,25,28
96,1,0:25.0,W. Chandler misses 3-pt jump shot from 26 ft,,25,28
97,1,0:21.0,,Defensive rebound by G. Hill,25,28
98,1,0:00.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,25,28
99,1,0:00.0,,Offensive rebound by Team,25,28
100,2,11:46.0,Shooting foul by E. İlyasova (drawn by M. Harrell),,25,28
101,2,11:46.0,M. Harrell misses free throw 1 of 2,,25,28
102,2,11:46.0,Offensive rebound by Team,,25,28
103,2,11:46.0,M. Harrell misses free throw 2 of 2,,25,28
104,2,11:43.0,,Defensive rebound by G. Antetokounmpo,25,28
105,2,11:25.0,,E. İlyasova misses 3-pt jump shot from 26 ft,25,28
106,2,11:21.0,Defensive rebound by M. Harrell,,25,28
107,2,11:09.0,W. Chandler misses 2-pt jump shot from 14 ft,,25,28
108,2,11:05.0,,Defensive rebound by E. Bledsoe,25,28
109,2,11:00.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),25,30
110,2,11:00.0,,Shooting foul by W. Chandler (drawn by G. Antetokounmpo),25,30
111,2,11:00.0,,S. Brown enters the game for G. Hill,25,30
112,2,11:00.0,,P. Connaughton enters the game for D. Wilson,25,30
113,2,11:00.0,,G. Antetokounmpo makes free throw 1 of 1,25,31
114,2,10:42.0,T. Wallace makes 2-pt jump shot from 8 ft,,27,31
115,2,10:31.0,,S. Brown makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),27,34
116,2,10:12.0,Turnover by M. Harrell (bad pass),,27,34
117,2,10:06.0,,Personal foul by J. Robinson (drawn by E. Bledsoe),27,34
118,2,9:57.0,,E. Bledsoe makes 3-pt jump shot from 27 ft,27,37
119,2,9:52.0,LA Clippers full timeout,,27,37
120,2,9:52.0,,B. Lopez enters the game for E. İlyasova,27,37
121,2,9:32.0,J. Green misses 3-pt jump shot from 27 ft,,27,37
122,2,9:30.0,,Defensive rebound by P. Connaughton,27,37
123,2,9:25.0,,Turnover by E. Bledsoe (lost ball; steal by T. Wallace),27,37
124,2,9:20.0,M. Harrell makes 2-pt layup from 1 ft (assist by T. Wallace),,29,37
125,2,9:02.0,,S. Brown misses 3-pt jump shot from 26 ft,29,37
126,2,8:59.0,Defensive rebound by M. Harrell,,29,37
127,2,8:50.0,J. Robinson makes 3-pt jump shot from 28 ft (assist by M. Harrell),,32,37
128,2,8:34.0,,Shooting foul by T. Wallace (drawn by G. Antetokounmpo),32,37
129,2,8:34.0,,G. Antetokounmpo makes free throw 1 of 2,32,38
130,2,8:34.0,G. Temple enters the game for W. Chandler,,32,38
131,2,8:34.0,,G. Antetokounmpo makes free throw 2 of 2,32,39
132,2,8:25.0,T. Wallace misses 2-pt jump shot from 13 ft,,32,39
133,2,8:22.0,,Defensive rebound by B. Lopez,32,39
134,2,8:13.0,,Personal foul by J. Green (drawn by G. Antetokounmpo),32,39
135,2,8:07.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,32,39
136,2,8:03.0,Defensive rebound by J. Robinson,,32,39
137,2,7:52.0,J. Green misses 3-pt jump shot from 27 ft,,32,39
138,2,7:49.0,,Defensive rebound by E. Bledsoe,32,39
139,2,7:49.0,D. Gallinari enters the game for J. Green,,32,39
140,2,7:49.0,S. Gilgeous-Alexander enters the game for T. Wallace,,32,39
141,2,7:49.0,,G. Hill enters the game for G. Antetokounmpo,32,39
142,2,7:49.0,,E. İlyasova enters the game for E. Bledsoe,32,39
143,2,7:36.0,,S. Brown makes 3-pt jump shot from 25 ft (assist by G. Hill),32,42
144,2,7:21.0,M. Harrell makes 2-pt layup from 1 ft (assist by D. Gallinari),,34,42
145,2,7:12.0,,Shooting foul by M. Harrell (drawn by B. Lopez),34,42
146,2,7:12.0,,B. Lopez makes free throw 1 of 2,34,43
147,2,7:12.0,L. Shamet enters the game for J. Robinson,,34,43
148,2,7:12.0,,B. Lopez misses free throw 2 of 2,34,43
149,2,7:10.0,Defensive rebound by G. Temple,,34,43
150,2,7:02.0,Personal foul by S. Brown (drawn by D. Gallinari),,34,43
151,2,6:50.0,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,,34,43
152,2,6:44.0,Offensive rebound by M. Harrell,,34,43
153,2,6:44.0,M. Harrell makes 2-pt layup from 1 ft,,36,43
154,2,6:36.0,,G. Hill makes 2-pt layup from 2 ft (assist by B. Lopez),36,45
155,2,6:23.0,D. Gallinari misses 3-pt jump shot from 28 ft,,36,45
156,2,6:21.0,,Defensive rebound by P. Connaughton,36,45
157,2,6:11.0,,Personal foul by L. Shamet (drawn by E. İlyasova),36,45
158,2,6:11.0,,E. İlyasova makes free throw 1 of 2,36,46
159,2,6:11.0,,K. Middleton enters the game for S. Brown,36,46
160,2,6:11.0,,E. İlyasova makes free throw 2 of 2,36,47
161,2,6:05.0,Personal foul by E. İlyasova (drawn by M. Harrell),,36,47
162,2,5:57.0,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,,36,47
163,2,5:54.0,,Defensive rebound by G. Hill,36,47
164,2,5:41.0,,E. İlyasova misses 2-pt jump shot from 5 ft,36,47
165,2,5:38.0,Defensive rebound by S. Gilgeous-Alexander,,36,47
166,2,5:35.0,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,,36,47
167,2,5:31.0,,Defensive rebound by P. Connaughton,36,47
168,2,5:24.0,,P. Connaughton makes 2-pt layup from 2 ft (assist by K. Middleton),36,49
169,2,5:01.0,M. Harrell misses 2-pt hook shot from 5 ft,,36,49
170,2,4:58.0,,Defensive rebound by K. Middleton,36,49
171,2,4:53.0,,K. Middleton makes 2-pt jump shot from 13 ft,36,51
172,2,4:52.0,LA Clippers full timeout,,36,51
173,2,4:52.0,I. Zubac enters the game for M. Harrell,,36,51
174,2,4:52.0,,G. Antetokounmpo enters the game for E. İlyasova,36,51
175,2,4:42.0,Personal foul by K. Middleton (drawn by D. Gallinari),,36,51
176,2,4:29.0,I. Zubac misses 2-pt dunk from 2 ft (block by B. Lopez),,36,51
177,2,4:24.0,,Defensive rebound by P. Connaughton,36,51
178,2,4:20.0,,G. Hill misses 2-pt layup from 2 ft,36,51
179,2,4:17.0,Defensive rebound by D. Gallinari,,36,51
180,2,4:12.0,D. Gallinari misses 2-pt jump shot from 14 ft,,36,51
181,2,4:09.0,,Defensive rebound by B. Lopez,36,51
182,2,3:53.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),36,53
183,2,3:53.0,,Shooting foul by I. Zubac (drawn by G. Antetokounmpo),36,53
184,2,3:53.0,,E. Bledsoe enters the game for P. Connaughton,36,53
185,2,3:53.0,,G. Antetokounmpo makes free throw 1 of 1,36,54
186,2,3:46.0,Personal foul by G. Antetokounmpo (drawn by S. Gilgeous-Alexander),,36,54
187,2,3:46.0,S. Gilgeous-Alexander misses free throw 1 of 2,,36,54
188,2,3:46.0,Offensive rebound by Team,,36,54
189,2,3:46.0,S. Gilgeous-Alexander makes free throw 2 of 2,,37,54
190,2,3:23.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,37,54
191,2,3:20.0,Defensive rebound by I. Zubac,,37,54
192,2,3:18.0,Turnover by L. Shamet (bad pass; steal by K. Middleton),,37,54
193,2,3:10.0,,K. Middleton makes 2-pt layup from 1 ft (assist by E. Bledsoe),37,56
194,2,2:57.0,L. Shamet misses 2-pt layup from 1 ft,,37,56
195,2,2:54.0,,Defensive rebound by B. Lopez,37,56
196,2,2:53.0,,Personal foul by G. Temple (drawn by G. Antetokounmpo),37,56
197,2,2:53.0,,G. Antetokounmpo makes free throw 1 of 2,37,57
198,2,2:53.0,J. Green enters the game for I. Zubac,,37,57
199,2,2:53.0,,S. Brown enters the game for B. Lopez,37,57
200,2,2:53.0,,G. Antetokounmpo makes free throw 2 of 2,37,58
201,2,2:40.0,J. Green makes 2-pt layup from 1 ft (assist by D. Gallinari),,39,58
202,2,2:22.0,,G. Antetokounmpo misses 2-pt hook shot from 8 ft,39,58
203,2,2:19.0,Defensive rebound by D. Gallinari,,39,58
204,2,2:14.0,D. Gallinari misses 3-pt jump shot from 26 ft,,39,58
205,2,2:11.0,,Defensive rebound by E. Bledsoe,39,58
206,2,2:11.0,,P. Connaughton enters the game for G. Hill,39,58
207,2,1:57.0,,K. Middleton makes 2-pt jump shot from 4 ft,39,60
208,2,1:38.0,J. Green makes 3-pt jump shot from 23 ft (assist by L. Shamet),,42,60
209,2,1:15.0,,S. Brown makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),42,62
210,2,1:09.0,Shooting foul by S. Brown (drawn by S. Gilgeous-Alexander),,42,62
211,2,1:09.0,S. Gilgeous-Alexander makes free throw 1 of 2,,43,62
212,2,1:09.0,S. Gilgeous-Alexander makes free throw 2 of 2,,44,62
213,2,0:53.0,,E. Bledsoe misses 2-pt layup from 1 ft (block by S. Gilgeous-Alexander),44,62
214,2,0:50.0,Defensive rebound by D. Gallinari,,44,62
215,2,0:46.0,Shooting foul by S. Brown (drawn by D. Gallinari),,44,62
216,2,0:46.0,D. Gallinari makes free throw 1 of 2,,45,62
217,2,0:46.0,D. Gallinari makes free throw 2 of 2,,46,62
218,2,0:28.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),46,65
219,2,0:07.0,G. Temple misses 3-pt jump shot from 24 ft,,46,65
220,2,0:04.0,,Defensive rebound by P. Connaughton,46,65
221,2,0:01.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,46,67
222,3,11:42.0,D. Gallinari misses 2-pt jump shot from 18 ft,,46,67
223,3,11:39.0,,Defensive rebound by G. Antetokounmpo,46,67
224,3,11:34.0,,Turnover by E. Bledsoe (bad pass; steal by S. Gilgeous-Alexander),46,67
225,3,11:27.0,S. Gilgeous-Alexander makes 2-pt jump shot from 8 ft,,48,67
226,3,11:17.0,,B. Lopez misses 3-pt jump shot from 28 ft,48,67
227,3,11:17.0,Defensive rebound by S. Gilgeous-Alexander,,48,67
228,3,11:12.0,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft (assist by D. Gallinari),,50,67
229,3,10:52.0,,B. Lopez misses 2-pt layup from 3 ft,50,67
230,3,10:49.0,Defensive rebound by D. Gallinari,,50,67
231,3,10:48.0,Shooting foul by B. Lopez (drawn by D. Gallinari),,50,67
232,3,10:48.0,D. Gallinari makes free throw 1 of 2,,51,67
233,3,10:48.0,D. Gallinari makes free throw 2 of 2,,52,67
234,3,10:27.0,,Shooting foul by I. Zubac (drawn by B. Lopez),52,67
235,3,10:27.0,,B. Lopez misses free throw 1 of 2,52,67
236,3,10:27.0,,Offensive rebound by Team,52,67
237,3,10:27.0,,B. Lopez makes free throw 2 of 2,52,68
238,3,10:12.0,I. Zubac makes 2-pt dunk from 3 ft (assist by S. Gilgeous-Alexander),,54,68
239,3,10:12.0,,Milwaukee full timeout,54,68
240,3,10:00.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by K. Middleton),54,70
241,3,9:40.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,56,70
242,3,9:28.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Lopez),56,73
243,3,9:20.0,Personal foul by K. Middleton (drawn by D. Gallinari),,56,73
244,3,9:14.0,Offensive foul by I. Zubac (drawn by K. Middleton),,56,73
245,3,9:14.0,Turnover by I. Zubac (offensive foul),,56,73
246,3,8:55.0,,S. Brown misses 2-pt layup from 1 ft (block by S. Gilgeous-Alexander),56,73
247,3,8:52.0,Defensive rebound by S. Gilgeous-Alexander,,56,73
248,3,8:49.0,S. Gilgeous-Alexander misses 2-pt jump shot from 20 ft,,56,73
249,3,8:46.0,,Defensive rebound by B. Lopez,56,73
250,3,8:27.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,56,73
251,3,8:26.0,,Offensive rebound by Team,56,73
252,3,8:26.0,,Turnover by Team (shot clock),56,73
253,3,8:05.0,D. Gallinari makes 2-pt jump shot from 12 ft,,58,73
254,3,7:53.0,,Turnover by K. Middleton (lost ball; steal by G. Temple),58,73
255,3,7:51.0,L. Shamet makes 3-pt jump shot from 26 ft,,61,73
256,3,7:51.0,Shooting foul by G. Antetokounmpo (drawn by L. Shamet),,61,73
257,3,7:51.0,,P. Connaughton enters the game for K. Middleton,61,73
258,3,7:51.0,L. Shamet makes free throw 1 of 1,,62,73
259,3,7:29.0,,S. Brown makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),62,75
260,3,7:19.0,D. Gallinari misses 3-pt jump shot from 28 ft,,62,75
261,3,7:17.0,,Defensive rebound by E. Bledsoe,62,75
262,3,7:10.0,,Shooting foul by L. Shamet (drawn by G. Antetokounmpo),62,75
263,3,7:10.0,,G. Antetokounmpo makes free throw 1 of 2,62,76
264,3,7:10.0,,K. Middleton enters the game for S. Brown,62,76
265,3,7:10.0,,G. Antetokounmpo makes free throw 2 of 2,62,77
266,3,6:51.0,D. Gallinari makes 2-pt layup from 2 ft (assist by G. Temple),,64,77
267,3,6:41.0,,P. Connaughton misses 3-pt jump shot from 26 ft,64,77
268,3,6:38.0,Defensive rebound by S. Gilgeous-Alexander,,64,77
269,3,6:31.0,G. Temple misses 3-pt jump shot from 25 ft,,64,77
270,3,6:28.0,,Defensive rebound by K. Middleton,64,77
271,3,6:20.0,,B. Lopez misses 3-pt jump shot from 27 ft,64,77
272,3,6:20.0,Defensive rebound by G. Temple,,64,77
273,3,6:14.0,G. Temple misses 2-pt layup from 2 ft,,64,77
274,3,6:12.0,Offensive rebound by I. Zubac,,64,77
275,3,6:12.0,I. Zubac makes 2-pt dunk at rim,,66,77
276,3,5:47.0,,E. Bledsoe misses 2-pt layup from 1 ft,66,77
277,3,5:45.0,Defensive rebound by D. Gallinari,,66,77
278,3,5:40.0,Turnover by D. Gallinari (bad pass; steal by E. Bledsoe),,66,77
279,3,5:34.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),66,79
280,3,5:16.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by P. Connaughton),,66,79
281,3,5:06.0,,G. Antetokounmpo misses 2-pt hook shot from 8 ft,66,79
282,3,5:03.0,Defensive rebound by I. Zubac,,66,79
283,3,4:56.0,L. Shamet makes 3-pt jump shot from 30 ft (assist by G. Temple),,69,79
284,3,4:37.0,,K. Middleton makes 2-pt jump shot from 18 ft,69,81
285,3,4:24.0,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,,69,81
286,3,4:24.0,Offensive rebound by I. Zubac,,69,81
287,3,4:22.0,I. Zubac misses 2-pt layup at rim,,69,81
288,3,4:20.0,,Defensive rebound by G. Antetokounmpo,69,81
289,3,4:18.0,,Shooting foul by L. Shamet (drawn by E. Bledsoe),69,81
290,3,4:18.0,,E. Bledsoe makes free throw 1 of 2,69,82
291,3,4:18.0,M. Harrell enters the game for I. Zubac,,69,82
292,3,4:18.0,,G. Hill enters the game for G. Antetokounmpo,69,82
293,3,4:18.0,,E. İlyasova enters the game for P. Connaughton,69,82
294,3,4:18.0,,D. Wilson enters the game for B. Lopez,69,82
295,3,4:18.0,,E. Bledsoe makes free throw 2 of 2,69,83
296,3,4:10.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,71,83
297,3,3:59.0,,E. Bledsoe misses 2-pt layup from 3 ft,71,83
298,3,3:54.0,,Offensive rebound by E. Bledsoe,71,83
299,3,3:54.0,,E. Bledsoe makes 2-pt layup from 1 ft,71,85
300,3,3:44.0,L. Shamet misses 3-pt jump shot from 27 ft,,71,85
301,3,3:41.0,,Defensive rebound by D. Wilson,71,85
302,3,3:39.0,,Turnover by E. Bledsoe (lost ball; steal by D. Gallinari),71,85
303,3,3:37.0,Personal foul by E. Bledsoe (drawn by D. Gallinari),,71,85
304,3,3:37.0,J. Green enters the game for D. Gallinari,,71,85
305,3,3:37.0,,P. Connaughton enters the game for E. Bledsoe,71,85
306,3,3:13.0,J. Green misses 3-pt jump shot from 28 ft,,71,85
307,3,3:09.0,Offensive rebound by G. Temple,,71,85
308,3,2:58.0,J. Green misses 2-pt layup from 2 ft,,71,85
309,3,2:55.0,,Defensive rebound by K. Middleton,71,85
310,3,2:51.0,,P. Connaughton makes 3-pt jump shot from 30 ft (assist by K. Middleton),71,88
311,3,2:49.0,LA Clippers full timeout,,71,88
312,3,2:35.0,Turnover by M. Harrell (out of bounds lost ball),,71,88
313,3,2:35.0,J. Robinson enters the game for G. Temple,,71,88
314,3,2:18.0,,K. Middleton makes 2-pt jump shot from 13 ft,71,90
315,3,2:03.0,J. Green makes 3-pt jump shot from 26 ft (assist by M. Harrell),,74,90
316,3,1:50.0,,K. Middleton makes 2-pt jump shot from 11 ft,74,92
317,3,1:43.0,J. Robinson misses 3-pt jump shot from 26 ft,,74,92
318,3,1:40.0,,Defensive rebound by E. İlyasova,74,92
319,3,1:36.0,,K. Middleton misses 3-pt jump shot from 26 ft,74,92
320,3,1:32.0,Defensive rebound by J. Green,,74,92
321,3,1:26.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,76,92
322,3,1:26.0,Shooting foul by G. Hill (drawn by S. Gilgeous-Alexander),,76,92
323,3,1:26.0,G. Temple enters the game for L. Shamet,,76,92
324,3,1:26.0,S. Gilgeous-Alexander makes free throw 1 of 1,,77,92
325,3,1:19.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by E. İlyasova),77,95
326,3,1:19.0,,Shooting foul by G. Temple (drawn by K. Middleton),77,95
327,3,1:19.0,,G. Antetokounmpo enters the game for E. İlyasova,77,95
328,3,1:19.0,,K. Middleton makes free throw 1 of 1,77,96
329,3,0:59.0,J. Robinson misses 3-pt jump shot from 27 ft,,77,96
330,3,0:55.0,,Defensive rebound by G. Antetokounmpo,77,96
331,3,0:50.0,,Shooting foul by J. Green (drawn by G. Antetokounmpo),77,96
332,3,0:50.0,,G. Antetokounmpo misses free throw 1 of 2,77,96
333,3,0:50.0,,Offensive rebound by Team,77,96
334,3,0:50.0,W. Chandler enters the game for S. Gilgeous-Alexander,,77,96
335,3,0:50.0,,E. İlyasova enters the game for K. Middleton,77,96
336,3,0:50.0,,G. Antetokounmpo makes free throw 2 of 2,77,97
337,3,0:34.0,M. Harrell misses 2-pt layup from 2 ft (block by E. İlyasova),,77,97
338,3,0:34.0,,Defensive rebound by D. Wilson,77,97
339,3,0:23.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by G. Hill),77,100
340,3,0:04.0,M. Harrell misses 2-pt jump shot from 17 ft,,77,100
341,3,0:00.0,,Defensive rebound by D. Wilson,77,100
342,4,11:38.0,,S. Brown makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),77,103
343,4,11:22.0,J. Green misses 3-pt jump shot from 27 ft,,77,103
344,4,11:20.0,,Defensive rebound by E. İlyasova,77,103
345,4,11:13.0,,D. Wilson misses 3-pt jump shot from 24 ft,77,103
346,4,11:07.0,Defensive rebound by J. Robinson,,77,103
347,4,11:06.0,J. Robinson makes 2-pt jump shot from 13 ft,,79,103
348,4,11:06.0,Shooting foul by S. Brown (drawn by J. Robinson),,79,103
349,4,11:06.0,J. Robinson makes free throw 1 of 1,,80,103
350,4,10:46.0,,D. Wilson misses 2-pt hook shot from 4 ft,80,103
351,4,10:42.0,Defensive rebound by M. Harrell,,80,103
352,4,10:35.0,Turnover by G. Temple (bad pass; steal by G. Antetokounmpo),,80,103
353,4,10:30.0,,G. Antetokounmpo misses 2-pt dunk from 2 ft,80,103
354,4,10:26.0,Defensive rebound by G. Temple,,80,103
355,4,10:23.0,M. Harrell makes 2-pt layup from 3 ft,,82,103
356,4,10:06.0,,Turnover by E. İlyasova (bad pass; steal by J. Robinson),82,103
357,4,10:01.0,Turnover by J. Robinson (bad pass),,82,103
358,4,9:43.0,,G. Hill misses 3-pt jump shot from 26 ft,82,103
359,4,9:41.0,Defensive rebound by W. Chandler,,82,103
360,4,9:37.0,W. Chandler makes 3-pt jump shot from 27 ft,,85,103
361,4,9:27.0,,Shooting foul by J. Green (drawn by G. Antetokounmpo),85,103
362,4,9:27.0,,G. Antetokounmpo makes free throw 1 of 2,85,104
363,4,9:27.0,,E. Bledsoe enters the game for G. Hill,85,104
364,4,9:27.0,,P. Connaughton enters the game for E. İlyasova,85,104
