,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW YORK_ACTION,PHOENIX_SCORE,NEW YORK_SCORE
40,1,7:53.0,,E. Mudiay makes 2-pt jump shot from 20 ft,12,7
41,1,7:40.0,T. Warren makes 2-pt jump shot from 14 ft,,14,7
42,1,7:27.0,,E. Mudiay makes 2-pt jump shot from 11 ft,14,9
43,1,7:12.0,T. Warren misses 2-pt layup from 2 ft,,14,9
44,1,7:10.0,,Defensive rebound by E. Mudiay,14,9
45,1,7:05.0,,K. Knox misses 3-pt jump shot from 26 ft,14,9
46,1,7:04.0,,Offensive rebound by Team,14,9
47,1,7:01.0,,K. Knox misses 2-pt dunk from 1 ft (block by T. Warren),14,9
48,1,6:59.0,Defensive rebound by D. Booker,,14,9
49,1,6:55.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Melton),,16,9
50,1,6:40.0,,E. Mudiay makes 2-pt jump shot from 11 ft,16,11
51,1,6:21.0,M. Bridges misses 3-pt jump shot from 23 ft,,16,11
52,1,6:19.0,,Defensive rebound by E. Freedom,16,11
53,1,6:14.0,,C. Lee misses 3-pt jump shot from 24 ft,16,11
54,1,6:12.0,,Offensive rebound by E. Freedom,16,11
55,1,6:12.0,,Personal foul by D. Ayton (drawn by E. Freedom),16,11
56,1,6:12.0,,New York full timeout,16,11
57,1,6:12.0,R. Holmes enters the game for D. Ayton,,16,11
58,1,6:12.0,,F. Ntilikina enters the game for C. Lee,16,11
59,1,6:04.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by E. Freedom),16,14
60,1,5:39.0,T. Warren misses 3-pt jump shot from 24 ft,,16,14
61,1,5:38.0,,Defensive rebound by E. Freedom,16,14
62,1,5:31.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),16,16
63,1,5:19.0,T. Warren misses 2-pt jump shot from 3 ft,,16,16
64,1,5:17.0,,Defensive rebound by L. Thomas,16,16
65,1,5:10.0,,E. Mudiay misses 2-pt hook shot from 3 ft,16,16
66,1,5:08.0,Defensive rebound by M. Bridges,,16,16
67,1,4:55.0,Shooting foul by E. Mudiay (drawn by D. Booker),,16,16
68,1,4:55.0,D. Booker makes free throw 1 of 2,,17,16
69,1,4:55.0,J. Jackson enters the game for M. Bridges,,17,16
70,1,4:55.0,,T. Burke enters the game for E. Mudiay,17,16
71,1,4:55.0,D. Booker makes free throw 2 of 2,,18,16
72,1,4:41.0,,F. Ntilikina misses 2-pt hook shot from 4 ft,18,16
73,1,4:39.0,,Offensive rebound by F. Ntilikina,18,16
74,1,4:39.0,,Personal foul by D. Booker (drawn by K. Knox),18,16
75,1,4:28.0,,E. Freedom makes 2-pt layup from 1 ft,18,18
76,1,4:16.0,Turnover by D. Melton (bad pass),,18,18
77,1,4:06.0,,K. Knox misses 2-pt jump shot from 17 ft,18,18
78,1,4:05.0,,Offensive rebound by Team,18,18
79,1,4:05.0,Loose ball foul by R. Holmes (drawn by E. Freedom),,18,18
80,1,4:05.0,,E. Freedom makes free throw 1 of 2,18,19
81,1,4:05.0,,E. Freedom makes free throw 2 of 2,18,20
82,1,3:50.0,D. Booker makes 3-pt jump shot from 26 ft,,21,20
83,1,3:23.0,,F. Ntilikina makes 2-pt hook shot from 7 ft,21,22
84,1,3:09.0,D. Booker makes 2-pt jump shot from 4 ft,,23,22
85,1,2:56.0,,K. Knox misses 2-pt layup from 2 ft (block by R. Holmes),23,22
86,1,2:54.0,Defensive rebound by D. Melton,,23,22
87,1,2:50.0,D. Booker misses 3-pt jump shot from 26 ft,,23,22
88,1,2:48.0,,Defensive rebound by T. Burke,23,22
89,1,2:45.0,,T. Burke misses 2-pt jump shot from 13 ft,23,22
90,1,2:43.0,,Offensive rebound by K. Knox,23,22
91,1,2:41.0,,K. Knox misses 2-pt layup from 1 ft,23,22
92,1,2:39.0,,Offensive rebound by K. Knox,23,22
93,1,2:39.0,,K. Knox makes 2-pt layup from 1 ft,23,24
94,1,2:39.0,Phoenix full timeout,,23,24
95,1,2:39.0,J. Evans enters the game for D. Melton,,23,24
96,1,2:23.0,R. Holmes misses 2-pt layup from 3 ft,,23,24
97,1,2:21.0,,Defensive rebound by L. Thomas,23,24
98,1,2:09.0,Violation by Team (kicked ball),,23,24
99,1,2:00.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by T. Burke),23,27
100,1,1:44.0,J. Jackson makes 2-pt jump shot from 11 ft,,25,27
101,1,1:30.0,,E. Freedom misses 2-pt layup from 2 ft (block by R. Holmes),25,27
102,1,1:28.0,,Offensive rebound by L. Thomas,25,27
103,1,1:27.0,,K. Knox misses 3-pt jump shot from 27 ft,25,27
104,1,1:26.0,,Offensive rebound by K. Knox,25,27
105,1,1:26.0,,Shooting foul by R. Holmes (drawn by K. Knox),25,27
106,1,1:26.0,,K. Knox makes free throw 1 of 2,25,28
107,1,1:26.0,J. Crawford enters the game for D. Booker,,25,28
108,1,1:26.0,,L. Kornet enters the game for E. Freedom,25,28
109,1,1:26.0,,K. Knox misses free throw 2 of 2,25,28
110,1,1:23.0,,Offensive rebound by Team,25,28
111,1,1:11.0,,K. Knox makes 2-pt jump shot from 6 ft (assist by L. Kornet),25,30
112,1,0:57.0,Turnover by T. Warren (lost ball; steal by T. Burke),,25,30
113,1,0:51.0,,L. Kornet misses 3-pt jump shot from 27 ft,25,30
114,1,0:48.0,Defensive rebound by J. Jackson,,25,30
115,1,0:42.0,J. Crawford misses 3-pt jump shot from 24 ft,,25,30
116,1,0:39.0,,Defensive rebound by T. Burke,25,30
117,1,0:32.0,,T. Burke makes 2-pt layup from 2 ft,25,32
118,1,0:16.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by J. Evans),,28,32
119,1,0:00.0,,T. Burke misses 2-pt jump shot from 16 ft,28,32
120,1,0:00.0,Defensive rebound by J. Jackson,,28,32
121,2,11:40.0,,M. Hezonja misses 2-pt jump shot from 8 ft,28,32
122,2,11:38.0,Defensive rebound by J. Jackson,,28,32
123,2,11:31.0,J. Jackson misses 2-pt jump shot from 7 ft,,28,32
124,2,11:29.0,,Defensive rebound by L. Thomas,28,32
125,2,11:29.0,,Turnover by L. Thomas (traveling),28,32
126,2,11:21.0,R. Holmes makes 2-pt layup from 1 ft (assist by J. Crawford),,30,32
127,2,11:07.0,,Shooting foul by R. Holmes (drawn by L. Kornet),30,32
128,2,11:07.0,,L. Kornet misses free throw 1 of 2,30,32
129,2,11:07.0,,Offensive rebound by Team,30,32
130,2,11:07.0,D. Ayton enters the game for R. Holmes,,30,32
131,2,11:07.0,,L. Kornet makes free throw 2 of 2,30,33
132,2,10:47.0,D. Ayton misses 2-pt jump shot from 9 ft,,30,33
133,2,10:45.0,,Defensive rebound by L. Kornet,30,33
134,2,10:28.0,,Turnover by L. Kornet (bad pass; steal by M. Bridges),30,33
135,2,10:23.0,D. Ayton makes 2-pt dunk from 1 ft (assist by J. Jackson),,32,33
136,2,10:12.0,,L. Kornet makes 3-pt jump shot from 28 ft (assist by F. Ntilikina),32,36
137,2,9:56.0,M. Bridges misses 3-pt jump shot from 26 ft,,32,36
138,2,9:54.0,,Defensive rebound by M. Hezonja,32,36
139,2,9:42.0,,M. Hezonja misses 3-pt jump shot from 26 ft,32,36
140,2,9:40.0,Defensive rebound by J. Jackson,,32,36
141,2,9:31.0,J. Jackson makes 2-pt jump shot from 2 ft,,34,36
142,2,9:24.0,,New York full timeout,34,36
143,2,9:24.0,,E. Mudiay enters the game for L. Kornet,34,36
144,2,9:24.0,,N. Vonleh enters the game for F. Ntilikina,34,36
145,2,9:11.0,,T. Burke misses 2-pt jump shot from 19 ft,34,36
146,2,9:09.0,,Offensive rebound by N. Vonleh,34,36
147,2,8:57.0,,M. Hezonja misses 2-pt dunk from 2 ft,34,36
148,2,8:55.0,,Offensive rebound by M. Hezonja,34,36
149,2,8:54.0,,M. Hezonja makes 2-pt layup from 2 ft,34,38
150,2,8:37.0,D. Ayton misses 2-pt layup from 2 ft,,34,38
151,2,8:35.0,,Defensive rebound by L. Thomas,34,38
152,2,8:35.0,,Personal foul by T. Daniels (drawn by N. Vonleh),34,38
153,2,8:20.0,,N. Vonleh misses 2-pt layup from 1 ft,34,38
154,2,8:19.0,Defensive rebound by D. Ayton,,34,38
155,2,8:19.0,Personal foul by L. Thomas (drawn by D. Ayton),,34,38
156,2,8:19.0,,K. Knox enters the game for M. Hezonja,34,38
157,2,8:09.0,T. Daniels misses 3-pt jump shot from 26 ft,,34,38
158,2,8:07.0,,Defensive rebound by E. Mudiay,34,38
159,2,7:58.0,,E. Mudiay misses 3-pt jump shot from 26 ft,34,38
160,2,7:56.0,Defensive rebound by M. Bridges,,34,38
161,2,7:45.0,Turnover by J. Crawford (bad pass; steal by N. Vonleh),,34,38
162,2,7:39.0,,N. Vonleh makes 2-pt layup at rim (assist by E. Mudiay),34,40
163,2,7:39.0,Phoenix full timeout,,34,40
164,2,7:39.0,D. Booker enters the game for J. Jackson,,34,40
165,2,7:39.0,,C. Lee enters the game for L. Thomas,34,40
166,2,7:21.0,T. Daniels misses 2-pt jump shot from 16 ft,,34,40
167,2,7:19.0,,Defensive rebound by N. Vonleh,34,40
168,2,7:13.0,,E. Mudiay misses 2-pt layup from 3 ft,34,40
169,2,7:11.0,Defensive rebound by D. Ayton,,34,40
170,2,7:02.0,D. Booker misses 3-pt jump shot from 26 ft,,34,40
171,2,7:00.0,,Defensive rebound by E. Mudiay,34,40
172,2,6:58.0,,Shooting foul by D. Booker (drawn by E. Mudiay),34,40
173,2,6:58.0,,E. Mudiay makes free throw 1 of 2,34,41
174,2,6:58.0,T. Warren enters the game for T. Daniels,,34,41
175,2,6:58.0,,E. Freedom enters the game for T. Burke,34,41
176,2,6:58.0,,E. Mudiay makes free throw 2 of 2,34,42
177,2,6:44.0,J. Crawford misses 2-pt jump shot from 22 ft,,34,42
178,2,6:42.0,,Defensive rebound by N. Vonleh,34,42
179,2,6:35.0,,Offensive foul by N. Vonleh (drawn by D. Booker),34,42
180,2,6:35.0,,Turnover by N. Vonleh (offensive foul),34,42
181,2,6:35.0,,F. Ntilikina enters the game for N. Vonleh,34,42
182,2,6:19.0,J. Crawford makes 2-pt jump shot from 16 ft,,36,42
183,2,6:03.0,,C. Lee misses 2-pt jump shot from 14 ft,36,42
184,2,6:01.0,,Offensive rebound by E. Freedom,36,42
185,2,5:59.0,,E. Freedom makes 2-pt hook shot from 10 ft,36,44
186,2,5:44.0,Shooting foul by F. Ntilikina (drawn by D. Ayton),,36,44
187,2,5:44.0,D. Ayton makes free throw 1 of 2,,37,44
188,2,5:44.0,D. Ayton makes free throw 2 of 2,,38,44
189,2,5:20.0,,E. Mudiay makes 3-pt jump shot from 25 ft,38,47
190,2,5:02.0,D. Booker misses 2-pt layup from 1 ft,,38,47
191,2,5:00.0,Offensive rebound by D. Ayton,,38,47
192,2,4:59.0,Personal foul by K. Knox (drawn by D. Ayton),,38,47
193,2,4:53.0,M. Bridges makes 2-pt dunk from 1 ft (assist by J. Crawford),,40,47
194,2,4:38.0,,K. Knox misses 3-pt jump shot from 26 ft,40,47
195,2,4:36.0,Defensive rebound by J. Crawford,,40,47
196,2,4:33.0,M. Bridges makes 2-pt layup from 3 ft (assist by J. Crawford),,42,47
197,2,4:33.0,,Violation by Team (def goaltending),42,47
198,2,4:14.0,,Turnover by E. Mudiay (bad pass; steal by T. Warren),42,47
199,2,4:06.0,M. Bridges makes 2-pt layup at rim,,44,47
200,2,4:06.0,,New York full timeout,44,47
201,2,3:47.0,,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by E. Mudiay),44,50
202,2,3:33.0,Shooting foul by E. Mudiay (drawn by D. Ayton),,44,50
203,2,3:33.0,D. Ayton makes free throw 1 of 2,,45,50
204,2,3:33.0,D. Ayton makes free throw 2 of 2,,46,50
205,2,3:25.0,,F. Ntilikina makes 3-pt jump shot from 26 ft,46,53
206,2,3:11.0,D. Booker makes 2-pt layup from 1 ft (assist by J. Crawford),,48,53
207,2,3:00.0,,E. Mudiay makes 2-pt layup from 2 ft,48,55
208,2,2:49.0,Turnover by J. Crawford (bad pass),,48,55
209,2,2:49.0,J. Jackson enters the game for J. Crawford,,48,55
210,2,2:42.0,,F. Ntilikina misses 3-pt jump shot from 26 ft,48,55
211,2,2:40.0,Defensive rebound by D. Ayton,,48,55
212,2,2:34.0,D. Booker makes 3-pt jump shot from 26 ft,,51,55
213,2,2:21.0,,C. Lee makes 2-pt layup from 1 ft (assist by E. Freedom),51,57
214,2,2:14.0,Shooting foul by C. Lee (drawn by D. Booker),,51,57
215,2,2:14.0,D. Booker makes free throw 1 of 3,,52,57
216,2,2:14.0,D. Booker makes free throw 2 of 3,,53,57
217,2,2:14.0,D. Booker makes free throw 3 of 3,,54,57
218,2,1:52.0,,F. Ntilikina misses 3-pt jump shot from 23 ft,54,57
219,2,1:50.0,Defensive rebound by D. Ayton,,54,57
220,2,1:40.0,M. Bridges misses 3-pt jump shot from 24 ft,,54,57
221,2,1:38.0,,Defensive rebound by C. Lee,54,57
222,2,1:33.0,,E. Mudiay misses 3-pt jump shot from 25 ft,54,57
223,2,1:31.0,,Offensive rebound by E. Freedom,54,57
224,2,1:29.0,,E. Mudiay makes 2-pt layup at rim (assist by E. Freedom),54,59
225,2,1:29.0,,Shooting foul by J. Jackson (drawn by E. Mudiay),54,59
226,2,1:29.0,,E. Mudiay misses free throw 1 of 1,54,59
227,2,1:27.0,Defensive rebound by M. Bridges,,54,59
228,2,1:14.0,T. Warren misses 3-pt jump shot from 26 ft,,54,59
229,2,1:12.0,,Defensive rebound by E. Freedom,54,59
230,2,1:04.0,,C. Lee makes 2-pt layup from 1 ft (assist by E. Mudiay),54,61
231,2,0:49.0,D. Ayton makes 2-pt layup from 1 ft (assist by J. Jackson),,56,61
232,2,0:49.0,Shooting foul by E. Freedom (drawn by D. Ayton),,56,61
233,2,0:49.0,D. Ayton makes free throw 1 of 1,,57,61
234,2,0:41.0,,E. Mudiay makes 3-pt jump shot from 25 ft,57,64
235,2,0:37.0,Shooting foul by K. Knox (drawn by J. Jackson),,57,64
236,2,0:37.0,J. Jackson misses free throw 1 of 2,,57,64
237,2,0:37.0,Offensive rebound by Team,,57,64
238,2,0:37.0,J. Jackson misses free throw 2 of 2,,57,64
239,2,0:36.0,,Defensive rebound by F. Ntilikina,57,64
240,2,0:30.0,,E. Mudiay misses 3-pt jump shot from 25 ft,57,64
241,2,0:29.0,Defensive rebound by Team,,57,64
242,2,0:14.0,Shooting foul by E. Freedom (drawn by D. Booker),,57,64
243,2,0:14.0,D. Booker makes free throw 1 of 2,,58,64
244,2,0:14.0,D. Booker makes free throw 2 of 2,,59,64
245,2,0:01.0,,Shooting foul by J. Jackson (drawn by E. Freedom),59,64
246,2,0:01.0,,E. Freedom makes free throw 1 of 2,59,65
247,2,0:01.0,,L. Thomas enters the game for K. Knox,59,65
248,2,0:01.0,,E. Freedom makes free throw 2 of 2,59,66
249,2,0:00.0,D. Booker misses 3-pt jump shot from 48 ft,,59,66
250,2,0:00.0,Offensive rebound by Team,,59,66
251,3,11:40.0,,Turnover by E. Freedom (bad pass; steal by D. Melton),59,66
252,3,11:36.0,Shooting foul by K. Knox (drawn by M. Bridges),,59,66
253,3,11:36.0,M. Bridges misses free throw 1 of 2,,59,66
254,3,11:36.0,Offensive rebound by Team,,59,66
255,3,11:36.0,M. Bridges makes free throw 2 of 2,,60,66
256,3,11:23.0,,K. Knox makes 2-pt jump shot from 6 ft,60,68
257,3,11:09.0,T. Warren makes 3-pt jump shot from 23 ft (assist by M. Bridges),,63,68
258,3,10:50.0,,E. Mudiay misses 2-pt jump shot from 12 ft,63,68
259,3,10:48.0,,Offensive rebound by N. Vonleh,63,68
260,3,10:36.0,,N. Vonleh misses 2-pt jump shot from 13 ft,63,68
261,3,10:34.0,Defensive rebound by D. Ayton,,63,68
262,3,10:25.0,D. Booker misses 2-pt layup from 1 ft,,63,68
263,3,10:23.0,Offensive rebound by D. Ayton,,63,68
264,3,10:20.0,D. Ayton makes 2-pt layup from 1 ft,,65,68
265,3,9:59.0,,C. Lee makes 3-pt jump shot from 23 ft (assist by E. Mudiay),65,71
266,3,9:31.0,D. Ayton makes 2-pt jump shot from 16 ft,,67,71
267,3,9:20.0,,N. Vonleh misses 3-pt jump shot from 24 ft,67,71
268,3,9:18.0,Defensive rebound by T. Warren,,67,71
269,3,9:10.0,T. Warren makes 2-pt jump shot from 3 ft,,69,71
270,3,8:56.0,,E. Freedom misses 3-pt jump shot from 26 ft,69,71
271,3,8:54.0,Defensive rebound by D. Booker,,69,71
272,3,8:52.0,Turnover by D. Ayton (lost ball; steal by E. Freedom),,69,71
273,3,8:34.0,,C. Lee makes 2-pt jump shot from 22 ft,69,73
274,3,8:15.0,D. Melton misses 2-pt jump shot from 20 ft,,69,73
275,3,8:13.0,,Defensive rebound by C. Lee,69,73
276,3,8:07.0,,Shooting foul by D. Booker (drawn by E. Freedom),69,73
277,3,8:07.0,,E. Freedom misses free throw 1 of 2,69,73
278,3,8:07.0,,Offensive rebound by Team,69,73
279,3,8:07.0,J. Jackson enters the game for D. Melton,,69,73
280,3,8:07.0,,E. Freedom makes free throw 2 of 2,69,74
281,3,7:53.0,D. Ayton misses 2-pt jump shot from 20 ft,,69,74
282,3,7:51.0,,Defensive rebound by E. Mudiay,69,74
283,3,7:50.0,,Personal foul by T. Warren (drawn by E. Mudiay),69,74
284,3,7:43.0,,Turnover by K. Knox (bad pass; steal by T. Warren),69,74
285,3,7:40.0,T. Warren makes 2-pt layup from 1 ft (assist by M. Bridges),,71,74
286,3,7:13.0,,E. Mudiay makes 2-pt jump shot from 12 ft,71,76
287,3,6:47.0,D. Booker makes 2-pt jump shot from 10 ft,,73,76
288,3,6:36.0,,K. Knox misses 3-pt jump shot from 25 ft,73,76
289,3,6:34.0,Defensive rebound by D. Ayton,,73,76
290,3,6:19.0,J. Jackson misses 2-pt hook shot from 10 ft,,73,76
291,3,6:17.0,,Defensive rebound by E. Freedom,73,76
292,3,6:11.0,,E. Mudiay misses 2-pt jump shot from 5 ft,73,76
293,3,6:09.0,,Offensive rebound by E. Mudiay,73,76
294,3,6:08.0,,Turnover by E. Mudiay (bad pass; steal by D. Booker),73,76
295,3,6:07.0,Personal foul by C. Lee (drawn by D. Booker),,73,76
296,3,6:07.0,,New York full timeout,73,76
297,3,6:07.0,J. Crawford enters the game for D. Ayton,,73,76
298,3,6:07.0,R. Holmes enters the game for M. Bridges,,73,76
299,3,5:54.0,T. Warren makes 2-pt layup from 1 ft (assist by J. Jackson),,75,76
300,3,5:42.0,,K. Knox misses 2-pt layup at rim,75,76
301,3,5:41.0,,Offensive rebound by E. Freedom,75,76
302,3,5:41.0,,E. Freedom misses 2-pt layup at rim,75,76
303,3,5:40.0,,Offensive rebound by Team,75,76
304,3,5:40.0,Loose ball foul by R. Holmes (drawn by E. Freedom),,75,76
305,3,5:40.0,Technical foul by R. Holmes,,75,76
306,3,5:40.0,,C. Lee makes technical free throw,75,77
307,3,5:33.0,,E. Mudiay misses 2-pt jump shot from 10 ft,75,77
308,3,5:31.0,Defensive rebound by T. Warren,,75,77
309,3,5:27.0,Shooting foul by K. Knox (drawn by D. Booker),,75,77
310,3,5:27.0,,F. Ntilikina enters the game for E. Freedom,75,77
311,3,5:27.0,,L. Thomas enters the game for K. Knox,75,77
312,3,5:27.0,D. Booker makes free throw 1 of 2,,76,77
313,3,5:27.0,D. Booker makes free throw 2 of 2,,77,77
314,3,5:14.0,,F. Ntilikina misses 2-pt jump shot from 13 ft,77,77
315,3,5:13.0,,Offensive rebound by N. Vonleh,77,77
316,3,5:11.0,,F. Ntilikina misses 2-pt jump shot from 15 ft,77,77
317,3,5:09.0,Defensive rebound by D. Booker,,77,77
318,3,5:00.0,J. Jackson makes 2-pt dunk from 1 ft (assist by T. Warren),,79,77
319,3,4:49.0,,E. Mudiay makes 2-pt layup at rim,79,79
320,3,4:37.0,T. Warren makes 3-pt jump shot from 28 ft,,82,79
321,3,4:20.0,,E. Mudiay makes 2-pt jump shot from 10 ft,82,81
322,3,3:54.0,R. Holmes makes 2-pt dunk from 1 ft (assist by J. Crawford),,84,81
323,3,3:42.0,,E. Mudiay misses 3-pt jump shot from 25 ft,84,81
324,3,3:40.0,Defensive rebound by R. Holmes,,84,81
325,3,3:30.0,T. Warren makes 2-pt dunk from 2 ft (assist by R. Holmes),,86,81
326,3,3:30.0,,New York full timeout,86,81
327,3,3:30.0,D. Melton enters the game for D. Booker,,86,81
328,3,3:30.0,,T. Burke enters the game for C. Lee,86,81
329,3,3:17.0,,L. Thomas misses 3-pt jump shot from 23 ft,86,81
330,3,3:15.0,Defensive rebound by Team,,86,81
331,3,3:03.0,J. Crawford makes 2-pt jump shot from 20 ft,,88,81
332,3,2:51.0,,E. Mudiay makes 2-pt jump shot from 17 ft,88,83
333,3,2:35.0,T. Warren misses 3-pt jump shot from 26 ft,,88,83
334,3,2:33.0,,Defensive rebound by N. Vonleh,88,83
335,3,2:20.0,,F. Ntilikina misses 3-pt jump shot from 24 ft,88,83
336,3,2:18.0,Defensive rebound by J. Jackson,,88,83
337,3,2:07.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by J. Crawford),,91,83
338,3,1:55.0,,T. Burke misses 2-pt jump shot from 19 ft,91,83
339,3,1:53.0,Defensive rebound by J. Jackson,,91,83
340,3,1:47.0,Personal foul by L. Thomas (drawn by R. Holmes),,91,83
341,3,1:47.0,,M. Hezonja enters the game for E. Mudiay,91,83
342,3,1:41.0,Personal foul by F. Ntilikina (drawn by J. Jackson),,91,83
343,3,1:41.0,J. Jackson makes free throw 1 of 2,,92,83
344,3,1:41.0,J. Jackson makes free throw 2 of 2,,93,83
345,3,1:22.0,,Turnover by N. Vonleh (step out of bounds),93,83
346,3,1:22.0,,L. Kornet enters the game for N. Vonleh,93,83
347,3,1:08.0,R. Holmes makes 2-pt hook shot from 7 ft (assist by J. Crawford),,95,83
348,3,0:57.0,,L. Thomas misses 3-pt jump shot from 25 ft,95,83
349,3,0:55.0,Defensive rebound by R. Holmes,,95,83
350,3,0:50.0,T. Warren makes 3-pt jump shot from 27 ft (assist by J. Crawford),,98,83
351,3,0:49.0,,New York full timeout,98,83
352,3,0:34.0,,F. Ntilikina misses 2-pt jump shot from 12 ft,98,83
353,3,0:32.0,Defensive rebound by T. Warren,,98,83
354,3,0:25.0,J. Crawford makes 2-pt jump shot from 19 ft,,100,83
355,3,0:05.0,,T. Burke misses 3-pt jump shot from 25 ft,100,83
356,3,0:03.0,Defensive rebound by J. Jackson,,100,83
357,3,0:00.0,J. Jackson misses 3-pt jump shot from 46 ft,,100,83
358,3,0:00.0,Offensive rebound by Team,,100,83
359,4,11:45.0,J. Jackson misses 2-pt jump shot from 3 ft,,100,83
360,4,11:43.0,,Defensive rebound by L. Kornet,100,83
361,4,11:31.0,,T. Burke makes 2-pt jump shot from 13 ft,100,85
362,4,11:14.0,D. Melton misses 2-pt jump shot from 13 ft,,100,85
363,4,11:13.0,Offensive rebound by Team,,100,85
364,4,11:00.0,J. Crawford misses 3-pt jump shot from 27 ft,,100,85
365,4,10:58.0,Offensive rebound by Team,,100,85
366,4,10:46.0,R. Holmes makes 2-pt dunk from 1 ft (assist by J. Crawford),,102,85
367,4,10:33.0,,Shooting foul by J. Jackson (drawn by M. Hezonja),102,85
368,4,10:33.0,,M. Hezonja misses free throw 1 of 2,102,85
369,4,10:33.0,,Offensive rebound by Team,102,85
370,4,10:33.0,D. Booker enters the game for D. Melton,,102,85
371,4,10:33.0,,K. Knox enters the game for L. Thomas,102,85
372,4,10:33.0,,M. Hezonja makes free throw 2 of 2,102,86
373,4,10:17.0,D. Booker misses 3-pt jump shot from 27 ft,,102,86
374,4,10:15.0,,Defensive rebound by F. Ntilikina,102,86
375,4,10:06.0,,T. Burke misses 2-pt layup from 1 ft (block by J. Jackson),102,86
376,4,10:04.0,Defensive rebound by D. Booker,,102,86
377,4,10:02.0,R. Holmes makes 2-pt layup from 1 ft (assist by J. Crawford),,104,86
378,4,10:02.0,Shooting foul by K. Knox (drawn by R. Holmes),,104,86
379,4,10:02.0,R. Holmes makes free throw 1 of 1,,105,86
380,4,9:46.0,,Turnover by L. Kornet (bad pass; steal by J. Crawford),105,86
381,4,9:42.0,T. Warren makes 2-pt layup from 2 ft (assist by J. Crawford),,107,86
382,4,9:28.0,,L. Kornet misses 3-pt jump shot from 25 ft,107,86
383,4,9:26.0,Defensive rebound by J. Crawford,,107,86
384,4,9:16.0,R. Holmes makes 2-pt jump shot from 10 ft (assist by J. Crawford),,109,86
385,4,8:56.0,,M. Hezonja makes 2-pt layup from 1 ft,109,88
386,4,8:32.0,J. Crawford misses 3-pt jump shot from 33 ft,,109,88
