,QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
36,1,6:51.0,,K. Faried misses 2-pt layup from 3 ft,9,11
37,1,6:49.0,,Offensive rebound by K. Faried,9,11
38,1,6:49.0,,Shooting foul by L. Dončić (drawn by K. Faried),9,11
39,1,6:49.0,,K. Faried misses free throw 1 of 2,9,11
40,1,6:49.0,,Offensive rebound by Team,9,11
41,1,6:49.0,T. Burke enters the game for L. Dončić,,9,11
42,1,6:49.0,,K. Faried makes free throw 2 of 2,9,12
43,1,6:29.0,Shooting foul by P. Tucker (drawn by D. Finney-Smith),,9,12
44,1,6:29.0,D. Finney-Smith makes free throw 1 of 2,,10,12
45,1,6:29.0,D. Powell enters the game for M. Kleber,,10,12
46,1,6:29.0,,G. Green enters the game for E. Gordon,10,12
47,1,6:29.0,,I. Shumpert enters the game for P. Tucker,10,12
48,1,6:29.0,D. Finney-Smith makes free throw 2 of 2,,11,12
49,1,6:16.0,,I. Shumpert misses 3-pt jump shot from 26 ft,11,12
50,1,6:12.0,Defensive rebound by J. Brunson,,11,12
51,1,6:04.0,T. Hardaway misses 3-pt jump shot from 28 ft,,11,12
52,1,6:03.0,,Defensive rebound by K. Faried,11,12
53,1,5:53.0,,J. Harden misses 3-pt jump shot from 27 ft,11,12
54,1,5:52.0,Defensive rebound by J. Brunson,,11,12
55,1,5:45.0,Shooting foul by A. Rivers (drawn by J. Brunson),,11,12
56,1,5:45.0,J. Brunson makes free throw 1 of 2,,12,12
57,1,5:45.0,,I. Hartenstein enters the game for K. Faried,12,12
58,1,5:45.0,J. Brunson makes free throw 2 of 2,,13,12
59,1,5:30.0,,I. Hartenstein makes 2-pt dunk at rim (assist by J. Harden),13,14
60,1,5:18.0,T. Burke makes 2-pt layup from 3 ft,,15,14
61,1,5:02.0,,J. Harden misses 2-pt jump shot from 15 ft,15,14
62,1,5:01.0,Defensive rebound by J. Brunson,,15,14
63,1,4:55.0,T. Hardaway misses 2-pt layup from 4 ft (block by I. Hartenstein),,15,14
64,1,4:52.0,,Defensive rebound by G. Green,15,14
65,1,4:42.0,,J. Harden misses 3-pt jump shot from 26 ft,15,14
66,1,4:40.0,Defensive rebound by T. Hardaway,,15,14
67,1,4:31.0,T. Hardaway misses 3-pt jump shot from 27 ft,,15,14
68,1,4:29.0,,Defensive rebound by G. Green,15,14
69,1,4:24.0,,G. Green makes 3-pt jump shot from 26 ft,15,17
70,1,4:23.0,Dallas full timeout,,15,17
71,1,4:23.0,L. Dončić enters the game for J. Brunson,,15,17
72,1,4:23.0,D. Nowitzki enters the game for T. Hardaway,,15,17
73,1,4:10.0,D. Powell misses 2-pt layup from 4 ft,,15,17
74,1,4:05.0,,Defensive rebound by J. Harden,15,17
75,1,3:54.0,,G. Green makes 3-pt jump shot from 24 ft (assist by I. Shumpert),15,20
76,1,3:41.0,Turnover by L. Dončić (lost ball; steal by I. Shumpert),,15,20
77,1,3:25.0,,A. Rivers misses 3-pt jump shot from 26 ft,15,20
78,1,3:24.0,,Offensive rebound by Team,15,20
79,1,3:24.0,Loose ball foul by D. Powell (drawn by I. Hartenstein),,15,20
80,1,3:20.0,,Turnover by J. Harden (step out of bounds),15,20
81,1,3:05.0,D. Nowitzki makes 2-pt jump shot from 13 ft,,17,20
82,1,2:38.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by G. Green),17,23
83,1,2:18.0,L. Dončić makes 3-pt jump shot from 30 ft (assist by D. Finney-Smith),,20,23
84,1,1:52.0,,G. Green misses 3-pt jump shot from 26 ft,20,23
85,1,1:51.0,,Offensive rebound by Team,20,23
86,1,1:51.0,,Turnover by Team (shot clock),20,23
87,1,1:51.0,D. Harris enters the game for D. Finney-Smith,,20,23
88,1,1:51.0,,C. Paul enters the game for J. Harden,20,23
89,1,1:41.0,T. Burke misses 2-pt layup from 4 ft,,20,23
90,1,1:40.0,,Defensive rebound by I. Hartenstein,20,23
91,1,1:17.0,,C. Paul misses 2-pt jump shot from 16 ft,20,23
92,1,1:16.0,Defensive rebound by D. Powell,,20,23
93,1,0:59.0,L. Dončić makes 2-pt jump shot from 12 ft,,22,23
94,1,0:55.0,,A. Rivers makes 2-pt layup from 3 ft (assist by I. Shumpert),22,25
95,1,0:32.0,L. Dončić misses 3-pt jump shot from 30 ft,,22,25
96,1,0:29.0,,Defensive rebound by I. Hartenstein,22,25
97,1,0:14.0,,I. Shumpert misses 3-pt jump shot from 22 ft,22,25
98,1,0:12.0,Defensive rebound by D. Powell,,22,25
99,1,0:02.0,D. Nowitzki misses 3-pt jump shot from 28 ft,,22,25
100,1,0:01.0,Offensive rebound by Team,,22,25
101,1,0:01.0,,Loose ball foul by I. Hartenstein (drawn by D. Powell),22,25
102,1,0:00.0,L. Dončić misses 3-pt jump shot from 30 ft,,22,25
103,1,0:00.0,Offensive rebound by Team,,22,25
104,2,11:46.0,,E. Gordon misses 3-pt jump shot from 26 ft,22,25
105,2,11:45.0,Defensive rebound by L. Dončić,,22,25
106,2,11:31.0,L. Dončić misses 3-pt jump shot from 28 ft,,22,25
107,2,11:29.0,,Defensive rebound by G. Green,22,25
108,2,11:19.0,,I. Shumpert makes 3-pt jump shot from 27 ft (assist by C. Paul),22,28
109,2,10:58.0,L. Dončić misses 2-pt layup from 4 ft,,22,28
110,2,10:56.0,,Defensive rebound by G. Green,22,28
111,2,10:43.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by I. Shumpert),22,31
112,2,10:42.0,Dallas full timeout,,22,31
113,2,10:42.0,R. Broekhoff enters the game for T. Burke,,22,31
114,2,10:33.0,Shooting foul by K. Faried (drawn by D. Powell),,22,31
115,2,10:33.0,D. Powell misses free throw 1 of 2,,22,31
116,2,10:33.0,Offensive rebound by Team,,22,31
117,2,10:33.0,D. Powell makes free throw 2 of 2,,23,31
118,2,10:21.0,,E. Gordon misses 3-pt jump shot from 27 ft,23,31
119,2,10:20.0,Defensive rebound by L. Dončić,,23,31
120,2,10:16.0,Shooting foul by C. Paul (drawn by D. Harris),,23,31
121,2,10:16.0,D. Harris makes free throw 1 of 2,,24,31
122,2,10:16.0,,P. Tucker enters the game for I. Shumpert,24,31
123,2,10:16.0,D. Harris makes free throw 2 of 2,,25,31
124,2,10:01.0,,E. Gordon makes 2-pt layup from 3 ft,25,33
125,2,9:51.0,D. Nowitzki makes 3-pt jump shot from 28 ft (assist by L. Dončić),,28,33
126,2,9:32.0,,Personal foul by R. Broekhoff (drawn by K. Faried),28,33
127,2,9:23.0,,E. Gordon makes 2-pt layup from 3 ft (assist by C. Paul),28,35
128,2,9:09.0,D. Harris makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),,31,35
129,2,8:55.0,,Shooting foul by D. Nowitzki (drawn by K. Faried),31,35
130,2,8:55.0,,K. Faried makes free throw 1 of 2,31,36
131,2,8:55.0,D. Finney-Smith enters the game for R. Broekhoff,,31,36
132,2,8:55.0,M. Kleber enters the game for D. Powell,,31,36
133,2,8:55.0,,J. Harden enters the game for G. Green,31,36
134,2,8:55.0,,K. Faried makes free throw 2 of 2,31,37
135,2,8:33.0,D. Harris misses 2-pt jump shot from 14 ft,,31,37
136,2,8:32.0,,Defensive rebound by K. Faried,31,37
137,2,8:23.0,,C. Paul misses 3-pt jump shot from 27 ft,31,37
138,2,8:21.0,Defensive rebound by Team,,31,37
139,2,8:06.0,Turnover by D. Nowitzki (lost ball; steal by J. Harden),,31,37
140,2,8:04.0,,Personal take foul by D. Harris (drawn by J. Harden),31,37
141,2,8:04.0,,A. Rivers enters the game for C. Paul,31,37
142,2,7:51.0,,Turnover by P. Tucker (bad pass),31,37
143,2,7:42.0,L. Dončić misses 3-pt jump shot from 27 ft,,31,37
144,2,7:40.0,,Defensive rebound by A. Rivers,31,37
145,2,7:32.0,,J. Harden makes 2-pt layup from 5 ft,31,39
146,2,7:16.0,D. Harris misses 3-pt jump shot from 28 ft,,31,39
147,2,7:15.0,Offensive rebound by Team,,31,39
148,2,7:15.0,J. Brunson enters the game for L. Dončić,,31,39
149,2,7:15.0,Away from play foul by A. Rivers (drawn by D. Harris),,31,39
150,2,7:15.0,D. Nowitzki makes free throw 1 of 1,,32,39
151,2,7:06.0,J. Brunson makes 2-pt jump shot from 15 ft,,34,39
152,2,6:51.0,,K. Faried makes 2-pt dunk from 1 ft (assist by J. Harden),34,41
153,2,6:34.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,34,41
154,2,6:28.0,Offensive rebound by D. Finney-Smith,,34,41
155,2,6:28.0,D. Finney-Smith misses 2-pt layup from 2 ft,,34,41
156,2,6:28.0,Offensive rebound by D. Finney-Smith,,34,41
157,2,6:26.0,D. Finney-Smith misses 2-pt layup from 4 ft (block by K. Faried),,34,41
158,2,6:24.0,,Defensive rebound by K. Faried,34,41
159,2,6:21.0,,E. Gordon misses 3-pt jump shot from 26 ft,34,41
160,2,6:19.0,Defensive rebound by D. Finney-Smith,,34,41
161,2,6:14.0,Offensive foul by D. Finney-Smith (drawn by K. Faried),,34,41
162,2,6:14.0,Turnover by D. Finney-Smith (offensive foul),,34,41
163,2,6:14.0,T. Hardaway enters the game for D. Harris,,34,41
164,2,6:14.0,D. Powell enters the game for D. Nowitzki,,34,41
165,2,5:56.0,,E. Gordon makes 3-pt jump shot from 23 ft (assist by A. Rivers),34,44
166,2,5:36.0,T. Hardaway misses 2-pt layup from 6 ft (block by P. Tucker),,34,44
167,2,5:33.0,,Defensive rebound by J. Harden,34,44
168,2,5:33.0,,Personal foul by D. Finney-Smith (drawn by J. Harden),34,44
169,2,5:33.0,,I. Shumpert enters the game for E. Gordon,34,44
170,2,5:25.0,,A. Rivers makes 2-pt jump shot from 9 ft,34,46
171,2,5:23.0,Dallas full timeout,,34,46
172,2,4:57.0,Turnover by D. Powell (lost ball; steal by I. Shumpert),,34,46
173,2,4:52.0,,K. Faried makes 2-pt dunk from 1 ft (assist by J. Harden),34,48
174,2,4:36.0,Turnover by J. Brunson (back court),,34,48
175,2,4:36.0,L. Dončić enters the game for J. Brunson,,34,48
176,2,4:24.0,,A. Rivers makes 2-pt jump shot from 5 ft,34,50
177,2,4:10.0,D. Powell makes 3-pt jump shot from 27 ft (assist by L. Dončić),,37,50
178,2,3:55.0,,J. Harden makes 3-pt jump shot from 28 ft,37,53
179,2,3:45.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by M. Kleber),,40,53
180,2,3:28.0,,J. Harden misses 3-pt jump shot from 28 ft,40,53
181,2,3:26.0,Defensive rebound by L. Dončić,,40,53
182,2,3:22.0,Offensive foul by M. Kleber (drawn by K. Faried),,40,53
183,2,3:22.0,Turnover by M. Kleber (offensive foul),,40,53
184,2,3:22.0,T. Burke enters the game for M. Kleber,,40,53
185,2,3:22.0,,I. Hartenstein enters the game for K. Faried,40,53
186,2,3:22.0,,Houston full timeout,40,53
187,2,3:22.0,,C. Paul enters the game for A. Rivers,40,53
188,2,3:09.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by I. Hartenstein),40,56
189,2,2:52.0,L. Dončić misses 2-pt layup from 4 ft (block by I. Hartenstein),,40,56
190,2,2:52.0,Offensive rebound by Team,,40,56
191,2,2:51.0,Personal foul by I. Hartenstein (drawn by D. Finney-Smith),,40,56
192,2,2:46.0,L. Dončić misses 3-pt jump shot from 29 ft,,40,56
193,2,2:45.0,,Defensive rebound by Team,40,56
194,2,2:35.0,,Turnover by J. Harden (lost ball; steal by T. Burke),40,56
195,2,2:31.0,T. Burke makes 2-pt layup from 5 ft,,42,56
196,2,2:19.0,,Offensive foul by J. Harden (drawn by D. Powell),42,56
197,2,2:19.0,,Turnover by J. Harden (offensive foul),42,56
198,2,2:10.0,L. Dončić makes 2-pt dunk from 2 ft,,44,56
199,2,1:52.0,,J. Harden makes 3-pt jump shot from 26 ft,44,59
200,2,1:42.0,D. Powell makes 2-pt layup from 4 ft (assist by L. Dončić),,46,59
201,2,1:42.0,Shooting foul by C. Paul (drawn by D. Powell),,46,59
202,2,1:42.0,,E. Gordon enters the game for I. Hartenstein,46,59
203,2,1:42.0,D. Powell makes free throw 1 of 1,,47,59
204,2,1:31.0,,Personal foul by T. Burke (drawn by C. Paul),47,59
205,2,1:31.0,,C. Paul makes free throw 1 of 2,47,60
206,2,1:31.0,,C. Paul makes free throw 2 of 2,47,61
207,2,1:24.0,Personal foul by I. Shumpert (drawn by D. Powell),,47,61
208,2,1:24.0,D. Powell misses free throw 1 of 2,,47,61
209,2,1:24.0,Offensive rebound by Team,,47,61
210,2,1:24.0,D. Powell makes free throw 2 of 2,,48,61
211,2,1:05.0,,J. Harden misses 2-pt layup from 2 ft,48,61
212,2,1:02.0,,Offensive rebound by I. Shumpert,48,61
213,2,1:02.0,,I. Shumpert misses 2-pt layup from 1 ft,48,61
214,2,1:01.0,Defensive rebound by T. Hardaway,,48,61
215,2,0:59.0,Personal foul by C. Paul (drawn by L. Dončić),,48,61
216,2,0:59.0,L. Dončić makes free throw 1 of 2,,49,61
217,2,0:59.0,L. Dončić misses free throw 2 of 2,,49,61
218,2,0:59.0,,Defensive rebound by P. Tucker,49,61
219,2,0:40.0,,C. Paul makes 3-pt jump shot from 27 ft (assist by E. Gordon),49,64
220,2,0:32.0,Offensive foul by T. Burke (drawn by J. Harden),,49,64
221,2,0:32.0,Turnover by T. Burke (offensive foul),,49,64
222,2,0:27.0,,J. Harden misses 3-pt jump shot from 27 ft,49,64
223,2,0:25.0,Defensive rebound by Team,,49,64
224,2,0:06.0,Personal foul by I. Shumpert (drawn by L. Dončić),,49,64
225,2,0:06.0,L. Dončić misses free throw 1 of 2,,49,64
226,2,0:06.0,Offensive rebound by Team,,49,64
227,2,0:06.0,M. Kleber enters the game for D. Powell,,49,64
228,2,0:06.0,L. Dončić makes free throw 2 of 2,,50,64
229,2,0:00.0,,E. Gordon misses 3-pt jump shot from 26 ft (block by M. Kleber),50,64
230,2,0:00.0,,Offensive rebound by Team,50,64
231,3,11:49.0,,E. Gordon misses 3-pt jump shot from 25 ft,50,64
232,3,11:47.0,Defensive rebound by M. Kleber,,50,64
233,3,11:22.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,50,64
234,3,11:21.0,,Defensive rebound by K. Faried,50,64
235,3,11:16.0,,P. Tucker misses 3-pt jump shot from 24 ft,50,64
236,3,11:13.0,Defensive rebound by D. Finney-Smith,,50,64
237,3,11:03.0,D. Finney-Smith makes 2-pt layup from 4 ft (assist by M. Kleber),,52,64
238,3,10:50.0,,K. Faried makes 2-pt dunk from 1 ft (assist by J. Harden),52,66
239,3,10:37.0,Turnover by L. Dončić (lost ball; steal by C. Paul),,52,66
240,3,10:30.0,,J. Harden makes 3-pt jump shot from 27 ft (assist by C. Paul),52,69
241,3,10:16.0,J. Brunson makes 3-pt jump shot from 23 ft (assist by L. Dončić),,55,69
242,3,9:56.0,,C. Paul misses 3-pt jump shot from 24 ft,55,69
243,3,9:54.0,Defensive rebound by L. Dončić,,55,69
244,3,9:45.0,M. Kleber makes 3-pt jump shot from 27 ft (assist by D. Finney-Smith),,58,69
245,3,9:31.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by J. Harden),58,72
246,3,9:07.0,Turnover by L. Dončić (lost ball; steal by J. Harden),,58,72
247,3,9:04.0,,Shooting foul by M. Kleber (drawn by J. Harden),58,72
248,3,9:04.0,,J. Harden makes free throw 1 of 2,58,73
249,3,9:04.0,,J. Harden makes free throw 2 of 2,58,74
250,3,8:45.0,Turnover by M. Kleber (lost ball; steal by K. Faried),,58,74
251,3,8:39.0,,J. Harden makes 2-pt layup from 4 ft,58,76
252,3,8:39.0,Dallas full timeout,,58,76
253,3,8:23.0,Turnover by M. Kleber (bad pass; steal by P. Tucker),,58,76
254,3,8:06.0,,J. Harden misses 3-pt jump shot from 29 ft,58,76
255,3,8:04.0,Defensive rebound by L. Dončić,,58,76
256,3,7:54.0,L. Dončić makes 2-pt layup from 4 ft,,60,76
257,3,7:29.0,,E. Gordon misses 3-pt jump shot from 28 ft,60,76
258,3,7:29.0,,Offensive rebound by C. Paul,60,76
259,3,7:19.0,,E. Gordon misses 3-pt jump shot from 28 ft,60,76
260,3,7:16.0,,Offensive rebound by K. Faried,60,76
261,3,7:12.0,,C. Paul makes 3-pt jump shot from 27 ft (assist by J. Harden),60,79
262,3,6:59.0,M. Kleber misses 3-pt jump shot from 26 ft,,60,79
263,3,6:59.0,Offensive rebound by Team,,60,79
264,3,6:59.0,,Loose ball foul by P. Tucker (drawn by L. Dončić),60,79
265,3,6:59.0,,A. Rivers enters the game for C. Paul,60,79
266,3,6:51.0,D. Finney-Smith misses 2-pt jump shot from 4 ft,,60,79
267,3,6:49.0,,Defensive rebound by J. Harden,60,79
268,3,6:44.0,,Shooting foul by D. Finney-Smith (drawn by J. Harden),60,79
269,3,6:44.0,,J. Harden makes free throw 1 of 2,60,80
270,3,6:44.0,,J. Harden makes free throw 2 of 2,60,81
271,3,6:27.0,T. Hardaway makes 2-pt jump shot from 12 ft,,62,81
272,3,6:27.0,,G. Green enters the game for E. Gordon,62,81
273,3,6:27.0,,I. Shumpert enters the game for P. Tucker,62,81
274,3,6:00.0,,Turnover by Team (shot clock),62,81
275,3,5:48.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by L. Dončić),,64,81
276,3,5:28.0,,I. Shumpert misses 3-pt jump shot from 24 ft,64,81
277,3,5:26.0,Defensive rebound by D. Finney-Smith,,64,81
278,3,5:17.0,T. Hardaway misses 3-pt jump shot from 23 ft,,64,81
279,3,5:15.0,,Defensive rebound by J. Harden,64,81
280,3,5:15.0,D. Powell enters the game for M. Kleber,,64,81
281,3,5:15.0,,I. Hartenstein enters the game for K. Faried,64,81
282,3,4:52.0,,J. Harden misses 3-pt jump shot from 27 ft,64,81
283,3,4:50.0,Defensive rebound by D. Powell,,64,81
284,3,4:42.0,D. Powell makes 2-pt dunk at rim (assist by L. Dončić),,66,81
285,3,4:19.0,,Shooting foul by J. Brunson (drawn by A. Rivers),66,81
286,3,4:19.0,,A. Rivers misses free throw 1 of 2,66,81
287,3,4:19.0,,Offensive rebound by Team,66,81
288,3,4:19.0,T. Burke enters the game for J. Brunson,,66,81
289,3,4:19.0,,A. Rivers makes free throw 2 of 2,66,82
290,3,4:04.0,L. Dončić misses 3-pt jump shot from 26 ft,,66,82
291,3,4:00.0,,Defensive rebound by Team,66,82
292,3,3:46.0,,G. Green makes 3-pt jump shot from 28 ft (assist by J. Harden),66,85
293,3,3:36.0,Personal foul by I. Shumpert (drawn by D. Powell),,66,85
294,3,3:33.0,D. Finney-Smith makes 2-pt dunk at rim (assist by L. Dončić),,68,85
295,3,3:14.0,,I. Shumpert misses 3-pt jump shot from 25 ft,68,85
296,3,3:13.0,,Offensive rebound by I. Shumpert,68,85
297,3,3:09.0,,Turnover by I. Shumpert (bad pass; steal by D. Finney-Smith),68,85
298,3,3:02.0,Personal foul by G. Green (drawn by D. Finney-Smith),,68,85
299,3,2:56.0,L. Dončić makes 2-pt layup from 3 ft,,70,85
300,3,2:56.0,Shooting foul by I. Hartenstein (drawn by L. Dončić),,70,85
301,3,2:56.0,,Houston full timeout,70,85
302,3,2:56.0,,P. Tucker enters the game for I. Hartenstein,70,85
303,3,2:56.0,L. Dončić makes free throw 1 of 1,,71,85
304,3,2:43.0,,J. Harden misses 2-pt jump shot from 5 ft,71,85
305,3,2:41.0,,Offensive rebound by J. Harden,71,85
306,3,2:35.0,,Offensive foul by G. Green (drawn by T. Hardaway),71,85
307,3,2:35.0,,Turnover by G. Green (offensive foul),71,85
308,3,2:09.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by T. Burke),,74,85
309,3,1:49.0,,G. Green misses 2-pt layup from 4 ft,74,85
310,3,1:46.0,,Offensive rebound by G. Green,74,85
311,3,1:46.0,,G. Green makes 2-pt layup at rim,74,87
312,3,1:40.0,T. Hardaway misses 3-pt jump shot from 23 ft,,74,87
313,3,1:38.0,,Defensive rebound by J. Harden,74,87
314,3,1:31.0,,J. Harden misses 3-pt jump shot from 26 ft,74,87
315,3,1:28.0,Defensive rebound by L. Dončić,,74,87
316,3,1:23.0,L. Dončić misses 2-pt jump shot from 17 ft,,74,87
317,3,1:21.0,Offensive rebound by D. Finney-Smith,,74,87
318,3,1:15.0,Shooting foul by A. Rivers (drawn by T. Burke),,74,87
319,3,1:15.0,T. Burke makes free throw 1 of 2,,75,87
320,3,1:15.0,D. Harris enters the game for L. Dončić,,75,87
321,3,1:15.0,J. Jackson enters the game for D. Finney-Smith,,75,87
322,3,1:15.0,,K. Faried enters the game for J. Harden,75,87
323,3,1:15.0,,C. Paul enters the game for A. Rivers,75,87
324,3,1:15.0,T. Burke makes free throw 2 of 2,,76,87
325,3,0:56.0,,K. Faried makes 2-pt layup from 5 ft (assist by P. Tucker),76,89
326,3,0:45.0,T. Burke makes 2-pt layup from 4 ft,,78,89
327,3,0:33.0,,C. Paul makes 3-pt jump shot from 29 ft,78,92
328,3,0:21.0,Turnover by T. Burke (bad pass; steal by P. Tucker),,78,92
329,3,0:03.0,,Personal foul by J. Jackson (drawn by C. Paul),78,92
330,3,0:03.0,C. Lee enters the game for T. Hardaway,,78,92
331,3,0:00.0,,G. Green misses 3-pt jump shot from 24 ft,78,92
332,3,0:00.0,,Offensive rebound by Team,78,92
333,4,11:45.0,T. Burke misses 3-pt jump shot from 23 ft,,78,92
334,4,11:43.0,,Defensive rebound by G. Green,78,92
335,4,11:28.0,,Turnover by K. Faried (bad pass; steal by D. Harris),78,92
336,4,11:23.0,J. Jackson misses 3-pt jump shot from 23 ft,,78,92
337,4,11:20.0,,Defensive rebound by P. Tucker,78,92
338,4,11:11.0,,G. Green misses 2-pt layup from 5 ft,78,92
339,4,11:11.0,Defensive rebound by Team,,78,92
340,4,11:11.0,,Loose ball foul by K. Faried (drawn by D. Powell),78,92
341,4,10:58.0,J. Jackson makes 2-pt jump shot from 3 ft (assist by T. Burke),,80,92
342,4,10:33.0,,P. Tucker misses 2-pt layup from 5 ft,80,92
343,4,10:32.0,,Offensive rebound by P. Tucker,80,92
344,4,10:27.0,,K. Faried makes 2-pt dunk from 1 ft (assist by I. Shumpert),80,94
345,4,10:04.0,D. Harris misses 3-pt jump shot from 23 ft,,80,94
346,4,10:02.0,,Defensive rebound by P. Tucker,80,94
347,4,9:52.0,,G. Green makes 3-pt jump shot from 26 ft (assist by C. Paul),80,97
348,4,9:50.0,Dallas full timeout,,80,97
349,4,9:50.0,,E. Gordon enters the game for I. Shumpert,80,97
350,4,9:36.0,D. Harris misses 3-pt jump shot from 28 ft,,80,97
351,4,9:35.0,,Defensive rebound by P. Tucker,80,97
352,4,9:21.0,,C. Paul misses 3-pt jump shot from 26 ft,80,97
353,4,9:21.0,Defensive rebound by Team,,80,97
354,4,9:04.0,J. Jackson misses 3-pt jump shot from 25 ft,,80,97
355,4,9:03.0,,Defensive rebound by K. Faried,80,97
356,4,8:51.0,,K. Faried makes 2-pt layup from 2 ft (assist by C. Paul),80,99
357,4,8:34.0,J. Jackson makes 3-pt jump shot from 27 ft (assist by T. Burke),,83,99
358,4,8:14.0,,G. Green makes 2-pt layup from 3 ft (assist by C. Paul),83,101
359,4,8:01.0,Shooting foul by G. Green (drawn by J. Jackson),,83,101
360,4,8:01.0,J. Jackson makes free throw 1 of 2,,84,101
361,4,8:01.0,J. Brunson enters the game for T. Burke,,84,101
362,4,8:01.0,J. Jackson makes free throw 2 of 2,,85,101
363,4,7:40.0,,C. Paul misses 2-pt jump shot from 13 ft,85,101
364,4,7:38.0,Defensive rebound by D. Powell,,85,101
365,4,7:27.0,D. Harris makes 3-pt jump shot from 28 ft (assist by J. Jackson),,88,101
366,4,7:03.0,,E. Gordon makes 2-pt jump shot from 7 ft (assist by C. Paul),88,103
367,4,6:50.0,D. Powell makes 2-pt layup from 6 ft,,90,103
368,4,6:41.0,,G. Green makes 3-pt jump shot from 26 ft (assist by C. Paul),90,106
369,4,6:32.0,Personal foul by C. Paul (drawn by J. Brunson),,90,106
370,4,6:32.0,L. Dončić enters the game for D. Harris,,90,106
371,4,6:32.0,D. Finney-Smith enters the game for C. Lee,,90,106
372,4,6:32.0,M. Kleber enters the game for D. Powell,,90,106
373,4,6:32.0,,J. Harden enters the game for K. Faried,90,106
374,4,6:32.0,,I. Hartenstein enters the game for G. Green,90,106
375,4,6:32.0,,I. Shumpert enters the game for C. Paul,90,106
376,4,6:18.0,D. Finney-Smith misses 2-pt jump shot from 21 ft,,90,106
377,4,6:15.0,,Defensive rebound by E. Gordon,90,106
378,4,6:08.0,,J. Harden misses 3-pt jump shot from 27 ft,90,106
379,4,6:07.0,Defensive rebound by J. Brunson,,90,106
380,4,5:49.0,Turnover by J. Brunson (bad pass; steal by I. Hartenstein),,90,106
381,4,5:40.0,,Turnover by J. Harden (bad pass; steal by J. Jackson),90,106
382,4,5:19.0,M. Kleber misses 2-pt layup from 2 ft (block by E. Gordon),,90,106
383,4,5:19.0,,Defensive rebound by E. Gordon,90,106
