,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PORTLAND_ACTION,NEW YORK_SCORE,PORTLAND_SCORE
0,1,11:48.0,,Turnover by D. Lillard (back court),0,0
1,1,11:38.0,Turnover by K. Knox (out of bounds lost ball),,0,0
2,1,11:28.0,,Shooting foul by K. Knox (drawn by J. Nurkić),0,0
3,1,11:28.0,,J. Nurkić makes free throw 1 of 2,0,1
4,1,11:28.0,,J. Nurkić makes free throw 2 of 2,0,2
5,1,11:15.0,E. Mudiay misses 2-pt jump shot from 21 ft,,0,2
6,1,11:13.0,,Defensive rebound by J. Nurkić,0,2
7,1,11:06.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by C. McCollum),0,4
8,1,10:58.0,N. Vonleh misses 3-pt jump shot from 25 ft,,0,4
9,1,10:55.0,,Defensive rebound by A. Aminu,0,4
10,1,10:44.0,,J. Nurkić makes 2-pt hook shot from 3 ft,0,6
11,1,10:39.0,New York full timeout,,0,6
12,1,10:27.0,T. Hardaway misses 2-pt jump shot from 3 ft (block by C. McCollum),,0,6
13,1,10:25.0,Offensive rebound by T. Hardaway,,0,6
14,1,10:24.0,K. Knox misses 3-pt jump shot from 25 ft,,0,6
15,1,10:22.0,,Defensive rebound by A. Aminu,0,6
16,1,10:14.0,,C. McCollum misses 2-pt jump shot from 16 ft,0,6
17,1,10:12.0,Defensive rebound by K. Knox,,0,6
18,1,10:01.0,Personal foul by J. Nurkić (drawn by N. Vonleh),,0,6
19,1,9:54.0,E. Mudiay misses 2-pt jump shot from 18 ft,,0,6
20,1,9:52.0,,Defensive rebound by M. Harkless,0,6
21,1,9:38.0,,C. McCollum makes 2-pt jump shot from 13 ft,0,8
22,1,9:21.0,K. Knox misses 2-pt jump shot from 16 ft,,0,8
23,1,9:20.0,,Defensive rebound by A. Aminu,0,8
24,1,9:07.0,,J. Nurkić misses 2-pt layup from 2 ft (block by L. Kornet),0,8
25,1,9:04.0,Defensive rebound by N. Vonleh,,0,8
26,1,8:50.0,Shooting foul by M. Harkless (drawn by K. Knox),,0,8
27,1,8:50.0,K. Knox makes free throw 1 of 2,,1,8
28,1,8:50.0,K. Knox makes free throw 2 of 2,,2,8
29,1,8:34.0,,A. Aminu makes 2-pt jump shot from 5 ft,2,10
30,1,8:23.0,Shooting foul by M. Harkless (drawn by L. Kornet),,2,10
31,1,8:23.0,L. Kornet makes free throw 1 of 2,,3,10
32,1,8:23.0,L. Kornet makes free throw 2 of 2,,4,10
33,1,8:09.0,,Shooting foul by K. Knox (drawn by J. Nurkić),4,10
34,1,8:09.0,,J. Nurkić misses free throw 1 of 2,4,10
35,1,8:09.0,,Offensive rebound by Team,4,10
36,1,8:09.0,M. Hezonja enters the game for K. Knox,,4,10
37,1,8:09.0,,J. Nurkić makes free throw 2 of 2,4,11
38,1,7:47.0,L. Kornet makes 2-pt jump shot from 9 ft,,6,11
39,1,7:37.0,,Turnover by J. Nurkić (bad pass; steal by T. Hardaway),6,11
40,1,7:30.0,N. Vonleh makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,9,11
41,1,7:13.0,,C. McCollum misses 3-pt jump shot from 25 ft,9,11
42,1,7:10.0,Defensive rebound by E. Mudiay,,9,11
43,1,7:06.0,E. Mudiay makes 2-pt layup from 1 ft,,11,11
44,1,6:47.0,,C. McCollum makes 2-pt layup from 1 ft,11,13
45,1,6:35.0,Shooting foul by J. Nurkić (drawn by N. Vonleh),,11,13
46,1,6:35.0,,Portland full timeout,11,13
47,1,6:35.0,,M. Leonard enters the game for M. Harkless,11,13
48,1,6:35.0,,E. Turner enters the game for J. Nurkić,11,13
49,1,6:35.0,N. Vonleh makes free throw 1 of 2,,12,13
50,1,6:35.0,N. Vonleh misses free throw 2 of 2,,12,13
51,1,6:33.0,,Defensive rebound by E. Turner,12,13
52,1,6:16.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by M. Leonard),12,16
53,1,6:00.0,Shooting foul by M. Leonard (drawn by M. Hezonja),,12,16
54,1,6:00.0,M. Hezonja makes free throw 1 of 2,,13,16
55,1,6:00.0,,Z. Collins enters the game for M. Leonard,13,16
56,1,6:00.0,M. Hezonja makes free throw 2 of 2,,14,16
57,1,5:47.0,,Shooting foul by E. Mudiay (drawn by E. Turner),14,16
58,1,5:47.0,,E. Turner makes free throw 1 of 2,14,17
59,1,5:47.0,,E. Turner makes free throw 2 of 2,14,18
60,1,5:35.0,T. Hardaway makes 3-pt jump shot from 24 ft,,17,18
61,1,5:21.0,,Z. Collins misses 2-pt hook shot from 2 ft,17,18
62,1,5:19.0,Defensive rebound by N. Vonleh,,17,18
63,1,5:11.0,Turnover by N. Vonleh (traveling),,17,18
64,1,5:00.0,,E. Turner makes 2-pt layup from 1 ft (assist by D. Lillard),17,20
65,1,4:48.0,T. Hardaway misses 3-pt jump shot from 25 ft,,17,20
66,1,4:42.0,Offensive rebound by L. Kornet,,17,20
67,1,4:42.0,L. Kornet makes 2-pt layup at rim,,19,20
68,1,4:33.0,,A. Aminu misses 3-pt jump shot from 25 ft,19,20
69,1,4:31.0,Defensive rebound by T. Hardaway,,19,20
70,1,4:18.0,E. Mudiay misses 3-pt jump shot from 25 ft,,19,20
71,1,4:16.0,,Defensive rebound by Z. Collins,19,20
72,1,4:07.0,,C. McCollum misses 3-pt jump shot from 25 ft,19,20
73,1,4:04.0,,Offensive rebound by A. Aminu,19,20
74,1,4:04.0,,A. Aminu misses 2-pt layup from 1 ft,19,20
75,1,4:03.0,Defensive rebound by N. Vonleh,,19,20
76,1,3:49.0,T. Hardaway makes 2-pt jump shot from 21 ft (assist by N. Vonleh),,21,20
77,1,3:29.0,,A. Aminu misses 2-pt jump shot from 13 ft,21,20
78,1,3:26.0,Defensive rebound by N. Vonleh,,21,20
79,1,3:20.0,E. Mudiay makes 2-pt layup from 2 ft,,23,20
80,1,3:03.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),23,23
