,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,OKLAHOMA CITY_ACTION,PHILADELPHIA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:48.0,,M. Morris misses 3-pt jump shot from 23 ft,0,0
1,1,11:44.0,,Offensive rebound by S. Adams,0,0
2,1,11:41.0,,T. Ferguson misses 3-pt jump shot from 25 ft,0,0
3,1,11:38.0,Defensive rebound by Team,,0,0
4,1,11:27.0,Turnover by J. Butler (bad pass; steal by M. Morris),,0,0
5,1,11:23.0,,R. Westbrook misses 2-pt layup from 1 ft,0,0
6,1,11:21.0,Defensive rebound by J. Butler,,0,0
7,1,11:16.0,J. Bolden misses 3-pt jump shot from 22 ft,,0,0
8,1,11:13.0,,Defensive rebound by J. Grant,0,0
9,1,11:10.0,,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),0,2
10,1,10:57.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),,2,2
11,1,10:37.0,,S. Adams misses 2-pt hook shot from 3 ft,2,2
12,1,10:35.0,,Offensive rebound by Team,2,2
13,1,10:33.0,Violation by Team (kicked ball),,2,2
14,1,10:29.0,,R. Westbrook misses 3-pt jump shot from 25 ft,2,2
15,1,10:27.0,Defensive rebound by J. Redick,,2,2
16,1,10:20.0,J. Butler makes 2-pt jump shot from 13 ft (assist by B. Simmons),,4,2
17,1,10:06.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by T. Ferguson),4,5
18,1,9:44.0,J. Bolden makes 2-pt layup from 2 ft (assist by J. Butler),,6,5
19,1,9:33.0,,M. Morris makes 2-pt jump shot from 14 ft,6,7
20,1,9:19.0,T. Harris makes 3-pt jump shot from 24 ft (assist by J. Redick),,9,7
21,1,8:58.0,,J. Grant misses 2-pt jump shot from 18 ft,9,7
22,1,8:55.0,Defensive rebound by T. Harris,,9,7
23,1,8:48.0,T. Harris makes 2-pt jump shot from 18 ft,,11,7
24,1,8:48.0,Shooting foul by M. Morris (drawn by T. Harris),,11,7
25,1,8:48.0,T. Harris makes free throw 1 of 1,,12,7
26,1,8:33.0,,J. Grant misses 2-pt jump shot from 8 ft,12,7
27,1,8:29.0,Defensive rebound by J. Butler,,12,7
28,1,8:14.0,T. Harris misses 3-pt jump shot from 25 ft,,12,7
29,1,8:12.0,,Defensive rebound by R. Westbrook,12,7
30,1,8:05.0,,R. Westbrook misses 2-pt jump shot from 7 ft,12,7
31,1,8:04.0,,Offensive rebound by S. Adams,12,7
32,1,8:04.0,,Shooting foul by J. Bolden (drawn by S. Adams),12,7
33,1,8:04.0,,S. Adams makes free throw 1 of 2,12,8
34,1,8:04.0,,S. Adams makes free throw 2 of 2,12,9
35,1,7:51.0,J. Bolden makes 2-pt layup from 1 ft (assist by J. Butler),,14,9
36,1,7:42.0,,Turnover by R. Westbrook (bad pass; steal by T. Harris),14,9
37,1,7:28.0,T. Harris makes 2-pt jump shot from 3 ft,,16,9
38,1,7:11.0,,J. Grant makes 2-pt jump shot from 8 ft,16,11
39,1,7:00.0,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Simmons),,18,11
40,1,6:51.0,,R. Westbrook misses 3-pt jump shot from 25 ft,18,11
41,1,6:48.0,Defensive rebound by J. Bolden,,18,11
42,1,6:40.0,J. Redick makes 3-pt jump shot from 25 ft (assist by T. Harris),,21,11
43,1,6:39.0,,Oklahoma City full timeout,21,11
44,1,6:39.0,M. Scott enters the game for J. Butler,,21,11
45,1,6:26.0,,R. Westbrook misses 2-pt layup from 1 ft (block by M. Scott),21,11
46,1,6:26.0,,Offensive rebound by Team,21,11
47,1,6:23.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by T. Ferguson),21,13
48,1,6:23.0,,Violation by Team (delay of game),21,13
49,1,6:15.0,Turnover by B. Simmons (bad pass),,21,13
50,1,6:03.0,,J. Grant misses 3-pt jump shot from 25 ft,21,13
51,1,5:58.0,Defensive rebound by M. Scott,,21,13
52,1,5:51.0,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Redick),,24,13
53,1,5:40.0,,M. Morris misses 2-pt layup from 3 ft (block by M. Scott),24,13
54,1,5:40.0,,Offensive rebound by Team,24,13
55,1,5:40.0,,D. Schröder enters the game for M. Morris,24,13
56,1,5:31.0,,Personal foul by B. Simmons (drawn by D. Schröder),24,13
57,1,5:24.0,,R. Westbrook misses 2-pt layup from 2 ft,24,13
58,1,5:22.0,,Offensive rebound by S. Adams,24,13
