,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
0,1,11:52.0,Turnover by T. Young (out of bounds lost ball),,0,0
1,1,11:39.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),0,2
2,1,11:23.0,Shooting foul by B. Simmons (drawn by J. Collins),,0,2
3,1,11:23.0,J. Collins makes free throw 1 of 2,,1,2
4,1,11:23.0,J. Collins makes free throw 2 of 2,,2,2
5,1,11:16.0,,J. Redick misses 3-pt jump shot from 26 ft,2,2
6,1,11:14.0,Defensive rebound by J. Collins,,2,2
7,1,11:10.0,K. Huerter misses 3-pt jump shot from 24 ft,,2,2
8,1,11:05.0,,Defensive rebound by B. Simmons,2,2
9,1,11:00.0,,B. Simmons makes 2-pt jump shot from 5 ft,2,4
10,1,10:40.0,D. Bembry makes 2-pt layup from 1 ft (assist by D. Dedmon),,4,4
11,1,10:25.0,,Turnover by B. Simmons (bad pass; steal by T. Young),4,4
12,1,10:12.0,T. Young misses 3-pt jump shot from 27 ft,,4,4
13,1,10:08.0,,Defensive rebound by W. Chandler,4,4
14,1,9:54.0,,Turnover by J. Butler (bad pass),4,4
15,1,9:36.0,K. Huerter makes 2-pt hook shot from 6 ft,,6,4
16,1,9:17.0,,J. Redick misses 3-pt jump shot from 25 ft,6,4
17,1,9:13.0,Defensive rebound by D. Dedmon,,6,4
18,1,9:04.0,D. Dedmon misses 2-pt jump shot from 6 ft,,6,4
19,1,9:02.0,,Defensive rebound by B. Simmons,6,4
20,1,8:56.0,,M. Muscala misses 3-pt jump shot from 27 ft,6,4
21,1,8:56.0,,Offensive rebound by B. Simmons,6,4
22,1,8:52.0,,B. Simmons makes 2-pt dunk at rim,6,6
23,1,8:39.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,9,6
24,1,8:29.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),9,9
25,1,8:17.0,,Violation by Team (kicked ball),9,9
26,1,8:14.0,J. Collins makes 3-pt jump shot from 28 ft (assist by D. Dedmon),,12,9
27,1,8:01.0,,Shooting foul by K. Huerter (drawn by J. Butler),12,9
28,1,8:01.0,,J. Butler makes free throw 1 of 2,12,10
29,1,8:01.0,,J. Butler makes free throw 2 of 2,12,11
30,1,7:50.0,D. Dedmon makes 3-pt jump shot from 27 ft,,15,11
31,1,7:32.0,,W. Chandler misses 3-pt jump shot from 25 ft,15,11
32,1,7:29.0,Defensive rebound by T. Young,,15,11
33,1,7:27.0,Turnover by D. Dedmon (traveling),,15,11
34,1,7:27.0,J. Anderson enters the game for D. Bembry,,15,11
35,1,7:12.0,,M. Muscala makes 3-pt jump shot from 24 ft (assist by J. Butler),15,14
36,1,7:03.0,Atlanta full timeout,,15,14
37,1,7:03.0,,T. McConnell enters the game for M. Muscala,15,14
38,1,6:48.0,J. Collins misses 2-pt hook shot from 7 ft,,15,14
39,1,6:43.0,Offensive rebound by J. Anderson,,15,14
40,1,6:43.0,J. Anderson misses 2-pt layup at rim,,15,14
41,1,6:41.0,Offensive rebound by J. Collins,,15,14
42,1,6:41.0,J. Collins makes 2-pt layup at rim,,17,14
43,1,6:27.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by T. McConnell),17,17
44,1,6:09.0,K. Huerter misses 2-pt jump shot from 15 ft,,17,17
45,1,6:06.0,,Defensive rebound by B. Simmons,17,17
46,1,6:04.0,,J. Butler makes 2-pt layup at rim (assist by B. Simmons),17,19
47,1,5:50.0,Turnover by T. Young (bad pass; steal by J. Butler),,17,19
48,1,5:36.0,,B. Simmons misses 2-pt jump shot from 7 ft,17,19
49,1,5:34.0,Defensive rebound by J. Anderson,,17,19
50,1,5:28.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by T. Young),,20,19
51,1,5:15.0,,J. Butler makes 2-pt jump shot from 8 ft,20,21
