,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,WASHINGTON_ACTION,MINNESOTA_SCORE,WASHINGTON_SCORE
385,4,8:24.0,,T. Bryant makes free throw 1 of 1,100,107
386,4,8:21.0,Minnesota full timeout,,100,107
387,4,8:21.0,D. Šarić enters the game for T. Gibson,,100,107
388,4,8:04.0,T. Jones misses 3-pt jump shot from 27 ft,,100,107
389,4,8:00.0,,Defensive rebound by B. Beal,100,107
390,4,7:39.0,,J. Parker makes 2-pt jump shot from 12 ft,100,109
391,4,7:39.0,,Shooting foul by J. Okogie (drawn by J. Parker),100,109
392,4,7:39.0,K. Bates-Diop enters the game for T. Jones,,100,109
393,4,7:39.0,J. Teague enters the game for J. Okogie,,100,109
394,4,7:39.0,A. Wiggins enters the game for D. Rose,,100,109
395,4,7:39.0,,J. Parker makes free throw 1 of 1,100,110
396,4,7:24.0,D. Šarić makes 3-pt jump shot from 27 ft (assist by J. Teague),,103,110
397,4,7:09.0,,B. Beal misses 2-pt jump shot from 20 ft,103,110
398,4,7:05.0,Defensive rebound by J. Teague,,103,110
399,4,6:56.0,K. Towns makes 2-pt dunk from 3 ft,,105,110
400,4,6:38.0,,S. Dekker misses 2-pt layup from 2 ft,105,110
401,4,6:34.0,Defensive rebound by K. Towns,,105,110
402,4,6:32.0,D. Šarić misses 3-pt jump shot from 28 ft,,105,110
403,4,6:29.0,,Defensive rebound by S. Dekker,105,110
404,4,6:26.0,,Shooting foul by D. Šarić (drawn by S. Dekker),105,110
405,4,6:26.0,,S. Dekker makes free throw 1 of 2,105,111
406,4,6:26.0,,B. Portis enters the game for T. Bryant,105,111
407,4,6:26.0,,S. Dekker makes free throw 2 of 2,105,112
408,4,6:13.0,K. Towns misses 2-pt hook shot from 10 ft,,105,112
409,4,6:09.0,,Defensive rebound by S. Dekker,105,112
410,4,6:07.0,,Shooting foul by K. Bates-Diop (drawn by S. Dekker),105,112
411,4,6:07.0,,S. Dekker makes free throw 1 of 2,105,113
412,4,6:07.0,,S. Dekker makes free throw 2 of 2,105,114
413,4,5:54.0,A. Wiggins misses 2-pt jump shot from 19 ft,,105,114
414,4,5:48.0,,Defensive rebound by B. Portis,105,114
415,4,5:45.0,,S. Dekker makes 2-pt layup from 2 ft (assist by B. Beal),105,116
416,4,5:44.0,Minnesota full timeout,,105,116
417,4,5:44.0,T. Gibson enters the game for K. Bates-Diop,,105,116
418,4,5:44.0,D. Rose enters the game for D. Šarić,,105,116
419,4,5:34.0,K. Towns misses 3-pt jump shot from 28 ft,,105,116
420,4,5:31.0,,Defensive rebound by B. Portis,105,116
421,4,5:17.0,,B. Portis makes 2-pt hook shot from 1 ft (assist by B. Beal),105,118
422,4,5:01.0,J. Teague misses 2-pt layup from 3 ft,,105,118
423,4,5:01.0,,Defensive rebound by Team,105,118
424,4,5:01.0,Loose ball foul by T. Gibson (drawn by T. Satoranský),,105,118
425,4,5:01.0,,T. Satoranský makes free throw 1 of 2,105,119
426,4,5:01.0,,T. Satoranský makes free throw 2 of 2,105,120
427,4,4:43.0,Shooting foul by B. Portis (drawn by K. Towns),,105,120
428,4,4:43.0,K. Towns makes free throw 1 of 2,,106,120
429,4,4:43.0,K. Towns makes free throw 2 of 2,,107,120
430,4,4:35.0,,Personal foul by K. Towns (drawn by B. Beal),107,120
431,4,4:35.0,,B. Beal makes free throw 1 of 2,107,121
432,4,4:35.0,,B. Beal makes free throw 2 of 2,107,122
433,4,4:29.0,J. Teague makes 2-pt layup from 1 ft,,109,122
434,4,4:04.0,,B. Portis misses 2-pt jump shot from 13 ft,109,122
435,4,4:02.0,Defensive rebound by T. Gibson,,109,122
436,4,3:52.0,A. Wiggins misses 3-pt jump shot from 24 ft,,109,122
437,4,3:50.0,,Defensive rebound by Team,109,122
438,4,3:50.0,Loose ball foul by K. Towns (drawn by B. Portis),,109,122
439,4,3:50.0,,B. Portis makes free throw 1 of 2,109,123
440,4,3:50.0,A. Tolliver enters the game for T. Gibson,,109,123
441,4,3:50.0,,B. Portis makes free throw 2 of 2,109,124
442,4,3:39.0,D. Rose makes 2-pt jump shot from 14 ft,,111,124
443,4,3:38.0,,Washington full timeout,111,124
444,4,3:21.0,,B. Portis makes 3-pt jump shot from 27 ft (assist by S. Dekker),111,127
445,4,2:58.0,A. Tolliver makes 3-pt jump shot from 28 ft (assist by D. Rose),,114,127
446,4,2:38.0,,Shooting foul by A. Wiggins (drawn by B. Portis),114,127
447,4,2:38.0,,B. Portis makes free throw 1 of 2,114,128
448,4,2:38.0,,T. Brown enters the game for B. Beal,114,128
449,4,2:38.0,,B. Portis misses free throw 2 of 2,114,128
450,4,2:35.0,,Offensive rebound by B. Portis,114,128
451,4,2:34.0,,B. Portis makes 2-pt jump shot from 7 ft,114,130
452,4,2:23.0,K. Towns misses 3-pt jump shot from 28 ft,,114,130
453,4,2:20.0,,Defensive rebound by T. Brown,114,130
454,4,2:16.0,,Turnover by T. Satoranský (bad pass),114,130
455,4,2:16.0,,C. Randle enters the game for T. Satoranský,114,130
456,4,2:04.0,A. Tolliver makes 2-pt layup from 1 ft (assist by J. Teague),,116,130
457,4,2:04.0,Shooting foul by B. Portis (drawn by A. Tolliver),,116,130
458,4,2:04.0,K. Bates-Diop enters the game for D. Rose,,116,130
459,4,2:04.0,G. Dieng enters the game for J. Teague,,116,130
460,4,2:04.0,J. Okogie enters the game for K. Towns,,116,130
461,4,2:04.0,C. Reynolds enters the game for A. Wiggins,,116,130
462,4,2:04.0,,T. Bryant enters the game for B. Portis,116,130
463,4,2:04.0,A. Tolliver makes free throw 1 of 1,,117,130
464,4,1:53.0,,J. Parker makes 2-pt jump shot from 18 ft (assist by T. Brown),117,132
465,4,1:53.0,Minnesota full timeout,,117,132
466,4,1:53.0,T. Jones enters the game for A. Tolliver,,117,132
467,4,1:36.0,C. Reynolds misses 3-pt jump shot from 25 ft,,117,132
468,4,1:33.0,Offensive rebound by C. Reynolds,,117,132
469,4,1:31.0,G. Dieng misses 3-pt jump shot from 23 ft,,117,132
470,4,1:28.0,Offensive rebound by G. Dieng,,117,132
471,4,1:27.0,G. Dieng makes 2-pt layup from 1 ft,,119,132
472,4,1:08.0,,S. Dekker makes 3-pt jump shot from 26 ft,119,135
473,4,0:56.0,C. Reynolds makes 2-pt jump shot from 12 ft (assist by T. Jones),,121,135
474,4,0:39.0,,J. Parker misses 2-pt jump shot from 15 ft,121,135
475,4,0:36.0,Defensive rebound by K. Bates-Diop,,121,135
476,4,0:28.0,K. Bates-Diop misses 2-pt jump shot from 15 ft,,121,135
477,4,0:25.0,,Defensive rebound by T. Bryant,121,135
478,4,0:03.0,,Turnover by Team (shot clock),121,135
