,QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
138,2,8:40.0,J. Hernangómez makes free throw 1 of 2,,41,48
139,2,8:40.0,J. Hernangómez misses free throw 2 of 2,,41,48
140,2,8:37.0,,Defensive rebound by Z. Pachulia,41,48
141,2,8:27.0,,L. Kennard misses 3-pt jump shot from 24 ft,41,48
142,2,8:23.0,Defensive rebound by T. Lyles,,41,48
143,2,8:13.0,J. Hernangómez makes 2-pt hook shot from 6 ft (assist by N. Jokić),,43,48
144,2,8:07.0,,L. Galloway misses 2-pt layup from 3 ft (block by W. Barton),43,48
145,2,8:07.0,Defensive rebound by Team,,43,48
146,2,8:07.0,,A. Drummond enters the game for Z. Pachulia,43,48
147,2,7:57.0,T. Lyles misses 3-pt jump shot from 25 ft,,43,48
148,2,7:56.0,,Defensive rebound by Team,43,48
149,2,7:37.0,,Turnover by A. Drummond (bad pass; steal by J. Hernangómez),43,48
150,2,7:26.0,W. Barton misses 2-pt layup from 6 ft (block by A. Drummond),,43,48
151,2,7:26.0,,Defensive rebound by A. Drummond,43,48
152,2,7:20.0,,S. Johnson misses 2-pt layup from 4 ft (block by T. Craig),43,48
153,2,7:20.0,Defensive rebound by Team,,43,48
154,2,7:04.0,T. Lyles makes 2-pt layup from 2 ft (assist by W. Barton),,45,48
155,2,6:49.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by L. Kennard),45,50
156,2,6:40.0,Personal foul by I. Smith (drawn by J. Hernangómez),,45,50
157,2,6:40.0,M. Plumlee enters the game for T. Lyles,,45,50
158,2,6:40.0,,R. Bullock enters the game for L. Galloway,45,50
159,2,6:40.0,,B. Griffin enters the game for S. Johnson,45,50
160,2,6:26.0,M. Plumlee misses 2-pt hook shot from 9 ft,,45,50
161,2,6:24.0,,Defensive rebound by B. Griffin,45,50
162,2,6:14.0,,A. Drummond makes 2-pt jump shot from 7 ft (assist by I. Smith),45,52
163,2,6:02.0,Offensive foul by N. Jokić (drawn by A. Drummond),,45,52
164,2,6:02.0,Turnover by N. Jokić (offensive foul),,45,52
165,2,6:02.0,M. Beasley enters the game for T. Craig,,45,52
166,2,6:02.0,M. Morris enters the game for J. Hernangómez,,45,52
167,2,5:43.0,,L. Kennard misses 2-pt jump shot from 15 ft,45,52
168,2,5:42.0,Defensive rebound by W. Barton,,45,52
169,2,5:30.0,M. Plumlee makes 2-pt jump shot from 15 ft (assist by W. Barton),,47,52
170,2,5:17.0,,I. Smith makes 3-pt jump shot from 23 ft (assist by B. Griffin),47,55
171,2,5:06.0,Turnover by M. Plumlee (bad pass; steal by I. Smith),,47,55
172,2,5:00.0,,Turnover by B. Griffin (bad pass; steal by N. Jokić),47,55
173,2,4:58.0,Turnover by M. Plumlee (bad pass),,47,55
174,2,4:58.0,,Detroit full timeout,47,55
175,2,4:58.0,,R. Jackson enters the game for L. Kennard,47,55
176,2,4:58.0,,K. Thomas enters the game for I. Smith,47,55
177,2,4:35.0,,R. Jackson misses 3-pt jump shot from 31 ft,47,55
178,2,4:31.0,Defensive rebound by M. Plumlee,,47,55
179,2,4:20.0,Shooting foul by B. Griffin (drawn by N. Jokić),,47,55
180,2,4:20.0,N. Jokić misses free throw 1 of 2,,47,55
181,2,4:20.0,Offensive rebound by Team,,47,55
182,2,4:20.0,N. Jokić makes free throw 2 of 2,,48,55
183,2,4:08.0,,R. Bullock misses 2-pt layup from 4 ft,48,55
184,2,4:08.0,Defensive rebound by Team,,48,55
185,2,3:58.0,N. Jokić misses 2-pt layup from 3 ft,,48,55
186,2,3:56.0,,Defensive rebound by B. Griffin,48,55
187,2,3:46.0,,Shooting foul by M. Plumlee (drawn by B. Griffin),48,55
188,2,3:46.0,,B. Griffin makes free throw 1 of 2,48,56
189,2,3:46.0,,B. Griffin makes free throw 2 of 2,48,57
190,2,3:26.0,M. Beasley misses 2-pt jump shot from 20 ft,,48,57
191,2,3:22.0,,Defensive rebound by R. Jackson,48,57
192,2,3:08.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),48,59
193,2,2:58.0,N. Jokić makes 2-pt layup from 1 ft,,50,59
194,2,2:58.0,,Violation by Team (def goaltending),50,59
195,2,2:33.0,,B. Griffin makes 2-pt layup from 2 ft,50,61
196,2,2:18.0,W. Barton misses 3-pt jump shot from 25 ft,,50,61
197,2,2:15.0,,Defensive rebound by B. Griffin,50,61
198,2,2:06.0,,K. Thomas misses 3-pt jump shot from 23 ft,50,61
199,2,2:03.0,Defensive rebound by M. Morris,,50,61
200,2,1:59.0,Offensive foul by M. Plumlee (drawn by B. Griffin),,50,61
201,2,1:59.0,Turnover by M. Plumlee (offensive foul),,50,61
202,2,1:47.0,,R. Bullock misses 3-pt jump shot from 25 ft,50,61
203,2,1:42.0,,Offensive rebound by K. Thomas,50,61
204,2,1:39.0,,A. Drummond makes 2-pt layup from 2 ft (assist by K. Thomas),50,63
205,2,1:25.0,W. Barton makes 2-pt jump shot from 6 ft,,52,63
206,2,1:12.0,,R. Jackson makes 2-pt jump shot from 10 ft,52,65
207,2,1:00.0,M. Morris misses 3-pt jump shot from 26 ft,,52,65
208,2,0:59.0,Offensive rebound by N. Jokić,,52,65
209,2,0:56.0,N. Jokić misses 2-pt layup from 4 ft,,52,65
210,2,0:55.0,Offensive rebound by M. Plumlee,,52,65
211,2,0:55.0,M. Plumlee makes 2-pt layup at rim,,54,65
212,2,0:46.0,,R. Jackson misses 2-pt layup from 2 ft,54,65
213,2,0:44.0,,Offensive rebound by R. Bullock,54,65
214,2,0:35.0,,B. Griffin makes 2-pt layup from 3 ft,54,67
215,2,0:35.0,,Shooting foul by N. Jokić (drawn by B. Griffin),54,67
216,2,0:35.0,T. Lyles enters the game for N. Jokić,,54,67
217,2,0:35.0,,Z. Pachulia enters the game for A. Drummond,54,67
218,2,0:35.0,,B. Griffin makes free throw 1 of 1,54,68
219,2,0:31.0,Personal foul by Z. Pachulia (drawn by M. Morris),,54,68
220,2,0:18.0,Shooting foul by R. Jackson (drawn by M. Plumlee),,54,68
221,2,0:18.0,M. Plumlee misses free throw 1 of 2,,54,68
222,2,0:18.0,Offensive rebound by Team,,54,68
223,2,0:18.0,T. Craig enters the game for M. Beasley,,54,68
224,2,0:18.0,M. Plumlee makes free throw 2 of 2,,55,68
225,2,0:01.0,,Turnover by B. Griffin (bad pass),55,68
226,2,0:00.0,M. Plumlee misses 3-pt jump shot from 40 ft,,55,68
227,2,0:00.0,Offensive rebound by Team,,55,68
228,3,11:53.0,Personal foul by B. Brown (drawn by N. Jokić),,55,68
229,3,11:48.0,M. Beasley misses 3-pt jump shot from 23 ft,,55,68
230,3,11:46.0,Offensive rebound by M. Beasley,,55,68
231,3,11:45.0,M. Beasley makes 2-pt jump shot from 8 ft,,57,68
232,3,11:27.0,,R. Jackson makes 2-pt layup from 2 ft (assist by A. Drummond),57,70
233,3,11:13.0,N. Jokić misses 2-pt layup from 3 ft (block by A. Drummond),,57,70
234,3,11:09.0,,Defensive rebound by R. Bullock,57,70
235,3,10:52.0,,B. Griffin misses 2-pt hook shot from 12 ft,57,70
236,3,10:51.0,,Offensive rebound by B. Brown,57,70
237,3,10:49.0,,B. Brown misses 3-pt jump shot from 23 ft,57,70
238,3,10:46.0,Defensive rebound by M. Plumlee,,57,70
239,3,10:36.0,Personal foul by A. Drummond (drawn by N. Jokić),,57,70
240,3,10:33.0,N. Jokić misses 3-pt jump shot from 27 ft,,57,70
241,3,10:27.0,,Defensive rebound by B. Griffin,57,70
242,3,10:22.0,,R. Bullock misses 3-pt jump shot from 26 ft,57,70
243,3,10:20.0,,Offensive rebound by A. Drummond,57,70
244,3,10:20.0,,A. Drummond makes 2-pt layup at rim,57,72
245,3,10:08.0,W. Barton makes 2-pt layup from 3 ft,,59,72
246,3,9:52.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by R. Bullock),59,74
247,3,9:34.0,N. Jokić misses 2-pt layup from 6 ft (block by B. Griffin),,59,74
248,3,9:29.0,,Defensive rebound by A. Drummond,59,74
249,3,9:22.0,,A. Drummond misses 2-pt layup from 5 ft,59,74
250,3,9:20.0,Defensive rebound by W. Barton,,59,74
251,3,9:10.0,W. Barton makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,62,74
252,3,8:49.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by R. Jackson),62,77
253,3,8:48.0,Denver full timeout,,62,77
254,3,8:35.0,N. Jokić makes 2-pt jump shot from 20 ft (assist by W. Barton),,64,77
255,3,8:15.0,,Turnover by R. Jackson (bad pass; steal by N. Jokić),64,77
256,3,8:12.0,M. Beasley makes 2-pt layup from 1 ft (assist by W. Barton),,66,77
257,3,7:49.0,,R. Jackson makes 2-pt jump shot from 9 ft,66,79
258,3,7:40.0,M. Morris makes 2-pt jump shot from 11 ft (assist by W. Barton),,68,79
259,3,7:34.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),68,81
260,3,7:27.0,Shooting foul by R. Bullock (drawn by M. Plumlee),,68,81
261,3,7:27.0,M. Plumlee misses free throw 1 of 2,,68,81
262,3,7:27.0,Offensive rebound by Team,,68,81
263,3,7:27.0,M. Plumlee makes free throw 2 of 2,,69,81
264,3,7:13.0,,B. Griffin makes 3-pt jump shot from 26 ft,69,84
265,3,6:57.0,N. Jokić misses 2-pt jump shot from 10 ft,,69,84
266,3,6:54.0,Offensive rebound by M. Plumlee,,69,84
267,3,6:52.0,M. Morris misses 3-pt jump shot from 23 ft,,69,84
268,3,6:51.0,Offensive rebound by Team,,69,84
269,3,6:50.0,Offensive foul by N. Jokić (drawn by B. Brown),,69,84
270,3,6:50.0,Turnover by N. Jokić (offensive foul),,69,84
271,3,6:50.0,T. Lyles enters the game for N. Jokić,,69,84
272,3,6:36.0,,B. Griffin makes 2-pt layup from 1 ft (assist by R. Bullock),69,86
273,3,6:30.0,Turnover by W. Barton (lost ball; steal by R. Bullock),,69,86
274,3,6:17.0,,Turnover by A. Drummond (off goaltending),69,86
275,3,6:01.0,M. Plumlee misses 2-pt hook shot from 9 ft,,69,86
276,3,5:56.0,,Defensive rebound by A. Drummond,69,86
277,3,5:40.0,,Turnover by B. Griffin (bad pass; steal by T. Lyles),69,86
278,3,5:34.0,M. Morris makes 3-pt jump shot from 24 ft (assist by W. Barton),,72,86
279,3,5:31.0,,Detroit full timeout,72,86
280,3,5:31.0,,L. Galloway enters the game for B. Brown,72,86
281,3,5:31.0,,I. Smith enters the game for R. Jackson,72,86
282,3,5:19.0,,R. Bullock misses 3-pt jump shot from 26 ft,72,86
283,3,5:17.0,,Offensive rebound by B. Griffin,72,86
284,3,5:16.0,,B. Griffin misses 2-pt layup from 3 ft,72,86
285,3,5:14.0,,Offensive rebound by A. Drummond,72,86
286,3,5:14.0,,A. Drummond makes 2-pt layup from 2 ft,72,88
287,3,4:58.0,Turnover by W. Barton (bad pass; steal by R. Bullock),,72,88
288,3,4:42.0,,Turnover by B. Griffin (lost ball; steal by M. Plumlee),72,88
289,3,4:33.0,T. Lyles makes 2-pt layup from 5 ft (assist by M. Plumlee),,74,88
290,3,4:33.0,Shooting foul by R. Bullock (drawn by T. Lyles),,74,88
291,3,4:33.0,T. Craig enters the game for M. Morris,,74,88
292,3,4:33.0,T. Lyles misses free throw 1 of 1,,74,88
293,3,4:31.0,,Defensive rebound by I. Smith,74,88
294,3,4:19.0,,I. Smith misses 2-pt jump shot from 15 ft,74,88
295,3,4:17.0,,Offensive rebound by A. Drummond,74,88
296,3,4:17.0,,Shooting foul by T. Craig (drawn by A. Drummond),74,88
297,3,4:17.0,,A. Drummond makes free throw 1 of 2,74,89
298,3,4:17.0,,A. Drummond makes free throw 2 of 2,74,90
299,3,4:06.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by T. Lyles),,76,90
300,3,3:49.0,,R. Bullock misses 3-pt jump shot from 24 ft,76,90
301,3,3:47.0,Defensive rebound by M. Plumlee,,76,90
302,3,3:43.0,T. Lyles makes 2-pt dunk from 1 ft (assist by M. Plumlee),,78,90
303,3,3:31.0,,L. Galloway misses 3-pt jump shot from 25 ft,78,90
304,3,3:28.0,,Offensive rebound by A. Drummond,78,90
305,3,3:27.0,,A. Drummond makes 2-pt hook shot from 3 ft,78,92
306,3,3:11.0,M. Plumlee misses 2-pt layup from 4 ft (block by A. Drummond),,78,92
307,3,3:11.0,Offensive rebound by Team,,78,92
308,3,3:11.0,,S. Johnson enters the game for R. Bullock,78,92
309,3,3:11.0,,L. Kennard enters the game for B. Griffin,78,92
310,3,3:00.0,Turnover by W. Barton (lost ball; steal by L. Galloway),,78,92
311,3,2:47.0,,L. Galloway misses 3-pt jump shot from 25 ft,78,92
312,3,2:45.0,,Offensive rebound by A. Drummond,78,92
313,3,2:43.0,,A. Drummond makes 2-pt layup from 5 ft,78,94
314,3,2:24.0,W. Barton misses 2-pt layup from 2 ft,,78,94
315,3,2:22.0,,Defensive rebound by A. Drummond,78,94
316,3,2:21.0,,Turnover by I. Smith (bad pass),78,94
317,3,2:07.0,M. Beasley makes 2-pt jump shot from 15 ft,,80,94
318,3,1:52.0,,S. Johnson makes 3-pt jump shot from 24 ft (assist by L. Kennard),80,97
319,3,1:41.0,Personal foul by A. Drummond (drawn by M. Plumlee),,80,97
320,3,1:41.0,M. Plumlee misses free throw 1 of 2,,80,97
321,3,1:41.0,Offensive rebound by Team,,80,97
322,3,1:41.0,J. Hernangómez enters the game for W. Barton,,80,97
323,3,1:41.0,M. Morris enters the game for M. Beasley,,80,97
324,3,1:41.0,,Z. Pachulia enters the game for A. Drummond,80,97
325,3,1:41.0,M. Plumlee misses free throw 2 of 2,,80,97
326,3,1:39.0,,Defensive rebound by I. Smith,80,97
327,3,1:20.0,,I. Smith misses 3-pt jump shot from 25 ft,80,97
328,3,1:14.0,Defensive rebound by T. Lyles,,80,97
329,3,0:58.0,T. Craig misses 2-pt jump shot from 20 ft,,80,97
330,3,0:55.0,,Defensive rebound by S. Johnson,80,97
331,3,0:53.0,,Personal foul by T. Craig (drawn by L. Galloway),80,97
332,3,0:53.0,N. Jokić enters the game for M. Plumlee,,80,97
333,3,0:36.0,,I. Smith misses 2-pt jump shot from 12 ft,80,97
334,3,0:34.0,Defensive rebound by T. Lyles,,80,97
335,3,0:22.0,T. Lyles misses 2-pt jump shot from 7 ft,,80,97
336,3,0:22.0,,Defensive rebound by Team,80,97
337,3,0:22.0,Loose ball foul by T. Craig (drawn by Z. Pachulia),,80,97
338,3,0:22.0,,Z. Pachulia misses free throw 1 of 2,80,97
339,3,0:22.0,,Offensive rebound by Team,80,97
340,3,0:22.0,M. Beasley enters the game for T. Craig,,80,97
341,3,0:22.0,,Z. Pachulia misses free throw 2 of 2,80,97
342,3,0:21.0,Defensive rebound by N. Jokić,,80,97
343,3,0:00.0,T. Lyles makes 3-pt jump shot from 23 ft (assist by M. Morris),,83,97
344,4,11:51.0,,L. Kennard misses 3-pt jump shot from 25 ft,83,97
345,4,11:47.0,Defensive rebound by T. Lyles,,83,97
346,4,11:29.0,N. Jokić misses 2-pt layup from 5 ft (block by Z. Pachulia),,83,97
347,4,11:27.0,,Defensive rebound by Z. Pachulia,83,97
348,4,11:27.0,,Offensive foul by L. Galloway (drawn by M. Beasley),83,97
349,4,11:27.0,,Turnover by L. Galloway (offensive foul),83,97
350,4,11:07.0,Turnover by N. Jokić (bad pass; steal by I. Smith),,83,97
351,4,10:57.0,,S. Johnson makes 2-pt jump shot from 6 ft,83,99
352,4,10:57.0,,Shooting foul by M. Morris (drawn by S. Johnson),83,99
353,4,10:57.0,,S. Johnson makes free throw 1 of 1,83,100
354,4,10:47.0,M. Morris misses 2-pt layup from 3 ft,,83,100
355,4,10:47.0,,Defensive rebound by Z. Pachulia,83,100
356,4,10:39.0,,S. Johnson makes 3-pt jump shot from 23 ft (assist by L. Kennard),83,103
357,4,10:38.0,Denver full timeout,,83,103
358,4,10:28.0,Personal foul by Z. Pachulia (drawn by N. Jokić),,83,103
359,4,10:21.0,Turnover by T. Lyles (lost ball; steal by S. Johnson),,83,103
360,4,10:16.0,,L. Kennard makes 3-pt jump shot from 23 ft (assist by S. Johnson),83,106
361,4,10:02.0,N. Jokić misses 2-pt layup from 7 ft (block by Z. Pachulia),,83,106
362,4,10:02.0,Offensive rebound by Team,,83,106
363,4,10:02.0,M. Plumlee enters the game for N. Jokić,,83,106
364,4,9:49.0,M. Plumlee makes 2-pt hook shot from 8 ft (assist by M. Beasley),,85,106
365,4,9:38.0,,S. Johnson makes 3-pt jump shot from 26 ft (assist by I. Smith),85,109
366,4,9:21.0,Shooting foul by S. Johnson (drawn by T. Lyles),,85,109
367,4,9:21.0,T. Lyles makes free throw 1 of 2,,86,109
368,4,9:21.0,T. Lyles makes free throw 2 of 2,,87,109
369,4,9:09.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by L. Kennard),87,112
370,4,8:55.0,M. Morris makes 2-pt jump shot from 10 ft,,89,112
371,4,8:46.0,,Turnover by I. Smith (back court),89,112
372,4,8:37.0,M. Morris misses 3-pt jump shot from 28 ft,,89,112
373,4,8:34.0,,Defensive rebound by L. Kennard,89,112
374,4,8:23.0,,Offensive foul by Z. Pachulia (drawn by M. Beasley),89,112
375,4,8:23.0,,Turnover by Z. Pachulia (offensive foul),89,112
376,4,8:23.0,,Technical foul by Z. Pachulia,89,112
377,4,8:23.0,M. Beasley makes technical free throw,,90,112
