,QUARTER,TIME_REMAINING,BOSTON_ACTION,OKLAHOMA CITY_ACTION,BOSTON_SCORE,OKLAHOMA CITY_SCORE
397,4,9:32.0,M. Morris makes free throw 1 of 2,,77,77
398,4,9:32.0,M. Morris makes free throw 2 of 2,,78,77
399,4,9:15.0,,P. Patterson makes 2-pt layup from 1 ft (assist by Á. Abrines),78,79
400,4,9:02.0,Personal foul by D. Schröder (drawn by G. Hayward),,78,79
401,4,8:52.0,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Rozier),,81,79
402,4,8:35.0,,P. Patterson makes 3-pt jump shot from 24 ft (assist by D. Schröder),81,82
403,4,8:25.0,J. Brown misses 2-pt layup from 2 ft (block by N. Noel),,81,82
404,4,8:22.0,Offensive rebound by J. Brown,,81,82
405,4,8:20.0,Shooting foul by P. Patterson (drawn by G. Hayward),,81,82
406,4,8:20.0,G. Hayward misses free throw 1 of 2,,81,82
407,4,8:20.0,Offensive rebound by Team,,81,82
408,4,8:20.0,,R. Westbrook enters the game for D. Schröder,81,82
409,4,8:20.0,G. Hayward makes free throw 2 of 2,,82,82
410,4,7:57.0,,P. Patterson makes 2-pt jump shot from 12 ft,82,84
411,4,7:37.0,Personal foul by N. Noel (drawn by S. Ojeleye),,82,84
412,4,7:37.0,S. Ojeleye makes free throw 1 of 2,,83,84
413,4,7:37.0,A. Horford enters the game for M. Morris,,83,84
414,4,7:37.0,,S. Adams enters the game for N. Noel,83,84
415,4,7:37.0,S. Ojeleye misses free throw 2 of 2,,83,84
416,4,7:36.0,,Defensive rebound by R. Westbrook,83,84
417,4,7:29.0,,R. Westbrook misses 2-pt layup from 1 ft,83,84
418,4,7:28.0,Defensive rebound by G. Hayward,,83,84
419,4,7:22.0,S. Ojeleye misses 2-pt layup from 1 ft,,83,84
420,4,7:20.0,,Defensive rebound by S. Adams,83,84
421,4,7:14.0,,Turnover by R. Westbrook (step out of bounds),83,84
422,4,7:02.0,G. Hayward misses 2-pt layup from 2 ft (block by S. Adams),,83,84
423,4,7:01.0,Offensive rebound by Team,,83,84
424,4,7:01.0,K. Irving enters the game for S. Ojeleye,,83,84
425,4,6:56.0,G. Hayward misses 3-pt jump shot from 25 ft,,83,84
426,4,6:53.0,,Defensive rebound by P. Patterson,83,84
427,4,6:45.0,,H. Diallo makes 2-pt layup from 2 ft,83,86
428,4,6:25.0,K. Irving misses 2-pt jump shot from 10 ft,,83,86
429,4,6:23.0,,Defensive rebound by P. Patterson,83,86
430,4,6:23.0,,Technical foul by B. Stevens,83,86
431,4,6:23.0,,Oklahoma City full timeout,83,86
432,4,6:23.0,,P. George enters the game for H. Diallo,83,86
433,4,6:23.0,,J. Grant enters the game for P. Patterson,83,86
434,4,6:23.0,,Á. Abrines misses technical free throw,83,86
435,4,6:23.0,,Offensive rebound by Team,83,86
436,4,6:13.0,,R. Westbrook misses 3-pt jump shot from 25 ft,83,86
437,4,6:10.0,Defensive rebound by T. Rozier,,83,86
438,4,5:46.0,K. Irving misses 2-pt layup from 3 ft (block by J. Grant),,83,86
439,4,5:43.0,,Defensive rebound by P. George,83,86
440,4,5:38.0,,S. Adams misses 2-pt jump shot from 9 ft,83,86
441,4,5:35.0,,Offensive rebound by S. Adams,83,86
442,4,5:35.0,J. Tatum enters the game for T. Rozier,,83,86
443,4,5:32.0,Violation by Team (jump ball),,83,86
444,4,5:26.0,,Á. Abrines makes 3-pt jump shot from 25 ft (assist by R. Westbrook),83,89
445,4,5:11.0,Personal foul by Á. Abrines (drawn by J. Brown),,83,89
446,4,5:11.0,J. Brown makes free throw 1 of 2,,84,89
447,4,5:11.0,M. Morris enters the game for G. Hayward,,84,89
448,4,5:11.0,J. Brown makes free throw 2 of 2,,85,89
449,4,4:57.0,,Á. Abrines makes 3-pt jump shot from 23 ft (assist by R. Westbrook),85,92
450,4,4:42.0,A. Horford misses 3-pt jump shot from 26 ft,,85,92
451,4,4:39.0,,Defensive rebound by P. George,85,92
452,4,4:35.0,,Personal foul by J. Brown (drawn by P. George),85,92
453,4,4:35.0,M. Smart enters the game for J. Brown,,85,92
454,4,4:22.0,,Shooting foul by J. Tatum (drawn by P. George),85,92
455,4,4:22.0,,P. George makes free throw 1 of 2,85,93
456,4,4:22.0,,P. George makes free throw 2 of 2,85,94
457,4,4:14.0,Personal foul by P. George (drawn by J. Tatum),,85,94
458,4,4:14.0,J. Tatum makes free throw 1 of 2,,86,94
459,4,4:14.0,J. Tatum makes free throw 2 of 2,,87,94
460,4,4:05.0,,R. Westbrook misses 2-pt jump shot from 19 ft,87,94
461,4,4:02.0,Defensive rebound by K. Irving,,87,94
462,4,3:58.0,M. Morris misses 3-pt jump shot from 25 ft,,87,94
463,4,3:56.0,,Defensive rebound by Á. Abrines,87,94
464,4,3:49.0,,Á. Abrines misses 3-pt jump shot from 24 ft,87,94
465,4,3:47.0,,Offensive rebound by J. Grant,87,94
466,4,3:36.0,,J. Grant misses 3-pt jump shot from 23 ft,87,94
467,4,3:34.0,Defensive rebound by Team,,87,94
468,4,3:34.0,,Loose ball foul by J. Grant (drawn by M. Morris),87,94
469,4,3:34.0,M. Morris makes free throw 1 of 2,,88,94
470,4,3:34.0,M. Morris makes free throw 2 of 2,,89,94
471,4,3:23.0,,P. George misses 3-pt jump shot from 26 ft,89,94
472,4,3:21.0,Defensive rebound by M. Morris,,89,94
473,4,3:21.0,Boston full timeout,,89,94
474,4,3:12.0,K. Irving makes 2-pt jump shot from 11 ft,,91,94
475,4,2:53.0,,Turnover by R. Westbrook (bad pass; steal by J. Tatum),91,94
476,4,2:34.0,Personal foul by R. Westbrook (drawn by J. Tatum),,91,94
477,4,2:34.0,J. Tatum makes free throw 1 of 2,,92,94
478,4,2:34.0,J. Tatum makes free throw 2 of 2,,93,94
479,4,2:17.0,,R. Westbrook misses 2-pt jump shot from 20 ft,93,94
480,4,2:13.0,Defensive rebound by K. Irving,,93,94
481,4,2:02.0,K. Irving misses 3-pt jump shot from 25 ft,,93,94
482,4,2:00.0,,Defensive rebound by R. Westbrook,93,94
483,4,1:53.0,,R. Westbrook misses 2-pt jump shot from 7 ft,93,94
484,4,1:50.0,Defensive rebound by K. Irving,,93,94
485,4,1:30.0,Turnover by J. Tatum (lost ball; steal by P. George),,93,94
486,4,1:20.0,,Personal foul by K. Irving (drawn by S. Adams),93,94
487,4,1:20.0,,S. Adams makes free throw 1 of 2,93,95
488,4,1:20.0,,S. Adams misses free throw 2 of 2,93,95
489,4,1:18.0,Defensive rebound by Team,,93,95
490,4,1:08.0,J. Tatum misses 2-pt jump shot from 16 ft,,93,95
491,4,1:05.0,Offensive rebound by K. Irving,,93,95
492,4,0:56.0,K. Irving makes 2-pt layup at rim,,95,95
493,4,0:45.0,,R. Westbrook misses 3-pt jump shot from 25 ft,95,95
494,4,0:42.0,Defensive rebound by J. Tatum,,95,95
495,4,0:34.0,Boston full timeout,,95,95
496,4,0:34.0,,D. Schröder enters the game for Á. Abrines,95,95
497,4,0:28.0,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Horford),,98,95
498,4,0:27.0,,Oklahoma City full timeout,98,95
499,4,0:27.0,T. Rozier enters the game for K. Irving,,98,95
500,4,0:27.0,,Á. Abrines enters the game for D. Schröder,98,95
501,4,0:26.0,,R. Westbrook misses 3-pt jump shot from 28 ft,98,95
502,4,0:23.0,Defensive rebound by M. Morris,,98,95
503,4,0:22.0,Personal foul by P. George (drawn by M. Morris),,98,95
504,4,0:22.0,M. Morris makes free throw 1 of 2,,99,95
505,4,0:22.0,,P. Patterson enters the game for J. Grant,99,95
506,4,0:22.0,M. Morris misses free throw 2 of 2,,99,95
507,4,0:20.0,,Defensive rebound by R. Westbrook,99,95
508,4,0:16.0,,P. George misses 3-pt jump shot from 24 ft,99,95
509,4,0:13.0,,Offensive rebound by R. Westbrook,99,95
510,4,0:12.0,,Turnover by R. Westbrook (out of bounds lost ball),99,95
511,4,0:12.0,,J. Grant enters the game for Á. Abrines,99,95
512,4,0:12.0,,D. Schröder enters the game for P. Patterson,99,95
513,4,0:12.0,Boston full timeout,,99,95
514,4,0:12.0,K. Irving enters the game for T. Rozier,,99,95
515,4,0:10.0,Personal take foul by S. Adams (drawn by A. Horford),,99,95
516,4,0:10.0,A. Horford makes free throw 1 of 2,,100,95
517,4,0:10.0,,Á. Abrines enters the game for J. Grant,100,95
518,4,0:10.0,,P. Patterson enters the game for D. Schröder,100,95
519,4,0:10.0,A. Horford makes free throw 2 of 2,,101,95
520,4,0:04.0,,Á. Abrines misses 3-pt jump shot from 25 ft,101,95
521,4,0:01.0,Defensive rebound by A. Horford,,101,95
