,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
372,3,0:37.0,Turnover by C. McCollum (offensive foul),,79,109
373,3,0:37.0,N. Stauskas enters the game for C. McCollum,,79,109
374,3,0:30.0,,T. Snell misses 3-pt jump shot from 24 ft,79,109
375,3,0:27.0,Defensive rebound by M. Leonard,,79,109
376,3,0:13.0,M. Leonard misses 3-pt jump shot from 26 ft,,79,109
377,3,0:10.0,,Defensive rebound by G. Antetokounmpo,79,109
378,3,0:05.0,,Turnover by T. Maker (step out of bounds),79,109
379,4,11:46.0,,M. Brogdon makes 2-pt layup from 1 ft,79,111
380,4,11:27.0,W. Baldwin misses 2-pt layup from 4 ft,,79,111
381,4,11:25.0,Offensive rebound by Z. Collins,,79,111
382,4,11:23.0,Z. Collins makes 2-pt layup from 2 ft,,81,111
383,4,11:14.0,,Personal foul by Z. Collins (drawn by T. Maker),81,111
384,4,11:14.0,,M. Dellavedova enters the game for P. Connaughton,81,111
385,4,11:07.0,,M. Brogdon misses 2-pt layup from 2 ft,81,111
386,4,11:07.0,Defensive rebound by M. Leonard,,81,111
387,4,10:54.0,A. Simons misses 2-pt jump shot from 17 ft,,81,111
388,4,10:49.0,,Defensive rebound by T. Maker,81,111
389,4,10:43.0,,T. Snell misses 3-pt jump shot from 29 ft,81,111
390,4,10:42.0,,Offensive rebound by Team,81,111
391,4,10:42.0,C. Swanigan enters the game for M. Leonard,,81,111
392,4,10:42.0,,C. Wood enters the game for M. Brogdon,81,111
393,4,10:36.0,,T. Snell misses 3-pt jump shot from 26 ft,81,111
394,4,10:30.0,Defensive rebound by C. Swanigan,,81,111
395,4,10:24.0,N. Stauskas misses 3-pt jump shot from 30 ft,,81,111
396,4,10:21.0,,Defensive rebound by C. Wood,81,111
397,4,10:05.0,,S. Brown makes 2-pt jump shot from 11 ft (assist by C. Wood),81,113
398,4,9:55.0,W. Baldwin misses 2-pt jump shot from 18 ft,,81,113
399,4,9:54.0,Offensive rebound by Team,,81,113
400,4,9:54.0,,J. Morris enters the game for T. Maker,81,113
401,4,9:53.0,Personal foul by S. Brown (drawn by Z. Collins),,81,113
402,4,9:53.0,Technical foul by Z. Collins,,81,113
403,4,9:53.0,,Technical foul by S. Brown,81,113
404,4,9:48.0,N. Stauskas misses 3-pt jump shot from 25 ft,,81,113
405,4,9:46.0,,Defensive rebound by C. Wood,81,113
406,4,9:37.0,,S. Brown misses 3-pt jump shot from 26 ft,81,113
407,4,9:35.0,Defensive rebound by C. Swanigan,,81,113
408,4,9:20.0,C. Swanigan misses 2-pt layup from 5 ft,,81,113
409,4,9:15.0,Offensive rebound by Z. Collins,,81,113
410,4,9:15.0,Z. Collins misses 2-pt layup from 1 ft,,81,113
411,4,9:14.0,,Defensive rebound by J. Morris,81,113
412,4,9:12.0,,C. Wood makes 3-pt jump shot from 28 ft (assist by J. Morris),81,116
413,4,8:46.0,C. Swanigan misses 2-pt hook shot from 8 ft,,81,116
414,4,8:44.0,,Defensive rebound by C. Wood,81,116
415,4,8:34.0,,Turnover by M. Dellavedova (bad pass; steal by C. Swanigan),81,116
416,4,8:33.0,Personal foul by S. Brown (drawn by N. Stauskas),,81,116
417,4,8:33.0,,Milwaukee full timeout,81,116
418,4,8:33.0,,T. Maker enters the game for T. Snell,81,116
419,4,8:24.0,Z. Collins makes 3-pt jump shot from 26 ft (assist by W. Baldwin),,84,116
420,4,8:06.0,,C. Wood makes 2-pt dunk from 1 ft (assist by M. Dellavedova),84,118
421,4,7:51.0,N. Stauskas makes 2-pt jump shot from 13 ft,,86,118
422,4,7:37.0,,J. Morris makes 2-pt layup from 4 ft (assist by M. Dellavedova),86,120
423,4,7:25.0,Turnover by W. Baldwin (bad pass; steal by J. Morris),,86,120
424,4,7:21.0,,T. Maker misses 2-pt layup from 3 ft (block by Z. Collins),86,120
425,4,7:21.0,,Offensive rebound by Team,86,120
426,4,7:18.0,,J. Morris makes 2-pt layup from 2 ft (assist by S. Brown),86,122
427,4,7:02.0,C. Swanigan misses 3-pt jump shot from 23 ft,,86,122
428,4,6:59.0,,Defensive rebound by T. Maker,86,122
429,4,6:51.0,,J. Morris makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),86,125
430,4,6:30.0,Z. Collins makes 3-pt jump shot from 27 ft (assist by N. Stauskas),,89,125
431,4,6:11.0,,C. Wood makes 2-pt layup from 7 ft,89,127
432,4,6:00.0,W. Baldwin misses 2-pt layup from 7 ft,,89,127
433,4,5:57.0,,Defensive rebound by C. Wood,89,127
434,4,5:47.0,,C. Wood misses 3-pt jump shot from 26 ft,89,127
435,4,5:45.0,,Offensive rebound by S. Brown,89,127
436,4,5:43.0,,T. Maker misses 3-pt jump shot from 26 ft,89,127
437,4,5:37.0,,Offensive rebound by C. Wood,89,127
438,4,5:37.0,,C. Wood makes 2-pt layup at rim,89,129
439,4,5:23.0,A. Simons misses 2-pt layup from 5 ft,,89,129
440,4,5:22.0,Offensive rebound by Team,,89,129
441,4,5:22.0,J. Layman enters the game for N. Stauskas,,89,129
442,4,5:14.0,C. Swanigan misses 2-pt jump shot from 16 ft,,89,129
443,4,5:12.0,,Defensive rebound by S. Brown,89,129
444,4,5:02.0,,M. Dellavedova misses 2-pt layup from 2 ft,89,129
445,4,5:02.0,Defensive rebound by Team,,89,129
446,4,4:53.0,Turnover by C. Swanigan (lost ball; steal by M. Dellavedova),,89,129
447,4,4:48.0,,M. Dellavedova misses 2-pt layup from 1 ft,89,129
448,4,4:48.0,,Offensive rebound by T. Maker,89,129
449,4,4:48.0,,T. Maker makes 2-pt dunk at rim,89,131
450,4,4:48.0,Portland full timeout,,89,131
451,4,4:28.0,Turnover by A. Simons (bad pass),,89,131
452,4,4:17.0,,T. Maker makes 3-pt jump shot from 24 ft (assist by S. Brown),89,134
453,4,3:55.0,J. Layman makes 2-pt layup from 3 ft (assist by W. Baldwin),,91,134
454,4,3:39.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,91,134
455,4,3:36.0,Defensive rebound by Z. Collins,,91,134
456,4,3:25.0,A. Simons misses 3-pt jump shot from 29 ft,,91,134
457,4,3:22.0,,Defensive rebound by S. Brown,91,134
458,4,3:05.0,,M. Dellavedova makes 2-pt jump shot from 9 ft,91,136
459,4,2:53.0,W. Baldwin misses 2-pt layup from 6 ft (block by T. Maker),,91,136
460,4,2:50.0,,Defensive rebound by T. Maker,91,136
461,4,2:46.0,,S. Brown misses 3-pt jump shot from 26 ft,91,136
462,4,2:43.0,Defensive rebound by W. Baldwin,,91,136
463,4,2:34.0,A. Simons makes 2-pt layup from 3 ft (assist by W. Baldwin),,93,136
464,4,2:23.0,,C. Wood makes 2-pt layup from 2 ft (assist by M. Dellavedova),93,138
465,4,2:10.0,W. Baldwin makes 2-pt layup from 1 ft,,95,138
466,4,1:52.0,,Turnover by M. Dellavedova (bad pass),95,138
467,4,1:37.0,Shooting foul by J. Morris (drawn by A. Simons),,95,138
468,4,1:37.0,A. Simons misses free throw 1 of 2,,95,138
469,4,1:37.0,Offensive rebound by Team,,95,138
470,4,1:37.0,A. Simons misses free throw 2 of 2,,95,138
471,4,1:33.0,,Defensive rebound by T. Maker,95,138
472,4,1:26.0,,Turnover by M. Dellavedova (bad pass; steal by Z. Collins),95,138
473,4,1:23.0,Turnover by A. Simons (bad pass),,95,138
474,4,1:09.0,,T. Maker misses 2-pt layup from 2 ft,95,138
475,4,1:06.0,Defensive rebound by C. Swanigan,,95,138
476,4,1:04.0,Turnover by J. Layman (step out of bounds),,95,138
477,4,0:48.0,,S. Brown misses 2-pt jump shot from 17 ft,95,138
478,4,0:45.0,,Offensive rebound by S. Brown,95,138
479,4,0:41.0,,S. Brown makes 3-pt jump shot from 23 ft (assist by C. Wood),95,141
480,4,0:31.0,W. Baldwin misses 2-pt layup from 5 ft,,95,141
481,4,0:30.0,Offensive rebound by C. Swanigan,,95,141
482,4,0:30.0,C. Swanigan makes 2-pt layup from 1 ft,,97,141
483,4,0:09.0,,S. Brown makes 2-pt layup from 2 ft,97,143
484,4,0:00.0,W. Baldwin makes 3-pt jump shot from 28 ft,,100,143
