,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DETROIT_ACTION,PORTLAND_SCORE,DETROIT_SCORE
97,1,1:46.0,,G. Robinson misses free throw 1 of 1,14,7
98,1,1:41.0,Defensive rebound by E. Freedom,,14,7
99,1,1:29.0,R. Hood misses 2-pt jump shot from 11 ft,,14,7
100,1,1:25.0,,Defensive rebound by A. Drummond,14,7
101,1,1:18.0,,Turnover by L. Galloway (lost ball; steal by E. Freedom),14,7
102,1,1:10.0,A. Aminu misses 3-pt jump shot from 27 ft,,14,7
103,1,1:04.0,,Defensive rebound by A. Drummond,14,7
104,1,0:57.0,,L. Kennard misses 2-pt jump shot from 18 ft,14,7
105,1,0:53.0,Defensive rebound by E. Freedom,,14,7
106,1,0:45.0,S. Curry misses 2-pt layup from 3 ft,,14,7
107,1,0:43.0,,Defensive rebound by A. Drummond,14,7
108,1,0:40.0,,G. Robinson makes 2-pt layup from 2 ft,14,9
109,1,0:30.0,D. Lillard misses 2-pt layup from 3 ft,,14,9
110,1,0:27.0,Offensive rebound by E. Freedom,,14,9
111,1,0:27.0,E. Freedom misses 2-pt layup from 1 ft,,14,9
112,1,0:26.0,Offensive rebound by S. Curry,,14,9
113,1,0:26.0,S. Curry misses 2-pt jump shot from 19 ft,,14,9
114,1,0:26.0,,Defensive rebound by A. Drummond,14,9
115,1,0:08.0,,Personal foul by D. Lillard (drawn by I. Smith),14,9
116,1,0:08.0,,I. Smith makes free throw 1 of 2,14,10
117,1,0:08.0,,I. Smith makes free throw 2 of 2,14,11
118,1,0:04.0,Personal take foul by L. Galloway (drawn by D. Lillard),,14,11
119,1,0:04.0,J. Layman enters the game for E. Freedom,,14,11
120,1,0:02.0,J. Layman misses 2-pt jump shot from 18 ft,,14,11
121,1,0:01.0,Offensive rebound by Team,,14,11
122,2,11:52.0,Personal foul by Z. Pachulia (drawn by Z. Collins),,14,11
123,2,11:35.0,J. Layman misses 3-pt jump shot from 24 ft,,14,11
124,2,11:31.0,,Defensive rebound by L. Kennard,14,11
125,2,11:23.0,,G. Robinson misses 3-pt jump shot from 26 ft,14,11
126,2,11:21.0,Defensive rebound by E. Turner,,14,11
127,2,11:08.0,R. Hood makes 2-pt hook shot from 5 ft,,16,11
128,2,10:51.0,,L. Galloway misses 3-pt jump shot from 26 ft,16,11
129,2,10:48.0,Defensive rebound by Z. Collins,,16,11
130,2,10:41.0,E. Turner misses 2-pt jump shot from 13 ft,,16,11
131,2,10:35.0,,Defensive rebound by G. Robinson,16,11
132,2,10:23.0,,L. Kennard makes 2-pt jump shot from 17 ft,16,13
133,2,10:05.0,S. Curry makes 3-pt jump shot from 26 ft (assist by E. Turner),,19,13
134,2,9:48.0,,Offensive foul by Z. Pachulia (drawn by R. Hood),19,13
135,2,9:48.0,,Turnover by Z. Pachulia (offensive foul),19,13
136,2,9:27.0,R. Hood misses 2-pt hook shot from 9 ft,,19,13
137,2,9:25.0,,Defensive rebound by I. Smith,19,13
138,2,9:21.0,,I. Smith misses 2-pt layup from 3 ft,19,13
139,2,9:19.0,Defensive rebound by E. Turner,,19,13
140,2,9:15.0,S. Curry misses 3-pt jump shot from 23 ft,,19,13
141,2,9:13.0,,Defensive rebound by Team,19,13
142,2,8:54.0,,L. Kennard misses 2-pt jump shot from 10 ft,19,13
143,2,8:51.0,Defensive rebound by E. Turner,,19,13
144,2,8:47.0,Def 3 sec tech foul by Team,,19,13
145,2,8:47.0,S. Curry misses technical free throw,,19,13
146,2,8:47.0,Offensive rebound by Team,,19,13
147,2,8:34.0,J. Layman makes 2-pt jump shot from 12 ft (assist by R. Hood),,21,13
148,2,8:23.0,,Def 3 sec tech foul by Team,21,13
149,2,8:23.0,,L. Kennard makes technical free throw,21,14
150,2,8:07.0,,I. Smith misses 3-pt jump shot from 27 ft,21,14
151,2,8:05.0,Defensive rebound by R. Hood,,21,14
152,2,8:01.0,Personal foul by I. Smith (drawn by E. Turner),,21,14
153,2,7:51.0,R. Hood makes 2-pt jump shot from 14 ft,,23,14
154,2,7:51.0,Shooting foul by I. Smith (drawn by R. Hood),,23,14
155,2,7:51.0,R. Hood makes free throw 1 of 1,,24,14
156,2,7:37.0,,Z. Pachulia makes 2-pt layup from 2 ft,24,16
157,2,7:22.0,S. Curry makes 2-pt layup from 5 ft,,26,16
158,2,7:22.0,,Violation by Team (def goaltending),26,16
159,2,7:13.0,,Personal foul by J. Layman (drawn by L. Kennard),26,16
160,2,7:04.0,,L. Galloway makes 2-pt jump shot from 19 ft (assist by Z. Pachulia),26,18
161,2,6:51.0,Turnover by Z. Collins (traveling),,26,18
162,2,6:51.0,,Detroit full timeout,26,18
163,2,6:51.0,E. Freedom enters the game for Z. Collins,,26,18
164,2,6:51.0,,A. Drummond enters the game for Z. Pachulia,26,18
165,2,6:51.0,,T. Maker enters the game for G. Robinson,26,18
166,2,6:31.0,,L. Galloway misses 2-pt layup from 9 ft,26,18
167,2,6:27.0,Defensive rebound by E. Freedom,,26,18
168,2,6:18.0,J. Layman misses 2-pt hook shot from 3 ft,,26,18
169,2,6:18.0,,Defensive rebound by A. Drummond,26,18
170,2,6:11.0,,L. Kennard misses 3-pt jump shot from 26 ft,26,18
171,2,6:08.0,Defensive rebound by E. Freedom,,26,18
172,2,5:55.0,R. Hood misses 2-pt jump shot from 15 ft,,26,18
173,2,5:52.0,Offensive rebound by E. Freedom,,26,18
174,2,5:51.0,E. Freedom makes 2-pt layup from 2 ft,,28,18
175,2,5:40.0,,Personal foul by J. Layman (drawn by L. Kennard),28,18
176,2,5:32.0,,I. Smith misses 2-pt jump shot from 19 ft,28,18
177,2,5:32.0,Defensive rebound by Team,,28,18
178,2,5:32.0,Z. Collins enters the game for J. Layman,,28,18
179,2,5:32.0,,W. Ellington enters the game for L. Kennard,28,18
180,2,5:22.0,Z. Collins misses 2-pt layup from 1 ft,,28,18
181,2,5:19.0,,Defensive rebound by T. Maker,28,18
182,2,5:11.0,,T. Maker makes 2-pt layup from 2 ft (assist by I. Smith),28,20
183,2,5:00.0,Personal foul by I. Smith (drawn by S. Curry),,28,20
184,2,5:00.0,D. Lillard enters the game for R. Hood,,28,20
185,2,5:00.0,,R. Jackson enters the game for I. Smith,28,20
186,2,4:54.0,E. Freedom misses 2-pt layup from 2 ft,,28,20
187,2,4:52.0,,Defensive rebound by A. Drummond,28,20
188,2,4:46.0,Violation by Team (kicked ball),,28,20
189,2,4:46.0,A. Aminu enters the game for Z. Collins,,28,20
190,2,4:37.0,,R. Jackson misses 3-pt jump shot from 25 ft,28,20
191,2,4:32.0,Defensive rebound by E. Freedom,,28,20
192,2,4:31.0,,Violation by Team (kicked ball),28,20
193,2,4:21.0,S. Curry makes 2-pt jump shot from 11 ft,,30,20
194,2,4:06.0,,L. Galloway misses 2-pt layup from 7 ft,30,20
195,2,4:04.0,Defensive rebound by S. Curry,,30,20
196,2,4:00.0,E. Freedom makes 2-pt layup from 1 ft (assist by S. Curry),,32,20
197,2,4:00.0,,Detroit full timeout,32,20
198,2,3:38.0,,T. Maker misses 2-pt layup from 2 ft (block by D. Lillard),32,20
199,2,3:38.0,,Offensive rebound by Team,32,20
200,2,3:34.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),32,22
201,2,3:18.0,E. Freedom makes 2-pt layup from 3 ft (assist by E. Turner),,34,22
202,2,3:08.0,,R. Jackson makes 2-pt layup from 1 ft,34,24
203,2,2:43.0,Turnover by S. Curry (bad pass; steal by T. Maker),,34,24
204,2,2:39.0,,L. Galloway makes 2-pt layup from 2 ft (assist by T. Maker),34,26
205,2,2:39.0,Portland full timeout,,34,26
206,2,2:26.0,Turnover by D. Lillard (bad pass; steal by A. Drummond),,34,26
207,2,2:23.0,,A. Drummond misses 2-pt layup from 2 ft,34,26
208,2,2:22.0,,Offensive rebound by W. Ellington,34,26
209,2,2:20.0,,W. Ellington makes 2-pt layup from 2 ft,34,28
210,2,1:58.0,D. Lillard misses 3-pt jump shot from 26 ft,,34,28
211,2,1:56.0,Offensive rebound by A. Aminu,,34,28
212,2,1:55.0,A. Aminu misses 2-pt layup from 3 ft,,34,28
213,2,1:53.0,,Defensive rebound by W. Ellington,34,28
214,2,1:51.0,,Shooting foul by E. Freedom (drawn by R. Jackson),34,28
215,2,1:51.0,,R. Jackson misses free throw 1 of 2,34,28
216,2,1:51.0,,Offensive rebound by Team,34,28
217,2,1:51.0,M. Harkless enters the game for E. Turner,,34,28
218,2,1:51.0,,R. Jackson makes free throw 2 of 2,34,29
219,2,1:35.0,A. Aminu misses 2-pt jump shot from 8 ft,,34,29
220,2,1:32.0,,Defensive rebound by A. Drummond,34,29
221,2,1:27.0,,Turnover by A. Drummond (lost ball; steal by M. Harkless),34,29
222,2,1:18.0,Turnover by E. Freedom (step out of bounds),,34,29
223,2,1:01.0,,R. Jackson misses 2-pt jump shot from 8 ft,34,29
224,2,0:58.0,Defensive rebound by A. Aminu,,34,29
225,2,0:48.0,Offensive foul by E. Freedom (drawn by A. Drummond),,34,29
226,2,0:48.0,Turnover by E. Freedom (offensive foul),,34,29
227,2,0:48.0,M. Leonard enters the game for E. Freedom,,34,29
228,2,0:37.0,,R. Jackson misses 2-pt layup from 7 ft,34,29
229,2,0:35.0,Defensive rebound by M. Harkless,,34,29
230,2,0:29.0,D. Lillard misses 2-pt layup from 1 ft,,34,29
231,2,0:26.0,,Defensive rebound by L. Galloway,34,29
232,2,0:25.0,,R. Jackson makes 2-pt layup from 2 ft (assist by L. Galloway),34,31
233,2,0:01.0,A. Aminu misses 3-pt jump shot from 24 ft,,34,31
234,2,0:01.0,Offensive rebound by Team,,34,31
235,3,11:45.0,J. Layman makes 2-pt dunk from 2 ft (assist by A. Aminu),,36,31
236,3,11:28.0,,R. Jackson misses 2-pt jump shot from 8 ft (block by M. Harkless),36,31
237,3,11:28.0,,Offensive rebound by Team,36,31
238,3,11:19.0,,W. Ellington misses 3-pt jump shot from 26 ft,36,31
239,3,11:16.0,Defensive rebound by A. Aminu,,36,31
240,3,11:12.0,Personal foul by B. Brown (drawn by D. Lillard),,36,31
241,3,11:02.0,E. Freedom misses 2-pt jump shot from 21 ft,,36,31
242,3,11:00.0,,Defensive rebound by T. Maker,36,31
243,3,10:52.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by R. Jackson),36,33
244,3,10:29.0,D. Lillard misses 2-pt layup from 9 ft (block by B. Brown),,36,33
245,3,10:28.0,Offensive rebound by D. Lillard,,36,33
246,3,10:27.0,D. Lillard misses 2-pt layup from 2 ft,,36,33
247,3,10:25.0,Offensive rebound by Team,,36,33
248,3,10:20.0,Turnover by Team (shot clock),,36,33
249,3,10:08.0,,W. Ellington misses 3-pt jump shot from 27 ft,36,33
250,3,10:06.0,Defensive rebound by A. Aminu,,36,33
251,3,9:58.0,M. Harkless misses 3-pt jump shot from 26 ft,,36,33
252,3,9:56.0,Offensive rebound by E. Freedom,,36,33
253,3,9:56.0,Personal foul by R. Jackson (drawn by E. Freedom),,36,33
254,3,9:54.0,Personal foul by W. Ellington (drawn by M. Harkless),,36,33
255,3,9:43.0,D. Lillard misses 2-pt jump shot from 6 ft,,36,33
256,3,9:42.0,Offensive rebound by M. Harkless,,36,33
257,3,9:38.0,M. Harkless misses 2-pt layup from 2 ft,,36,33
258,3,9:38.0,Offensive rebound by M. Harkless,,36,33
259,3,9:33.0,M. Harkless misses 2-pt layup at rim,,36,33
260,3,9:32.0,,Defensive rebound by B. Brown,36,33
261,3,9:29.0,,T. Maker misses 3-pt jump shot from 27 ft,36,33
262,3,9:26.0,Defensive rebound by D. Lillard,,36,33
263,3,9:22.0,M. Harkless makes 2-pt dunk from 1 ft (assist by J. Layman),,38,33
264,3,9:07.0,,Shooting foul by J. Layman (drawn by W. Ellington),38,33
265,3,9:07.0,,W. Ellington makes free throw 1 of 2,38,34
266,3,9:07.0,,W. Ellington misses free throw 2 of 2,38,34
267,3,9:06.0,Defensive rebound by Team,,38,34
268,3,8:54.0,Personal foul by A. Drummond (drawn by D. Lillard),,38,34
269,3,8:45.0,D. Lillard misses 2-pt layup from 8 ft (block by B. Brown),,38,34
270,3,8:43.0,,Defensive rebound by R. Jackson,38,34
271,3,8:39.0,,B. Brown makes 2-pt layup from 1 ft (assist by A. Drummond),38,36
272,3,8:23.0,M. Harkless misses 2-pt layup from 2 ft,,38,36
273,3,8:20.0,Offensive rebound by M. Harkless,,38,36
274,3,8:19.0,M. Harkless makes 2-pt dunk from 1 ft,,40,36
275,3,8:08.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by A. Drummond),40,39
276,3,7:47.0,M. Harkless makes 2-pt layup from 2 ft,,42,39
277,3,7:40.0,,T. Maker makes 2-pt dunk from 4 ft (assist by R. Jackson),42,41
278,3,7:31.0,Offensive foul by M. Harkless (drawn by B. Brown),,42,41
279,3,7:31.0,Turnover by M. Harkless (offensive foul),,42,41
280,3,7:16.0,,Turnover by W. Ellington (bad pass; steal by J. Layman),42,41
281,3,7:10.0,J. Layman makes 2-pt dunk from 4 ft (assist by M. Harkless),,44,41
282,3,7:01.0,,A. Drummond makes 2-pt hook shot from 3 ft (assist by R. Jackson),44,43
283,3,6:49.0,A. Aminu misses 3-pt jump shot from 25 ft,,44,43
284,3,6:47.0,,Defensive rebound by R. Jackson,44,43
285,3,6:43.0,,W. Ellington misses 3-pt jump shot from 25 ft,44,43
286,3,6:38.0,Defensive rebound by A. Aminu,,44,43
287,3,6:35.0,J. Layman makes 2-pt layup from 2 ft (assist by D. Lillard),,46,43
288,3,6:29.0,,Detroit full timeout,46,43
289,3,6:16.0,,A. Drummond makes 2-pt layup from 3 ft,46,45
290,3,5:59.0,D. Lillard makes 3-pt jump shot from 26 ft,,49,45
291,3,5:43.0,,W. Ellington makes 2-pt layup from 2 ft (assist by A. Drummond),49,47
292,3,5:31.0,D. Lillard makes 2-pt layup from 2 ft,,51,47
293,3,5:15.0,,R. Jackson misses 2-pt jump shot from 20 ft,51,47
294,3,5:13.0,,Offensive rebound by R. Jackson,51,47
295,3,5:07.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by W. Ellington),51,50
296,3,4:49.0,A. Aminu misses 2-pt layup from 2 ft,,51,50
297,3,4:46.0,Offensive rebound by E. Freedom,,51,50
298,3,4:46.0,E. Freedom misses 2-pt layup at rim,,51,50
299,3,4:46.0,,Defensive rebound by R. Jackson,51,50
300,3,4:43.0,,R. Jackson makes 2-pt dunk from 2 ft,51,52
301,3,4:43.0,Portland full timeout,,51,52
302,3,4:43.0,Z. Collins enters the game for A. Aminu,,51,52
303,3,4:43.0,S. Curry enters the game for M. Harkless,,51,52
304,3,4:43.0,R. Hood enters the game for J. Layman,,51,52
305,3,4:43.0,,G. Robinson enters the game for T. Maker,51,52
306,3,4:25.0,D. Lillard misses 2-pt layup from 2 ft,,51,52
307,3,4:23.0,,Defensive rebound by W. Ellington,51,52
308,3,4:03.0,,R. Jackson misses 2-pt jump shot from 4 ft,51,52
309,3,3:57.0,,Offensive rebound by A. Drummond,51,52
310,3,3:49.0,,B. Brown makes 3-pt jump shot from 23 ft (assist by G. Robinson),51,55
311,3,3:38.0,E. Freedom makes 2-pt layup from 2 ft (assist by R. Hood),,53,55
312,3,3:38.0,,Violation by Team (def goaltending),53,55
313,3,3:15.0,,A. Drummond makes 2-pt layup from 3 ft,53,57
314,3,2:56.0,E. Freedom makes 2-pt layup at rim (assist by S. Curry),,55,57
315,3,2:34.0,,A. Drummond makes 2-pt jump shot from 7 ft,55,59
316,3,2:14.0,D. Lillard makes 2-pt layup from 2 ft,,57,59
317,3,1:53.0,,W. Ellington misses 2-pt jump shot from 22 ft,57,59
318,3,1:51.0,Defensive rebound by Z. Collins,,57,59
319,3,1:42.0,Turnover by D. Lillard (bad pass; steal by W. Ellington),,57,59
320,3,1:39.0,,W. Ellington makes 2-pt dunk from 2 ft,57,61
321,3,1:12.0,R. Hood misses 2-pt jump shot from 6 ft,,57,61
322,3,1:11.0,Offensive rebound by Z. Collins,,57,61
323,3,1:09.0,Turnover by Z. Collins (bad pass; steal by A. Drummond),,57,61
324,3,1:06.0,,Turnover by A. Drummond (bad pass; steal by S. Curry),57,61
325,3,1:01.0,Z. Collins misses 2-pt layup from 2 ft (block by A. Drummond),,57,61
326,3,0:57.0,,Defensive rebound by G. Robinson,57,61
327,3,0:47.0,,R. Jackson makes 3-pt jump shot from 26 ft,57,64
328,3,0:30.0,Shooting foul by A. Drummond (drawn by Z. Collins),,57,64
329,3,0:30.0,Z. Collins makes free throw 1 of 2,,58,64
330,3,0:30.0,M. Leonard enters the game for E. Freedom,,58,64
331,3,0:30.0,E. Turner enters the game for D. Lillard,,58,64
332,3,0:30.0,,L. Galloway enters the game for B. Brown,58,64
333,3,0:30.0,Z. Collins makes free throw 2 of 2,,59,64
334,3,0:13.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by W. Ellington),59,66
335,3,0:02.0,S. Curry misses 2-pt jump shot from 15 ft,,59,66
336,3,0:01.0,Offensive rebound by Team,,59,66
337,4,11:43.0,,I. Smith misses 2-pt jump shot from 20 ft,59,66
338,4,11:39.0,Defensive rebound by M. Leonard,,59,66
339,4,11:31.0,M. Leonard misses 3-pt jump shot from 26 ft,,59,66
340,4,11:28.0,Offensive rebound by Z. Collins,,59,66
341,4,11:25.0,Turnover by Z. Collins (bad pass; steal by L. Kennard),,59,66
342,4,11:21.0,,L. Kennard misses 3-pt jump shot from 26 ft,59,66
343,4,11:19.0,,Offensive rebound by G. Robinson,59,66
344,4,11:08.0,,G. Robinson makes 2-pt layup from 1 ft,59,68
345,4,10:51.0,Z. Collins makes 2-pt layup from 1 ft (assist by M. Leonard),,61,68
346,4,10:32.0,,G. Robinson makes 2-pt layup from 2 ft (assist by Z. Pachulia),61,70
347,4,10:12.0,R. Hood misses 2-pt jump shot from 5 ft,,61,70
348,4,10:12.0,,Defensive rebound by Team,61,70
349,4,9:58.0,,Offensive foul by Z. Pachulia (drawn by M. Leonard),61,70
350,4,9:58.0,,Turnover by Z. Pachulia (offensive foul),61,70
351,4,9:58.0,J. Layman enters the game for Z. Collins,,61,70
352,4,9:39.0,M. Leonard makes 2-pt dunk from 1 ft (assist by J. Layman),,63,70
353,4,9:39.0,Shooting foul by G. Robinson (drawn by M. Leonard),,63,70
354,4,9:39.0,M. Leonard makes free throw 1 of 1,,64,70
355,4,9:21.0,,I. Smith misses 2-pt jump shot from 13 ft,64,70
356,4,9:18.0,Defensive rebound by M. Leonard,,64,70
357,4,9:12.0,S. Curry misses 3-pt jump shot from 27 ft,,64,70
358,4,9:10.0,Offensive rebound by R. Hood,,64,70
359,4,9:04.0,E. Turner misses 2-pt jump shot from 9 ft,,64,70
360,4,9:02.0,,Defensive rebound by Z. Pachulia,64,70
361,4,8:53.0,,Turnover by I. Smith (bad pass; steal by R. Hood),64,70
362,4,8:52.0,Turnover by R. Hood (out of bounds lost ball),,64,70
363,4,8:40.0,,I. Smith misses 2-pt jump shot from 20 ft,64,70
364,4,8:37.0,Defensive rebound by E. Turner,,64,70
365,4,8:37.0,Personal foul by Z. Pachulia (drawn by E. Turner),,64,70
366,4,8:23.0,S. Curry makes 2-pt layup from 1 ft (assist by M. Leonard),,66,70
367,4,8:09.0,,Z. Pachulia makes 2-pt jump shot from 15 ft,66,72
368,4,7:41.0,R. Hood makes 2-pt layup from 1 ft,,68,72
369,4,7:24.0,,Shooting foul by M. Leonard (drawn by L. Galloway),68,72
370,4,7:24.0,,L. Galloway makes free throw 1 of 2,68,73
371,4,7:24.0,,T. Maker enters the game for G. Robinson,68,73
372,4,7:24.0,,L. Galloway makes free throw 2 of 2,68,74
373,4,7:12.0,S. Curry makes 2-pt jump shot from 8 ft,,70,74
374,4,7:06.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by I. Smith),70,77
375,4,7:05.0,Portland full timeout,,70,77
376,4,7:05.0,M. Harkless enters the game for S. Curry,,70,77
377,4,7:05.0,D. Lillard enters the game for E. Turner,,70,77
378,4,7:05.0,,A. Drummond enters the game for Z. Pachulia,70,77
379,4,7:05.0,,R. Jackson enters the game for I. Smith,70,77
380,4,6:55.0,Turnover by M. Leonard (bad pass; steal by L. Galloway),,70,77
381,4,6:48.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by R. Jackson),70,79
382,4,6:27.0,M. Harkless misses 2-pt hook shot from 4 ft (block by A. Drummond),,70,79
383,4,6:25.0,,Defensive rebound by A. Drummond,70,79
384,4,6:11.0,,R. Jackson misses 2-pt jump shot from 14 ft,70,79
385,4,6:08.0,Defensive rebound by M. Harkless,,70,79
386,4,5:58.0,Turnover by D. Lillard (lost ball; steal by A. Drummond),,70,79
387,4,5:52.0,,Shooting foul by M. Leonard (drawn by T. Maker),70,79
388,4,5:52.0,,T. Maker makes free throw 1 of 2,70,80
