,QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
0,1,11:44.0,,Turnover by J. Harden (bad pass; steal by D. Bender),0,0
1,1,11:40.0,D. Booker makes 2-pt layup from 2 ft,,2,0
2,1,11:40.0,Shooting foul by D. House (drawn by D. Booker),,2,0
3,1,11:40.0,D. Booker misses free throw 1 of 1,,2,0
4,1,11:40.0,,Defensive rebound by P. Tucker,2,0
5,1,11:31.0,,E. Gordon misses 2-pt layup at rim,2,0
6,1,11:30.0,Defensive rebound by D. Bender,,2,0
7,1,11:22.0,D. Ayton misses 2-pt layup from 5 ft (block by J. Harden),,2,0
8,1,11:22.0,Offensive rebound by Team,,2,0
9,1,11:19.0,K. Oubre makes 2-pt layup from 1 ft (assist by T. Daniels),,4,0
10,1,11:07.0,,C. Capela misses 2-pt hook shot from 4 ft,4,0
11,1,11:06.0,Defensive rebound by D. Bender,,4,0
12,1,10:49.0,D. Ayton makes 2-pt jump shot from 8 ft,,6,0
13,1,10:27.0,,Personal foul by K. Oubre (drawn by P. Tucker),6,0
14,1,10:20.0,,Turnover by J. Harden (bad pass; steal by D. Bender),6,0
15,1,10:14.0,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),,8,0
16,1,10:05.0,,E. Gordon makes 2-pt layup at rim,8,2
17,1,9:59.0,D. Booker misses 3-pt jump shot from 27 ft,,8,2
18,1,9:59.0,Offensive rebound by K. Oubre,,8,2
19,1,9:56.0,K. Oubre misses 3-pt jump shot from 26 ft,,8,2
20,1,9:55.0,,Defensive rebound by C. Capela,8,2
21,1,9:39.0,,J. Harden misses 2-pt jump shot from 4 ft (block by D. Ayton),8,2
22,1,9:38.0,Defensive rebound by D. Ayton,,8,2
23,1,9:27.0,D. Ayton makes 2-pt dunk from 1 ft (assist by K. Oubre),,10,2
24,1,9:16.0,,D. House misses 3-pt jump shot from 25 ft,10,2
25,1,9:14.0,Defensive rebound by D. Ayton,,10,2
26,1,9:07.0,Turnover by D. Booker (lost ball; steal by D. House),,10,2
27,1,9:03.0,,Shooting foul by T. Daniels (drawn by J. Harden),10,2
28,1,9:03.0,,J. Harden makes free throw 1 of 3,10,3
29,1,9:03.0,,J. Harden makes free throw 2 of 3,10,4
30,1,9:03.0,,J. Harden makes free throw 3 of 3,10,5
31,1,8:50.0,Turnover by D. Bender (bad pass; steal by P. Tucker),,10,5
32,1,8:42.0,,J. Harden makes 3-pt jump shot from 26 ft,10,8
33,1,8:21.0,T. Daniels makes 3-pt jump shot from 23 ft (assist by D. Booker),,13,8
34,1,8:08.0,,Offensive foul by E. Gordon (drawn by D. Booker),13,8
35,1,8:08.0,,Turnover by E. Gordon (offensive foul),13,8
36,1,7:57.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by D. Bender),,16,8
37,1,7:50.0,,Shooting foul by T. Daniels (drawn by E. Gordon),16,8
38,1,7:50.0,,E. Gordon misses free throw 1 of 2,16,8
39,1,7:50.0,,Offensive rebound by Team,16,8
40,1,7:50.0,,E. Gordon makes free throw 2 of 2,16,9
41,1,7:30.0,D. Bender misses 3-pt jump shot from 26 ft,,16,9
42,1,7:29.0,,Defensive rebound by J. Harden,16,9
43,1,7:11.0,,Turnover by J. Harden (bad pass; steal by T. Daniels),16,9
44,1,7:05.0,D. Booker misses 2-pt layup from 5 ft,,16,9
45,1,7:04.0,,Defensive rebound by C. Capela,16,9
46,1,6:57.0,,D. House makes 3-pt jump shot from 23 ft (assist by E. Gordon),16,12
47,1,6:35.0,,Houston full timeout,16,12
48,1,6:35.0,,I. Shumpert enters the game for E. Gordon,16,12
49,1,6:30.0,Personal foul by P. Tucker (drawn by T. Daniels),,16,12
50,1,6:24.0,Turnover by D. Ayton (bad pass),,16,12
51,1,6:09.0,,P. Tucker misses 3-pt jump shot from 25 ft,16,12
52,1,6:08.0,Defensive rebound by K. Oubre,,16,12
53,1,5:56.0,T. Daniels misses 3-pt jump shot from 25 ft,,16,12
54,1,5:54.0,Offensive rebound by D. Booker,,16,12
55,1,5:50.0,D. Booker misses 3-pt jump shot from 23 ft,,16,12
56,1,5:49.0,,Defensive rebound by J. Harden,16,12
57,1,5:38.0,,Turnover by I. Shumpert (bad pass; steal by K. Oubre),16,12
58,1,5:34.0,K. Oubre misses 2-pt jump shot from 7 ft,,16,12
59,1,5:33.0,,Defensive rebound by J. Harden,16,12
60,1,5:27.0,,D. House makes 3-pt jump shot from 25 ft (assist by J. Harden),16,15
61,1,5:13.0,D. Bender makes 2-pt dunk from 2 ft (assist by K. Oubre),,18,15
62,1,4:59.0,,C. Capela misses 2-pt hook shot from 5 ft,18,15
63,1,4:57.0,Defensive rebound by D. Ayton,,18,15
64,1,4:55.0,Turnover by D. Ayton (bad pass),,18,15
65,1,4:55.0,M. Bridges enters the game for T. Daniels,,18,15
66,1,4:55.0,,K. Faried enters the game for C. Capela,18,15
67,1,4:55.0,,G. Green enters the game for D. House,18,15
68,1,4:55.0,,A. Rivers enters the game for P. Tucker,18,15
