,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MEMPHIS_ACTION,WASHINGTON_SCORE,MEMPHIS_SCORE
46,1,6:18.0,,D. Brooks misses 2-pt layup from 2 ft,12,8
47,1,6:15.0,Defensive rebound by J. Green,,12,8
48,1,6:02.0,J. Wall makes 2-pt jump shot from 15 ft,,14,8
49,1,5:45.0,,W. Selden makes 3-pt jump shot from 25 ft (assist by D. Brooks),14,11
50,1,5:32.0,Turnover by J. Wall (bad pass; steal by M. Conley),,14,11
51,1,5:23.0,,W. Selden misses 2-pt jump shot from 8 ft,14,11
52,1,5:20.0,Defensive rebound by J. Green,,14,11
53,1,5:12.0,J. Wall makes 2-pt layup from 2 ft,,16,11
54,1,4:48.0,,M. Conley misses 2-pt layup from 2 ft (block by J. Green),16,11
55,1,4:48.0,,Offensive rebound by Team,16,11
56,1,4:48.0,,O. Casspi enters the game for M. Conley,16,11
57,1,4:48.0,,S. Mack enters the game for G. Temple,16,11
58,1,4:44.0,,W. Selden misses 3-pt jump shot from 26 ft,16,11
59,1,4:42.0,Defensive rebound by I. Mahinmi,,16,11
60,1,4:32.0,J. Wall misses 3-pt jump shot from 26 ft,,16,11
61,1,4:29.0,,Defensive rebound by O. Casspi,16,11
62,1,4:26.0,,S. Mack misses 3-pt jump shot from 24 ft,16,11
63,1,4:22.0,Defensive rebound by I. Mahinmi,,16,11
64,1,4:15.0,O. Porter misses 2-pt jump shot from 19 ft,,16,11
65,1,4:12.0,,Defensive rebound by M. Gasol,16,11
66,1,4:09.0,,W. Selden misses 3-pt jump shot from 25 ft,16,11
67,1,4:04.0,Defensive rebound by J. Green,,16,11
68,1,3:50.0,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),,18,11
69,1,3:50.0,,Memphis full timeout,18,11
70,1,3:50.0,K. Oubre enters the game for O. Porter,,18,11
71,1,3:50.0,A. Rivers enters the game for J. Wall,,18,11
72,1,3:50.0,,M. Brooks enters the game for W. Selden,18,11
73,1,3:30.0,,Shooting foul by I. Mahinmi (drawn by M. Gasol),18,11
74,1,3:30.0,,M. Gasol makes free throw 1 of 2,18,12
75,1,3:30.0,,M. Gasol misses free throw 2 of 2,18,12
76,1,3:30.0,Defensive rebound by I. Mahinmi,,18,12
77,1,3:17.0,Turnover by B. Beal (traveling),,18,12
78,1,2:59.0,,Turnover by M. Brooks (traveling),18,12
79,1,2:59.0,J. Smith enters the game for I. Mahinmi,,18,12
80,1,2:43.0,A. Rivers misses 3-pt jump shot from 23 ft,,18,12
81,1,2:41.0,,Defensive rebound by O. Casspi,18,12
82,1,2:36.0,,M. Gasol misses 3-pt jump shot from 25 ft,18,12
83,1,2:33.0,Defensive rebound by A. Rivers,,18,12
84,1,2:23.0,J. Smith makes 2-pt layup from 1 ft (assist by K. Oubre),,20,12
85,1,2:10.0,,O. Casspi makes 3-pt jump shot from 25 ft (assist by M. Gasol),20,15
86,1,1:53.0,B. Beal misses 3-pt jump shot from 25 ft,,20,15
87,1,1:51.0,,Defensive rebound by Team,20,15
88,1,1:51.0,T. Satoranský enters the game for B. Beal,,20,15
89,1,1:38.0,,M. Gasol makes 2-pt hook shot from 3 ft (assist by S. Mack),20,17
90,1,1:38.0,,Shooting foul by J. Green (drawn by M. Gasol),20,17
91,1,1:38.0,,M. Gasol makes free throw 1 of 1,20,18
92,1,1:24.0,Shooting foul by M. Brooks (drawn by K. Oubre),,20,18
93,1,1:24.0,K. Oubre makes free throw 1 of 2,,21,18
94,1,1:24.0,K. Oubre makes free throw 2 of 2,,22,18
95,1,1:13.0,,O. Casspi makes 2-pt layup from 2 ft (assist by S. Mack),22,20
96,1,0:56.0,T. Satoranský misses 2-pt jump shot from 11 ft,,22,20
97,1,0:56.0,Offensive rebound by Team,,22,20
98,1,0:56.0,Personal foul by D. Brooks (drawn by J. Smith),,22,20
99,1,0:56.0,J. Smith makes free throw 1 of 2,,23,20
100,1,0:56.0,J. Smith makes free throw 2 of 2,,24,20
101,1,0:39.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by S. Mack),24,22
102,1,0:29.0,Turnover by K. Oubre (bad pass; steal by M. Gasol),,24,22
103,1,0:24.0,,O. Casspi misses 2-pt layup from 6 ft,24,22
104,1,0:21.0,Defensive rebound by T. Satoranský,,24,22
105,1,0:03.0,Offensive foul by J. Green (drawn by S. Mack),,24,22
106,1,0:03.0,Turnover by J. Green (offensive foul),,24,22
107,1,0:03.0,O. Porter enters the game for J. Green,,24,22
108,1,0:00.0,,S. Mack misses 2-pt layup from 2 ft,24,22
109,1,0:00.0,,Offensive rebound by D. Brooks,24,22
110,2,11:47.0,K. Oubre misses 3-pt jump shot from 25 ft,,24,22
111,2,11:42.0,,Defensive rebound by S. Mack,24,22
112,2,11:22.0,,O. Casspi misses 2-pt layup from 7 ft,24,22
113,2,11:19.0,,Offensive rebound by I. Rabb,24,22
114,2,11:14.0,,I. Rabb makes 2-pt jump shot from 7 ft (assist by S. Mack),24,24
115,2,11:00.0,T. Satoranský makes 3-pt jump shot from 26 ft (assist by A. Rivers),,27,24
116,2,10:44.0,,M. Brooks misses 3-pt jump shot from 25 ft,27,24
117,2,10:41.0,Defensive rebound by T. Satoranský,,27,24
118,2,10:30.0,K. Oubre misses 2-pt layup from 2 ft (block by I. Rabb),,27,24
119,2,10:30.0,Offensive rebound by Team,,27,24
120,2,10:30.0,,M. Conley enters the game for M. Brooks,27,24
121,2,10:25.0,O. Porter misses 2-pt jump shot from 18 ft,,27,24
122,2,10:19.0,,Defensive rebound by O. Casspi,27,24
123,2,10:12.0,,I. Rabb makes 2-pt hook shot from 7 ft,27,26
124,2,9:56.0,Turnover by A. Rivers (bad pass; steal by D. Brooks),,27,26
125,2,9:37.0,,M. Conley misses 3-pt jump shot from 25 ft,27,26
126,2,9:34.0,Defensive rebound by O. Porter,,27,26
127,2,9:24.0,Turnover by J. Smith (bad pass; steal by O. Casspi),,27,26
128,2,9:17.0,,M. Conley misses 3-pt jump shot from 22 ft (block by J. Smith),27,26
129,2,9:15.0,Defensive rebound by A. Rivers,,27,26
130,2,9:15.0,Personal foul by S. Mack (drawn by A. Rivers),,27,26
131,2,9:15.0,,J. Jackson enters the game for O. Casspi,27,26
132,2,9:00.0,J. Smith misses 2-pt jump shot from 20 ft,,27,26
133,2,8:58.0,,Defensive rebound by S. Mack,27,26
134,2,8:54.0,,M. Conley misses 3-pt jump shot from 25 ft,27,26
135,2,8:51.0,Defensive rebound by K. Oubre,,27,26
136,2,8:37.0,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Smith),,30,26
137,2,8:18.0,,Shooting foul by A. Rivers (drawn by M. Conley),30,26
138,2,8:18.0,B. Beal enters the game for O. Porter,,30,26
139,2,8:18.0,J. Wall enters the game for T. Satoranský,,30,26
140,2,8:18.0,,K. Anderson enters the game for D. Brooks,30,26
141,2,8:18.0,,G. Temple enters the game for S. Mack,30,26
142,2,8:18.0,,M. Conley makes free throw 2 of 2,30,27
143,2,8:18.0,,M. Conley makes free throw 1 of 2,30,28
144,2,8:02.0,Turnover by J. Wall (lost ball; steal by I. Rabb),,30,28
145,2,7:55.0,,Shooting foul by A. Rivers (drawn by K. Anderson),30,28
146,2,7:55.0,,K. Anderson misses free throw 1 of 2,30,28
147,2,7:55.0,,Offensive rebound by Team,30,28
148,2,7:55.0,,K. Anderson makes free throw 2 of 2,30,29
149,2,7:36.0,J. Wall misses 3-pt jump shot from 26 ft,,30,29
150,2,7:32.0,,Defensive rebound by G. Temple,30,29
151,2,7:29.0,,G. Temple makes 2-pt dunk from 1 ft (assist by M. Conley),30,31
152,2,7:24.0,Turnover by J. Wall (bad pass),,30,31
153,2,7:24.0,I. Mahinmi enters the game for J. Smith,,30,31
154,2,7:05.0,,Turnover by I. Rabb (lost ball; steal by J. Wall),30,31
155,2,7:00.0,B. Beal misses 3-pt jump shot from 26 ft,,30,31
156,2,6:57.0,,Defensive rebound by J. Jackson,30,31
157,2,6:53.0,,I. Rabb makes 2-pt layup from 1 ft (assist by J. Jackson),30,33
158,2,6:53.0,,Shooting foul by J. Wall (drawn by I. Rabb),30,33
159,2,6:53.0,,Memphis full timeout,30,33
160,2,6:53.0,,I. Rabb misses free throw 1 of 1,30,33
161,2,6:53.0,,Offensive rebound by K. Anderson,30,33
162,2,6:49.0,,K. Anderson makes 2-pt layup at rim,30,35
163,2,6:38.0,B. Beal misses 3-pt jump shot from 25 ft,,30,35
164,2,6:34.0,,Defensive rebound by G. Temple,30,35
165,2,6:12.0,,G. Temple misses 2-pt jump shot from 22 ft,30,35
166,2,6:12.0,,Offensive rebound by Team,30,35
167,2,6:12.0,,Turnover by Team (shot clock),30,35
168,2,6:12.0,O. Porter enters the game for K. Oubre,,30,35
169,2,6:03.0,Def 3 sec tech foul by Team,,30,35
170,2,6:03.0,B. Beal misses technical free throw,,30,35
171,2,6:03.0,Offensive rebound by Team,,30,35
172,2,5:46.0,J. Wall makes 2-pt layup from 8 ft,,32,35
173,2,5:29.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),32,37
174,2,5:12.0,Turnover by J. Wall (bad pass; steal by K. Anderson),,32,37
175,2,5:07.0,,Turnover by I. Rabb (offensive foul),32,37
176,2,5:07.0,,Offensive foul by I. Rabb (drawn by A. Rivers),32,37
177,2,5:07.0,J. Green enters the game for A. Rivers,,32,37
178,2,5:07.0,,M. Gasol enters the game for I. Rabb,32,37
179,2,4:54.0,J. Wall makes 3-pt jump shot from 24 ft (assist by B. Beal),,35,37
180,2,4:37.0,,Personal foul by I. Mahinmi (drawn by G. Temple),35,37
181,2,4:26.0,,M. Conley makes 2-pt layup from 2 ft,35,39
182,2,4:14.0,Turnover by B. Beal (bad pass),,35,39
183,2,4:02.0,,Turnover by G. Temple (bad pass; steal by B. Beal),35,39
184,2,3:56.0,B. Beal misses 3-pt jump shot from 25 ft,,35,39
185,2,3:53.0,,Defensive rebound by J. Jackson,35,39
186,2,3:51.0,,G. Temple misses 2-pt layup from 3 ft (block by B. Beal),35,39
187,2,3:51.0,,Offensive rebound by Team,35,39
188,2,3:42.0,,J. Jackson makes 2-pt hook shot from 9 ft,35,41
189,2,3:27.0,Personal foul by J. Jackson (drawn by B. Beal),,35,41
190,2,3:27.0,,D. Brooks enters the game for J. Jackson,35,41
191,2,3:17.0,Turnover by J. Wall (bad pass; steal by M. Gasol),,35,41
192,2,3:17.0,,Personal foul by I. Mahinmi (drawn by G. Temple),35,41
193,2,3:17.0,,G. Temple makes free throw 1 of 2,35,42
194,2,3:17.0,J. Smith enters the game for I. Mahinmi,,35,42
195,2,3:17.0,,G. Temple makes free throw 2 of 2,35,43
196,2,3:17.0,Washington full timeout,,35,43
197,2,3:04.0,B. Beal misses 3-pt jump shot from 25 ft,,35,43
198,2,3:01.0,Offensive rebound by J. Wall,,35,43
199,2,2:52.0,J. Wall makes 3-pt jump shot from 23 ft (assist by O. Porter),,38,43
200,2,2:24.0,,D. Brooks misses 3-pt jump shot from 29 ft,38,43
201,2,2:20.0,Defensive rebound by J. Smith,,38,43
202,2,2:07.0,Personal foul by D. Brooks (drawn by O. Porter),,38,43
203,2,1:59.0,J. Wall makes 2-pt layup from 2 ft,,40,43
204,2,1:52.0,,Shooting foul by J. Green (drawn by M. Conley),40,43
205,2,1:52.0,,M. Conley makes free throw 1 of 2,40,44
206,2,1:52.0,K. Oubre enters the game for J. Green,,40,44
207,2,1:52.0,,M. Conley makes free throw 2 of 2,40,45
208,2,1:42.0,Turnover by J. Wall (bad pass; steal by M. Gasol),,40,45
209,2,1:42.0,,Personal foul by J. Wall (drawn by M. Gasol),40,45
210,2,1:42.0,,M. Gasol makes free throw 1 of 2,40,46
211,2,1:42.0,,M. Gasol misses free throw 2 of 2,40,46
212,2,1:40.0,Defensive rebound by O. Porter,,40,46
213,2,1:31.0,J. Smith makes 3-pt jump shot from 26 ft (assist by J. Wall),,43,46
214,2,1:12.0,,Turnover by M. Conley (bad pass; steal by B. Beal),43,46
215,2,1:12.0,Personal foul by M. Conley (drawn by B. Beal),,43,46
216,2,1:05.0,O. Porter misses 2-pt jump shot from 8 ft,,43,46
217,2,1:02.0,Offensive rebound by J. Smith,,43,46
218,2,1:00.0,K. Oubre misses 3-pt jump shot from 25 ft,,43,46
219,2,0:58.0,,Defensive rebound by G. Temple,43,46
220,2,0:41.0,,K. Anderson misses 2-pt layup from 2 ft (block by K. Oubre),43,46
221,2,0:39.0,Defensive rebound by O. Porter,,43,46
222,2,0:35.0,J. Wall misses 2-pt layup from 3 ft (block by D. Brooks),,43,46
223,2,0:30.0,,Defensive rebound by G. Temple,43,46
224,2,0:27.0,,D. Brooks misses 2-pt layup from 3 ft (block by J. Smith),43,46
225,2,0:27.0,Defensive rebound by J. Smith,,43,46
226,2,0:03.0,Personal foul by D. Brooks (drawn by K. Oubre),,43,46
227,2,0:03.0,K. Oubre makes free throw 1 of 2,,44,46
228,2,0:03.0,T. Satoranský enters the game for J. Wall,,44,46
229,2,0:03.0,,S. Mack enters the game for D. Brooks,44,46
230,2,0:03.0,K. Oubre makes free throw 2 of 2,,45,46
231,2,0:00.0,,G. Temple misses 2-pt jump shot from 17 ft,45,46
232,2,0:00.0,,Offensive rebound by Team,45,46
233,3,11:45.0,J. Wall misses 2-pt jump shot from 21 ft,,45,46
234,3,11:42.0,,Defensive rebound by J. Jackson,45,46
235,3,11:27.0,,Offensive foul by J. Jackson (drawn by J. Wall),45,46
236,3,11:27.0,,Turnover by J. Jackson (offensive foul),45,46
237,3,11:27.0,,S. Mack enters the game for J. Jackson,45,46
238,3,11:14.0,Turnover by J. Wall (lost ball; steal by S. Mack),,45,46
239,3,11:11.0,,M. Conley misses 2-pt layup at rim (block by B. Beal),45,46
240,3,11:11.0,,Offensive rebound by Team,45,46
241,3,11:08.0,,M. Conley makes 2-pt jump shot from 5 ft (assist by K. Anderson),45,48
242,3,10:44.0,B. Beal misses 2-pt jump shot from 11 ft,,45,48
243,3,10:42.0,,Defensive rebound by Team,45,48
244,3,10:25.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),45,51
245,3,10:02.0,J. Green misses 3-pt jump shot from 23 ft,,45,51
246,3,9:59.0,Offensive rebound by I. Mahinmi,,45,51
247,3,9:59.0,Shooting foul by M. Gasol (drawn by I. Mahinmi),,45,51
248,3,9:59.0,I. Mahinmi misses free throw 1 of 2,,45,51
249,3,9:59.0,Offensive rebound by Team,,45,51
250,3,9:59.0,I. Mahinmi makes free throw 2 of 2,,46,51
251,3,9:37.0,,S. Mack makes 2-pt jump shot from 8 ft (assist by M. Gasol),46,53
252,3,9:20.0,B. Beal misses 2-pt jump shot from 16 ft,,46,53
253,3,9:18.0,,Defensive rebound by K. Anderson,46,53
254,3,9:02.0,,M. Conley makes 2-pt layup from 2 ft (assist by M. Gasol),46,55
255,3,9:01.0,Washington full timeout,,46,55
256,3,8:38.0,Turnover by J. Green (lost ball; steal by K. Anderson),,46,55
257,3,8:30.0,,K. Anderson makes 2-pt jump shot from 9 ft (assist by S. Mack),46,57
258,3,8:19.0,O. Porter misses 3-pt jump shot from 26 ft,,46,57
259,3,8:15.0,,Defensive rebound by K. Anderson,46,57
260,3,8:07.0,,M. Conley misses 2-pt jump shot from 21 ft,46,57
261,3,8:03.0,Defensive rebound by J. Green,,46,57
262,3,7:47.0,O. Porter misses 2-pt jump shot from 10 ft,,46,57
263,3,7:44.0,,Defensive rebound by K. Anderson,46,57
264,3,7:21.0,,M. Conley makes 3-pt jump shot from 25 ft,46,60
265,3,7:08.0,Turnover by J. Wall (bad pass; steal by K. Anderson),,46,60
266,3,7:04.0,,Shooting foul by J. Wall (drawn by G. Temple),46,60
267,3,7:04.0,,G. Temple makes free throw 1 of 2,46,61
268,3,7:04.0,J. Smith enters the game for I. Mahinmi,,46,61
269,3,7:04.0,,G. Temple makes free throw 2 of 2,46,62
270,3,6:57.0,J. Smith misses 2-pt jump shot from 12 ft,,46,62
271,3,6:55.0,,Defensive rebound by K. Anderson,46,62
272,3,6:36.0,,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),46,64
273,3,6:18.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,49,64
274,3,5:59.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by K. Anderson),49,67
275,3,5:41.0,J. Green misses 2-pt jump shot from 6 ft,,49,67
276,3,5:39.0,,Defensive rebound by M. Gasol,49,67
277,3,5:33.0,,M. Conley misses 3-pt jump shot from 24 ft,49,67
278,3,5:29.0,Defensive rebound by J. Wall,,49,67
279,3,5:29.0,K. Oubre enters the game for O. Porter,,49,67
280,3,5:29.0,,D. Brooks enters the game for K. Anderson,49,67
281,3,5:29.0,,W. Selden enters the game for M. Conley,49,67
282,3,5:16.0,J. Green makes 2-pt layup from 1 ft (assist by J. Wall),,51,67
283,3,4:47.0,,S. Mack makes 3-pt jump shot from 26 ft,51,70
284,3,4:35.0,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),,54,70
285,3,4:17.0,,S. Mack makes 2-pt layup from 1 ft (assist by M. Gasol),54,72
286,3,4:08.0,Turnover by B. Beal (lost ball; steal by D. Brooks),,54,72
287,3,3:59.0,,G. Temple misses 3-pt jump shot from 27 ft,54,72
288,3,3:54.0,Defensive rebound by B. Beal,,54,72
289,3,3:45.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by B. Beal),,57,72
290,3,3:44.0,,Memphis full timeout,57,72
291,3,3:44.0,,O. Casspi enters the game for M. Gasol,57,72
292,3,3:44.0,,I. Rabb enters the game for G. Temple,57,72
293,3,3:28.0,,Turnover by W. Selden (lost ball; steal by K. Oubre),57,72
294,3,3:25.0,K. Oubre makes 2-pt dunk from 1 ft (assist by B. Beal),,59,72
295,3,3:01.0,,Personal foul by J. Smith (drawn by I. Rabb),59,72
296,3,2:50.0,,O. Casspi misses 2-pt jump shot from 6 ft,59,72
297,3,2:47.0,Defensive rebound by J. Wall,,59,72
298,3,2:43.0,J. Green makes 2-pt layup from 1 ft (assist by J. Wall),,61,72
299,3,2:19.0,,S. Mack makes 2-pt jump shot from 6 ft,61,74
300,3,2:06.0,K. Oubre makes 2-pt jump shot from 10 ft (assist by J. Smith),,63,74
301,3,1:42.0,,Turnover by W. Selden (out of bounds lost ball),63,74
302,3,1:42.0,A. Rivers enters the game for J. Wall,,63,74
303,3,1:42.0,,M. Conley enters the game for W. Selden,63,74
304,3,1:27.0,Shooting foul by D. Brooks (drawn by K. Oubre),,63,74
305,3,1:27.0,K. Oubre misses free throw 1 of 2,,63,74
306,3,1:27.0,Offensive rebound by Team,,63,74
307,3,1:27.0,,K. Anderson enters the game for D. Brooks,63,74
308,3,1:27.0,K. Oubre makes free throw 2 of 2,,64,74
309,3,1:08.0,,Personal foul by K. Oubre (drawn by M. Conley),64,74
310,3,1:08.0,O. Porter enters the game for J. Green,,64,74
311,3,1:00.0,,Shooting foul by J. Smith (drawn by I. Rabb),64,74
312,3,1:00.0,,I. Rabb makes free throw 1 of 2,64,75
313,3,1:00.0,,I. Rabb makes free throw 2 of 2,64,76
314,3,0:43.0,A. Rivers misses 2-pt layup from 1 ft,,64,76
315,3,0:40.0,,Defensive rebound by I. Rabb,64,76
316,3,0:40.0,,Turnover by I. Rabb (bad pass; steal by K. Oubre),64,76
317,3,0:37.0,K. Oubre misses 2-pt layup from 1 ft,,64,76
318,3,0:37.0,Offensive rebound by K. Oubre,,64,76
319,3,0:37.0,K. Oubre makes 2-pt layup at rim,,66,76
320,3,0:30.0,,Personal foul by K. Oubre (drawn by S. Mack),66,76
321,3,0:30.0,,S. Mack makes free throw 1 of 2,66,77
322,3,0:30.0,,S. Mack makes free throw 2 of 2,66,78
323,3,0:17.0,O. Porter makes 3-pt jump shot from 24 ft (assist by B. Beal),,69,78
324,3,0:03.0,,Turnover by M. Conley (bad pass),69,78
325,3,0:00.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Smith),,72,78
326,4,11:36.0,,G. Temple misses 3-pt jump shot from 26 ft,72,78
327,4,11:32.0,,Offensive rebound by K. Anderson,72,78
328,4,11:22.0,Violation by Team (kicked ball),,72,78
329,4,11:08.0,,M. Conley misses 2-pt jump shot from 23 ft,72,78
330,4,11:08.0,,Offensive rebound by Team,72,78
331,4,11:08.0,,Turnover by Team (shot clock),72,78
332,4,10:58.0,Personal foul by I. Rabb (drawn by B. Beal),,72,78
333,4,10:53.0,O. Porter misses 3-pt jump shot from 25 ft,,72,78
334,4,10:49.0,Offensive rebound by J. Smith,,72,78
335,4,10:48.0,Personal foul by O. Casspi (drawn by O. Porter),,72,78
336,4,10:48.0,,M. Gasol enters the game for I. Rabb,72,78
337,4,10:36.0,K. Oubre misses 3-pt jump shot from 23 ft,,72,78
338,4,10:34.0,,Defensive rebound by K. Anderson,72,78
339,4,10:27.0,,O. Casspi makes 2-pt layup from 1 ft (assist by G. Temple),72,80
340,4,10:11.0,Turnover by K. Oubre (bad pass; steal by K. Anderson),,72,80
341,4,10:08.0,,Shooting foul by O. Porter (drawn by O. Casspi),72,80
342,4,10:08.0,,O. Casspi makes free throw 1 of 2,72,81
343,4,10:08.0,,O. Casspi misses free throw 2 of 2,72,81
344,4,10:06.0,Defensive rebound by J. Smith,,72,81
345,4,9:56.0,A. Rivers misses 2-pt layup from 1 ft (block by M. Conley),,72,81
346,4,9:54.0,,Defensive rebound by M. Gasol,72,81
347,4,9:37.0,,Personal foul by O. Porter (drawn by M. Gasol),72,81
348,4,9:37.0,,S. Mack enters the game for M. Conley,72,81
349,4,9:23.0,,S. Mack misses 2-pt jump shot from 5 ft,72,81
350,4,9:21.0,Defensive rebound by O. Porter,,72,81
351,4,9:12.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Smith),,75,81
352,4,9:12.0,Shooting foul by O. Casspi (drawn by B. Beal),,75,81
353,4,9:12.0,B. Beal makes free throw 1 of 1,,76,81
354,4,8:59.0,,M. Gasol misses 2-pt jump shot from 5 ft,76,81
355,4,8:56.0,Defensive rebound by J. Smith,,76,81
356,4,8:48.0,B. Beal misses 2-pt jump shot from 15 ft,,76,81
357,4,8:46.0,Offensive rebound by Team,,76,81
358,4,8:46.0,,D. Brooks enters the game for O. Casspi,76,81
359,4,8:35.0,B. Beal misses 3-pt jump shot from 25 ft,,76,81
360,4,8:33.0,,Defensive rebound by M. Gasol,76,81
361,4,8:20.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by M. Gasol),76,84
362,4,8:00.0,O. Porter makes 2-pt jump shot from 12 ft,,78,84
363,4,7:42.0,,Turnover by D. Brooks (bad pass; steal by A. Rivers),78,84
364,4,7:40.0,Shooting foul by D. Brooks (drawn by A. Rivers),,78,84
365,4,7:40.0,A. Rivers makes free throw 1 of 2,,79,84
366,4,7:40.0,J. Wall enters the game for B. Beal,,79,84
367,4,7:40.0,A. Rivers makes free throw 2 of 2,,80,84
368,4,7:22.0,,Personal foul by J. Smith (drawn by M. Gasol),80,84
369,4,7:17.0,,Shooting foul by K. Oubre (drawn by D. Brooks),80,84
370,4,7:17.0,,D. Brooks makes free throw 1 of 2,80,85
371,4,7:17.0,,D. Brooks makes free throw 2 of 2,80,86
372,4,7:07.0,A. Rivers makes 2-pt jump shot from 9 ft,,82,86
373,4,6:43.0,,Shooting foul by J. Smith (drawn by G. Temple),82,86
374,4,6:43.0,,Memphis full timeout,82,86
375,4,6:43.0,,M. Conley enters the game for K. Anderson,82,86
376,4,6:43.0,,G. Temple makes free throw 1 of 2,82,87
377,4,6:43.0,,G. Temple makes free throw 2 of 2,82,88
378,4,6:27.0,Turnover by A. Rivers (lost ball; steal by D. Brooks),,82,88
379,4,6:07.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by S. Mack),82,91
380,4,5:47.0,J. Wall misses 3-pt jump shot from 26 ft,,82,91
381,4,5:45.0,,Defensive rebound by G. Temple,82,91
382,4,5:30.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by S. Mack),82,94
383,4,5:29.0,Washington full timeout,,82,94
384,4,5:29.0,B. Beal enters the game for A. Rivers,,82,94
385,4,5:29.0,I. Mahinmi enters the game for J. Smith,,82,94
386,4,5:13.0,I. Mahinmi makes 2-pt dunk from 1 ft (assist by B. Beal),,84,94
