,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
37,1,8:08.0,Defensive rebound by T. Gibson,,11,3
38,1,7:52.0,K. Towns makes 2-pt hook shot from 7 ft (assist by J. Butler),,13,3
39,1,7:31.0,,I. Shumpert misses 2-pt layup from 5 ft (block by K. Towns),13,3
40,1,7:28.0,,Offensive rebound by W. Cauley-Stein,13,3
41,1,7:26.0,,W. Cauley-Stein makes 2-pt jump shot from 13 ft,13,5
42,1,7:20.0,Shooting foul by B. Hield (drawn by D. Rose),,13,5
43,1,7:20.0,D. Rose makes free throw 1 of 2,,14,5
44,1,7:20.0,D. Rose makes free throw 2 of 2,,15,5
45,1,7:04.0,,M. Bagley misses 3-pt jump shot from 25 ft,15,5
46,1,6:58.0,Defensive rebound by J. Butler,,15,5
47,1,6:55.0,J. Butler misses 2-pt layup from 9 ft (block by M. Bagley),,15,5
48,1,6:55.0,Offensive rebound by J. Butler,,15,5
49,1,6:50.0,J. Butler misses 2-pt jump shot from 11 ft,,15,5
50,1,6:50.0,Offensive rebound by T. Gibson,,15,5
51,1,6:46.0,T. Gibson misses 2-pt layup from 3 ft,,15,5
52,1,6:46.0,Offensive rebound by K. Towns,,15,5
53,1,6:44.0,K. Towns makes 2-pt hook shot from 5 ft,,17,5
54,1,6:30.0,,W. Cauley-Stein misses 2-pt hook shot from 3 ft,17,5
55,1,6:30.0,,Offensive rebound by B. Hield,17,5
56,1,6:24.0,,B. Hield makes 2-pt dunk at rim,17,7
57,1,6:10.0,K. Towns makes 2-pt layup from 3 ft,,19,7
58,1,6:10.0,,Violation by Team (def goaltending),19,7
59,1,5:50.0,,I. Shumpert misses 3-pt jump shot from 26 ft,19,7
60,1,5:49.0,Defensive rebound by D. Rose,,19,7
61,1,5:48.0,Turnover by D. Rose (bad pass),,19,7
62,1,5:40.0,,W. Cauley-Stein makes 2-pt jump shot from 15 ft (assist by D. Fox),19,9
63,1,5:24.0,Personal foul by B. Hield (drawn by K. Towns),,19,9
64,1,5:11.0,D. Rose makes 2-pt jump shot from 18 ft,,21,9
65,1,4:57.0,,B. Hield makes 2-pt jump shot from 10 ft,21,11
66,1,4:45.0,T. Gibson misses 2-pt layup from 1 ft (block by M. Bagley),,21,11
67,1,4:44.0,,Defensive rebound by Team,21,11
68,1,4:43.0,,Personal foul by J. Okogie (drawn by B. Hield),21,11
69,1,4:35.0,,M. Bagley makes 2-pt dunk from 2 ft (assist by D. Fox),21,13
70,1,4:13.0,J. Okogie misses 3-pt jump shot from 23 ft,,21,13
71,1,4:10.0,Offensive rebound by T. Gibson,,21,13
72,1,3:59.0,T. Gibson makes 2-pt jump shot from 23 ft (assist by J. Okogie),,23,13
73,1,3:48.0,,W. Cauley-Stein makes 3-pt jump shot from 26 ft (assist by D. Fox),23,16
74,1,3:28.0,K. Towns makes 2-pt dunk from 8 ft (assist by D. Rose),,25,16
75,1,3:20.0,,B. Hield misses 3-pt jump shot from 25 ft,25,16
76,1,3:20.0,Defensive rebound by T. Gibson,,25,16
77,1,3:02.0,J. Butler misses 3-pt jump shot from 23 ft,,25,16
78,1,2:59.0,Offensive rebound by K. Towns,,25,16
79,1,2:57.0,K. Towns misses 2-pt jump shot from 14 ft,,25,16
80,1,2:57.0,,Defensive rebound by B. Hield,25,16
81,1,2:53.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by B. Hield),25,19
82,1,2:46.0,Minnesota full timeout,,25,19
83,1,2:46.0,C. Williams enters the game for J. Butler,,25,19
84,1,2:46.0,,K. Koufos enters the game for W. Cauley-Stein,25,19
85,1,2:37.0,D. Rose misses 2-pt jump shot from 21 ft,,25,19
86,1,2:35.0,,Defensive rebound by M. Bagley,25,19
87,1,2:14.0,,I. Shumpert misses 2-pt jump shot from 20 ft,25,19
88,1,2:12.0,,Offensive rebound by Team,25,19
89,1,2:12.0,,Turnover by Team (shot clock),25,19
90,1,2:12.0,T. Jones enters the game for D. Rose,,25,19
91,1,2:07.0,K. Towns misses 3-pt jump shot from 25 ft,,25,19
92,1,2:03.0,,Defensive rebound by K. Koufos,25,19
93,1,1:56.0,,Shooting foul by J. Okogie (drawn by I. Shumpert),25,19
94,1,1:56.0,J. Nunnally enters the game for J. Okogie,,25,19
95,1,1:56.0,,I. Shumpert makes free throw 1 of 3,25,20
96,1,1:56.0,,I. Shumpert makes free throw 2 of 3,25,21
97,1,1:56.0,,J. Jackson enters the game for D. Fox,25,21
98,1,1:56.0,,F. Mason enters the game for B. Hield,25,21
99,1,1:56.0,,I. Shumpert makes free throw 3 of 3,25,22
100,1,1:36.0,C. Williams makes 2-pt jump shot from 21 ft,,27,22
101,1,1:19.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by K. Koufos),27,25
102,1,1:06.0,J. Nunnally misses 2-pt jump shot from 20 ft,,27,25
103,1,1:06.0,Offensive rebound by K. Towns,,27,25
104,1,1:02.0,K. Towns makes 2-pt layup from 3 ft,,29,25
105,1,0:50.0,,Shooting foul by T. Gibson (drawn by M. Bagley),29,25
106,1,0:50.0,,M. Bagley makes free throw 1 of 2,29,26
107,1,0:50.0,G. Dieng enters the game for T. Gibson,,29,26
108,1,0:50.0,A. Tolliver enters the game for K. Towns,,29,26
109,1,0:50.0,,T. Williams enters the game for I. Shumpert,29,26
110,1,0:50.0,,M. Bagley makes free throw 2 of 2,29,27
111,1,0:32.0,J. Nunnally makes 2-pt layup from 3 ft,,31,27
112,1,0:15.0,,F. Mason misses 2-pt jump shot from 13 ft,31,27
113,1,0:13.0,Defensive rebound by G. Dieng,,31,27
114,1,0:03.0,Turnover by T. Jones (bad pass),,31,27
115,1,0:03.0,,Y. Ferrell enters the game for T. Williams,31,27
116,1,0:00.0,,K. Koufos makes 2-pt hook shot from 19 ft (assist by J. Jackson),31,29
117,2,11:52.0,,Personal foul by J. Nunnally (drawn by J. Jackson),31,29
118,2,11:37.0,,K. Koufos makes 2-pt hook shot from 12 ft (assist by F. Mason),31,31
119,2,11:18.0,T. Jones misses 2-pt jump shot from 20 ft,,31,31
120,2,11:17.0,Offensive rebound by Team,,31,31
121,2,11:05.0,A. Tolliver misses 3-pt jump shot from 22 ft,,31,31
122,2,11:02.0,,Defensive rebound by K. Koufos,31,31
123,2,10:59.0,,Y. Ferrell misses 2-pt layup from 2 ft,31,31
124,2,10:57.0,Defensive rebound by G. Dieng,,31,31
125,2,10:40.0,C. Williams makes 2-pt layup from 3 ft,,33,31
126,2,10:21.0,,J. Jackson misses 2-pt jump shot from 18 ft,33,31
127,2,10:18.0,Defensive rebound by T. Jones,,33,31
128,2,10:09.0,Shooting foul by K. Koufos (drawn by G. Dieng),,33,31
129,2,10:09.0,G. Dieng makes free throw 1 of 2,,34,31
130,2,10:09.0,G. Dieng misses free throw 2 of 2,,34,31
131,2,10:06.0,,Defensive rebound by K. Koufos,34,31
132,2,9:58.0,,Turnover by F. Mason (palming),34,31
133,2,9:47.0,G. Dieng makes 2-pt jump shot from 15 ft (assist by T. Jones),,36,31
134,2,9:39.0,,Shooting foul by A. Tolliver (drawn by T. Williams),36,31
135,2,9:39.0,,T. Williams misses free throw 1 of 3,36,31
136,2,9:39.0,,Offensive rebound by Team,36,31
137,2,9:39.0,,T. Williams makes free throw 2 of 3,36,32
138,2,9:39.0,J. Butler enters the game for J. Nunnally,,36,32
139,2,9:39.0,,T. Williams makes free throw 3 of 3,36,33
140,2,9:23.0,J. Butler misses 2-pt layup from 6 ft,,36,33
141,2,9:20.0,,Defensive rebound by J. Jackson,36,33
142,2,9:18.0,,Y. Ferrell makes 3-pt jump shot from 24 ft (assist by J. Jackson),36,36
143,2,8:50.0,G. Dieng misses 2-pt jump shot from 17 ft,,36,36
144,2,8:46.0,,Defensive rebound by T. Williams,36,36
145,2,8:46.0,,Personal foul by G. Dieng (drawn by F. Mason),36,36
146,2,8:46.0,D. Rose enters the game for G. Dieng,,36,36
147,2,8:46.0,K. Towns enters the game for T. Jones,,36,36
148,2,8:42.0,,Y. Ferrell makes 2-pt jump shot from 8 ft,36,38
149,2,8:42.0,,Shooting foul by C. Williams (drawn by Y. Ferrell),36,38
150,2,8:42.0,,Y. Ferrell makes free throw 1 of 1,36,39
151,2,8:31.0,Personal foul by T. Williams (drawn by A. Tolliver),,36,39
152,2,8:23.0,Turnover by C. Williams (out of bounds lost ball),,36,39
153,2,8:14.0,,J. Jackson misses 3-pt jump shot from 25 ft,36,39
154,2,8:11.0,Defensive rebound by K. Towns,,36,39
155,2,8:08.0,J. Butler makes 2-pt layup from 2 ft (assist by D. Rose),,38,39
156,2,8:08.0,Shooting foul by J. Jackson (drawn by J. Butler),,38,39
157,2,8:08.0,T. Gibson enters the game for A. Tolliver,,38,39
158,2,8:08.0,J. Okogie enters the game for C. Williams,,38,39
159,2,8:08.0,J. Butler misses free throw 1 of 1,,38,39
160,2,8:08.0,,Defensive rebound by K. Koufos,38,39
161,2,7:47.0,,K. Koufos misses 2-pt layup from 4 ft,38,39
162,2,7:46.0,,Offensive rebound by T. Williams,38,39
163,2,7:45.0,,T. Williams misses 2-pt layup at rim,38,39
164,2,7:45.0,Defensive rebound by K. Towns,,38,39
165,2,7:41.0,Personal foul by Y. Ferrell (drawn by J. Butler),,38,39
166,2,7:41.0,,N. Bjelica enters the game for J. Jackson,38,39
167,2,7:41.0,,W. Cauley-Stein enters the game for K. Koufos,38,39
168,2,7:38.0,Personal foul by Y. Ferrell (drawn by K. Towns),,38,39
169,2,7:38.0,K. Towns makes free throw 1 of 2,,39,39
170,2,7:38.0,K. Towns makes free throw 2 of 2,,40,39
171,2,7:20.0,,T. Williams misses 3-pt jump shot from 25 ft,40,39
172,2,7:16.0,Defensive rebound by J. Butler,,40,39
173,2,7:09.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Butler),,43,39
174,2,6:54.0,,W. Cauley-Stein misses 2-pt dunk from 2 ft,43,39
175,2,6:52.0,,Offensive rebound by F. Mason,43,39
176,2,6:49.0,,N. Bjelica misses 3-pt jump shot from 23 ft,43,39
177,2,6:43.0,Defensive rebound by D. Rose,,43,39
178,2,6:40.0,K. Towns misses 2-pt layup from 1 ft (block by N. Bjelica),,43,39
179,2,6:40.0,,Defensive rebound by N. Bjelica,43,39
180,2,6:33.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),43,41
181,2,6:22.0,Personal foul by W. Cauley-Stein (drawn by K. Towns),,43,41
182,2,6:22.0,,Sacramento full timeout,43,41
183,2,6:22.0,,D. Fox enters the game for Y. Ferrell,43,41
184,2,6:22.0,,B. Hield enters the game for F. Mason,43,41
185,2,6:22.0,K. Towns makes free throw 1 of 2,,44,41
186,2,6:22.0,K. Towns makes free throw 2 of 2,,45,41
187,2,6:10.0,,W. Cauley-Stein misses 2-pt jump shot from 17 ft,45,41
188,2,6:07.0,Defensive rebound by D. Rose,,45,41
189,2,5:57.0,K. Towns makes 3-pt jump shot from 23 ft,,48,41
190,2,5:51.0,,D. Fox makes 2-pt jump shot from 17 ft,48,43
191,2,5:41.0,Personal foul by N. Bjelica (drawn by T. Gibson),,48,43
192,2,5:41.0,T. Gibson misses free throw 1 of 2,,48,43
193,2,5:41.0,Offensive rebound by Team,,48,43
194,2,5:41.0,T. Gibson makes free throw 2 of 2,,49,43
195,2,5:29.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),49,45
196,2,5:12.0,D. Rose misses 3-pt jump shot from 24 ft,,49,45
197,2,5:10.0,,Defensive rebound by B. Hield,49,45
198,2,5:06.0,,T. Williams misses 2-pt layup from 1 ft,49,45
199,2,5:03.0,Defensive rebound by T. Gibson,,49,45
200,2,4:54.0,J. Okogie misses 2-pt jump shot from 19 ft,,49,45
201,2,4:54.0,,Defensive rebound by B. Hield,49,45
202,2,4:47.0,,T. Williams makes 2-pt layup from 1 ft,49,47
203,2,4:26.0,J. Butler makes 2-pt layup from 3 ft (assist by T. Gibson),,51,47
204,2,4:18.0,,Offensive foul by B. Hield (drawn by J. Okogie),51,47
205,2,4:18.0,,Turnover by B. Hield (offensive foul),51,47
206,2,4:18.0,T. Jones enters the game for J. Okogie,,51,47
207,2,4:18.0,,I. Shumpert enters the game for T. Williams,51,47
208,2,3:56.0,T. Gibson makes 2-pt dunk from 1 ft (assist by K. Towns),,53,47
209,2,3:38.0,,N. Bjelica makes 2-pt layup from 4 ft (assist by D. Fox),53,49
210,2,3:29.0,D. Rose misses 2-pt layup from 3 ft (block by D. Fox),,53,49
211,2,3:26.0,,Defensive rebound by W. Cauley-Stein,53,49
212,2,3:25.0,,Shooting foul by J. Butler (drawn by D. Fox),53,49
213,2,3:25.0,,D. Fox makes free throw 1 of 2,53,50
214,2,3:25.0,,Y. Ferrell enters the game for B. Hield,53,50
215,2,3:25.0,,D. Fox misses free throw 2 of 2,53,50
216,2,3:22.0,,Offensive rebound by W. Cauley-Stein,53,50
217,2,3:13.0,,N. Bjelica makes 2-pt layup from 2 ft,53,52
218,2,2:46.0,T. Gibson misses 3-pt jump shot from 25 ft,,53,52
219,2,2:43.0,,Defensive rebound by D. Fox,53,52
220,2,2:39.0,,I. Shumpert misses 3-pt jump shot from 25 ft,53,52
221,2,2:36.0,Defensive rebound by K. Towns,,53,52
222,2,2:30.0,K. Towns misses 3-pt jump shot from 25 ft,,53,52
223,2,2:27.0,,Defensive rebound by Y. Ferrell,53,52
224,2,2:18.0,,W. Cauley-Stein makes 2-pt hook shot from 6 ft,53,54
225,2,2:00.0,T. Jones makes 2-pt layup from 3 ft (assist by J. Butler),,55,54
226,2,1:53.0,,Y. Ferrell makes 2-pt layup from 1 ft (assist by D. Fox),55,56
227,2,1:38.0,K. Towns misses 2-pt jump shot from 19 ft,,55,56
228,2,1:36.0,Offensive rebound by T. Gibson,,55,56
229,2,1:34.0,K. Towns makes 2-pt layup from 3 ft (assist by T. Gibson),,57,56
230,2,1:29.0,,Shooting foul by D. Rose (drawn by D. Fox),57,56
231,2,1:29.0,Minnesota full timeout,,57,56
232,2,1:29.0,,D. Fox makes free throw 1 of 2,57,57
233,2,1:29.0,,D. Fox makes free throw 2 of 2,57,58
234,2,1:14.0,Def 3 sec tech foul by Team,,57,58
235,2,1:14.0,J. Butler makes technical free throw,,58,58
236,2,1:01.0,Turnover by D. Rose (bad pass; steal by Y. Ferrell),,58,58
237,2,0:56.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by D. Fox),58,61
238,2,0:51.0,K. Towns makes 2-pt layup from 4 ft (assist by J. Butler),,60,61
239,2,0:45.0,,Personal foul by T. Gibson (drawn by W. Cauley-Stein),60,61
240,2,0:45.0,,W. Cauley-Stein makes free throw 1 of 2,60,62
241,2,0:45.0,,W. Cauley-Stein makes free throw 2 of 2,60,63
242,2,0:30.0,K. Towns misses 2-pt layup from 4 ft,,60,63
243,2,0:27.0,,Defensive rebound by Y. Ferrell,60,63
244,2,0:24.0,,I. Shumpert misses 3-pt jump shot from 25 ft,60,63
245,2,0:24.0,Defensive rebound by Team,,60,63
246,2,0:00.0,D. Rose misses 2-pt layup from 4 ft (block by D. Fox),,60,63
247,2,0:00.0,Offensive rebound by Team,,60,63
248,2,0:00.0,Away from play foul by W. Cauley-Stein (drawn by K. Towns),,60,63
249,2,0:00.0,K. Towns makes free throw 1 of 1,,61,63
250,2,0:00.0,Away from play foul by Y. Ferrell (drawn by T. Jones),,61,63
251,2,0:00.0,T. Jones misses free throw 1 of 1,,61,63
252,2,0:00.0,Offensive rebound by Team,,61,63
253,2,0:00.0,T. Gibson misses 2-pt jump shot from 21 ft,,61,63
254,2,0:00.0,Offensive rebound by Team,,61,63
255,3,11:44.0,,B. Hield misses 2-pt jump shot from 14 ft,61,63
256,3,11:38.0,Defensive rebound by T. Gibson,,61,63
257,3,11:26.0,D. Rose misses 3-pt jump shot from 25 ft,,61,63
258,3,11:24.0,,Defensive rebound by I. Shumpert,61,63
259,3,11:20.0,,B. Hield misses 3-pt jump shot from 24 ft,61,63
260,3,11:17.0,Defensive rebound by D. Rose,,61,63
261,3,11:16.0,Personal foul by D. Fox (drawn by J. Okogie),,61,63
262,3,11:02.0,J. Okogie makes 2-pt jump shot from 5 ft (assist by D. Rose),,63,63
263,3,10:54.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by W. Cauley-Stein),63,66
264,3,10:40.0,K. Towns misses 3-pt jump shot from 25 ft,,63,66
265,3,10:35.0,,Defensive rebound by N. Bjelica,63,66
266,3,10:34.0,,N. Bjelica misses 2-pt layup from 4 ft,63,66
267,3,10:34.0,Defensive rebound by Team,,63,66
268,3,10:17.0,T. Gibson misses 2-pt layup from 4 ft,,63,66
269,3,10:14.0,,Defensive rebound by B. Hield,63,66
270,3,10:11.0,,I. Shumpert misses 3-pt jump shot from 25 ft,63,66
271,3,10:07.0,Defensive rebound by J. Butler,,63,66
272,3,10:01.0,J. Okogie makes 2-pt layup from 2 ft (assist by J. Butler),,65,66
273,3,9:49.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by I. Shumpert),65,68
274,3,9:34.0,Turnover by T. Gibson (offensive foul),,65,68
275,3,9:34.0,Offensive foul by T. Gibson (drawn by D. Fox),,65,68
276,3,9:18.0,,I. Shumpert misses 2-pt layup from 2 ft,65,68
277,3,9:13.0,,Offensive rebound by N. Bjelica,65,68
278,3,9:13.0,,N. Bjelica makes 2-pt layup from 1 ft,65,70
279,3,9:04.0,J. Butler misses 2-pt layup from 3 ft,,65,70
280,3,9:01.0,,Defensive rebound by W. Cauley-Stein,65,70
281,3,8:57.0,,B. Hield misses 3-pt jump shot from 25 ft,65,70
282,3,8:53.0,Defensive rebound by K. Towns,,65,70
283,3,8:36.0,T. Gibson misses 2-pt layup from 4 ft,,65,70
284,3,8:33.0,Offensive rebound by K. Towns,,65,70
285,3,8:32.0,K. Towns misses 2-pt layup from 4 ft (block by N. Bjelica),,65,70
286,3,8:30.0,,Defensive rebound by N. Bjelica,65,70
287,3,8:27.0,,D. Fox makes 3-pt jump shot from 26 ft,65,73
288,3,8:26.0,Minnesota full timeout,,65,73
289,3,8:13.0,Personal foul by I. Shumpert (drawn by J. Butler),,65,73
290,3,8:04.0,Turnover by J. Okogie (bad pass),,65,73
291,3,7:56.0,,I. Shumpert misses 3-pt jump shot from 26 ft,65,73
292,3,7:54.0,,Offensive rebound by W. Cauley-Stein,65,73
293,3,7:54.0,,W. Cauley-Stein misses 2-pt layup from 1 ft,65,73
294,3,7:54.0,,Offensive rebound by Team,65,73
295,3,7:45.0,,D. Fox misses 2-pt jump shot from 13 ft,65,73
296,3,7:45.0,Defensive rebound by Team,,65,73
297,3,7:45.0,,Loose ball foul by W. Cauley-Stein (drawn by K. Towns),65,73
298,3,7:27.0,T. Gibson misses 2-pt layup from 2 ft,,65,73
299,3,7:24.0,,Defensive rebound by N. Bjelica,65,73
300,3,7:13.0,,Turnover by W. Cauley-Stein (bad pass; steal by D. Rose),65,73
301,3,7:08.0,D. Rose makes 2-pt layup from 2 ft,,67,73
302,3,7:01.0,,Personal foul by J. Okogie (drawn by W. Cauley-Stein),67,73
303,3,6:52.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,67,75
304,3,6:39.0,K. Towns misses 2-pt jump shot from 9 ft,,67,75
305,3,6:35.0,,Defensive rebound by D. Fox,67,75
306,3,6:32.0,,Shooting foul by K. Towns (drawn by W. Cauley-Stein),67,75
307,3,6:32.0,,W. Cauley-Stein misses free throw 1 of 2,67,75
308,3,6:32.0,,Offensive rebound by Team,67,75
309,3,6:32.0,,W. Cauley-Stein misses free throw 2 of 2,67,75
310,3,6:27.0,Defensive rebound by D. Rose,,67,75
311,3,6:20.0,D. Rose makes 2-pt layup from 2 ft,,69,75
312,3,6:11.0,,Offensive foul by N. Bjelica (drawn by D. Rose),69,75
313,3,6:11.0,,Turnover by N. Bjelica (offensive foul),69,75
314,3,6:11.0,,K. Koufos enters the game for W. Cauley-Stein,69,75
315,3,6:02.0,D. Rose misses 2-pt layup from 2 ft,,69,75
316,3,5:58.0,Offensive rebound by K. Towns,,69,75
317,3,5:58.0,K. Towns misses 2-pt layup at rim,,69,75
318,3,5:56.0,Offensive rebound by T. Gibson,,69,75
319,3,5:55.0,Shooting foul by B. Hield (drawn by J. Butler),,69,75
320,3,5:55.0,J. Butler makes free throw 1 of 2,,70,75
321,3,5:55.0,J. Butler makes free throw 2 of 2,,71,75
322,3,5:39.0,,I. Shumpert makes 2-pt layup from 2 ft (assist by D. Fox),71,77
323,3,5:25.0,J. Butler misses 2-pt jump shot from 14 ft,,71,77
324,3,5:23.0,Offensive rebound by K. Towns,,71,77
325,3,5:22.0,Offensive foul by K. Towns (drawn by K. Koufos),,71,77
326,3,5:22.0,Turnover by K. Towns (offensive foul),,71,77
327,3,5:22.0,,T. Williams enters the game for B. Hield,71,77
328,3,5:10.0,,Shooting foul by D. Rose (drawn by D. Fox),71,77
329,3,5:10.0,Violation by Team (delay of game),,71,77
330,3,5:10.0,,D. Fox makes free throw 1 of 2,71,78
331,3,5:10.0,,D. Fox misses free throw 2 of 2,71,78
332,3,5:08.0,Defensive rebound by K. Towns,,71,78
333,3,4:58.0,Shooting foul by K. Koufos (drawn by J. Butler),,71,78
334,3,4:58.0,J. Butler makes free throw 1 of 2,,72,78
335,3,4:58.0,J. Butler makes free throw 2 of 2,,73,78
336,3,4:40.0,,T. Williams misses 2-pt jump shot from 8 ft,73,78
337,3,4:38.0,Defensive rebound by K. Towns,,73,78
338,3,4:36.0,Shooting foul by N. Bjelica (drawn by D. Rose),,73,78
339,3,4:36.0,D. Rose makes free throw 1 of 2,,74,78
340,3,4:36.0,D. Rose makes free throw 2 of 2,,75,78
341,3,4:27.0,,Turnover by I. Shumpert (bad pass; steal by J. Butler),75,78
342,3,4:23.0,Turnover by J. Butler (bad pass; steal by D. Fox),,75,78
343,3,4:20.0,,T. Williams makes 2-pt dunk from 1 ft (assist by D. Fox),75,80
344,3,4:01.0,D. Rose makes 2-pt jump shot from 17 ft,,77,80
345,3,3:52.0,,Personal foul by D. Rose (drawn by I. Shumpert),77,80
346,3,3:52.0,T. Jones enters the game for D. Rose,,77,80
347,3,3:47.0,,D. Fox misses 2-pt jump shot from 20 ft,77,80
348,3,3:44.0,,Offensive rebound by K. Koufos,77,80
349,3,3:42.0,,N. Bjelica makes 3-pt jump shot from 29 ft (assist by T. Williams),77,83
350,3,3:23.0,K. Towns misses 2-pt hook shot from 7 ft,,77,83
351,3,3:20.0,,Defensive rebound by N. Bjelica,77,83
352,3,3:16.0,,N. Bjelica makes 3-pt jump shot from 27 ft,77,86
353,3,2:51.0,T. Jones misses 3-pt jump shot from 25 ft,,77,86
354,3,2:48.0,Offensive rebound by K. Towns,,77,86
355,3,2:47.0,Turnover by K. Towns (bad pass; steal by K. Koufos),,77,86
356,3,2:40.0,,T. Williams misses 3-pt jump shot from 24 ft,77,86
357,3,2:40.0,Defensive rebound by K. Towns,,77,86
358,3,2:30.0,K. Towns makes 2-pt layup from 2 ft,,79,86
359,3,2:13.0,,N. Bjelica makes 2-pt layup from 5 ft,79,88
360,3,1:58.0,J. Okogie misses 3-pt jump shot from 23 ft,,79,88
361,3,1:56.0,,Defensive rebound by K. Koufos,79,88
362,3,1:45.0,,Turnover by N. Bjelica (bad pass; steal by T. Jones),79,88
363,3,1:42.0,T. Jones misses 2-pt layup from 1 ft,,79,88
364,3,1:41.0,,Defensive rebound by Team,79,88
365,3,1:41.0,,Sacramento full timeout,79,88
366,3,1:41.0,G. Dieng enters the game for J. Butler,,79,88
367,3,1:41.0,A. Tolliver enters the game for T. Gibson,,79,88
368,3,1:41.0,C. Williams enters the game for K. Towns,,79,88
369,3,1:41.0,,B. Hield enters the game for I. Shumpert,79,88
370,3,1:24.0,,T. Williams misses 3-pt jump shot from 23 ft,79,88
371,3,1:19.0,Defensive rebound by T. Jones,,79,88
372,3,1:11.0,Turnover by G. Dieng (traveling),,79,88
373,3,1:11.0,,M. Bagley enters the game for N. Bjelica,79,88
374,3,1:11.0,,F. Mason enters the game for D. Fox,79,88
375,3,1:02.0,,M. Bagley misses 2-pt hook shot from 8 ft,79,88
376,3,0:59.0,Defensive rebound by C. Williams,,79,88
377,3,0:45.0,C. Williams misses 2-pt layup from 5 ft,,79,88
378,3,0:45.0,,Defensive rebound by F. Mason,79,88
379,3,0:45.0,,Personal foul by C. Williams (drawn by F. Mason),79,88
380,3,0:45.0,,F. Mason makes free throw 1 of 2,79,89
381,3,0:45.0,,F. Mason makes free throw 2 of 2,79,90
382,3,0:36.0,Shooting foul by F. Mason (drawn by T. Jones),,79,90
383,3,0:36.0,T. Jones makes free throw 1 of 2,,80,90
384,3,0:36.0,T. Jones makes free throw 2 of 2,,81,90
385,3,0:25.0,,M. Bagley makes 2-pt layup from 2 ft,81,92
386,3,0:06.0,J. Okogie misses 2-pt layup from 2 ft,,81,92
387,3,0:03.0,,Defensive rebound by K. Koufos,81,92
