,QUARTER,TIME_REMAINING,PORTLAND_ACTION,UTAH_ACTION,PORTLAND_SCORE,UTAH_SCORE
0,1,11:48.0,,Shooting foul by C. McCollum (drawn by R. O'Neale),0,0
1,1,11:48.0,,R. O'Neale makes free throw 1 of 2,0,1
2,1,11:48.0,,R. Gobert enters the game for J. Crowder,0,1
3,1,11:48.0,,R. O'Neale makes free throw 2 of 2,0,2
4,1,11:36.0,A. Aminu makes 2-pt dunk from 2 ft (assist by J. Nurkić),,2,2
5,1,11:24.0,,Turnover by D. Mitchell (bad pass),2,2
6,1,11:10.0,M. Harkless makes 2-pt layup from 2 ft (assist by D. Lillard),,4,2
7,1,10:43.0,,D. Favors misses 3-pt jump shot from 25 ft,4,2
8,1,10:39.0,Defensive rebound by Team,,4,2
9,1,10:23.0,A. Aminu misses 3-pt jump shot from 25 ft,,4,2
10,1,10:18.0,,Defensive rebound by D. Favors,4,2
11,1,10:04.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),4,4
12,1,9:53.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,6,4
13,1,9:44.0,,Personal foul by C. McCollum (drawn by D. Mitchell),6,4
14,1,9:31.0,,D. Mitchell makes 2-pt layup from 3 ft,6,6
15,1,9:18.0,M. Harkless makes 2-pt dunk from 2 ft (assist by J. Nurkić),,8,6
16,1,9:07.0,,Shooting foul by M. Harkless (drawn by R. Gobert),8,6
17,1,9:07.0,,R. Gobert makes free throw 1 of 2,8,7
18,1,9:07.0,,R. Gobert misses free throw 2 of 2,8,7
19,1,9:06.0,Defensive rebound by A. Aminu,,8,7
20,1,8:56.0,Shooting foul by D. Favors (drawn by J. Nurkić),,8,7
21,1,8:56.0,J. Nurkić misses free throw 1 of 2,,8,7
22,1,8:56.0,Offensive rebound by Team,,8,7
23,1,8:56.0,J. Nurkić makes free throw 2 of 2,,9,7
24,1,8:42.0,,Personal foul by D. Lillard (drawn by D. Mitchell),9,7
25,1,8:36.0,,J. Ingles misses 3-pt jump shot from 25 ft,9,7
26,1,8:31.0,,Offensive rebound by R. Gobert,9,7
27,1,8:31.0,,R. Gobert makes 2-pt layup at rim,9,9
28,1,8:14.0,J. Nurkić makes 2-pt hook shot from 9 ft,,11,9
29,1,8:03.0,,D. Mitchell makes 3-pt jump shot from 24 ft,11,12
30,1,7:47.0,C. McCollum misses 2-pt jump shot from 14 ft,,11,12
31,1,7:44.0,,Defensive rebound by D. Favors,11,12
32,1,7:30.0,,D. Favors misses 2-pt layup from 2 ft,11,12
