,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,TORONTO_ACTION,LA CLIPPERS_SCORE,TORONTO_SCORE
380,4,11:04.0,J. Robinson misses 3-pt jump shot from 24 ft,,80,99
381,4,11:01.0,,Defensive rebound by O. Anunoby,80,99
382,4,10:47.0,,Shooting foul by J. Robinson (drawn by O. Anunoby),80,99
383,4,10:47.0,,O. Anunoby makes free throw 1 of 2,80,100
384,4,10:47.0,,O. Anunoby makes free throw 2 of 2,80,101
385,4,10:28.0,L. Williams makes 2-pt hook shot from 4 ft,,82,101
386,4,10:20.0,,Shooting foul by M. Harrell (drawn by C. Miles),82,101
387,4,10:20.0,,C. Miles makes free throw 1 of 2,82,102
388,4,10:20.0,P. Beverley enters the game for J. Robinson,,82,102
389,4,10:20.0,A. Bradley enters the game for M. Scott,,82,102
390,4,10:20.0,T. Harris enters the game for T. Wallace,,82,102
391,4,10:20.0,,C. Miles makes free throw 2 of 2,82,103
392,4,10:14.0,Turnover by L. Williams (lost ball; steal by D. Wright),,82,103
393,4,10:09.0,,N. Powell makes 2-pt layup from 1 ft (assist by D. Wright),82,105
394,4,9:47.0,Shooting foul by O. Anunoby (drawn by T. Harris),,82,105
395,4,9:47.0,T. Harris makes free throw 1 of 2,,83,105
396,4,9:47.0,B. Marjanović enters the game for L. Williams,,83,105
397,4,9:47.0,T. Harris makes free throw 2 of 2,,84,105
398,4,9:29.0,,Shooting foul by M. Harrell (drawn by G. Monroe),84,105
399,4,9:29.0,,G. Monroe makes free throw 1 of 2,84,106
400,4,9:29.0,,G. Monroe misses free throw 2 of 2,84,106
401,4,9:28.0,Defensive rebound by B. Marjanović,,84,106
402,4,9:28.0,Turnover by B. Marjanović (lost ball; steal by D. Wright),,84,106
403,4,9:18.0,,O. Anunoby misses 3-pt jump shot from 27 ft,84,106
404,4,9:14.0,Defensive rebound by T. Harris,,84,106
405,4,9:12.0,Personal foul by O. Anunoby (drawn by M. Harrell),,84,106
406,4,9:00.0,B. Marjanović makes 2-pt hook shot from 11 ft,,86,106
407,4,8:46.0,,N. Powell misses 3-pt jump shot from 25 ft,86,106
408,4,8:42.0,Defensive rebound by B. Marjanović,,86,106
409,4,8:36.0,Personal foul by C. Miles (drawn by M. Harrell),,86,106
410,4,8:23.0,T. Harris misses 2-pt layup from 4 ft,,86,106
411,4,8:21.0,,Defensive rebound by C. Miles,86,106
412,4,8:08.0,,G. Monroe misses 2-pt hook shot from 1 ft,86,106
413,4,8:07.0,,Offensive rebound by N. Powell,86,106
414,4,7:59.0,,N. Powell misses 2-pt jump shot from 11 ft,86,106
415,4,7:57.0,Defensive rebound by B. Marjanović,,86,106
416,4,7:46.0,Personal foul by N. Powell (drawn by M. Harrell),,86,106
417,4,7:46.0,S. Thornwell enters the game for T. Harris,,86,106
418,4,7:46.0,,P. McCaw enters the game for O. Anunoby,86,106
419,4,7:46.0,,F. VanVleet enters the game for N. Powell,86,106
420,4,7:37.0,P. Beverley makes 2-pt layup from 2 ft,,88,106
421,4,7:28.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by F. VanVleet),88,109
422,4,7:13.0,LA Clippers full timeout,,88,109
423,4,7:00.0,M. Harrell misses 2-pt jump shot from 12 ft,,88,109
424,4,6:56.0,,Defensive rebound by F. VanVleet,88,109
425,4,6:42.0,,G. Monroe misses 2-pt layup from 3 ft,88,109
426,4,6:37.0,Defensive rebound by S. Thornwell,,88,109
427,4,6:33.0,A. Bradley misses 3-pt jump shot from 28 ft,,88,109
428,4,6:29.0,,Defensive rebound by G. Monroe,88,109
429,4,6:20.0,,Turnover by G. Monroe (lost ball; steal by B. Marjanović),88,109
430,4,6:13.0,S. Thornwell misses 3-pt jump shot from 26 ft,,88,109
431,4,6:10.0,,Defensive rebound by F. VanVleet,88,109
432,4,6:10.0,,Personal foul by M. Harrell (drawn by F. VanVleet),88,109
433,4,6:10.0,J. Motley enters the game for P. Beverley,,88,109
434,4,6:10.0,J. Robinson enters the game for A. Bradley,,88,109
435,4,6:10.0,T. Wallace enters the game for M. Harrell,,88,109
436,4,5:52.0,,D. Wright misses 2-pt layup from 3 ft,88,109
437,4,5:47.0,Defensive rebound by J. Motley,,88,109
438,4,5:42.0,Shooting foul by C. Miles (drawn by B. Marjanović),,88,109
439,4,5:42.0,B. Marjanović makes free throw 1 of 2,,89,109
440,4,5:42.0,,C. Boucher enters the game for G. Monroe,89,109
441,4,5:42.0,B. Marjanović makes free throw 2 of 2,,90,109
442,4,5:27.0,,C. Boucher makes 2-pt layup from 1 ft (assist by F. VanVleet),90,111
443,4,5:13.0,J. Robinson misses 2-pt jump shot from 20 ft,,90,111
444,4,5:13.0,Offensive rebound by Team,,90,111
445,4,5:13.0,,O. Anunoby enters the game for F. VanVleet,90,111
446,4,5:11.0,Turnover by T. Wallace (bad pass; steal by C. Boucher),,90,111
447,4,4:59.0,,C. Miles makes 2-pt jump shot from 20 ft (assist by D. Wright),90,113
448,4,4:37.0,J. Motley misses 2-pt jump shot from 6 ft,,90,113
449,4,4:37.0,,Defensive rebound by C. Boucher,90,113
450,4,4:30.0,,C. Boucher misses 3-pt jump shot from 26 ft,90,113
451,4,4:27.0,Defensive rebound by J. Robinson,,90,113
452,4,4:24.0,,Violation by Team (kicked ball),90,113
453,4,4:24.0,M. Scott enters the game for B. Marjanović,,90,113
454,4,4:24.0,,J. Loyd enters the game for D. Wright,90,113
455,4,4:17.0,J. Robinson makes 2-pt jump shot from 7 ft (assist by T. Wallace),,92,113
456,4,3:58.0,,Turnover by P. McCaw (lost ball; steal by S. Thornwell),92,113
457,4,3:55.0,Shooting foul by P. McCaw (drawn by S. Thornwell),,92,113
458,4,3:55.0,S. Thornwell makes free throw 1 of 2,,93,113
459,4,3:55.0,S. Thornwell makes free throw 2 of 2,,94,113
460,4,3:38.0,,C. Boucher makes 2-pt dunk at rim (assist by P. McCaw),94,115
461,4,3:25.0,Shooting foul by C. Boucher (drawn by J. Robinson),,94,115
462,4,3:25.0,J. Robinson makes free throw 1 of 2,,95,115
463,4,3:25.0,J. Robinson makes free throw 2 of 2,,96,115
464,4,3:10.0,,J. Loyd misses 3-pt jump shot from 24 ft,96,115
465,4,3:08.0,,Offensive rebound by C. Boucher,96,115
466,4,3:08.0,,C. Boucher misses 2-pt jump shot from 1 ft (block by J. Motley),96,115
467,4,3:08.0,,Offensive rebound by Team,96,115
468,4,3:00.0,,C. Boucher makes 2-pt layup from 1 ft (assist by P. McCaw),96,117
469,4,2:42.0,J. Robinson makes 3-pt jump shot from 26 ft,,99,117
470,4,2:33.0,,J. Loyd makes 2-pt layup from 1 ft,99,119
471,4,2:33.0,,Shooting foul by J. Motley (drawn by J. Loyd),99,119
472,4,2:33.0,,Toronto full timeout,99,119
473,4,2:33.0,,J. Loyd misses free throw 1 of 1,99,119
474,4,2:31.0,Defensive rebound by S. Thornwell,,99,119
475,4,2:11.0,J. Motley makes 2-pt layup from 4 ft,,101,119
476,4,2:11.0,Shooting foul by C. Boucher (drawn by J. Motley),,101,119
477,4,2:11.0,J. Motley makes free throw 1 of 1,,102,119
478,4,1:51.0,,J. Loyd misses 2-pt jump shot from 15 ft,102,119
479,4,1:47.0,Defensive rebound by J. Motley,,102,119
480,4,1:46.0,Shooting foul by C. Miles (drawn by J. Motley),,102,119
481,4,1:46.0,J. Motley misses free throw 1 of 2,,102,119
482,4,1:46.0,Offensive rebound by Team,,102,119
483,4,1:46.0,J. Motley makes free throw 2 of 2,,103,119
484,4,1:38.0,,Turnover by P. McCaw (lost ball; steal by J. Motley),103,119
485,4,1:32.0,J. Motley misses 2-pt layup from 2 ft,,103,119
486,4,1:29.0,,Defensive rebound by C. Miles,103,119
487,4,1:18.0,,Turnover by O. Anunoby (traveling),103,119
488,4,0:59.0,T. Wallace misses 3-pt jump shot from 27 ft (block by O. Anunoby),,103,119
489,4,0:59.0,Offensive rebound by Team,,103,119
490,4,0:56.0,Turnover by S. Thornwell (bad pass; steal by O. Anunoby),,103,119
491,4,0:46.0,,J. Loyd misses 3-pt jump shot from 26 ft,103,119
492,4,0:41.0,,Offensive rebound by C. Miles,103,119
493,4,0:39.0,,J. Loyd misses 3-pt jump shot from 26 ft,103,119
494,4,0:37.0,,Offensive rebound by C. Boucher,103,119
495,4,0:37.0,,C. Boucher makes 2-pt layup at rim,103,121
496,4,0:25.0,T. Wallace misses 2-pt jump shot from 11 ft,,103,121
497,4,0:25.0,,Defensive rebound by C. Boucher,103,121
498,4,0:00.0,,Turnover by Team (shot clock),103,121
