,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SAN ANTONIO_ACTION,MINNESOTA_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,A. Wiggins misses 3-pt jump shot from 24 ft,,0,0
1,1,11:32.0,,Defensive rebound by R. Gay,0,0
2,1,11:25.0,,L. Aldridge misses 2-pt jump shot from 11 ft,0,0
3,1,11:22.0,Defensive rebound by K. Towns,,0,0
4,1,11:14.0,D. Rose misses 2-pt jump shot from 14 ft,,0,0
5,1,11:11.0,,Defensive rebound by L. Aldridge,0,0
6,1,11:00.0,,D. White misses 3-pt jump shot from 27 ft,0,0
7,1,10:56.0,,Offensive rebound by L. Aldridge,0,0
8,1,10:52.0,,D. White makes 2-pt dunk from 7 ft (assist by R. Gay),0,2
9,1,10:26.0,D. Rose misses 2-pt jump shot from 9 ft,,0,2
10,1,10:24.0,Offensive rebound by Team,,0,2
11,1,10:13.0,A. Wiggins misses 2-pt jump shot from 17 ft,,0,2
12,1,10:11.0,,Defensive rebound by R. Gay,0,2
13,1,9:51.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by L. Aldridge),0,5
14,1,9:40.0,K. Towns misses 3-pt jump shot from 25 ft,,0,5
15,1,9:36.0,,Defensive rebound by B. Forbes,0,5
16,1,9:26.0,,L. Aldridge misses 2-pt hook shot from 7 ft,0,5
17,1,9:23.0,Defensive rebound by K. Towns,,0,5
18,1,9:15.0,K. Towns makes 2-pt layup from 8 ft (assist by T. Gibson),,2,5
19,1,8:57.0,,Shooting foul by R. Covington (drawn by B. Forbes),2,5
20,1,8:57.0,,B. Forbes makes free throw 1 of 2,2,6
21,1,8:57.0,,B. Forbes makes free throw 2 of 2,2,7
22,1,8:49.0,Turnover by D. Rose (out of bounds lost ball),,2,7
23,1,8:33.0,,L. Aldridge misses 2-pt hook shot from 6 ft,2,7
24,1,8:31.0,Defensive rebound by R. Covington,,2,7
25,1,8:19.0,R. Covington makes 3-pt jump shot from 28 ft (assist by K. Towns),,5,7
26,1,8:03.0,,D. White misses 3-pt jump shot from 27 ft,5,7
27,1,8:01.0,Defensive rebound by K. Towns,,5,7
28,1,7:58.0,Shooting foul by D. White (drawn by A. Wiggins),,5,7
29,1,7:58.0,A. Wiggins makes free throw 1 of 2,,6,7
30,1,7:58.0,A. Wiggins makes free throw 2 of 2,,7,7
31,1,7:37.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),7,10
32,1,7:25.0,Personal foul by L. Aldridge (drawn by K. Towns),,7,10
33,1,7:22.0,D. Rose makes 2-pt layup from 2 ft (assist by K. Towns),,9,10
34,1,7:02.0,,Turnover by D. White (bad pass; steal by K. Towns),9,10
35,1,6:55.0,T. Gibson makes 2-pt hook shot from 3 ft,,11,10
36,1,6:55.0,,Violation by Team (def goaltending),11,10
37,1,6:33.0,,B. Forbes makes 2-pt jump shot from 7 ft (assist by D. DeRozan),11,12
38,1,6:18.0,A. Wiggins misses 2-pt jump shot from 12 ft,,11,12
39,1,6:15.0,,Defensive rebound by L. Aldridge,11,12
40,1,6:06.0,,R. Gay makes 2-pt dunk from 4 ft,11,14
41,1,5:58.0,Minnesota full timeout,,11,14
42,1,5:58.0,,P. Mills enters the game for D. White,11,14
43,1,5:41.0,A. Wiggins misses 2-pt layup from 6 ft (block by B. Forbes),,11,14
44,1,5:41.0,Offensive rebound by Team,,11,14
45,1,5:39.0,K. Towns misses 2-pt jump shot from 18 ft,,11,14
46,1,5:36.0,,Defensive rebound by L. Aldridge,11,14
47,1,5:18.0,,B. Forbes makes 2-pt hook shot from 9 ft (assist by D. DeRozan),11,16
48,1,5:18.0,,Shooting foul by R. Covington (drawn by B. Forbes),11,16
49,1,5:18.0,G. Dieng enters the game for R. Covington,,11,16
50,1,5:18.0,J. Okogie enters the game for K. Towns,,11,16
51,1,5:18.0,,B. Forbes makes free throw 1 of 1,11,17
52,1,5:04.0,G. Dieng misses 2-pt jump shot from 20 ft,,11,17
53,1,5:01.0,,Defensive rebound by D. DeRozan,11,17
54,1,4:52.0,,Turnover by D. DeRozan (lost ball; steal by G. Dieng),11,17
55,1,4:48.0,D. Rose misses 2-pt layup from 4 ft,,11,17
56,1,4:43.0,Offensive rebound by G. Dieng,,11,17
57,1,4:43.0,G. Dieng makes 2-pt layup at rim,,13,17
58,1,4:30.0,,D. DeRozan makes 2-pt jump shot from 10 ft (assist by R. Gay),13,19
59,1,4:17.0,D. Rose misses 2-pt jump shot from 11 ft,,13,19
60,1,4:14.0,,Defensive rebound by R. Gay,13,19
61,1,4:09.0,,B. Forbes misses 3-pt jump shot from 26 ft,13,19
62,1,4:06.0,Defensive rebound by D. Rose,,13,19
63,1,4:05.0,Shooting foul by R. Gay (drawn by D. Rose),,13,19
64,1,4:05.0,D. Rose makes free throw 1 of 2,,14,19
65,1,4:05.0,D. Šarić enters the game for T. Gibson,,14,19
66,1,4:05.0,,M. Belinelli enters the game for B. Forbes,14,19
67,1,4:05.0,,D. Bertāns enters the game for R. Gay,14,19
68,1,4:05.0,D. Rose makes free throw 2 of 2,,15,19
69,1,3:55.0,,Turnover by L. Aldridge (traveling),15,19
70,1,3:42.0,D. Rose misses 2-pt jump shot from 9 ft,,15,19
71,1,3:39.0,,Defensive rebound by L. Aldridge,15,19
72,1,3:30.0,,L. Aldridge makes 2-pt layup from 6 ft,15,21
73,1,3:30.0,,Shooting foul by J. Okogie (drawn by L. Aldridge),15,21
74,1,3:30.0,,L. Aldridge makes free throw 1 of 1,15,22
75,1,3:14.0,Shooting foul by D. Bertāns (drawn by D. Šarić),,15,22
76,1,3:14.0,D. Šarić makes free throw 1 of 2,,16,22
77,1,3:14.0,,J. Poeltl enters the game for L. Aldridge,16,22
78,1,3:14.0,D. Šarić makes free throw 2 of 2,,17,22
79,1,3:04.0,,Personal foul by A. Wiggins (drawn by D. DeRozan),17,22
80,1,2:56.0,,D. DeRozan misses 2-pt jump shot from 11 ft,17,22
81,1,2:52.0,Defensive rebound by D. Šarić,,17,22
82,1,2:38.0,G. Dieng makes 2-pt layup from 3 ft (assist by D. Šarić),,19,22
83,1,2:26.0,,D. DeRozan misses 2-pt jump shot from 7 ft (block by D. Rose),19,22
84,1,2:22.0,Defensive rebound by D. Rose,,19,22
85,1,2:20.0,J. Okogie misses 2-pt layup from 5 ft,,19,22
86,1,2:20.0,Offensive rebound by A. Wiggins,,19,22
87,1,2:15.0,A. Wiggins misses 2-pt layup at rim,,19,22
88,1,2:14.0,,Defensive rebound by J. Poeltl,19,22
89,1,2:09.0,,M. Belinelli makes 2-pt jump shot from 21 ft,19,24
90,1,2:01.0,Minnesota full timeout,,19,24
91,1,1:48.0,Turnover by G. Dieng (traveling),,19,24
92,1,1:48.0,T. Jones enters the game for D. Rose,,19,24
93,1,1:28.0,,J. Poeltl makes 2-pt layup from 3 ft (assist by P. Mills),19,26
94,1,1:09.0,G. Dieng misses 2-pt jump shot from 11 ft,,19,26
95,1,1:09.0,,Defensive rebound by D. Bertāns,19,26
96,1,1:04.0,,D. Bertāns misses 2-pt layup from 3 ft,19,26
