,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
0,1,11:37.0,T. Thompson misses 2-pt hook shot from 6 ft,,0,0
1,1,11:35.0,,Defensive rebound by A. Davis,0,0
2,1,11:22.0,,J. Holiday makes 2-pt layup from 1 ft (assist by A. Davis),0,2
3,1,11:00.0,C. Sexton misses 2-pt jump shot from 23 ft,,0,2
4,1,10:53.0,Offensive rebound by T. Thompson,,0,2
5,1,10:53.0,T. Thompson misses 2-pt layup from 1 ft,,0,2
6,1,10:52.0,,Defensive rebound by J. Randle,0,2
7,1,10:45.0,,D. Miller makes 3-pt jump shot from 27 ft (assist by J. Randle),0,5
8,1,10:25.0,A. Burks makes 2-pt layup from 2 ft (assist by T. Thompson),,2,5
9,1,10:13.0,,J. Randle misses 3-pt jump shot from 26 ft,2,5
10,1,10:09.0,Defensive rebound by C. Osman,,2,5
11,1,9:54.0,C. Frye makes 3-pt jump shot from 26 ft (assist by T. Thompson),,5,5
12,1,9:39.0,,Personal foul by C. Frye (drawn by A. Davis),5,5
13,1,9:27.0,,Shooting foul by C. Sexton (drawn by J. Randle),5,5
14,1,9:27.0,,J. Randle makes free throw 1 of 2,5,6
15,1,9:27.0,,J. Randle makes free throw 2 of 2,5,7
16,1,9:15.0,Turnover by C. Sexton (bad pass; steal by J. Holiday),,5,7
17,1,9:03.0,,A. Davis misses 2-pt layup from 2 ft,5,7
18,1,9:03.0,Defensive rebound by T. Thompson,,5,7
19,1,8:56.0,C. Sexton makes 2-pt layup from 2 ft (assist by C. Frye),,7,7
20,1,8:47.0,,A. Davis misses 2-pt jump shot from 14 ft,7,7
21,1,8:44.0,Defensive rebound by C. Sexton,,7,7
22,1,8:24.0,A. Burks makes 3-pt jump shot from 23 ft (assist by C. Sexton),,10,7
23,1,8:11.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by A. Davis),10,10
24,1,7:50.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by T. Thompson),,13,10
25,1,7:38.0,,D. Miller misses 3-pt jump shot from 25 ft,13,10
26,1,7:36.0,Defensive rebound by C. Frye,,13,10
