,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
0,1,11:44.0,Shooting foul by P. Millsap (drawn by D. Jones),,0,0
1,1,11:44.0,D. Jones misses free throw 1 of 2,,0,0
2,1,11:44.0,Offensive rebound by Team,,0,0
3,1,11:44.0,D. Jones misses free throw 2 of 2,,0,0
4,1,11:42.0,,Defensive rebound by N. Jokić,0,0
5,1,11:27.0,,P. Millsap misses 3-pt jump shot from 25 ft,0,0
6,1,11:23.0,Defensive rebound by S. Curry,,0,0
7,1,11:18.0,S. Curry misses 3-pt jump shot from 25 ft,,0,0
8,1,11:16.0,,Defensive rebound by G. Harris,0,0
9,1,10:59.0,,Shooting foul by D. Green (drawn by P. Millsap),0,0
10,1,10:59.0,,P. Millsap makes free throw 1 of 2,0,1
11,1,10:59.0,,P. Millsap misses free throw 2 of 2,0,1
12,1,10:57.0,Defensive rebound by K. Durant,,0,1
13,1,10:50.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by S. Curry),,2,1
14,1,10:38.0,,Shooting foul by S. Curry (drawn by J. Murray),2,1
15,1,10:38.0,,J. Murray makes free throw 1 of 2,2,2
16,1,10:38.0,,J. Murray makes free throw 2 of 2,2,3
17,1,10:21.0,Turnover by D. Jones (bad pass; steal by P. Millsap),,2,3
18,1,10:16.0,,T. Craig makes 3-pt jump shot from 23 ft (assist by J. Murray),2,6
19,1,10:01.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by D. Jones),,4,6
20,1,9:45.0,,P. Millsap misses 2-pt jump shot from 13 ft,4,6
21,1,9:42.0,Defensive rebound by K. Durant,,4,6
22,1,9:35.0,K. Durant makes 2-pt layup from 3 ft,,6,6
23,1,9:24.0,,Turnover by N. Jokić (bad pass; steal by K. Durant),6,6
24,1,9:20.0,D. Jones makes 2-pt dunk from 2 ft (assist by K. Durant),,8,6
25,1,8:54.0,,J. Murray misses 3-pt jump shot from 25 ft,8,6
26,1,8:51.0,Defensive rebound by D. Green,,8,6
27,1,8:47.0,Turnover by D. Green (lost ball; steal by T. Craig),,8,6
28,1,8:35.0,,Shooting foul by D. Jones (drawn by P. Millsap),8,6
29,1,8:35.0,,P. Millsap misses free throw 1 of 2,8,6
30,1,8:35.0,,Offensive rebound by Team,8,6
31,1,8:35.0,,P. Millsap makes free throw 2 of 2,8,7
32,1,8:24.0,D. Jones makes 2-pt layup from 1 ft (assist by S. Curry),,10,7
33,1,8:08.0,,P. Millsap misses 2-pt hook shot from 4 ft,10,7
34,1,8:06.0,Defensive rebound by K. Durant,,10,7
35,1,8:03.0,S. Curry misses 3-pt jump shot from 24 ft,,10,7
36,1,8:00.0,,Defensive rebound by N. Jokić,10,7
37,1,7:55.0,,G. Harris misses 3-pt jump shot from 25 ft,10,7
38,1,7:52.0,Defensive rebound by K. Durant,,10,7
39,1,7:47.0,K. Thompson misses 3-pt jump shot from 24 ft,,10,7
40,1,7:44.0,,Defensive rebound by J. Murray,10,7
41,1,7:31.0,,N. Jokić makes 2-pt layup from 2 ft,10,9
42,1,7:22.0,Turnover by K. Thompson (bad pass),,10,9
43,1,7:13.0,,Shooting foul by D. Jones (drawn by G. Harris),10,9
44,1,7:13.0,,G. Harris misses free throw 1 of 2,10,9
45,1,7:13.0,,Offensive rebound by Team,10,9
46,1,7:13.0,,G. Harris makes free throw 2 of 2,10,10
47,1,6:58.0,D. Green makes 2-pt jump shot from 13 ft (assist by S. Curry),,12,10
48,1,6:41.0,,T. Craig misses 3-pt jump shot from 26 ft,12,10
49,1,6:37.0,Defensive rebound by K. Thompson,,12,10
50,1,6:27.0,K. Durant misses 2-pt jump shot from 13 ft,,12,10
51,1,6:25.0,,Defensive rebound by N. Jokić,12,10
52,1,6:21.0,,G. Harris misses 3-pt jump shot from 23 ft,12,10
53,1,6:17.0,Defensive rebound by K. Thompson,,12,10
54,1,6:14.0,Turnover by K. Durant (bad pass),,12,10
55,1,6:14.0,,Denver full timeout,12,10
56,1,6:14.0,,M. Beasley enters the game for G. Harris,12,10
57,1,6:01.0,,J. Murray misses 3-pt jump shot from 24 ft,12,10
58,1,5:55.0,Defensive rebound by S. Curry,,12,10
59,1,5:43.0,Shooting foul by T. Craig (drawn by D. Green),,12,10
60,1,5:43.0,D. Green makes free throw 1 of 2,,13,10
61,1,5:43.0,D. Green misses free throw 2 of 2,,13,10
62,1,5:41.0,,Defensive rebound by N. Jokić,13,10
63,1,5:21.0,,N. Jokić misses 2-pt layup from 2 ft,13,10
64,1,5:20.0,,Offensive rebound by T. Craig,13,10
65,1,5:18.0,,J. Murray misses 2-pt jump shot from 17 ft,13,10
66,1,5:16.0,,Offensive rebound by Team,13,10
67,1,5:16.0,K. Looney enters the game for D. Green,,13,10
68,1,5:16.0,,J. Hernangómez enters the game for T. Craig,13,10
69,1,5:13.0,,P. Millsap misses 2-pt layup from 3 ft,13,10
70,1,5:10.0,Defensive rebound by K. Durant,,13,10
71,1,5:03.0,K. Durant misses 2-pt layup from 3 ft,,13,10
72,1,4:58.0,Offensive rebound by K. Looney,,13,10
73,1,4:58.0,K. Looney makes 2-pt dunk at rim,,15,10
74,1,4:50.0,,Shooting foul by D. Jones (drawn by N. Jokić),15,10
75,1,4:50.0,,N. Jokić misses free throw 1 of 2,15,10
76,1,4:50.0,,Offensive rebound by Team,15,10
77,1,4:50.0,A. Iguodala enters the game for D. Jones,,15,10
78,1,4:50.0,J. Jerebko enters the game for K. Thompson,,15,10
79,1,4:50.0,,T. Lyles enters the game for P. Millsap,15,10
80,1,4:50.0,,N. Jokić makes free throw 2 of 2,15,11
81,1,4:29.0,J. Jerebko misses 2-pt hook shot from 4 ft,,15,11
82,1,4:27.0,,Defensive rebound by N. Jokić,15,11
83,1,4:12.0,,T. Lyles misses 2-pt hook shot from 8 ft,15,11
84,1,4:11.0,Defensive rebound by K. Durant,,15,11
85,1,4:05.0,K. Durant misses 2-pt jump shot from 15 ft,,15,11
86,1,4:00.0,,Defensive rebound by J. Murray,15,11
87,1,3:47.0,,N. Jokić misses 2-pt hook shot from 4 ft,15,11
88,1,3:45.0,,Offensive rebound by N. Jokić,15,11
89,1,3:44.0,,N. Jokić misses 2-pt layup from 1 ft (block by K. Durant),15,11
90,1,3:44.0,Defensive rebound by K. Durant,,15,11
91,1,3:39.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Durant),,17,11
92,1,3:30.0,,Personal foul by K. Looney (drawn by N. Jokić),17,11
93,1,3:30.0,,N. Jokić makes free throw 1 of 2,17,12
94,1,3:30.0,,N. Jokić makes free throw 2 of 2,17,13
95,1,3:20.0,S. Curry makes 3-pt jump shot from 26 ft,,20,13
96,1,3:06.0,,T. Lyles misses 3-pt jump shot from 26 ft,20,13
97,1,3:04.0,Defensive rebound by Team,,20,13
98,1,3:04.0,,M. Plumlee enters the game for N. Jokić,20,13
99,1,3:04.0,Golden State full timeout,,20,13
100,1,3:04.0,A. McKinnie enters the game for K. Durant,,20,13
101,1,2:47.0,Turnover by K. Looney (lost ball; steal by T. Lyles),,20,13
102,1,2:43.0,,J. Murray misses 3-pt jump shot from 25 ft,20,13
