,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
0,1,11:45.0,,Turnover by N. Vučević (bad pass; steal by J. Anderson),0,0
1,1,11:41.0,J. Anderson misses 2-pt layup from 2 ft,,0,0
2,1,11:38.0,,Defensive rebound by A. Gordon,0,0
3,1,11:34.0,,Turnover by A. Gordon (bad pass; steal by J. Collins),0,0
4,1,11:28.0,T. Young makes 3-pt jump shot from 27 ft (assist by J. Anderson),,3,0
5,1,11:11.0,,J. Isaac makes 3-pt jump shot from 23 ft (assist by D. Augustin),3,3
6,1,10:49.0,T. Prince misses 3-pt jump shot from 23 ft,,3,3
7,1,10:47.0,,Defensive rebound by E. Fournier,3,3
8,1,10:37.0,,E. Fournier misses 2-pt jump shot from 19 ft,3,3
9,1,10:34.0,,Offensive rebound by N. Vučević,3,3
10,1,10:34.0,,Personal foul by T. Young (drawn by N. Vučević),3,3
11,1,10:25.0,,A. Gordon makes 2-pt jump shot from 11 ft,3,5
12,1,10:07.0,J. Collins makes 2-pt layup from 1 ft (assist by J. Anderson),,5,5
13,1,9:56.0,,E. Fournier makes 2-pt layup from 1 ft,5,7
14,1,9:56.0,,Shooting foul by T. Prince (drawn by E. Fournier),5,7
15,1,9:56.0,,E. Fournier misses free throw 1 of 1,5,7
16,1,9:52.0,Defensive rebound by A. Len,,5,7
17,1,9:46.0,T. Young misses 2-pt jump shot from 12 ft,,5,7
18,1,9:43.0,,Defensive rebound by E. Fournier,5,7
19,1,9:37.0,,E. Fournier makes 2-pt jump shot from 16 ft,5,9
20,1,9:20.0,A. Len misses 3-pt jump shot from 26 ft,,5,9
21,1,9:18.0,,Defensive rebound by A. Gordon,5,9
22,1,9:11.0,,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),5,11
23,1,8:56.0,Turnover by T. Young (lost ball; steal by D. Augustin),,5,11
24,1,8:52.0,,J. Isaac makes 2-pt dunk from 2 ft (assist by D. Augustin),5,13
25,1,8:51.0,Atlanta full timeout,,5,13
26,1,8:28.0,T. Prince misses 3-pt jump shot from 52 ft,,5,13
27,1,8:26.0,,Defensive rebound by N. Vučević,5,13
28,1,8:14.0,,N. Vučević makes 2-pt dunk at rim (assist by D. Augustin),5,15
29,1,7:49.0,J. Collins misses 2-pt dunk from 3 ft,,5,15
30,1,7:48.0,,Defensive rebound by D. Augustin,5,15
31,1,7:47.0,,Shooting foul by J. Anderson (drawn by J. Isaac),5,15
32,1,7:47.0,,J. Isaac makes free throw 1 of 2,5,16
33,1,7:47.0,,J. Isaac makes free throw 2 of 2,5,17
34,1,7:39.0,T. Young makes 2-pt jump shot from 17 ft,,7,17
35,1,7:25.0,,J. Isaac makes 3-pt jump shot from 23 ft (assist by A. Gordon),7,20
36,1,7:13.0,T. Young misses 3-pt jump shot from 26 ft,,7,20
37,1,7:10.0,,Defensive rebound by A. Gordon,7,20
38,1,7:06.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by A. Gordon),7,23
39,1,6:49.0,A. Len misses 3-pt jump shot from 22 ft,,7,23
40,1,6:47.0,,Defensive rebound by D. Augustin,7,23
41,1,6:38.0,,D. Augustin makes 2-pt layup from 2 ft,7,25
42,1,6:31.0,J. Anderson misses 3-pt jump shot from 24 ft,,7,25
43,1,6:27.0,,Defensive rebound by E. Fournier,7,25
44,1,6:22.0,,E. Fournier misses 3-pt jump shot from 26 ft,7,25
45,1,6:20.0,Defensive rebound by T. Young,,7,25
46,1,6:12.0,J. Collins misses 3-pt jump shot from 24 ft,,7,25
47,1,6:04.0,,Defensive rebound by N. Vučević,7,25
48,1,6:02.0,,Turnover by D. Augustin (bad pass; steal by T. Young),7,25
49,1,5:58.0,T. Young misses 2-pt layup from 3 ft,,7,25
50,1,5:57.0,,Defensive rebound by Team,7,25
51,1,5:57.0,,W. Iwundu enters the game for A. Gordon,7,25
52,1,5:43.0,,D. Augustin makes 2-pt jump shot from 13 ft,7,27
53,1,5:37.0,Atlanta full timeout,,7,27
54,1,5:37.0,D. Bembry enters the game for J. Anderson,,7,27
55,1,5:37.0,I. Humphries enters the game for A. Len,,7,27
56,1,5:30.0,Offensive foul by J. Collins (drawn by D. Augustin),,7,27
57,1,5:30.0,Turnover by J. Collins (offensive foul),,7,27
58,1,5:18.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by J. Isaac),7,29
59,1,5:04.0,J. Collins misses 3-pt jump shot from 26 ft,,7,29
60,1,5:02.0,,Defensive rebound by W. Iwundu,7,29
61,1,4:56.0,,W. Iwundu makes 2-pt layup from 4 ft,7,31
62,1,4:56.0,Violation by Team (def goaltending),,7,31
63,1,4:56.0,,Shooting foul by T. Young (drawn by W. Iwundu),7,31
64,1,4:56.0,,T. Ross enters the game for E. Fournier,7,31
65,1,4:56.0,,W. Iwundu makes free throw 1 of 1,7,32
66,1,4:41.0,T. Prince misses 3-pt jump shot from 26 ft,,7,32
67,1,4:39.0,,Defensive rebound by J. Isaac,7,32
68,1,4:27.0,,W. Iwundu misses 2-pt jump shot from 21 ft,7,32
69,1,4:25.0,Defensive rebound by D. Bembry,,7,32
70,1,4:17.0,T. Young makes 2-pt layup from 2 ft (assist by D. Bembry),,9,32
71,1,3:57.0,,D. Augustin misses 2-pt layup from 2 ft,9,32
72,1,3:55.0,,Offensive rebound by N. Vučević,9,32
73,1,3:54.0,,N. Vučević makes 2-pt hook shot from 1 ft,9,34
74,1,3:42.0,T. Prince makes 2-pt layup from 2 ft,,11,34
75,1,3:42.0,Shooting foul by J. Isaac (drawn by T. Prince),,11,34
76,1,3:42.0,J. Adams enters the game for J. Collins,,11,34
77,1,3:42.0,D. Davis enters the game for T. Young,,11,34
78,1,3:42.0,,M. Carter-Williams enters the game for D. Augustin,11,34
79,1,3:42.0,T. Prince misses free throw 1 of 1,,11,34
80,1,3:40.0,,Defensive rebound by J. Isaac,11,34
81,1,3:24.0,,N. Vučević makes 3-pt jump shot from 23 ft (assist by T. Ross),11,37
82,1,3:11.0,D. Bembry misses 3-pt jump shot from 25 ft,,11,37
83,1,3:08.0,,Defensive rebound by J. Isaac,11,37
