,QUARTER,TIME_REMAINING,MIAMI_ACTION,ORLANDO_ACTION,MIAMI_SCORE,ORLANDO_SCORE
0,1,11:45.0,R. McGruder misses 2-pt layup from 7 ft,,0,0
1,1,11:45.0,,Defensive rebound by A. Gordon,0,0
2,1,11:35.0,,E. Fournier misses 3-pt jump shot from 25 ft,0,0
3,1,11:33.0,Defensive rebound by H. Whiteside,,0,0
4,1,11:21.0,J. Richardson makes 2-pt layup from 4 ft,,2,0
5,1,11:05.0,,Personal foul by J. Richardson (drawn by A. Gordon),2,0
6,1,10:57.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by E. Fournier),2,2
7,1,10:44.0,H. Whiteside makes 2-pt jump shot from 11 ft (assist by J. Richardson),,4,2
8,1,10:23.0,,N. Vučević misses 2-pt jump shot from 3 ft,4,2
9,1,10:22.0,Defensive rebound by Team,,4,2
10,1,10:06.0,H. Whiteside makes 2-pt dunk at rim (assist by R. McGruder),,6,2
11,1,9:50.0,,E. Fournier misses 2-pt layup from 3 ft,6,2
12,1,9:47.0,,Offensive rebound by J. Isaac,6,2
13,1,9:47.0,,J. Isaac misses 2-pt layup from 1 ft,6,2
14,1,9:47.0,Defensive rebound by H. Whiteside,,6,2
15,1,9:44.0,Shooting foul by J. Isaac (drawn by G. Dragić),,6,2
16,1,9:44.0,G. Dragić makes free throw 1 of 2,,7,2
17,1,9:44.0,G. Dragić makes free throw 2 of 2,,8,2
18,1,9:33.0,,A. Gordon makes 2-pt dunk at rim (assist by N. Vučević),8,4
19,1,9:22.0,G. Dragić makes 2-pt layup from 2 ft,,10,4
20,1,9:06.0,,Shooting foul by R. McGruder (drawn by J. Isaac),10,4
21,1,9:06.0,,J. Isaac misses free throw 1 of 2,10,4
22,1,9:06.0,,Offensive rebound by Team,10,4
23,1,9:06.0,,J. Isaac makes free throw 2 of 2,10,5
24,1,8:56.0,J. Richardson misses 3-pt jump shot from 26 ft,,10,5
25,1,8:51.0,,Defensive rebound by A. Gordon,10,5
26,1,8:47.0,,Turnover by N. Vučević (traveling),10,5
27,1,8:37.0,G. Dragić makes 2-pt jump shot from 11 ft,,12,5
28,1,8:37.0,Shooting foul by D. Augustin (drawn by G. Dragić),,12,5
29,1,8:37.0,G. Dragić makes free throw 1 of 1,,13,5
30,1,8:27.0,,E. Fournier misses 2-pt layup from 2 ft (block by R. McGruder),13,5
31,1,8:27.0,,Offensive rebound by Team,13,5
32,1,8:22.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),13,7
33,1,8:22.0,,Shooting foul by R. McGruder (drawn by N. Vučević),13,7
34,1,8:22.0,D. Wade enters the game for R. McGruder,,13,7
35,1,8:22.0,,N. Vučević makes free throw 1 of 1,13,8
36,1,8:02.0,D. Jones misses 3-pt jump shot from 23 ft,,13,8
37,1,7:57.0,Offensive rebound by Team,,13,8
38,1,7:55.0,Personal foul by E. Fournier (drawn by D. Wade),,13,8
39,1,7:47.0,G. Dragić misses 3-pt jump shot from 26 ft,,13,8
40,1,7:43.0,,Defensive rebound by J. Isaac,13,8
41,1,7:29.0,,N. Vučević misses 2-pt jump shot from 16 ft,13,8
42,1,7:26.0,,Offensive rebound by J. Isaac,13,8
43,1,7:20.0,,A. Gordon misses 2-pt layup from 3 ft,13,8
44,1,7:14.0,,Offensive rebound by N. Vučević,13,8
45,1,7:14.0,,N. Vučević makes 2-pt layup at rim,13,10
46,1,7:06.0,D. Jones makes 3-pt jump shot from 25 ft (assist by J. Richardson),,16,10
47,1,7:00.0,,Orlando full timeout,16,10
48,1,7:00.0,T. Johnson enters the game for J. Richardson,,16,10
49,1,6:52.0,,Offensive foul by J. Isaac (drawn by D. Jones),16,10
50,1,6:52.0,,Turnover by J. Isaac (offensive foul),16,10
51,1,6:38.0,H. Whiteside misses 2-pt dunk from 1 ft,,16,10
52,1,6:35.0,Offensive rebound by D. Wade,,16,10
53,1,6:29.0,H. Whiteside misses 2-pt jump shot from 15 ft,,16,10
54,1,6:25.0,,Defensive rebound by J. Isaac,16,10
55,1,6:17.0,,E. Fournier makes 2-pt layup from 2 ft (assist by D. Augustin),16,12
56,1,6:04.0,G. Dragić makes 3-pt jump shot from 25 ft,,19,12
57,1,5:41.0,,E. Fournier misses 2-pt jump shot from 12 ft,19,12
58,1,5:38.0,Defensive rebound by H. Whiteside,,19,12
59,1,5:32.0,Turnover by D. Wade (bad pass),,19,12
60,1,5:32.0,,M. Bamba enters the game for A. Gordon,19,12
61,1,5:32.0,,T. Ross enters the game for J. Isaac,19,12
62,1,5:21.0,,Personal foul by H. Whiteside (drawn by N. Vučević),19,12
63,1,5:16.0,,D. Augustin misses 3-pt jump shot from 26 ft,19,12
64,1,5:13.0,Defensive rebound by D. Wade,,19,12
65,1,5:06.0,D. Wade makes 2-pt jump shot from 16 ft (assist by G. Dragić),,21,12
66,1,4:49.0,,N. Vučević misses 2-pt jump shot from 16 ft,21,12
67,1,4:49.0,Defensive rebound by D. Wade,,21,12
68,1,4:40.0,D. Jones misses 2-pt layup from 4 ft,,21,12
69,1,4:38.0,,Defensive rebound by N. Vučević,21,12
70,1,4:28.0,,D. Augustin misses 2-pt jump shot from 18 ft,21,12
71,1,4:25.0,Defensive rebound by H. Whiteside,,21,12
72,1,4:17.0,T. Johnson makes 2-pt layup from 3 ft,,23,12
73,1,4:04.0,,T. Ross misses 2-pt layup from 2 ft,23,12
74,1,4:01.0,Defensive rebound by H. Whiteside,,23,12
75,1,3:55.0,H. Whiteside misses 2-pt jump shot from 12 ft,,23,12
76,1,3:51.0,,Defensive rebound by M. Bamba,23,12
77,1,3:40.0,,N. Vučević misses 2-pt hook shot from 8 ft (block by H. Whiteside),23,12
78,1,3:36.0,Defensive rebound by D. Wade,,23,12
79,1,3:33.0,D. Wade misses 2-pt layup from 4 ft,,23,12
80,1,3:26.0,Offensive rebound by D. Jones,,23,12
81,1,3:26.0,D. Jones makes 2-pt dunk from 1 ft,,25,12
82,1,3:12.0,,D. Augustin makes 2-pt layup from 3 ft,25,14
83,1,3:05.0,Miami full timeout,,25,14
84,1,3:05.0,B. Adebayo enters the game for G. Dragić,,25,14
85,1,3:05.0,K. Olynyk enters the game for D. Jones,,25,14
86,1,3:05.0,J. Richardson enters the game for H. Whiteside,,25,14
87,1,3:05.0,,A. Gordon enters the game for D. Augustin,25,14
88,1,3:05.0,,J. Grant enters the game for E. Fournier,25,14
89,1,3:05.0,,J. Simmons enters the game for N. Vučević,25,14
90,1,2:56.0,J. Richardson makes 3-pt jump shot from 27 ft (assist by D. Wade),,28,14
91,1,2:28.0,,M. Bamba makes 2-pt layup from 2 ft,28,16
