,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,UTAH_ACTION,LA LAKERS_SCORE,UTAH_SCORE
0,1,11:41.0,K. Kuzma misses 3-pt jump shot from 23 ft,,0,0
1,1,11:37.0,,Defensive rebound by J. Ingles,0,0
2,1,11:19.0,,R. O'Neale makes 3-pt jump shot from 25 ft (assist by D. Mitchell),0,3
3,1,11:10.0,J. Hart makes 2-pt jump shot from 11 ft,,2,3
4,1,10:56.0,,D. Mitchell misses 2-pt jump shot from 9 ft,2,3
5,1,10:53.0,Defensive rebound by B. Ingram,,2,3
6,1,10:52.0,Shooting foul by J. Ingles (drawn by B. Ingram),,2,3
7,1,10:52.0,B. Ingram makes free throw 1 of 2,,3,3
8,1,10:52.0,B. Ingram misses free throw 2 of 2,,3,3
9,1,10:51.0,Offensive rebound by Team,,3,3
10,1,10:43.0,J. McGee misses 2-pt jump shot from 5 ft (block by D. Mitchell),,3,3
11,1,10:39.0,,Defensive rebound by R. O'Neale,3,3
12,1,10:33.0,,Turnover by R. O'Neale (bad pass),3,3
13,1,10:27.0,K. Kuzma misses 2-pt jump shot from 12 ft,,3,3
14,1,10:26.0,Offensive rebound by J. McGee,,3,3
15,1,10:26.0,Turnover by J. McGee (traveling),,3,3
16,1,10:12.0,,R. O'Neale makes 3-pt jump shot from 25 ft (assist by J. Ingles),3,6
17,1,9:56.0,J. McGee misses 2-pt layup from 5 ft,,3,6
18,1,9:54.0,,Defensive rebound by J. Ingles,3,6
19,1,9:48.0,,J. Ingles misses 2-pt layup from 1 ft,3,6
20,1,9:45.0,,Offensive rebound by R. Gobert,3,6
21,1,9:45.0,,R. Gobert misses 2-pt layup from 1 ft,3,6
22,1,9:45.0,,Offensive rebound by R. Gobert,3,6
23,1,9:45.0,,R. Gobert makes 2-pt layup from 1 ft,3,8
24,1,9:45.0,LA Lakers full timeout,,3,8
25,1,9:20.0,B. Ingram misses 2-pt jump shot from 9 ft,,3,8
26,1,9:18.0,,Defensive rebound by J. Ingles,3,8
27,1,9:12.0,,D. Mitchell makes 2-pt layup from 4 ft (assist by J. Ingles),3,10
28,1,8:57.0,B. Ingram misses 2-pt jump shot from 17 ft,,3,10
29,1,8:53.0,,Defensive rebound by J. Ingles,3,10
30,1,8:46.0,,J. Ingles misses 2-pt layup from 4 ft (block by J. McGee),3,10
31,1,8:45.0,,Offensive rebound by J. Ingles,3,10
32,1,8:42.0,,R. Gobert misses 2-pt layup from 4 ft (block by B. Ingram),3,10
33,1,8:42.0,Defensive rebound by J. McGee,,3,10
34,1,8:28.0,B. Ingram makes 2-pt jump shot from 9 ft,,5,10
35,1,8:14.0,,Turnover by D. Mitchell (traveling),5,10
36,1,8:03.0,Turnover by K. Kuzma (bad pass; steal by R. Gobert),,5,10
37,1,7:56.0,,Personal foul by J. McGee (drawn by R. Gobert),5,10
38,1,7:48.0,,D. Mitchell makes 2-pt jump shot from 16 ft,5,12
39,1,7:37.0,J. Hart misses 3-pt jump shot from 25 ft,,5,12
40,1,7:34.0,,Defensive rebound by D. Favors,5,12
