,QUARTER,TIME_REMAINING,PHOENIX_ACTION,OKLAHOMA CITY_ACTION,PHOENIX_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,T. Ferguson makes 2-pt dunk at rim (assist by P. George),0,2
1,1,11:27.0,T. Ariza misses 3-pt jump shot from 26 ft,,0,2
2,1,11:24.0,,Defensive rebound by P. George,0,2
3,1,11:18.0,,Turnover by P. George (bad pass; steal by T. Ariza),0,2
4,1,11:16.0,T. Warren makes 2-pt dunk from 1 ft (assist by T. Ariza),,2,2
5,1,10:56.0,,Offensive foul by P. George (drawn by I. Canaan),2,2
6,1,10:56.0,,Turnover by P. George (offensive foul),2,2
7,1,10:34.0,D. Ayton misses 2-pt jump shot from 16 ft,,2,2
8,1,10:30.0,,Defensive rebound by D. Schröder,2,2
9,1,10:24.0,,J. Grant misses 2-pt layup from 2 ft,2,2
10,1,10:24.0,Defensive rebound by Team,,2,2
11,1,10:10.0,D. Booker makes 3-pt jump shot from 26 ft,,5,2
12,1,9:53.0,,S. Adams makes 2-pt dunk from 1 ft (assist by D. Schröder),5,4
13,1,9:38.0,Turnover by D. Ayton (lost ball; steal by D. Schröder),,5,4
14,1,9:36.0,,D. Schröder makes 2-pt layup at rim,5,6
15,1,9:16.0,Turnover by D. Booker (bad pass; steal by D. Schröder),,5,6
16,1,9:10.0,,J. Grant misses 2-pt layup from 1 ft,5,6
17,1,9:09.0,Defensive rebound by I. Canaan,,5,6
18,1,9:01.0,D. Ayton misses 2-pt jump shot from 21 ft,,5,6
19,1,8:58.0,,Defensive rebound by J. Grant,5,6
20,1,8:46.0,,S. Adams makes 2-pt hook shot from 5 ft,5,8
21,1,8:26.0,D. Booker misses 2-pt jump shot from 12 ft,,5,8
22,1,8:24.0,,Defensive rebound by P. George,5,8
23,1,8:19.0,,Personal foul by D. Ayton (drawn by S. Adams),5,8
24,1,8:13.0,,P. George makes 2-pt jump shot from 15 ft,5,10
25,1,7:55.0,D. Booker misses 3-pt jump shot from 29 ft,,5,10
26,1,7:53.0,,Defensive rebound by T. Ferguson,5,10
27,1,7:41.0,,S. Adams makes 2-pt layup from 1 ft,5,12
28,1,7:34.0,Phoenix full timeout,,5,12
29,1,7:18.0,Turnover by T. Ariza (step out of bounds),,5,12
30,1,7:01.0,,S. Adams misses 2-pt layup from 2 ft,5,12
31,1,6:59.0,Defensive rebound by Team,,5,12
32,1,6:47.0,T. Ariza misses 2-pt layup from 3 ft (block by S. Adams),,5,12
33,1,6:44.0,Offensive rebound by T. Ariza,,5,12
34,1,6:43.0,T. Ariza misses 2-pt layup from 1 ft,,5,12
35,1,6:43.0,,Defensive rebound by D. Schröder,5,12
36,1,6:36.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by D. Schröder),5,15
37,1,6:09.0,T. Warren misses 2-pt jump shot from 19 ft,,5,15
38,1,6:07.0,,Defensive rebound by T. Ferguson,5,15
39,1,5:42.0,,Shooting foul by D. Booker (drawn by P. George),5,15
40,1,5:42.0,,P. George makes free throw 1 of 2,5,16
41,1,5:42.0,,P. George makes free throw 2 of 2,5,17
42,1,5:20.0,D. Ayton misses 2-pt jump shot from 19 ft,,5,17
43,1,5:18.0,,Defensive rebound by D. Schröder,5,17
44,1,5:12.0,,D. Schröder misses 2-pt layup from 1 ft,5,17
45,1,5:11.0,,Offensive rebound by S. Adams,5,17
46,1,5:10.0,,S. Adams makes 2-pt layup at rim,5,19
47,1,4:52.0,D. Ayton misses 2-pt layup from 2 ft (block by J. Grant),,5,19
48,1,4:49.0,,Defensive rebound by S. Adams,5,19
49,1,4:41.0,,T. Ferguson misses 3-pt jump shot from 25 ft,5,19
50,1,4:38.0,Defensive rebound by T. Warren,,5,19
51,1,4:23.0,D. Booker misses 3-pt jump shot from 26 ft,,5,19
52,1,4:20.0,,Defensive rebound by J. Grant,5,19
53,1,4:08.0,,S. Adams makes 2-pt layup from 2 ft,5,21
54,1,4:00.0,Offensive foul by I. Canaan (drawn by D. Schröder),,5,21
