,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DETROIT_ACTION,LA LAKERS_SCORE,DETROIT_SCORE
384,4,8:24.0,,L. Kennard misses 2-pt jump shot from 17 ft,74,87
385,4,8:22.0,Defensive rebound by K. Caldwell-Pope,,74,87
386,4,8:10.0,J. Williams makes 2-pt hook shot from 6 ft (assist by K. Kuzma),,76,87
387,4,7:55.0,,Turnover by I. Smith (lost ball; steal by A. Caruso),76,87
388,4,7:52.0,K. Caldwell-Pope makes 2-pt dunk from 3 ft (assist by K. Kuzma),,78,87
389,4,7:52.0,Shooting foul by T. Maker (drawn by K. Caldwell-Pope),,78,87
390,4,7:52.0,R. Bullock enters the game for A. Caruso,,78,87
391,4,7:52.0,J. McGee enters the game for A. Ingram,,78,87
392,4,7:52.0,R. Rondo enters the game for J. Williams,,78,87
393,4,7:52.0,K. Caldwell-Pope makes free throw 1 of 1,,79,87
394,4,7:52.0,,Detroit full timeout,79,87
395,4,7:52.0,,A. Drummond enters the game for T. Maker,79,87
396,4,7:52.0,,B. Griffin enters the game for Z. Pachulia,79,87
397,4,7:29.0,,I. Smith makes 2-pt jump shot from 19 ft,79,89
398,4,7:22.0,Offensive foul by K. Kuzma (drawn by B. Griffin),,79,89
399,4,7:22.0,Turnover by K. Kuzma (offensive foul),,79,89
400,4,7:04.0,,A. Drummond makes 2-pt layup from 4 ft (assist by I. Smith),79,91
401,4,6:55.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Kuzma),,81,91
402,4,6:26.0,,I. Smith makes 3-pt jump shot from 27 ft (assist by B. Griffin),81,94
403,4,6:20.0,Personal foul by B. Griffin (drawn by K. Kuzma),,81,94
404,4,6:20.0,K. Kuzma misses free throw 1 of 2,,81,94
405,4,6:20.0,Offensive rebound by Team,,81,94
406,4,6:20.0,K. Kuzma misses free throw 2 of 2,,81,94
407,4,6:17.0,,Defensive rebound by B. Griffin,81,94
408,4,6:01.0,,Turnover by L. Kennard (bad pass; steal by K. Caldwell-Pope),81,94
409,4,5:54.0,J. McGee makes 2-pt dunk at rim (assist by K. Kuzma),,83,94
410,4,5:42.0,,L. Kennard makes 2-pt jump shot from 9 ft (assist by B. Griffin),83,96
411,4,5:42.0,,Shooting foul by R. Rondo (drawn by L. Kennard),83,96
412,4,5:42.0,,L. Kennard misses free throw 1 of 1,83,96
413,4,5:38.0,Defensive rebound by J. McGee,,83,96
414,4,5:31.0,J. McGee misses 2-pt jump shot from 15 ft,,83,96
415,4,5:28.0,,Defensive rebound by A. Drummond,83,96
416,4,5:15.0,,L. Kennard misses 3-pt jump shot from 29 ft,83,96
417,4,5:13.0,Defensive rebound by K. Kuzma,,83,96
418,4,5:10.0,Personal foul by B. Griffin (drawn by K. Kuzma),,83,96
419,4,5:10.0,K. Kuzma makes free throw 1 of 2,,84,96
420,4,5:10.0,A. Caruso enters the game for R. Bullock,,84,96
421,4,5:10.0,K. Kuzma makes free throw 2 of 2,,85,96
422,4,4:53.0,,I. Smith misses 2-pt jump shot from 11 ft,85,96
423,4,4:51.0,,Offensive rebound by A. Drummond,85,96
424,4,4:50.0,,A. Drummond makes 2-pt layup from 1 ft,85,98
425,4,4:43.0,K. Kuzma misses 3-pt jump shot from 24 ft,,85,98
426,4,4:41.0,,Defensive rebound by I. Smith,85,98
427,4,4:34.0,,L. Kennard misses 3-pt jump shot from 26 ft,85,98
428,4,4:30.0,Defensive rebound by K. Caldwell-Pope,,85,98
429,4,4:22.0,R. Rondo makes 3-pt jump shot from 28 ft,,88,98
430,4,3:58.0,,L. Galloway makes 3-pt jump shot from 27 ft (assist by L. Kennard),88,101
431,4,3:38.0,J. McGee makes 2-pt hook shot from 7 ft,,90,101
432,4,3:13.0,,L. Galloway makes 3-pt jump shot from 27 ft (assist by I. Smith),90,104
433,4,3:13.0,LA Lakers full timeout,,90,104
434,4,3:13.0,,W. Ellington enters the game for L. Kennard,90,104
435,4,3:13.0,,R. Jackson enters the game for I. Smith,90,104
436,4,2:59.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,90,104
437,4,2:56.0,,Defensive rebound by B. Griffin,90,104
438,4,2:43.0,,A. Drummond misses 2-pt layup from 1 ft,90,104
439,4,2:40.0,Defensive rebound by J. McGee,,90,104
440,4,2:35.0,J. McGee makes 2-pt dunk from 3 ft (assist by K. Kuzma),,92,104
441,4,2:15.0,,R. Jackson misses 3-pt jump shot from 26 ft,92,104
442,4,2:13.0,Defensive rebound by A. Caruso,,92,104
443,4,2:08.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by A. Caruso),,94,104
444,4,1:50.0,,Shooting foul by J. McGee (drawn by B. Griffin),94,104
445,4,1:50.0,,B. Griffin makes free throw 1 of 2,94,105
446,4,1:50.0,,B. Griffin misses free throw 2 of 2,94,105
447,4,1:47.0,Defensive rebound by J. McGee,,94,105
448,4,1:38.0,A. Caruso misses 2-pt layup from 4 ft,,94,105
449,4,1:36.0,Offensive rebound by J. McGee,,94,105
450,4,1:35.0,J. McGee misses 2-pt hook shot from 3 ft,,94,105
451,4,1:32.0,,Defensive rebound by R. Jackson,94,105
452,4,1:31.0,,Shooting foul by K. Caldwell-Pope (drawn by R. Jackson),94,105
453,4,1:31.0,,R. Jackson makes free throw 1 of 2,94,106
454,4,1:31.0,I. Bonga enters the game for K. Caldwell-Pope,,94,106
455,4,1:31.0,A. Ingram enters the game for K. Kuzma,,94,106
456,4,1:31.0,M. Wagner enters the game for J. McGee,,94,106
457,4,1:31.0,J. Williams enters the game for R. Rondo,,94,106
458,4,1:31.0,,R. Jackson makes free throw 2 of 2,94,107
459,4,1:20.0,A. Caruso makes 3-pt jump shot from 27 ft,,97,107
460,4,1:06.0,,Shooting foul by J. Williams (drawn by B. Griffin),97,107
461,4,1:06.0,,B. Griffin makes free throw 1 of 2,97,108
462,4,1:06.0,,B. Griffin makes free throw 2 of 2,97,109
463,4,0:49.0,M. Wagner misses 2-pt layup from 4 ft,,97,109
464,4,0:47.0,,Defensive rebound by A. Drummond,97,109
465,4,0:38.0,,R. Jackson misses 2-pt layup from 1 ft,97,109
466,4,0:38.0,,Offensive rebound by A. Drummond,97,109
467,4,0:38.0,,A. Drummond makes 2-pt layup at rim,97,111
468,4,0:32.0,A. Caruso misses 2-pt layup from 3 ft (block by A. Drummond),,97,111
469,4,0:28.0,,Defensive rebound by L. Galloway,97,111
470,4,0:07.0,,Turnover by Team (shot clock),97,111
