,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,OKLAHOMA CITY_ACTION,MEMPHIS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:37.0,J. Valančiūnas misses 2-pt jump shot from 6 ft,,0,0
1,1,11:34.0,,Defensive rebound by R. Westbrook,0,0
2,1,11:26.0,,Turnover by R. Westbrook (bad pass),0,0
3,1,11:17.0,Turnover by B. Caboclo (bad pass; steal by R. Westbrook),,0,0
4,1,10:59.0,,J. Grant misses 2-pt jump shot from 7 ft,0,0
5,1,10:56.0,Defensive rebound by D. Wright,,0,0
6,1,10:45.0,J. Valančiūnas misses 2-pt jump shot from 9 ft (block by R. Westbrook),,0,0
7,1,10:43.0,Offensive rebound by Team,,0,0
8,1,10:37.0,A. Bradley makes 2-pt layup from 1 ft (assist by D. Wright),,2,0
9,1,10:24.0,,R. Westbrook misses 3-pt jump shot from 25 ft,2,0
10,1,10:22.0,Defensive rebound by J. Valančiūnas,,2,0
11,1,10:07.0,Personal foul by R. Westbrook (drawn by J. Valančiūnas),,2,0
12,1,9:59.0,B. Caboclo misses 2-pt layup from 2 ft,,2,0
13,1,9:58.0,,Defensive rebound by S. Adams,2,0
14,1,9:48.0,,Shooting foul by J. Holiday (drawn by J. Grant),2,0
15,1,9:48.0,,J. Grant makes free throw 1 of 2,2,1
16,1,9:48.0,,J. Grant makes free throw 2 of 2,2,2
17,1,9:48.0,,Technical foul by R. Westbrook,2,2
18,1,9:48.0,A. Bradley makes technical free throw,,3,2
19,1,9:38.0,J. Valančiūnas misses 2-pt jump shot from 18 ft,,3,2
20,1,9:36.0,Offensive rebound by J. Holiday,,3,2
21,1,9:30.0,J. Valančiūnas makes 2-pt dunk at rim (assist by D. Wright),,5,2
22,1,9:16.0,,T. Ferguson misses 2-pt jump shot from 10 ft,5,2
23,1,9:14.0,,Offensive rebound by S. Adams,5,2
24,1,9:12.0,,S. Adams makes 2-pt layup from 1 ft,5,4
25,1,8:59.0,Turnover by A. Bradley (bad pass; steal by R. Westbrook),,5,4
26,1,8:54.0,,R. Westbrook makes 2-pt jump shot from 12 ft,5,6
27,1,8:26.0,J. Holiday misses 2-pt jump shot from 9 ft,,5,6
28,1,8:24.0,,Defensive rebound by S. Adams,5,6
29,1,8:19.0,,Turnover by R. Westbrook (bad pass),5,6
30,1,8:05.0,A. Bradley makes 2-pt jump shot from 17 ft,,7,6
31,1,7:50.0,,Personal foul by A. Bradley (drawn by R. Westbrook),7,6
32,1,7:43.0,,J. Grant misses 3-pt jump shot from 25 ft,7,6
33,1,7:39.0,Defensive rebound by J. Valančiūnas,,7,6
34,1,7:28.0,B. Caboclo makes 2-pt layup from 1 ft (assist by A. Bradley),,9,6
35,1,7:28.0,Shooting foul by R. Westbrook (drawn by B. Caboclo),,9,6
36,1,7:28.0,B. Caboclo makes free throw 1 of 1,,10,6
37,1,7:14.0,,S. Adams misses 2-pt layup from 1 ft,10,6
38,1,7:12.0,Defensive rebound by B. Caboclo,,10,6
39,1,7:07.0,B. Caboclo misses 2-pt layup from 1 ft,,10,6
40,1,7:06.0,,Defensive rebound by S. Adams,10,6
41,1,6:53.0,,D. Schröder makes 2-pt jump shot from 9 ft (assist by R. Westbrook),10,8
42,1,6:40.0,D. Wright makes 2-pt layup at rim,,12,8
43,1,6:15.0,,D. Schröder misses 2-pt jump shot from 2 ft,12,8
44,1,6:13.0,,Offensive rebound by S. Adams,12,8
45,1,6:13.0,,S. Adams misses 2-pt dunk at rim,12,8
46,1,6:13.0,,Offensive rebound by S. Adams,12,8
47,1,6:05.0,,J. Grant misses 2-pt layup from 2 ft,12,8
48,1,6:02.0,,Offensive rebound by J. Grant,12,8
49,1,6:02.0,,J. Grant makes 2-pt layup at rim,12,10
50,1,5:56.0,Shooting foul by T. Ferguson (drawn by D. Wright),,12,10
51,1,5:56.0,,Oklahoma City full timeout,12,10
52,1,5:56.0,J. Noah enters the game for J. Valančiūnas,,12,10
53,1,5:56.0,D. Wright makes free throw 1 of 2,,13,10
54,1,5:56.0,D. Wright makes free throw 2 of 2,,14,10
55,1,5:47.0,,Shooting foul by J. Noah (drawn by R. Westbrook),14,10
56,1,5:47.0,,R. Westbrook misses free throw 1 of 2,14,10
57,1,5:47.0,,Offensive rebound by Team,14,10
58,1,5:47.0,,A. Nader enters the game for D. Schröder,14,10
59,1,5:47.0,,R. Westbrook misses free throw 2 of 2,14,10
60,1,5:44.0,Defensive rebound by D. Wright,,14,10
61,1,5:38.0,D. Wright makes 2-pt layup from 1 ft,,16,10
62,1,5:22.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by A. Nader),16,13
63,1,4:58.0,Turnover by D. Wright (bad pass; steal by S. Adams),,16,13
64,1,4:54.0,,A. Nader misses 2-pt layup from 1 ft (block by J. Holiday),16,13
65,1,4:52.0,,Offensive rebound by R. Westbrook,16,13
66,1,4:49.0,,A. Nader misses 3-pt jump shot from 23 ft,16,13
