,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
0,1,11:38.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by R. Jackson),0,3
1,1,11:10.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,0,3
2,1,11:08.0,Offensive rebound by E. Bledsoe,,0,3
3,1,11:02.0,K. Middleton misses 3-pt jump shot from 23 ft,,0,3
4,1,11:00.0,,Defensive rebound by B. Brown,0,3
5,1,10:49.0,,W. Ellington makes 2-pt layup from 2 ft (assist by A. Drummond),0,5
6,1,10:34.0,S. Brown makes 2-pt layup from 2 ft,,2,5
7,1,10:23.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),2,7
8,1,10:16.0,Shooting foul by B. Brown (drawn by K. Middleton),,2,7
9,1,10:16.0,K. Middleton misses free throw 1 of 2,,2,7
10,1,10:16.0,Offensive rebound by Team,,2,7
11,1,10:16.0,K. Middleton makes free throw 2 of 2,,3,7
12,1,10:01.0,,B. Brown misses 3-pt jump shot from 23 ft,3,7
13,1,9:59.0,,Offensive rebound by A. Drummond,3,7
14,1,9:58.0,,A. Drummond misses 2-pt layup at rim,3,7
15,1,9:56.0,,Offensive rebound by A. Drummond,3,7
16,1,9:55.0,,A. Drummond misses 2-pt layup from 1 ft (block by B. Lopez),3,7
17,1,9:51.0,Defensive rebound by K. Middleton,,3,7
18,1,9:38.0,B. Lopez makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),,5,7
19,1,9:20.0,,R. Jackson makes 2-pt jump shot from 9 ft,5,9
20,1,9:13.0,Personal foul by B. Griffin (drawn by G. Antetokounmpo),,5,9
21,1,9:06.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,5,9
22,1,9:03.0,Offensive rebound by G. Antetokounmpo,,5,9
23,1,9:03.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,,7,9
24,1,9:03.0,Shooting foul by B. Brown (drawn by G. Antetokounmpo),,7,9
25,1,9:03.0,G. Antetokounmpo makes free throw 1 of 1,,8,9
26,1,8:48.0,,R. Jackson misses 2-pt jump shot from 6 ft,8,9
27,1,8:45.0,,Offensive rebound by A. Drummond,8,9
28,1,8:45.0,,A. Drummond makes 2-pt layup from 2 ft,8,11
29,1,8:42.0,Personal foul by R. Jackson (drawn by E. Bledsoe),,8,11
30,1,8:36.0,Turnover by E. Bledsoe (bad pass; steal by A. Drummond),,8,11
31,1,8:34.0,,A. Drummond misses 2-pt layup from 1 ft,8,11
32,1,8:33.0,,Offensive rebound by B. Brown,8,11
33,1,8:32.0,,B. Brown makes 2-pt layup at rim,8,13
34,1,8:19.0,Offensive foul by B. Lopez (drawn by A. Drummond),,8,13
35,1,8:19.0,Turnover by B. Lopez (offensive foul),,8,13
36,1,8:13.0,,Personal foul by G. Antetokounmpo (drawn by B. Griffin),8,13
37,1,8:03.0,,B. Griffin makes 2-pt layup from 2 ft (assist by A. Drummond),8,15
38,1,8:03.0,Milwaukee full timeout,,8,15
39,1,7:45.0,G. Antetokounmpo misses 2-pt hook shot from 5 ft,,8,15
40,1,7:43.0,,Defensive rebound by B. Griffin,8,15
41,1,7:34.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Griffin),8,18
42,1,7:22.0,K. Middleton misses 2-pt jump shot from 9 ft,,8,18
