,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SACRAMENTO_ACTION,PHILADELPHIA_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,,B. Hield misses 3-pt jump shot from 22 ft,0,0
1,1,11:35.0,Defensive rebound by J. Embiid,,0,0
2,1,11:28.0,B. Simmons makes 2-pt dunk from 1 ft,,2,0
3,1,11:22.0,,D. Fox misses 2-pt jump shot from 3 ft (block by J. Embiid),2,0
4,1,11:18.0,,Offensive rebound by N. Bjelica,2,0
5,1,11:17.0,,N. Bjelica misses 2-pt layup from 4 ft,2,0
6,1,11:15.0,Defensive rebound by B. Simmons,,2,0
7,1,10:58.0,J. Embiid misses 2-pt jump shot from 14 ft,,2,0
8,1,10:56.0,,Defensive rebound by W. Cauley-Stein,2,0
9,1,10:52.0,,B. Hield misses 3-pt jump shot from 24 ft,2,0
10,1,10:49.0,Defensive rebound by J. Embiid,,2,0
11,1,10:45.0,Turnover by B. Simmons (bad pass; steal by B. Hield),,2,0
12,1,10:36.0,,I. Shumpert misses 3-pt jump shot from 25 ft,2,0
13,1,10:33.0,Defensive rebound by M. Muscala,,2,0
14,1,10:25.0,J. Embiid misses 3-pt jump shot from 27 ft,,2,0
15,1,10:22.0,,Defensive rebound by D. Fox,2,0
16,1,10:19.0,,B. Hield makes 2-pt dunk from 1 ft (assist by D. Fox),2,2
17,1,9:56.0,J. Butler misses 2-pt jump shot from 14 ft,,2,2
18,1,9:54.0,,Defensive rebound by I. Shumpert,2,2
19,1,9:42.0,,N. Bjelica misses 3-pt jump shot from 22 ft,2,2
20,1,9:40.0,,Offensive rebound by Team,2,2
21,1,9:34.0,,D. Fox makes 3-pt jump shot from 25 ft,2,5
22,1,9:19.0,M. Muscala misses 3-pt jump shot from 26 ft,,2,5
23,1,9:15.0,,Defensive rebound by I. Shumpert,2,5
24,1,9:07.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),2,8
25,1,9:06.0,Philadelphia full timeout,,2,8
26,1,8:44.0,J. Embiid makes 2-pt jump shot from 12 ft (assist by J. Butler),,4,8
27,1,8:20.0,,D. Fox misses 3-pt jump shot from 25 ft,4,8
28,1,8:17.0,Defensive rebound by M. Muscala,,4,8
29,1,8:13.0,B. Simmons makes 2-pt dunk from 1 ft,,6,8
30,1,7:59.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),6,10
31,1,7:46.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by B. Simmons),,9,10
32,1,7:25.0,,B. Hield makes 2-pt layup from 2 ft,9,12
33,1,7:22.0,Turnover by J. Embiid (bad pass; steal by W. Cauley-Stein),,9,12
34,1,7:17.0,,B. Hield misses 3-pt jump shot from 27 ft,9,12
