,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CLEVELAND_ACTION,ATLANTA_SCORE,CLEVELAND_SCORE
394,4,8:20.0,A. Len makes 2-pt dunk from 1 ft (assist by K. Bazemore),,105,91
395,4,8:06.0,,C. Sexton misses 2-pt layup from 1 ft,105,91
396,4,8:03.0,,Offensive rebound by L. Nance,105,91
397,4,8:03.0,,L. Nance misses 2-pt layup at rim,105,91
398,4,8:03.0,,Offensive rebound by C. Sexton,105,91
399,4,8:00.0,,C. Sexton misses 2-pt layup from 2 ft (block by A. Len),105,91
400,4,8:00.0,Defensive rebound by A. Len,,105,91
401,4,7:55.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by K. Huerter),,108,91
402,4,7:55.0,,Cleveland full timeout,108,91
403,4,7:55.0,A. Poythress enters the game for O. Spellman,,108,91
404,4,7:55.0,,G. Hill enters the game for L. Nance,108,91
405,4,7:55.0,,T. Thompson enters the game for C. Sexton,108,91
406,4,7:41.0,,C. Osman makes 2-pt jump shot from 18 ft,108,93
407,4,7:27.0,Personal foul by C. Osman (drawn by K. Huerter),,108,93
408,4,7:21.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by A. Len),,111,93
409,4,7:02.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by J. Clarkson),111,96
410,4,6:48.0,D. Bembry makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,114,96
411,4,6:35.0,,C. Osman misses 2-pt jump shot from 16 ft,114,96
412,4,6:34.0,,Offensive rebound by T. Thompson,114,96
413,4,6:30.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by T. Thompson),114,99
414,4,6:15.0,D. Bembry misses 3-pt jump shot from 23 ft,,114,99
415,4,6:13.0,Offensive rebound by D. Bembry,,114,99
416,4,6:05.0,K. Bazemore makes 3-pt jump shot from 29 ft,,117,99
417,4,5:38.0,,J. Clarkson misses 2-pt hook shot from 5 ft,117,99
418,4,5:37.0,,Offensive rebound by K. Love,117,99
419,4,5:34.0,,K. Love misses 2-pt layup from 2 ft,117,99
420,4,5:32.0,,Offensive rebound by K. Love,117,99
421,4,5:32.0,,K. Love misses 2-pt layup at rim (block by A. Len),117,99
422,4,5:32.0,,Offensive rebound by K. Love,117,99
423,4,5:32.0,,K. Love misses 2-pt layup at rim (block by A. Len),117,99
424,4,5:32.0,,Offensive rebound by Team,117,99
425,4,5:32.0,T. Young enters the game for K. Huerter,,117,99
426,4,5:28.0,,C. Osman makes 3-pt jump shot from 26 ft,117,102
427,4,5:25.0,D. Bembry makes 3-pt jump shot from 25 ft (assist by A. Poythress),,120,102
428,4,5:01.0,,Turnover by C. Osman (bad pass; steal by D. Bembry),120,102
429,4,5:01.0,Clear path foul by K. Love,,120,102
430,4,5:01.0,D. Bembry misses clear path free throw 1 of 2,,120,102
431,4,5:01.0,Offensive rebound by Team,,120,102
432,4,5:01.0,,C. Sexton enters the game for J. Clarkson,120,102
433,4,5:01.0,D. Bembry misses clear path free throw 2 of 2,,120,102
434,4,4:56.0,Offensive rebound by Team,,120,102
435,4,4:43.0,K. Bazemore makes 2-pt layup from 3 ft (assist by T. Young),,122,102
436,4,4:37.0,,K. Love misses 3-pt jump shot from 32 ft,122,102
437,4,4:34.0,Defensive rebound by A. Len,,122,102
438,4,4:15.0,T. Young misses 3-pt jump shot from 30 ft,,122,102
439,4,4:11.0,,Defensive rebound by K. Love,122,102
440,4,4:08.0,,G. Hill makes 2-pt layup from 1 ft (assist by K. Love),122,104
441,4,3:47.0,A. Len misses 2-pt jump shot from 10 ft,,122,104
442,4,3:44.0,,Defensive rebound by T. Thompson,122,104
443,4,3:34.0,,C. Osman misses 3-pt jump shot from 31 ft,122,104
444,4,3:30.0,Defensive rebound by K. Bazemore,,122,104
445,4,3:25.0,Atlanta full timeout,,122,104
446,4,3:25.0,T. Prince enters the game for D. Bembry,,122,104
447,4,3:25.0,O. Spellman enters the game for A. Len,,122,104
448,4,3:25.0,,S. Dekker enters the game for K. Love,122,104
449,4,3:25.0,,A. Žižić enters the game for T. Thompson,122,104
450,4,3:15.0,O. Spellman makes 3-pt jump shot from 25 ft (assist by T. Young),,125,104
451,4,2:56.0,,A. Žižić misses 2-pt layup from 2 ft,125,104
452,4,2:54.0,,Offensive rebound by S. Dekker,125,104
453,4,2:53.0,,S. Dekker misses 2-pt layup from 2 ft,125,104
454,4,2:53.0,,Offensive rebound by A. Žižić,125,104
455,4,2:48.0,,A. Žižić misses 2-pt layup at rim,125,104
456,4,2:47.0,Defensive rebound by T. Prince,,125,104
457,4,2:44.0,T. Prince misses 2-pt jump shot from 16 ft,,125,104
458,4,2:42.0,,Defensive rebound by S. Dekker,125,104
459,4,2:34.0,,C. Sexton misses 2-pt layup from 2 ft,125,104
460,4,2:28.0,,Offensive rebound by A. Žižić,125,104
461,4,2:28.0,,A. Žižić makes 2-pt layup at rim,125,106
462,4,2:18.0,A. Poythress misses 3-pt jump shot from 24 ft,,125,106
463,4,2:15.0,Offensive rebound by A. Poythress,,125,106
464,4,2:06.0,T. Young misses 3-pt jump shot from 37 ft,,125,106
465,4,2:02.0,,Defensive rebound by A. Žižić,125,106
466,4,1:53.0,,G. Hill makes 3-pt jump shot from 23 ft (assist by C. Osman),125,109
467,4,1:53.0,Atlanta full timeout,,125,109
468,4,1:53.0,,J. Clarkson enters the game for G. Hill,125,109
469,4,1:47.0,O. Spellman makes 3-pt jump shot from 22 ft (assist by K. Bazemore),,128,109
470,4,1:31.0,,Turnover by A. Žižić (3 sec),128,109
471,4,1:13.0,Offensive foul by O. Spellman (drawn by A. Žižić),,128,109
472,4,1:13.0,Turnover by O. Spellman (offensive foul),,128,109
473,4,1:13.0,D. Bembry enters the game for K. Bazemore,,128,109
474,4,1:13.0,K. Huerter enters the game for T. Young,,128,109
475,4,1:04.0,,Turnover by S. Dekker (lost ball; steal by D. Bembry),128,109
476,4,1:03.0,D. Bembry makes 2-pt dunk at rim,,130,109
477,4,0:53.0,,Offensive foul by A. Žižić (drawn by O. Spellman),130,109
478,4,0:53.0,,Turnover by A. Žižić (offensive foul),130,109
479,4,0:53.0,J. Adams enters the game for T. Prince,,130,109
480,4,0:42.0,O. Spellman misses 2-pt jump shot from 4 ft,,130,109
481,4,0:41.0,,Defensive rebound by Team,130,109
482,4,0:31.0,,A. Žižić makes 2-pt layup from 2 ft (assist by J. Clarkson),130,111
483,4,0:17.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by A. Poythress),,133,111
484,4,0:05.0,,C. Sexton misses 3-pt jump shot from 26 ft,133,111
485,4,0:03.0,Defensive rebound by A. Poythress,,133,111
