,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ORLANDO_ACTION,NEW YORK_SCORE,ORLANDO_SCORE
0,1,11:49.0,,Personal foul by K. Knox (drawn by A. Gordon),0,0
1,1,11:40.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by E. Fournier),0,2
2,1,11:14.0,T. Hardaway misses 3-pt jump shot from 26 ft,,0,2
3,1,11:11.0,,Defensive rebound by W. Iwundu,0,2
4,1,11:04.0,,E. Fournier makes 2-pt layup from 1 ft (assist by N. Vučević),0,4
5,1,10:54.0,E. Mudiay makes 2-pt jump shot from 17 ft,,2,4
6,1,10:37.0,,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),2,6
7,1,10:37.0,,Shooting foul by M. Robinson (drawn by A. Gordon),2,6
8,1,10:37.0,,A. Gordon makes free throw 1 of 1,2,7
9,1,10:27.0,E. Mudiay makes 2-pt layup from 2 ft,,4,7
10,1,10:10.0,,Turnover by A. Gordon (bad pass; steal by M. Robinson),4,7
11,1,10:05.0,T. Hardaway misses 2-pt layup from 1 ft,,4,7
12,1,10:02.0,Offensive rebound by A. Trier,,4,7
13,1,9:59.0,T. Hardaway misses 3-pt jump shot from 25 ft,,4,7
14,1,9:56.0,,Defensive rebound by N. Vučević,4,7
15,1,9:48.0,,A. Gordon makes 2-pt jump shot from 15 ft (assist by D. Augustin),4,9
16,1,9:35.0,K. Knox misses 2-pt jump shot from 21 ft,,4,9
17,1,9:31.0,Offensive rebound by M. Robinson,,4,9
18,1,9:29.0,T. Hardaway misses 3-pt jump shot from 23 ft,,4,9
19,1,9:27.0,,Defensive rebound by D. Augustin,4,9
20,1,9:23.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by D. Augustin),4,12
21,1,9:17.0,New York full timeout,,4,12
22,1,9:07.0,Shooting foul by E. Fournier (drawn by T. Hardaway),,4,12
23,1,9:07.0,T. Hardaway makes free throw 1 of 2,,5,12
24,1,9:07.0,T. Hardaway makes free throw 2 of 2,,6,12
25,1,8:56.0,,Personal foul by K. Knox (drawn by A. Gordon),6,12
26,1,8:52.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by W. Iwundu),6,14
27,1,8:35.0,A. Trier misses 2-pt layup from 3 ft,,6,14
28,1,8:31.0,,Defensive rebound by N. Vučević,6,14
29,1,8:26.0,,N. Vučević makes 2-pt jump shot from 17 ft (assist by D. Augustin),6,16
30,1,8:10.0,M. Robinson misses 2-pt dunk at rim,,6,16
31,1,8:10.0,,Defensive rebound by E. Fournier,6,16
32,1,8:10.0,,Technical foul by,6,16
33,1,8:10.0,N. Vonleh enters the game for K. Knox,,6,16
34,1,8:10.0,,E. Fournier makes technical free throw,6,17
35,1,8:10.0,,Personal foul by M. Robinson (drawn by E. Fournier),6,17
36,1,8:10.0,E. Freedom enters the game for M. Robinson,,6,17
37,1,7:54.0,,A. Gordon makes 2-pt jump shot from 13 ft,6,19
38,1,7:43.0,T. Hardaway makes 2-pt layup from 1 ft,,8,19
39,1,7:25.0,,A. Gordon makes 3-pt jump shot from 26 ft,8,22
40,1,7:12.0,E. Mudiay makes 2-pt jump shot from 13 ft,,10,22
41,1,6:59.0,,E. Fournier makes 2-pt layup from 1 ft (assist by N. Vučević),10,24
42,1,6:59.0,,Shooting foul by E. Mudiay (drawn by E. Fournier),10,24
43,1,6:59.0,,E. Fournier makes free throw 1 of 1,10,25
44,1,6:46.0,A. Trier misses 2-pt layup from 3 ft,,10,25
