,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
0,1,11:37.0,,P. Siakam makes 2-pt jump shot from 18 ft,0,2
1,1,11:19.0,J. Embiid misses 2-pt layup from 1 ft,,0,2
2,1,11:15.0,Offensive rebound by J. Butler,,0,2
3,1,11:15.0,J. Butler makes 2-pt layup from 1 ft,,2,2
4,1,11:04.0,,P. Siakam misses 3-pt jump shot from 25 ft,2,2
5,1,11:01.0,Defensive rebound by B. Simmons,,2,2
6,1,10:56.0,T. Harris makes 3-pt jump shot from 28 ft (assist by B. Simmons),,5,2
7,1,10:32.0,,P. Siakam misses 2-pt jump shot from 11 ft,5,2
8,1,10:29.0,Defensive rebound by B. Simmons,,5,2
9,1,10:26.0,Turnover by J. Redick (out of bounds lost ball),,5,2
10,1,10:09.0,,M. Gasol misses 2-pt jump shot from 17 ft,5,2
11,1,10:06.0,Defensive rebound by T. Harris,,5,2
12,1,10:03.0,B. Simmons makes 2-pt layup at rim (assist by T. Harris),,7,2
13,1,9:52.0,,K. Leonard misses 2-pt layup from 1 ft,7,2
14,1,9:52.0,Defensive rebound by T. Harris,,7,2
15,1,9:48.0,Turnover by B. Simmons (traveling),,7,2
16,1,9:28.0,,K. Leonard makes 2-pt dunk from 1 ft,7,4
17,1,9:08.0,J. Embiid misses 2-pt jump shot from 19 ft,,7,4
18,1,9:06.0,,Defensive rebound by K. Leonard,7,4
19,1,9:01.0,,K. Leonard makes 2-pt jump shot from 13 ft,7,6
20,1,8:46.0,J. Redick misses 3-pt jump shot from 30 ft,,7,6
21,1,8:46.0,,Defensive rebound by P. Siakam,7,6
22,1,8:41.0,,Shooting foul by T. Harris (drawn by P. Siakam),7,6
23,1,8:41.0,,P. Siakam makes free throw 1 of 2,7,7
24,1,8:41.0,,P. Siakam misses free throw 2 of 2,7,7
25,1,8:39.0,Defensive rebound by J. Embiid,,7,7
26,1,8:28.0,J. Butler misses 3-pt jump shot from 25 ft,,7,7
27,1,8:27.0,,Defensive rebound by Team,7,7
28,1,8:17.0,,K. Leonard makes 2-pt jump shot from 16 ft,7,9
29,1,8:02.0,J. Butler misses 2-pt jump shot from 14 ft,,7,9
30,1,7:59.0,,Defensive rebound by D. Green,7,9
31,1,7:56.0,,P. Siakam makes 2-pt dunk at rim (assist by K. Lowry),7,11
32,1,7:56.0,Philadelphia full timeout,,7,11
33,1,7:48.0,Personal foul by M. Gasol (drawn by J. Embiid),,7,11
34,1,7:37.0,J. Embiid makes 2-pt hook shot from 5 ft (assist by T. Harris),,9,11
35,1,7:26.0,,D. Green makes 2-pt layup from 2 ft (assist by K. Lowry),9,13
36,1,7:03.0,J. Embiid misses 2-pt layup from 3 ft,,9,13
37,1,7:00.0,,Defensive rebound by P. Siakam,9,13
38,1,6:50.0,,P. Siakam makes 2-pt hook shot from 4 ft,9,15
39,1,6:35.0,J. Butler makes 2-pt jump shot from 2 ft (assist by T. Harris),,11,15
40,1,6:35.0,Shooting foul by K. Lowry (drawn by J. Butler),,11,15
41,1,6:35.0,B. Marjanović enters the game for J. Embiid,,11,15
42,1,6:35.0,J. Butler misses free throw 1 of 1,,11,15
43,1,6:33.0,,Defensive rebound by K. Leonard,11,15
44,1,6:28.0,,Personal foul by J. Redick (drawn by K. Leonard),11,15
45,1,6:18.0,,K. Leonard makes 3-pt jump shot from 26 ft,11,18
46,1,6:10.0,Personal foul by P. Siakam (drawn by B. Simmons),,11,18
47,1,6:10.0,J. Ennis enters the game for J. Redick,,11,18
48,1,6:10.0,F. Korkmaz enters the game for B. Simmons,,11,18
49,1,5:53.0,J. Ennis makes 2-pt jump shot from 19 ft (assist by F. Korkmaz),,13,18
50,1,5:38.0,,K. Leonard makes 2-pt jump shot from 13 ft,13,20
51,1,5:19.0,F. Korkmaz misses 3-pt jump shot from 27 ft,,13,20
52,1,5:18.0,,Defensive rebound by K. Leonard,13,20
53,1,5:02.0,,P. Siakam makes 3-pt jump shot from 26 ft (assist by M. Gasol),13,23
54,1,4:31.0,Turnover by J. Butler (step out of bounds),,13,23
55,1,4:23.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by K. Lowry),13,25
56,1,4:07.0,J. Butler makes 2-pt jump shot from 14 ft,,15,25
57,1,4:01.0,,K. Lowry makes 2-pt jump shot from 4 ft,15,27
58,1,4:01.0,,Shooting foul by F. Korkmaz (drawn by K. Lowry),15,27
59,1,4:01.0,,K. Lowry makes free throw 1 of 1,15,28
60,1,3:49.0,T. Harris makes 3-pt jump shot from 24 ft (assist by J. Butler),,18,28
61,1,3:28.0,,K. Leonard makes 2-pt jump shot from 10 ft,18,30
62,1,3:09.0,F. Korkmaz makes 3-pt jump shot from 23 ft (assist by J. Ennis),,21,30
63,1,2:55.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by M. Gasol),21,33
64,1,2:37.0,Turnover by J. Butler (bad pass; steal by K. Leonard),,21,33
65,1,2:33.0,,Shooting foul by J. Butler (drawn by K. Leonard),21,33
66,1,2:33.0,,Toronto full timeout,21,33
67,1,2:33.0,J. Bolden enters the game for J. Butler,,21,33
68,1,2:33.0,J. Embiid enters the game for T. Harris,,21,33
69,1,2:33.0,J. Redick enters the game for F. Korkmaz,,21,33
70,1,2:33.0,B. Simmons enters the game for B. Marjanović,,21,33
71,1,2:33.0,,S. Ibaka enters the game for M. Gasol,21,33
72,1,2:33.0,,N. Powell enters the game for D. Green,21,33
73,1,2:33.0,,F. VanVleet enters the game for K. Lowry,21,33
74,1,2:33.0,,K. Leonard makes free throw 1 of 2,21,34
75,1,2:33.0,,K. Leonard makes free throw 2 of 2,21,35
76,1,2:18.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by J. Bolden),,24,35
77,1,2:01.0,,K. Leonard misses 2-pt jump shot from 9 ft,24,35
78,1,1:58.0,Defensive rebound by J. Bolden,,24,35
79,1,1:41.0,J. Bolden misses 2-pt layup from 3 ft,,24,35
80,1,1:41.0,Offensive rebound by J. Ennis,,24,35
81,1,1:41.0,J. Ennis makes 2-pt layup from 2 ft,,26,35
82,1,1:19.0,,P. Siakam makes 2-pt hook shot from 2 ft,26,37
83,1,1:19.0,,J. Meeks enters the game for K. Leonard,26,37
84,1,1:01.0,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Redick),,28,37
85,1,0:51.0,,N. Powell misses 2-pt layup from 3 ft (block by J. Redick),28,37
86,1,0:49.0,,Offensive rebound by Team,28,37
87,1,0:47.0,,P. Siakam makes 2-pt jump shot from 5 ft (assist by N. Powell),28,39
88,1,0:36.0,Personal foul by S. Ibaka (drawn by J. Embiid),,28,39
89,1,0:31.0,J. Ennis makes 2-pt jump shot from 3 ft (assist by J. Redick),,30,39
90,1,0:31.0,Shooting foul by F. VanVleet (drawn by J. Ennis),,30,39
91,1,0:31.0,J. Ennis makes free throw 1 of 1,,31,39
92,1,0:16.0,,Shooting foul by J. Embiid (drawn by F. VanVleet),31,39
93,1,0:16.0,,F. VanVleet misses free throw 1 of 2,31,39
94,1,0:16.0,,Offensive rebound by Team,31,39
95,1,0:16.0,,F. VanVleet misses free throw 2 of 2,31,39
96,1,0:14.0,Defensive rebound by B. Simmons,,31,39
97,1,0:00.0,J. Embiid misses 2-pt jump shot from 12 ft,,31,39
98,1,0:00.0,Offensive rebound by Team,,31,39
