,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MEMPHIS_ACTION,PHOENIX_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,M. Conley makes 2-pt jump shot from 21 ft,0,2
1,1,11:17.0,Turnover by J. Jackson (bad pass; steal by M. Gasol),,0,2
2,1,11:10.0,,K. Anderson misses 2-pt layup from 6 ft,0,2
3,1,11:10.0,Defensive rebound by I. Canaan,,0,2
4,1,10:55.0,D. Ayton makes 2-pt jump shot from 18 ft (assist by T. Ariza),,2,2
5,1,10:26.0,,K. Anderson misses 2-pt layup from 2 ft,2,2
6,1,10:24.0,Defensive rebound by D. Ayton,,2,2
7,1,10:18.0,I. Canaan misses 3-pt jump shot from 26 ft,,2,2
8,1,10:14.0,,Defensive rebound by M. Gasol,2,2
9,1,10:03.0,,G. Temple misses 2-pt jump shot from 17 ft,2,2
10,1,9:58.0,Defensive rebound by I. Canaan,,2,2
11,1,9:56.0,J. Jackson misses 2-pt layup from 5 ft,,2,2
12,1,9:53.0,,Defensive rebound by M. Gasol,2,2
13,1,9:42.0,,M. Gasol misses 2-pt jump shot from 16 ft,2,2
14,1,9:39.0,Defensive rebound by R. Anderson,,2,2
15,1,9:29.0,I. Canaan makes 2-pt layup from 3 ft (assist by R. Anderson),,4,2
16,1,9:03.0,,J. Jackson makes 2-pt hook shot from 8 ft,4,4
17,1,8:51.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by D. Ayton),,7,4
18,1,8:25.0,,K. Anderson misses 2-pt jump shot from 9 ft,7,4
19,1,8:21.0,Defensive rebound by D. Ayton,,7,4
20,1,8:16.0,J. Jackson misses 2-pt layup from 3 ft,,7,4
21,1,8:12.0,,Defensive rebound by J. Jackson,7,4
22,1,7:58.0,,Personal foul by I. Canaan (drawn by M. Conley),7,4
23,1,7:49.0,,M. Gasol makes 2-pt layup from 2 ft (assist by M. Conley),7,6
24,1,7:49.0,,W. Selden enters the game for K. Anderson,7,6
25,1,7:38.0,Shooting foul by J. Jackson (drawn by R. Anderson),,7,6
26,1,7:38.0,R. Anderson makes free throw 1 of 2,,8,6
27,1,7:38.0,R. Anderson makes free throw 2 of 2,,9,6
28,1,7:30.0,,Personal foul by D. Ayton (drawn by M. Gasol),9,6
29,1,7:20.0,,Turnover by M. Gasol (lost ball; steal by J. Jackson),9,6
30,1,7:14.0,R. Anderson misses 3-pt jump shot from 26 ft (block by J. Jackson),,9,6
31,1,7:12.0,Offensive rebound by Team,,9,6
32,1,7:12.0,Offensive foul by J. Jackson (drawn by G. Temple),,9,6
33,1,7:12.0,Turnover by J. Jackson (offensive foul),,9,6
34,1,7:02.0,,Turnover by M. Conley (bad pass; steal by D. Ayton),9,6
35,1,6:54.0,Turnover by J. Jackson (step out of bounds),,9,6
36,1,6:54.0,,Memphis full timeout,9,6
37,1,6:36.0,,M. Conley makes 2-pt jump shot from 9 ft (assist by M. Gasol),9,8
38,1,6:23.0,Shooting foul by G. Temple (drawn by J. Jackson),,9,8
39,1,6:23.0,J. Jackson misses free throw 1 of 2,,9,8
40,1,6:23.0,Offensive rebound by Team,,9,8
41,1,6:23.0,J. Jackson makes free throw 2 of 2,,10,8
42,1,6:03.0,,M. Conley misses 3-pt jump shot from 26 ft,10,8
43,1,6:02.0,Defensive rebound by T. Ariza,,10,8
44,1,5:54.0,T. Ariza misses 3-pt jump shot from 26 ft,,10,8
45,1,5:50.0,,Defensive rebound by G. Temple,10,8
46,1,5:40.0,,M. Gasol misses 2-pt jump shot from 8 ft,10,8
47,1,5:36.0,Defensive rebound by T. Ariza,,10,8
48,1,5:32.0,R. Anderson misses 3-pt jump shot from 27 ft,,10,8
49,1,5:28.0,,Defensive rebound by M. Gasol,10,8
50,1,5:26.0,,Personal foul by R. Anderson (drawn by J. Jackson),10,8
51,1,5:26.0,,D. Brooks enters the game for G. Temple,10,8
52,1,5:14.0,,J. Jackson misses 2-pt layup from 6 ft,10,8
53,1,5:10.0,,Offensive rebound by D. Brooks,10,8
54,1,5:01.0,,Turnover by M. Conley (lost ball; steal by R. Anderson),10,8
55,1,4:50.0,Turnover by I. Canaan (bad pass; steal by M. Conley),,10,8
56,1,4:47.0,,M. Conley makes 2-pt layup from 2 ft (assist by J. Jackson),10,10
57,1,4:25.0,Personal foul by J. Jackson (drawn by D. Ayton),,10,10
58,1,4:25.0,,O. Casspi enters the game for J. Jackson,10,10
59,1,4:24.0,Personal foul by W. Selden (drawn by R. Anderson),,10,10
60,1,4:24.0,,S. Mack enters the game for M. Conley,10,10
61,1,4:11.0,Turnover by T. Ariza (bad pass; steal by D. Brooks),,10,10
