,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
0,1,11:38.0,K. Middleton makes 2-pt jump shot from 18 ft,,2,0
1,1,11:11.0,,R. Jackson misses 3-pt jump shot from 24 ft,2,0
2,1,11:08.0,Defensive rebound by G. Antetokounmpo,,2,0
3,1,11:05.0,E. Bledsoe misses 2-pt layup from 3 ft,,2,0
4,1,11:04.0,,Defensive rebound by L. Galloway,2,0
5,1,10:53.0,,G. Robinson misses 2-pt jump shot from 6 ft,2,0
6,1,10:49.0,,Offensive rebound by A. Drummond,2,0
7,1,10:47.0,,A. Drummond makes 2-pt layup at rim,2,2
8,1,10:34.0,T. Snell misses 2-pt jump shot from 17 ft,,2,2
9,1,10:30.0,,Defensive rebound by A. Drummond,2,2
10,1,10:30.0,,L. Galloway misses 2-pt jump shot from 12 ft,2,2
11,1,10:22.0,Defensive rebound by G. Antetokounmpo,,2,2
12,1,10:16.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),,5,2
13,1,9:53.0,,Personal foul by G. Antetokounmpo (drawn by L. Galloway),5,2
14,1,9:40.0,,A. Drummond makes 2-pt layup from 4 ft (assist by R. Jackson),5,4
15,1,9:26.0,B. Lopez makes 2-pt layup from 4 ft (assist by K. Middleton),,7,4
16,1,9:17.0,,R. Jackson misses 3-pt jump shot from 25 ft,7,4
17,1,9:14.0,Defensive rebound by G. Antetokounmpo,,7,4
18,1,9:03.0,G. Antetokounmpo misses 2-pt jump shot from 16 ft,,7,4
19,1,9:00.0,,Defensive rebound by A. Drummond,7,4
20,1,8:49.0,,A. Drummond misses 2-pt jump shot from 10 ft,7,4
21,1,8:47.0,Defensive rebound by K. Middleton,,7,4
22,1,8:41.0,Turnover by K. Middleton (bad pass; steal by A. Drummond),,7,4
23,1,8:31.0,,B. Griffin misses 2-pt hook shot from 4 ft,7,4
24,1,8:29.0,,Offensive rebound by A. Drummond,7,4
25,1,8:28.0,,A. Drummond makes 2-pt layup from 1 ft,7,6
26,1,8:17.0,G. Antetokounmpo makes 3-pt jump shot from 24 ft (assist by K. Middleton),,10,6
27,1,7:56.0,,R. Jackson makes 2-pt jump shot from 11 ft (assist by B. Griffin),10,8
28,1,7:54.0,Milwaukee full timeout,,10,8
29,1,7:54.0,G. Hill enters the game for E. Bledsoe,,10,8
30,1,7:54.0,E. İlyasova enters the game for T. Snell,,10,8
31,1,7:38.0,Turnover by K. Middleton (out of bounds lost ball),,10,8
32,1,7:23.0,Violation by Team (kicked ball),,10,8
33,1,7:09.0,,B. Griffin misses 2-pt jump shot from 16 ft,10,8
34,1,7:09.0,Defensive rebound by B. Lopez,,10,8
35,1,7:00.0,B. Lopez makes 3-pt jump shot from 30 ft (assist by G. Antetokounmpo),,13,8
36,1,6:41.0,,G. Robinson misses 3-pt jump shot from 26 ft,13,8
37,1,6:38.0,Defensive rebound by G. Hill,,13,8
38,1,6:29.0,B. Lopez makes 2-pt jump shot from 8 ft,,15,8
39,1,6:17.0,,B. Griffin makes 3-pt jump shot from 24 ft (assist by R. Jackson),15,11
40,1,5:54.0,K. Middleton makes 2-pt layup from 4 ft (assist by G. Antetokounmpo),,17,11
41,1,5:39.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),17,13
42,1,5:39.0,,Shooting foul by G. Antetokounmpo (drawn by A. Drummond),17,13
43,1,5:39.0,E. Bledsoe enters the game for G. Antetokounmpo,,17,13
44,1,5:39.0,,A. Drummond makes free throw 1 of 1,17,14
45,1,5:22.0,Turnover by K. Middleton (bad pass; steal by A. Drummond),,17,14
46,1,5:12.0,,R. Jackson misses 3-pt jump shot from 24 ft,17,14
47,1,5:09.0,Defensive rebound by E. Bledsoe,,17,14
48,1,5:03.0,B. Lopez misses 3-pt jump shot from 29 ft,,17,14
49,1,4:58.0,,Defensive rebound by L. Galloway,17,14
50,1,4:52.0,,B. Griffin misses 3-pt jump shot from 25 ft,17,14
51,1,4:50.0,,Offensive rebound by L. Galloway,17,14
52,1,4:48.0,,R. Jackson misses 3-pt jump shot from 24 ft,17,14
53,1,4:42.0,Defensive rebound by B. Lopez,,17,14
54,1,4:41.0,Turnover by B. Lopez (bad pass; steal by G. Robinson),,17,14
55,1,4:40.0,,Turnover by G. Robinson (bad pass; steal by E. İlyasova),17,14
56,1,4:40.0,Personal foul by R. Jackson (drawn by G. Hill),,17,14
57,1,4:40.0,,Detroit full timeout,17,14
58,1,4:40.0,,B. Brown enters the game for R. Jackson,17,14
59,1,4:40.0,,S. Johnson enters the game for G. Robinson,17,14
60,1,4:23.0,K. Middleton makes 2-pt jump shot from 11 ft (assist by B. Lopez),,19,14
61,1,4:05.0,,Personal foul by E. İlyasova (drawn by B. Griffin),19,14
62,1,4:05.0,,L. Kennard enters the game for L. Galloway,19,14
63,1,3:50.0,,B. Griffin misses 2-pt hook shot from 6 ft,19,14
64,1,3:48.0,Defensive rebound by E. İlyasova,,19,14
65,1,3:42.0,K. Middleton makes 2-pt jump shot from 15 ft (assist by E. Bledsoe),,21,14
66,1,3:27.0,,L. Kennard makes 2-pt jump shot from 21 ft (assist by B. Griffin),21,16
67,1,3:15.0,E. Bledsoe makes 2-pt layup from 3 ft (assist by G. Hill),,23,16
68,1,3:15.0,P. Connaughton enters the game for K. Middleton,,23,16
69,1,2:49.0,,Turnover by Team (shot clock),23,16
70,1,2:42.0,E. Bledsoe makes 3-pt jump shot from 28 ft,,26,16
71,1,2:23.0,,L. Kennard misses 3-pt jump shot from 25 ft,26,16
72,1,2:21.0,Defensive rebound by G. Hill,,26,16
73,1,2:12.0,G. Hill makes 2-pt jump shot from 15 ft,,28,16
74,1,1:43.0,,A. Drummond misses 2-pt jump shot from 11 ft,28,16
75,1,1:42.0,Defensive rebound by G. Hill,,28,16
76,1,1:34.0,G. Hill misses 3-pt jump shot from 26 ft,,28,16
77,1,1:30.0,,Defensive rebound by A. Drummond,28,16
78,1,1:22.0,,B. Griffin makes 3-pt jump shot from 22 ft (assist by A. Drummond),28,19
79,1,1:07.0,Turnover by G. Hill (lost ball; steal by S. Johnson),,28,19
80,1,0:51.0,,Turnover by B. Griffin (bad pass; steal by E. Bledsoe),28,19
81,1,0:45.0,P. Connaughton makes 2-pt layup from 4 ft (assist by E. Bledsoe),,30,19
82,1,0:29.0,,L. Kennard makes 3-pt jump shot from 23 ft (assist by B. Griffin),30,22
83,1,0:08.0,Personal foul by L. Kennard (drawn by E. Bledsoe),,30,22
84,1,0:08.0,T. Snell enters the game for E. Bledsoe,,30,22
85,1,0:01.0,G. Hill misses 2-pt layup from 4 ft,,30,22
86,1,0:01.0,,Defensive rebound by B. Griffin,30,22
87,2,11:41.0,,K. Thomas makes 3-pt jump shot from 25 ft (assist by L. Kennard),30,25
88,2,11:22.0,P. Connaughton misses 3-pt jump shot from 25 ft,,30,25
89,2,11:21.0,,Defensive rebound by Team,30,25
90,2,11:09.0,,S. Johnson makes 3-pt jump shot from 24 ft (assist by R. Jackson),30,28
91,2,10:54.0,D. Wilson misses 3-pt jump shot from 25 ft,,30,28
92,2,10:50.0,,Defensive rebound by L. Kennard,30,28
93,2,10:42.0,,K. Thomas misses 3-pt jump shot from 25 ft,30,28
94,2,10:37.0,Defensive rebound by P. Connaughton,,30,28
95,2,10:22.0,P. Connaughton makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,32,28
96,2,10:01.0,,Z. Pachulia misses 2-pt jump shot from 4 ft,32,28
97,2,9:57.0,Defensive rebound by G. Antetokounmpo,,32,28
98,2,9:55.0,D. Wilson misses 2-pt layup from 5 ft (block by K. Thomas),,32,28
99,2,9:51.0,,Defensive rebound by Team,32,28
100,2,9:39.0,,K. Thomas misses 3-pt jump shot from 23 ft,32,28
101,2,9:35.0,,Offensive rebound by Z. Pachulia,32,28
102,2,9:35.0,E. Bledsoe enters the game for G. Hill,,32,28
103,2,9:33.0,,L. Kennard misses 3-pt jump shot from 27 ft,32,28
104,2,9:31.0,,Offensive rebound by Team,32,28
105,2,9:31.0,Loose ball foul by D. Wilson (drawn by Z. Pachulia),,32,28
106,2,9:24.0,,S. Johnson makes 2-pt jump shot from 13 ft,32,30
107,2,9:15.0,T. Snell makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,35,30
