,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,HOUSTON_ACTION,MILWAUKEE_SCORE,HOUSTON_SCORE
137,2,8:27.0,,Houston full timeout,34,34
138,2,8:27.0,B. Lopez enters the game for G. Antetokounmpo,,34,34
139,2,8:27.0,K. Middleton enters the game for M. Brogdon,,34,34
140,2,8:27.0,,C. Capela enters the game for J. Ennis,34,34
141,2,8:27.0,,J. Harden enters the game for G. Green,34,34
142,2,8:27.0,,D. House enters the game for B. Knight,34,34
143,2,8:16.0,,C. Capela misses 2-pt dunk from 2 ft,34,34
144,2,8:15.0,Defensive rebound by K. Middleton,,34,34
145,2,8:08.0,E. Bledsoe misses 2-pt layup from 1 ft,,34,34
146,2,8:06.0,,Defensive rebound by D. House,34,34
147,2,8:01.0,,J. Harden makes 2-pt layup from 1 ft,34,36
148,2,7:40.0,K. Middleton misses 2-pt jump shot from 4 ft,,34,36
149,2,7:39.0,,Defensive rebound by D. House,34,36
150,2,7:33.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),34,38
151,2,7:17.0,Turnover by B. Lopez (traveling),,34,38
152,2,6:56.0,,Turnover by D. House (lost ball; steal by K. Middleton),34,38
153,2,6:49.0,Turnover by B. Lopez (traveling),,34,38
154,2,6:37.0,,Turnover by J. Harden (bad pass; steal by B. Lopez),34,38
155,2,6:28.0,K. Middleton misses 3-pt jump shot from 26 ft,,34,38
156,2,6:26.0,Offensive rebound by E. Bledsoe,,34,38
157,2,6:16.0,T. Snell misses 3-pt jump shot from 26 ft,,34,38
158,2,6:13.0,,Defensive rebound by J. Harden,34,38
159,2,6:05.0,,D. House makes 3-pt jump shot from 23 ft (assist by J. Harden),34,41
160,2,5:53.0,T. Snell makes 2-pt layup from 2 ft (assist by E. Bledsoe),,36,41
161,2,5:53.0,G. Antetokounmpo enters the game for T. Snell,,36,41
162,2,5:53.0,,G. Clark enters the game for A. Rivers,36,41
163,2,5:53.0,,G. Green enters the game for P. Tucker,36,41
164,2,5:26.0,,C. Capela misses 2-pt hook shot from 10 ft,36,41
165,2,5:23.0,Defensive rebound by G. Antetokounmpo,,36,41
166,2,5:18.0,Shooting foul by D. House (drawn by G. Antetokounmpo),,36,41
167,2,5:18.0,G. Antetokounmpo misses free throw 1 of 2,,36,41
168,2,5:18.0,Offensive rebound by Team,,36,41
169,2,5:18.0,M. Brogdon enters the game for E. Bledsoe,,36,41
170,2,5:18.0,G. Antetokounmpo makes free throw 2 of 2,,37,41
171,2,5:06.0,,G. Green misses 3-pt jump shot from 23 ft,37,41
172,2,5:05.0,Defensive rebound by G. Antetokounmpo,,37,41
173,2,4:57.0,B. Lopez misses 3-pt jump shot from 28 ft,,37,41
174,2,4:55.0,,Defensive rebound by D. House,37,41
175,2,4:43.0,,J. Harden makes 3-pt jump shot from 24 ft,37,44
176,2,4:43.0,,Shooting foul by G. Hill (drawn by J. Harden),37,44
177,2,4:43.0,,J. Harden makes free throw 1 of 1,37,45
178,2,4:29.0,G. Antetokounmpo misses 2-pt hook shot from 6 ft,,37,45
179,2,4:28.0,Offensive rebound by G. Antetokounmpo,,37,45
180,2,4:25.0,G. Antetokounmpo makes 2-pt layup at rim,,39,45
181,2,4:09.0,,J. Harden makes 3-pt jump shot from 26 ft,39,48
182,2,4:09.0,Milwaukee full timeout,,39,48
183,2,4:09.0,T. Snell enters the game for G. Hill,,39,48
184,2,4:09.0,,A. Rivers enters the game for G. Clark,39,48
185,2,4:09.0,,P. Tucker enters the game for G. Green,39,48
186,2,3:55.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft,,41,48
187,2,3:38.0,,Personal foul by K. Middleton (drawn by J. Harden),41,48
188,2,3:36.0,,Shooting foul by K. Middleton (drawn by J. Harden),41,48
189,2,3:36.0,,J. Harden makes free throw 1 of 3,41,49
190,2,3:36.0,,J. Harden makes free throw 2 of 3,41,50
191,2,3:36.0,E. Bledsoe enters the game for T. Snell,,41,50
192,2,3:36.0,,J. Harden makes free throw 3 of 3,41,51
193,2,3:18.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,43,51
194,2,3:07.0,,C. Capela makes 2-pt layup from 2 ft (assist by D. House),43,53
195,2,2:59.0,K. Middleton misses 2-pt layup from 3 ft,,43,53
196,2,2:58.0,,Defensive rebound by J. Harden,43,53
197,2,2:51.0,,P. Tucker misses 3-pt jump shot from 25 ft,43,53
198,2,2:50.0,Defensive rebound by G. Antetokounmpo,,43,53
199,2,2:39.0,Turnover by G. Antetokounmpo (out of bounds lost ball),,43,53
200,2,2:28.0,,Turnover by J. Harden (bad pass; steal by G. Antetokounmpo),43,53
201,2,2:25.0,Shooting foul by P. Tucker (drawn by K. Middleton),,43,53
202,2,2:25.0,K. Middleton misses free throw 1 of 2,,43,53
203,2,2:25.0,Offensive rebound by Team,,43,53
204,2,2:25.0,K. Middleton makes free throw 2 of 2,,44,53
205,2,2:06.0,,Turnover by C. Capela (lost ball; steal by E. Bledsoe),44,53
206,2,2:01.0,K. Middleton makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,46,53
207,2,1:49.0,,J. Harden misses 2-pt layup from 3 ft,46,53
208,2,1:49.0,,Offensive rebound by C. Capela,46,53
209,2,1:49.0,,Shooting foul by G. Antetokounmpo (drawn by C. Capela),46,53
210,2,1:49.0,,C. Capela makes free throw 1 of 2,46,54
211,2,1:49.0,,C. Capela makes free throw 2 of 2,46,55
212,2,1:41.0,M. Brogdon makes 2-pt jump shot from 6 ft,,48,55
213,2,1:30.0,,Shooting foul by E. Bledsoe (drawn by J. Harden),48,55
214,2,1:30.0,,J. Harden misses free throw 1 of 3,48,55
215,2,1:30.0,,Offensive rebound by Team,48,55
216,2,1:30.0,,J. Harden makes free throw 2 of 3,48,56
217,2,1:30.0,G. Hill enters the game for E. Bledsoe,,48,56
218,2,1:30.0,,J. Harden makes free throw 3 of 3,48,57
219,2,1:14.0,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by G. Hill),,50,57
220,2,0:59.0,,D. House misses 3-pt jump shot from 23 ft,50,57
221,2,0:57.0,Defensive rebound by G. Antetokounmpo,,50,57
222,2,0:55.0,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,52,57
223,2,0:39.0,,C. Capela misses 2-pt layup from 4 ft,52,57
224,2,0:39.0,,Offensive rebound by C. Capela,52,57
225,2,0:38.0,,C. Capela misses 2-pt layup from 2 ft (block by B. Lopez),52,57
226,2,0:37.0,,Offensive rebound by C. Capela,52,57
227,2,0:36.0,,C. Capela misses 2-pt layup from 2 ft (block by B. Lopez),52,57
228,2,0:34.0,Defensive rebound by G. Antetokounmpo,,52,57
229,2,0:28.0,K. Middleton misses 3-pt jump shot from 23 ft,,52,57
230,2,0:27.0,,Defensive rebound by D. House,52,57
231,2,0:05.0,,J. Harden makes 3-pt jump shot from 25 ft,52,60
232,2,0:00.0,K. Middleton makes 2-pt jump shot from 9 ft,,54,60
233,3,11:41.0,G. Antetokounmpo makes 2-pt jump shot from 4 ft,,56,60
234,3,11:28.0,,J. Harden misses 2-pt layup from 2 ft,56,60
235,3,11:26.0,,Offensive rebound by P. Tucker,56,60
236,3,11:21.0,,A. Rivers makes 3-pt jump shot from 25 ft,56,63
237,3,11:10.0,M. Brogdon makes 2-pt layup from 2 ft (assist by E. Bledsoe),,58,63
238,3,10:52.0,,C. Capela misses 2-pt hook shot from 4 ft (block by B. Lopez),58,63
239,3,10:50.0,Defensive rebound by B. Lopez,,58,63
240,3,10:50.0,E. Bledsoe misses 2-pt layup from 2 ft (block by J. Harden),,58,63
241,3,10:49.0,Offensive rebound by Team,,58,63
242,3,10:39.0,B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton),,60,63
243,3,10:25.0,,Turnover by J. Harden (out of bounds lost ball),60,63
244,3,10:15.0,E. Bledsoe makes 2-pt layup from 1 ft,,62,63
245,3,10:03.0,,C. Capela misses 2-pt layup from 3 ft (block by E. Bledsoe),62,63
246,3,10:03.0,Defensive rebound by Team,,62,63
247,3,10:03.0,,G. Green enters the game for D. House,62,63
248,3,9:52.0,Shooting foul by J. Harden (drawn by M. Brogdon),,62,63
249,3,9:52.0,M. Brogdon makes free throw 1 of 2,,63,63
250,3,9:52.0,M. Brogdon makes free throw 2 of 2,,64,63
251,3,9:41.0,,Turnover by J. Harden (bad pass; steal by K. Middleton),64,63
252,3,9:30.0,Shooting foul by P. Tucker (drawn by G. Antetokounmpo),,64,63
253,3,9:30.0,G. Antetokounmpo misses free throw 1 of 2,,64,63
254,3,9:30.0,Offensive rebound by Team,,64,63
255,3,9:30.0,G. Antetokounmpo makes free throw 2 of 2,,65,63
256,3,9:21.0,,Shooting foul by B. Lopez (drawn by C. Capela),65,63
257,3,9:21.0,,C. Capela makes free throw 1 of 2,65,64
258,3,9:21.0,,C. Capela misses free throw 2 of 2,65,64
259,3,9:21.0,Defensive rebound by B. Lopez,,65,64
260,3,8:57.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,65,64
261,3,8:56.0,,Defensive rebound by A. Rivers,65,64
262,3,8:49.0,,Turnover by J. Harden (lost ball; steal by K. Middleton),65,64
263,3,8:34.0,G. Antetokounmpo misses 2-pt jump shot from 3 ft,,65,64
264,3,8:32.0,,Defensive rebound by C. Capela,65,64
265,3,8:29.0,,Personal foul by B. Lopez (drawn by P. Tucker),65,64
266,3,8:18.0,,Turnover by P. Tucker (out of bounds lost ball),65,64
267,3,8:04.0,K. Middleton makes 3-pt jump shot from 25 ft,,68,64
268,3,7:43.0,,C. Capela misses 2-pt hook shot from 5 ft,68,64
269,3,7:42.0,Defensive rebound by E. Bledsoe,,68,64
270,3,7:35.0,B. Lopez misses 3-pt jump shot from 28 ft,,68,64
271,3,7:34.0,,Defensive rebound by C. Capela,68,64
272,3,7:22.0,,J. Harden makes 2-pt jump shot from 6 ft,68,66
273,3,7:17.0,Turnover by E. Bledsoe (out of bounds lost ball),,68,66
274,3,7:08.0,,Turnover by A. Rivers (bad pass; steal by E. Bledsoe),68,66
275,3,7:03.0,Shooting foul by A. Rivers (drawn by G. Antetokounmpo),,68,66
276,3,7:03.0,G. Antetokounmpo makes free throw 1 of 2,,69,66
277,3,7:03.0,S. Brown enters the game for E. Bledsoe,,69,66
278,3,7:03.0,G. Antetokounmpo makes free throw 2 of 2,,70,66
279,3,6:51.0,,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),70,68
280,3,6:41.0,B. Lopez misses 3-pt jump shot from 23 ft,,70,68
281,3,6:39.0,,Defensive rebound by A. Rivers,70,68
282,3,6:21.0,,Personal foul by S. Brown (drawn by A. Rivers),70,68
283,3,6:21.0,,Houston full timeout,70,68
284,3,6:21.0,E. Bledsoe enters the game for M. Brogdon,,70,68
285,3,6:21.0,E. İlyasova enters the game for B. Lopez,,70,68
286,3,6:21.0,,D. House enters the game for C. Capela,70,68
287,3,6:15.0,,G. Green makes 2-pt jump shot from 7 ft (assist by P. Tucker),70,70
288,3,6:08.0,G. Antetokounmpo misses 2-pt jump shot from 6 ft,,70,70
289,3,6:06.0,,Defensive rebound by P. Tucker,70,70
290,3,5:54.0,,Personal foul by E. İlyasova (drawn by J. Harden),70,70
291,3,5:51.0,,G. Green makes 3-pt jump shot from 27 ft (assist by P. Tucker),70,73
292,3,5:43.0,Offensive foul by E. Bledsoe (drawn by A. Rivers),,70,73
293,3,5:43.0,Turnover by E. Bledsoe (offensive foul),,70,73
294,3,5:43.0,G. Hill enters the game for E. Bledsoe,,70,73
295,3,5:43.0,,J. Ennis enters the game for A. Rivers,70,73
296,3,5:34.0,,J. Harden makes 2-pt layup from 2 ft,70,75
297,3,5:16.0,S. Brown makes 3-pt jump shot from 26 ft (assist by K. Middleton),,73,75
298,3,5:00.0,,J. Ennis makes 3-pt jump shot from 24 ft (assist by P. Tucker),73,78
299,3,4:48.0,S. Brown misses 3-pt jump shot from 23 ft,,73,78
300,3,4:44.0,,Defensive rebound by P. Tucker,73,78
301,3,4:44.0,B. Lopez enters the game for G. Antetokounmpo,,73,78
302,3,4:32.0,,J. Harden makes 3-pt jump shot from 23 ft,73,81
303,3,4:17.0,E. İlyasova makes 2-pt layup from 3 ft (assist by S. Brown),,75,81
304,3,4:01.0,,Personal foul by E. İlyasova (drawn by P. Tucker),75,81
305,3,4:01.0,,P. Tucker misses free throw 1 of 2,75,81
306,3,4:01.0,,Offensive rebound by Team,75,81
307,3,4:01.0,,P. Tucker makes free throw 2 of 2,75,82
308,3,3:44.0,S. Brown makes 2-pt jump shot from 6 ft,,77,82
309,3,3:31.0,,D. House misses 3-pt jump shot from 26 ft,77,82
310,3,3:30.0,Defensive rebound by K. Middleton,,77,82
311,3,3:22.0,K. Middleton makes 2-pt layup from 3 ft,,79,82
312,3,3:09.0,,Turnover by J. Harden (bad pass; steal by S. Brown),79,82
313,3,3:03.0,E. İlyasova makes 2-pt layup from 2 ft (assist by K. Middleton),,81,82
314,3,2:59.0,,Houston full timeout,81,82
315,3,2:59.0,M. Brogdon enters the game for K. Middleton,,81,82
316,3,2:43.0,,J. Harden misses 3-pt jump shot from 24 ft,81,82
317,3,2:42.0,Defensive rebound by E. İlyasova,,81,82
318,3,2:21.0,M. Brogdon makes 2-pt layup from 3 ft (assist by B. Lopez),,83,82
319,3,2:11.0,,G. Green misses 3-pt jump shot from 26 ft,83,82
320,3,2:10.0,Defensive rebound by S. Brown,,83,82
321,3,1:53.0,S. Brown misses 3-pt jump shot from 27 ft,,83,82
322,3,1:52.0,,Defensive rebound by P. Tucker,83,82
323,3,1:43.0,,P. Tucker misses 3-pt jump shot from 23 ft,83,82
324,3,1:41.0,,Offensive rebound by D. House,83,82
325,3,1:39.0,,Shooting foul by S. Brown (drawn by P. Tucker),83,82
326,3,1:39.0,,P. Tucker misses free throw 1 of 2,83,82
327,3,1:39.0,,Offensive rebound by Team,83,82
328,3,1:39.0,G. Antetokounmpo enters the game for B. Lopez,,83,82
329,3,1:39.0,,B. Knight enters the game for J. Ennis,83,82
330,3,1:39.0,,A. Rivers enters the game for J. Harden,83,82
331,3,1:39.0,,P. Tucker makes free throw 2 of 2,83,83
332,3,1:19.0,S. Brown makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,86,83
333,3,1:05.0,,D. House misses 3-pt jump shot from 25 ft,86,83
334,3,1:03.0,Defensive rebound by M. Brogdon,,86,83
335,3,1:00.0,Shooting foul by D. House (drawn by G. Antetokounmpo),,86,83
336,3,1:00.0,G. Antetokounmpo makes free throw 1 of 2,,87,83
337,3,1:00.0,,C. Capela enters the game for P. Tucker,87,83
338,3,1:00.0,G. Antetokounmpo makes free throw 2 of 2,,88,83
339,3,0:47.0,,Offensive foul by C. Capela (drawn by E. İlyasova),88,83
340,3,0:47.0,,Turnover by C. Capela (offensive foul),88,83
341,3,0:47.0,Milwaukee full timeout,,88,83
342,3,0:29.0,G. Hill makes 2-pt layup from 1 ft (assist by M. Brogdon),,90,83
343,3,0:15.0,,G. Green misses 3-pt jump shot from 23 ft,90,83
344,3,0:15.0,Defensive rebound by G. Antetokounmpo,,90,83
345,3,0:02.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by D. House),,90,83
346,3,0:02.0,Offensive rebound by Team,,90,83
347,3,0:02.0,B. Lopez enters the game for G. Hill,,90,83
348,3,0:02.0,E. İlyasova misses 2-pt jump shot from 16 ft,,90,83
349,3,0:00.0,Offensive rebound by G. Antetokounmpo,,90,83
350,3,0:00.0,G. Antetokounmpo makes 2-pt layup at rim,,92,83
351,4,11:48.0,,Offensive foul by J. Harden (drawn by E. İlyasova),92,83
352,4,11:48.0,,Turnover by J. Harden (offensive foul),92,83
353,4,11:24.0,S. Brown misses 3-pt jump shot from 23 ft,,92,83
354,4,11:23.0,Offensive rebound by Team,,92,83
355,4,11:23.0,,Loose ball foul by A. Rivers (drawn by E. İlyasova),92,83
356,4,11:17.0,G. Hill makes 2-pt jump shot from 9 ft (assist by S. Brown),,94,83
357,4,11:03.0,,A. Rivers misses 3-pt jump shot from 25 ft,94,83
358,4,11:02.0,Defensive rebound by G. Antetokounmpo,,94,83
359,4,10:54.0,E. İlyasova misses 2-pt jump shot from 10 ft,,94,83
360,4,10:53.0,,Defensive rebound by C. Capela,94,83
361,4,10:40.0,,J. Harden misses 3-pt jump shot from 25 ft,94,83
362,4,10:39.0,Defensive rebound by G. Antetokounmpo,,94,83
363,4,10:28.0,Shooting foul by C. Capela (drawn by G. Antetokounmpo),,94,83
364,4,10:28.0,G. Antetokounmpo makes free throw 1 of 2,,95,83
365,4,10:28.0,K. Middleton enters the game for S. Brown,,95,83
366,4,10:28.0,,G. Green enters the game for C. Capela,95,83
367,4,10:28.0,G. Antetokounmpo makes free throw 2 of 2,,96,83
368,4,10:12.0,,J. Harden misses 2-pt layup from 2 ft,96,83
369,4,10:10.0,Defensive rebound by E. İlyasova,,96,83
370,4,10:02.0,G. Hill misses 2-pt layup from 2 ft (block by D. House),,96,83
371,4,10:00.0,Offensive rebound by G. Hill,,96,83
372,4,9:59.0,G. Hill makes 2-pt layup from 2 ft,,98,83
373,4,9:50.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by A. Rivers),98,86
374,4,9:31.0,G. Antetokounmpo misses 2-pt jump shot from 13 ft,,98,86
375,4,9:30.0,,Defensive rebound by J. Harden,98,86
376,4,9:19.0,,P. Tucker misses 3-pt jump shot from 24 ft,98,86
377,4,9:18.0,Defensive rebound by E. İlyasova,,98,86
378,4,8:56.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,101,86
379,4,8:34.0,,J. Harden misses 2-pt layup from 6 ft,101,86
