,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,,J. Holiday makes 3-pt jump shot from 25 ft,0,3
1,1,11:23.0,J. Dudley misses 3-pt jump shot from 25 ft,,0,3
2,1,11:16.0,Offensive rebound by J. Harris,,0,3
3,1,11:14.0,Turnover by J. Harris (bad pass; steal by A. Davis),,0,3
4,1,11:07.0,,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),0,5
5,1,11:07.0,,Shooting foul by C. LeVert (drawn by A. Davis),0,5
6,1,11:07.0,,A. Davis makes free throw 1 of 1,0,6
7,1,10:55.0,J. Harris misses 2-pt jump shot from 3 ft,,0,6
8,1,10:53.0,Offensive rebound by J. Allen,,0,6
9,1,10:51.0,Turnover by D. Russell (lost ball; steal by J. Holiday),,0,6
10,1,10:43.0,,J. Holiday makes 2-pt layup from 2 ft (assist by N. Mirotić),0,8
11,1,10:43.0,Brooklyn full timeout,,0,8
12,1,10:29.0,J. Harris makes 2-pt layup from 3 ft (assist by J. Allen),,2,8
13,1,10:16.0,,Turnover by A. Davis (offensive foul),2,8
14,1,10:16.0,,Offensive foul by A. Davis (drawn by C. LeVert),2,8
15,1,10:00.0,Turnover by J. Harris (bad pass),,2,8
16,1,9:43.0,,E. Payton misses 2-pt layup from 2 ft (block by J. Allen),2,8
17,1,9:39.0,Defensive rebound by J. Harris,,2,8
18,1,9:35.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,4,8
19,1,9:26.0,,J. Holiday misses 2-pt jump shot from 12 ft,4,8
20,1,9:24.0,,Offensive rebound by E. Payton,4,8
21,1,9:21.0,,E. Payton makes 2-pt layup from 2 ft,4,10
22,1,9:03.0,D. Russell makes 2-pt jump shot from 17 ft,,6,10
23,1,8:47.0,,E. Payton misses 2-pt layup from 3 ft (block by J. Allen),6,10
24,1,8:43.0,Defensive rebound by C. LeVert,,6,10
25,1,8:36.0,C. LeVert misses 2-pt layup from 2 ft,,6,10
26,1,8:34.0,Offensive rebound by C. LeVert,,6,10
27,1,8:31.0,J. Allen misses 2-pt layup from 2 ft,,6,10
28,1,8:30.0,Offensive rebound by Team,,6,10
29,1,8:18.0,D. Russell misses 2-pt jump shot from 21 ft,,6,10
30,1,8:15.0,,Defensive rebound by A. Davis,6,10
31,1,8:11.0,,Shooting foul by C. LeVert (drawn by A. Davis),6,10
32,1,8:11.0,,A. Davis makes free throw 1 of 2,6,11
33,1,8:11.0,,A. Davis misses free throw 2 of 2,6,11
34,1,8:07.0,,Offensive rebound by N. Mirotić,6,11
35,1,7:56.0,,A. Davis misses 2-pt jump shot from 9 ft,6,11
36,1,7:53.0,Defensive rebound by J. Dudley,,6,11
37,1,7:39.0,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),,9,11
38,1,7:28.0,,J. Holiday makes 2-pt layup from 2 ft,9,13
39,1,7:17.0,D. Russell makes 3-pt jump shot from 27 ft (assist by J. Harris),,12,13
40,1,7:05.0,,Offensive foul by N. Mirotić (drawn by J. Dudley),12,13
41,1,7:05.0,,Turnover by N. Mirotić (offensive foul),12,13
42,1,6:49.0,Turnover by J. Dudley (bad pass),,12,13
43,1,6:34.0,,Turnover by E. Payton (bad pass; steal by J. Allen),12,13
44,1,6:28.0,J. Dudley misses 3-pt jump shot from 25 ft,,12,13
45,1,6:25.0,,Defensive rebound by J. Holiday,12,13
46,1,6:21.0,,E. Moore misses 2-pt layup from 6 ft,12,13
47,1,6:21.0,,Offensive rebound by E. Moore,12,13
48,1,6:21.0,,Shooting foul by D. Russell (drawn by E. Moore),12,13
49,1,6:21.0,,E. Moore makes free throw 1 of 2,12,14
50,1,6:21.0,A. Crabbe enters the game for J. Dudley,,12,14
51,1,6:21.0,R. Hollis-Jefferson enters the game for J. Harris,,12,14
52,1,6:21.0,,J. Randle enters the game for N. Mirotić,12,14
53,1,6:21.0,,E. Moore misses free throw 2 of 2,12,14
54,1,6:18.0,Defensive rebound by A. Crabbe,,12,14
55,1,6:09.0,C. LeVert makes 2-pt jump shot from 10 ft,,14,14
56,1,5:55.0,,E. Moore misses 2-pt layup from 3 ft,14,14
57,1,5:52.0,Defensive rebound by R. Hollis-Jefferson,,14,14
58,1,5:51.0,C. LeVert makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),,16,14
59,1,5:51.0,Shooting foul by J. Randle (drawn by C. LeVert),,16,14
60,1,5:51.0,,New Orleans full timeout,16,14
61,1,5:51.0,C. LeVert misses free throw 1 of 1,,16,14
62,1,5:51.0,,Defensive rebound by J. Randle,16,14
63,1,5:31.0,,J. Holiday makes 2-pt layup from 2 ft,16,16
64,1,5:23.0,Shooting foul by A. Davis (drawn by C. LeVert),,16,16
65,1,5:23.0,C. LeVert makes free throw 1 of 2,,17,16
66,1,5:23.0,E. Davis enters the game for J. Allen,,17,16
