,QUARTER,TIME_REMAINING,PORTLAND_ACTION,TORONTO_ACTION,PORTLAND_SCORE,TORONTO_SCORE
0,1,11:39.0,,M. Gasol misses 2-pt jump shot from 1 ft,0,0
1,1,11:37.0,Defensive rebound by D. Lillard,,0,0
2,1,11:32.0,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),,2,0
3,1,11:14.0,,Turnover by K. Leonard (bad pass; steal by J. Nurkić),2,0
4,1,11:02.0,M. Harkless makes 2-pt dunk from 1 ft (assist by J. Nurkić),,4,0
5,1,10:47.0,,K. Leonard makes 2-pt jump shot from 11 ft (assist by K. Lowry),4,2
6,1,10:26.0,Shooting foul by M. Gasol (drawn by J. Nurkić),,4,2
7,1,10:26.0,J. Nurkić makes free throw 1 of 2,,5,2
8,1,10:26.0,J. Nurkić makes free throw 2 of 2,,6,2
9,1,10:13.0,,K. Lowry makes 2-pt layup from 1 ft (assist by M. Gasol),6,4
10,1,10:04.0,D. Lillard misses 3-pt jump shot from 26 ft,,6,4
11,1,10:03.0,,Defensive rebound by P. Siakam,6,4
12,1,9:56.0,,P. Siakam misses 2-pt jump shot from 11 ft,6,4
13,1,9:53.0,Defensive rebound by J. Nurkić,,6,4
14,1,9:38.0,A. Aminu misses 2-pt jump shot from 3 ft,,6,4
15,1,9:38.0,,Defensive rebound by Team,6,4
16,1,9:28.0,,M. Gasol makes 2-pt layup from 1 ft (assist by K. Lowry),6,6
17,1,9:28.0,,Shooting foul by J. Nurkić (drawn by M. Gasol),6,6
18,1,9:28.0,,M. Gasol makes free throw 1 of 1,6,7
19,1,9:05.0,A. Aminu misses 2-pt jump shot from 18 ft,,6,7
20,1,9:01.0,,Defensive rebound by M. Gasol,6,7
21,1,8:49.0,,Shooting foul by J. Nurkić (drawn by K. Lowry),6,7
22,1,8:49.0,,K. Lowry makes free throw 1 of 2,6,8
23,1,8:49.0,M. Leonard enters the game for J. Nurkić,,6,8
24,1,8:49.0,,K. Lowry makes free throw 2 of 2,6,9
25,1,8:40.0,D. Lillard misses 3-pt jump shot from 26 ft,,6,9
26,1,8:38.0,,Defensive rebound by P. Siakam,6,9
27,1,8:24.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by P. Siakam),6,11
28,1,8:22.0,Portland full timeout,,6,11
29,1,8:01.0,C. McCollum makes 3-pt jump shot from 26 ft,,9,11
30,1,7:41.0,,M. Gasol makes 2-pt jump shot from 15 ft (assist by K. Lowry),9,13
31,1,7:17.0,C. McCollum misses 2-pt jump shot from 20 ft,,9,13
32,1,7:14.0,,Defensive rebound by M. Gasol,9,13
33,1,7:12.0,,Turnover by P. Siakam (out of bounds lost ball),9,13
34,1,6:50.0,A. Aminu makes 2-pt jump shot from 1 ft,,11,13
35,1,6:40.0,,K. Leonard misses 2-pt hook shot from 4 ft,11,13
36,1,6:37.0,Defensive rebound by M. Harkless,,11,13
37,1,6:28.0,C. McCollum misses 2-pt hook shot from 11 ft,,11,13
38,1,6:25.0,,Defensive rebound by K. Lowry,11,13
39,1,6:19.0,,P. Siakam makes 3-pt jump shot from 24 ft (assist by K. Leonard),11,16
40,1,6:04.0,D. Lillard misses 2-pt layup from 1 ft,,11,16
41,1,6:02.0,,Defensive rebound by D. Green,11,16
42,1,5:58.0,,K. Leonard makes 2-pt layup at rim (assist by M. Gasol),11,18
43,1,5:37.0,C. McCollum makes 2-pt jump shot from 13 ft (assist by M. Harkless),,13,18
44,1,5:25.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Lowry),13,20
45,1,5:02.0,M. Harkless misses 3-pt jump shot from 24 ft,,13,20
46,1,4:59.0,,Defensive rebound by M. Gasol,13,20
47,1,4:54.0,,Turnover by P. Siakam (bad pass; steal by M. Harkless),13,20
48,1,4:52.0,A. Aminu misses 2-pt layup from 2 ft (block by K. Lowry),,13,20
49,1,4:52.0,Offensive rebound by Team,,13,20
50,1,4:52.0,,J. Lin enters the game for D. Green,13,20
51,1,4:47.0,D. Lillard makes 2-pt dunk from 1 ft (assist by M. Leonard),,15,20
52,1,4:36.0,,Shooting foul by M. Harkless (drawn by P. Siakam),15,20
53,1,4:36.0,,P. Siakam makes free throw 1 of 2,15,21
54,1,4:36.0,R. Hood enters the game for A. Aminu,,15,21
55,1,4:36.0,J. Layman enters the game for M. Harkless,,15,21
56,1,4:36.0,,S. Ibaka enters the game for M. Gasol,15,21
57,1,4:36.0,,P. Siakam misses free throw 2 of 2,15,21
58,1,4:34.0,Defensive rebound by J. Layman,,15,21
