,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MIAMI_ACTION,PORTLAND_SCORE,MIAMI_SCORE
0,1,11:43.0,,R. McGruder misses 2-pt layup from 3 ft,0,0
1,1,11:41.0,Defensive rebound by Team,,0,0
2,1,11:27.0,J. Nurkić misses 2-pt layup from 1 ft (block by H. Whiteside),,0,0
3,1,11:26.0,,Defensive rebound by R. McGruder,0,0
4,1,11:14.0,,G. Dragić misses 3-pt jump shot from 26 ft,0,0
5,1,11:12.0,Defensive rebound by A. Aminu,,0,0
6,1,11:00.0,J. Layman makes 2-pt dunk from 2 ft (assist by D. Lillard),,2,0
7,1,10:55.0,,J. Richardson misses 2-pt layup from 1 ft (block by J. Nurkić),2,0
8,1,10:54.0,,Offensive rebound by Team,2,0
9,1,10:42.0,,J. Richardson makes 2-pt jump shot from 9 ft,2,2
10,1,10:21.0,J. Layman misses 3-pt jump shot from 25 ft,,2,2
11,1,10:19.0,,Defensive rebound by J. Richardson,2,2
12,1,10:14.0,,R. McGruder misses 3-pt jump shot from 26 ft,2,2
13,1,10:09.0,Defensive rebound by C. McCollum,,2,2
14,1,10:02.0,C. McCollum misses 2-pt jump shot from 13 ft,,2,2
15,1,9:58.0,,Defensive rebound by R. McGruder,2,2
16,1,9:50.0,,K. Olynyk misses 3-pt jump shot from 24 ft,2,2
17,1,9:47.0,Defensive rebound by D. Lillard,,2,2
18,1,9:28.0,J. Layman makes 3-pt jump shot from 25 ft (assist by C. McCollum),,5,2
19,1,9:15.0,,J. Richardson misses 3-pt jump shot from 26 ft,5,2
20,1,9:12.0,Defensive rebound by D. Lillard,,5,2
21,1,9:03.0,J. Nurkić misses 2-pt layup from 1 ft (block by H. Whiteside),,5,2
22,1,9:00.0,,Defensive rebound by R. McGruder,5,2
23,1,8:53.0,,J. Richardson misses 2-pt jump shot from 11 ft,5,2
24,1,8:51.0,,Offensive rebound by R. McGruder,5,2
25,1,8:45.0,,R. McGruder makes 2-pt jump shot from 5 ft,5,4
26,1,8:32.0,J. Nurkić misses 3-pt jump shot from 24 ft,,5,4
27,1,8:28.0,,Defensive rebound by H. Whiteside,5,4
28,1,8:24.0,,K. Olynyk makes 2-pt layup at rim (assist by G. Dragić),5,6
29,1,8:00.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,8,6
30,1,7:53.0,,Personal foul by C. McCollum (drawn by J. Richardson),8,6
31,1,7:51.0,,Personal foul by C. McCollum (drawn by J. Richardson),8,6
32,1,7:51.0,N. Stauskas enters the game for C. McCollum,,8,6
33,1,7:44.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by K. Olynyk),8,9
34,1,7:25.0,D. Lillard makes 2-pt jump shot from 17 ft,,10,9
35,1,7:12.0,,G. Dragić makes 2-pt jump shot from 10 ft,10,11
36,1,6:58.0,D. Lillard makes 2-pt jump shot from 15 ft,,12,11
37,1,6:44.0,,J. Richardson makes 2-pt jump shot from 9 ft,12,13
38,1,6:30.0,D. Lillard misses 3-pt jump shot from 25 ft,,12,13
39,1,6:28.0,,Defensive rebound by R. McGruder,12,13
40,1,6:12.0,,Miami full timeout,12,13
41,1,6:12.0,E. Turner enters the game for J. Layman,,12,13
42,1,6:10.0,,J. Richardson misses 3-pt jump shot from 25 ft,12,13
43,1,6:07.0,Defensive rebound by J. Nurkić,,12,13
44,1,5:54.0,E. Turner makes 2-pt jump shot from 11 ft,,14,13
45,1,5:43.0,,G. Dragić misses 2-pt jump shot from 13 ft,14,13
46,1,5:40.0,Defensive rebound by N. Stauskas,,14,13
47,1,5:35.0,Def 3 sec tech foul by Team,,14,13
48,1,5:35.0,D. Lillard makes technical free throw,,15,13
49,1,5:35.0,,D. Wade enters the game for J. Richardson,15,13
50,1,5:22.0,D. Lillard misses 2-pt jump shot from 14 ft,,15,13
51,1,5:19.0,,Defensive rebound by K. Olynyk,15,13
52,1,5:07.0,,D. Wade makes 2-pt jump shot from 13 ft,15,15
53,1,4:49.0,J. Nurkić misses 2-pt jump shot from 15 ft (block by H. Whiteside),,15,15
54,1,4:45.0,,Defensive rebound by H. Whiteside,15,15
55,1,4:41.0,,D. Wade makes 3-pt jump shot from 25 ft (assist by G. Dragić),15,18
56,1,4:26.0,Turnover by J. Nurkić (offensive foul),,15,18
57,1,4:26.0,Offensive foul by J. Nurkić (drawn by R. McGruder),,15,18
58,1,4:26.0,Z. Collins enters the game for J. Nurkić,,15,18
59,1,4:26.0,M. Harkless enters the game for N. Stauskas,,15,18
60,1,4:16.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),15,20
61,1,4:01.0,E. Turner misses 3-pt jump shot from 25 ft,,15,20
62,1,3:58.0,,Defensive rebound by H. Whiteside,15,20
63,1,3:47.0,,H. Whiteside makes 2-pt hook shot from 8 ft (assist by D. Wade),15,22
64,1,3:47.0,Portland full timeout,,15,22
65,1,3:47.0,N. Stauskas enters the game for A. Aminu,,15,22
66,1,3:25.0,E. Turner makes 2-pt jump shot from 11 ft,,17,22
67,1,3:07.0,,Turnover by G. Dragić (bad pass; steal by E. Turner),17,22
68,1,3:04.0,N. Stauskas makes 2-pt layup from 1 ft (assist by M. Harkless),,19,22
69,1,3:04.0,Shooting foul by R. McGruder (drawn by N. Stauskas),,19,22
70,1,3:04.0,S. Curry enters the game for D. Lillard,,19,22
