,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHICAGO_ACTION,BROOKLYN_SCORE,CHICAGO_SCORE
0,1,11:43.0,R. Kurucs misses 2-pt layup from 2 ft (block by W. Carter),,0,0
1,1,11:40.0,,Defensive rebound by C. Hutchison,0,0
2,1,11:23.0,,L. Markkanen misses 2-pt hook shot from 6 ft,0,0
3,1,11:21.0,Defensive rebound by R. Kurucs,,0,0
4,1,11:13.0,D. Russell misses 3-pt jump shot from 26 ft,,0,0
5,1,11:10.0,,Defensive rebound by W. Carter,0,0
6,1,10:59.0,,Turnover by K. Dunn (bad pass),0,0
7,1,10:48.0,J. Allen misses 2-pt layup from 2 ft,,0,0
8,1,10:45.0,,Defensive rebound by W. Carter,0,0
9,1,10:34.0,,Shooting foul by J. Allen (drawn by L. Markkanen),0,0
10,1,10:34.0,,L. Markkanen makes free throw 1 of 2,0,1
11,1,10:34.0,,L. Markkanen makes free throw 2 of 2,0,2
12,1,10:25.0,D. Russell misses 3-pt jump shot from 26 ft,,0,2
13,1,10:21.0,,Defensive rebound by L. Markkanen,0,2
14,1,10:12.0,,W. Carter misses 2-pt hook shot from 5 ft,0,2
15,1,10:10.0,,Offensive rebound by C. Hutchison,0,2
16,1,10:07.0,,Turnover by C. Hutchison (bad pass; steal by D. Russell),0,2
17,1,9:57.0,J. Harris makes 2-pt layup from 1 ft (assist by J. Dudley),,2,2
18,1,9:48.0,,K. Dunn misses 2-pt jump shot from 21 ft,2,2
19,1,9:45.0,Defensive rebound by J. Allen,,2,2
20,1,9:37.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by J. Harris),,5,2
21,1,9:08.0,,W. Carter misses 3-pt jump shot from 27 ft,5,2
22,1,9:05.0,Defensive rebound by J. Allen,,5,2
23,1,9:02.0,D. Russell makes 2-pt layup from 1 ft,,7,2
24,1,8:54.0,,Turnover by Z. LaVine (out of bounds lost ball),7,2
25,1,8:44.0,J. Harris misses 3-pt jump shot from 25 ft,,7,2
26,1,8:41.0,,Defensive rebound by L. Markkanen,7,2
27,1,8:32.0,,K. Dunn makes 2-pt layup from 1 ft (assist by C. Hutchison),7,4
28,1,8:12.0,J. Dudley misses 3-pt jump shot from 23 ft,,7,4
29,1,8:09.0,,Defensive rebound by K. Dunn,7,4
30,1,8:03.0,,K. Dunn misses 2-pt jump shot from 12 ft,7,4
31,1,8:00.0,Defensive rebound by J. Harris,,7,4
32,1,7:47.0,Shooting foul by W. Carter (drawn by J. Allen),,7,4
33,1,7:47.0,J. Allen makes free throw 1 of 2,,8,4
34,1,7:47.0,J. Allen misses free throw 2 of 2,,8,4
35,1,7:44.0,,Defensive rebound by W. Carter,8,4
36,1,7:30.0,,K. Dunn misses 2-pt jump shot from 16 ft,8,4
37,1,7:26.0,Defensive rebound by J. Allen,,8,4
38,1,7:18.0,J. Allen misses 2-pt hook shot from 6 ft,,8,4
39,1,7:16.0,,Defensive rebound by C. Hutchison,8,4
40,1,7:10.0,,C. Hutchison misses 2-pt layup from 2 ft (block by J. Allen),8,4
41,1,7:10.0,,Offensive rebound by Team,8,4
42,1,7:10.0,,Chicago full timeout,8,4
43,1,6:54.0,,Turnover by Team (shot clock),8,4
44,1,6:45.0,D. Russell misses 3-pt jump shot from 25 ft,,8,4
45,1,6:44.0,,Defensive rebound by Team,8,4
46,1,6:35.0,,Turnover by W. Carter (bad pass),8,4
47,1,6:28.0,Turnover by D. Russell (bad pass; steal by W. Carter),,8,4
48,1,6:19.0,,Z. LaVine misses 2-pt layup from 2 ft,8,4
49,1,6:19.0,Defensive rebound by Team,,8,4
50,1,6:19.0,,Loose ball foul by W. Carter (drawn by R. Kurucs),8,4
51,1,6:19.0,D. Carroll enters the game for J. Dudley,,8,4
52,1,6:19.0,S. Dinwiddie enters the game for R. Kurucs,,8,4
53,1,6:19.0,S. Napier enters the game for D. Russell,,8,4
54,1,6:19.0,,R. Lopez enters the game for W. Carter,8,4
