,QUARTER,TIME_REMAINING,UTAH_ACTION,OKLAHOMA CITY_ACTION,UTAH_SCORE,OKLAHOMA CITY_SCORE
0,1,11:55.0,D. Mitchell makes 2-pt layup from 1 ft,,2,0
1,1,11:38.0,,S. Adams makes 2-pt hook shot from 6 ft (assist by R. Westbrook),2,2
2,1,11:22.0,Turnover by D. Mitchell (bad pass; steal by R. Westbrook),,2,2
3,1,11:18.0,,Shooting foul by R. Rubio (drawn by R. Westbrook),2,2
4,1,11:18.0,,R. Westbrook misses free throw 1 of 2,2,2
5,1,11:18.0,,Offensive rebound by Team,2,2
6,1,11:18.0,,R. Westbrook makes free throw 2 of 2,2,3
7,1,11:01.0,D. Mitchell makes 2-pt layup from 1 ft,,4,3
8,1,10:50.0,,T. Ferguson misses 3-pt jump shot from 23 ft,4,3
9,1,10:47.0,Defensive rebound by D. Favors,,4,3
10,1,10:39.0,Turnover by R. Rubio (bad pass; steal by S. Adams),,4,3
11,1,10:37.0,,T. Ferguson makes 2-pt dunk from 1 ft (assist by S. Adams),4,5
12,1,10:15.0,Turnover by J. Ingles (bad pass; steal by J. Grant),,4,5
13,1,10:12.0,,J. Grant makes 2-pt layup from 2 ft,4,7
14,1,9:59.0,Personal foul by J. Grant (drawn by R. Rubio),,4,7
15,1,9:52.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),,7,7
16,1,9:36.0,,J. Grant makes 2-pt layup from 1 ft (assist by P. George),7,9
17,1,9:17.0,D. Mitchell makes 2-pt dunk at rim (assist by J. Ingles),,9,9
18,1,9:10.0,,Turnover by R. Westbrook (bad pass; steal by J. Ingles),9,9
19,1,8:56.0,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),,11,9
20,1,8:56.0,Shooting foul by J. Grant (drawn by R. Gobert),,11,9
21,1,8:56.0,R. Gobert makes free throw 1 of 1,,12,9
22,1,8:49.0,,Personal foul by J. Ingles (drawn by P. George),12,9
23,1,8:40.0,,R. Westbrook makes 2-pt layup from 1 ft,12,11
24,1,8:30.0,Shooting foul by T. Ferguson (drawn by D. Mitchell),,12,11
25,1,8:30.0,D. Mitchell makes free throw 1 of 2,,13,11
26,1,8:30.0,,M. Morris enters the game for J. Grant,13,11
27,1,8:30.0,D. Mitchell makes free throw 2 of 2,,14,11
28,1,8:20.0,,P. George misses 3-pt jump shot from 26 ft,14,11
29,1,8:16.0,Defensive rebound by R. Rubio,,14,11
30,1,8:06.0,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. Rubio),,17,11
31,1,7:52.0,,S. Adams makes 2-pt hook shot from 7 ft (assist by P. George),17,13
32,1,7:38.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),,19,13
33,1,7:23.0,,R. Westbrook makes 2-pt jump shot from 6 ft,19,15
34,1,7:10.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),,21,15
35,1,6:54.0,,P. George misses 2-pt jump shot from 8 ft,21,15
36,1,6:52.0,Defensive rebound by J. Ingles,,21,15
37,1,6:50.0,Personal foul by M. Morris (drawn by R. Gobert),,21,15
38,1,6:50.0,,Oklahoma City full timeout,21,15
39,1,6:50.0,J. Crowder enters the game for D. Favors,,21,15
40,1,6:50.0,R. O'Neale enters the game for J. Ingles,,21,15
41,1,6:36.0,R. Rubio misses 2-pt jump shot from 16 ft,,21,15
42,1,6:33.0,,Defensive rebound by R. Westbrook,21,15
43,1,6:26.0,,S. Adams misses 2-pt layup from 1 ft,21,15
44,1,6:24.0,,S. Adams makes 2-pt layup from 1 ft,21,17
45,1,6:24.0,,Offensive rebound by S. Adams,21,17
46,1,6:11.0,Turnover by R. Rubio (bad pass; steal by S. Adams),,21,17
47,1,6:07.0,,P. George makes 2-pt layup from 1 ft,21,19
48,1,5:51.0,J. Crowder misses 3-pt jump shot from 23 ft,,21,19
49,1,5:49.0,,Defensive rebound by R. Westbrook,21,19
50,1,5:41.0,,S. Adams makes 2-pt hook shot from 5 ft (assist by R. Westbrook),21,21
51,1,5:13.0,D. Mitchell makes 3-pt jump shot from 24 ft (assist by R. O'Neale),,24,21
52,1,4:56.0,,P. George misses 2-pt jump shot from 2 ft,24,21
53,1,4:54.0,Defensive rebound by R. O'Neale,,24,21
54,1,4:54.0,K. Korver enters the game for R. Rubio,,24,21
55,1,4:54.0,,D. Schröder enters the game for P. George,24,21
56,1,4:42.0,Away from play foul by M. Morris (drawn by J. Crowder),,24,21
57,1,4:42.0,J. Crowder makes free throw 1 of 1,,25,21
58,1,4:38.0,K. Korver misses 2-pt jump shot from 20 ft,,25,21
59,1,4:36.0,,Defensive rebound by S. Adams,25,21
60,1,4:32.0,,R. Westbrook makes 3-pt jump shot from 25 ft,25,24
61,1,4:18.0,Turnover by R. Gobert (out of bounds lost ball),,25,24
62,1,4:01.0,,R. Westbrook misses 3-pt jump shot from 26 ft (block by R. O'Neale),25,24
63,1,3:58.0,Defensive rebound by D. Mitchell,,25,24
64,1,3:52.0,Flagrant foul type 1 by R. Westbrook (drawn by R. Gobert),,25,24
65,1,3:52.0,R. Gobert makes flagrant free throw 1 of 2,,26,24
66,1,3:52.0,R. Gobert makes flagrant free throw 2 of 2,,27,24
67,1,3:44.0,J. Crowder misses 3-pt jump shot from 24 ft,,27,24
68,1,3:40.0,Offensive rebound by R. O'Neale,,27,24
69,1,3:39.0,J. Crowder misses 3-pt jump shot from 24 ft,,27,24
70,1,3:37.0,,Defensive rebound by R. Westbrook,27,24
71,1,3:29.0,,R. Westbrook makes 2-pt jump shot from 12 ft,27,26
72,1,3:03.0,R. Gobert misses 2-pt layup from 1 ft,,27,26
73,1,3:01.0,,Defensive rebound by D. Schröder,27,26
74,1,2:54.0,,Shooting foul by R. Gobert (drawn by S. Adams),27,26
75,1,2:54.0,Utah full timeout,,27,26
76,1,2:54.0,D. Favors enters the game for R. Gobert,,27,26
