,QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
0,1,11:46.0,,C. Paul makes 2-pt jump shot from 13 ft (assist by E. Gordon),0,2
1,1,11:31.0,R. Rubio misses 2-pt jump shot from 12 ft,,0,2
2,1,11:28.0,,Defensive rebound by C. Paul,0,2
3,1,11:20.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),0,5
4,1,11:02.0,J. Crowder misses 2-pt jump shot from 13 ft,,0,5
5,1,10:59.0,,Defensive rebound by P. Tucker,0,5
6,1,10:51.0,,Turnover by J. Harden (bad pass),0,5
7,1,10:39.0,Offensive foul by R. Gobert (drawn by C. Paul),,0,5
8,1,10:39.0,Turnover by R. Gobert (offensive foul),,0,5
9,1,10:26.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),0,8
10,1,10:26.0,Utah full timeout,,0,8
11,1,10:06.0,Turnover by D. Mitchell (lost ball; steal by E. Gordon),,0,8
12,1,10:02.0,,Turnover by J. Harden (lost ball; steal by J. Ingles),0,8
13,1,9:54.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),,3,8
14,1,9:35.0,,Shooting foul by R. Rubio (drawn by C. Capela),3,8
15,1,9:35.0,,C. Capela makes free throw 1 of 2,3,9
16,1,9:35.0,,C. Capela makes free throw 2 of 2,3,10
17,1,9:22.0,D. Mitchell misses 2-pt layup from 4 ft,,3,10
18,1,9:22.0,Offensive rebound by R. Gobert,,3,10
19,1,9:22.0,Shooting foul by C. Capela (drawn by R. Gobert),,3,10
20,1,9:22.0,R. Gobert misses free throw 1 of 2,,3,10
21,1,9:22.0,Offensive rebound by Team,,3,10
22,1,9:22.0,R. Gobert makes free throw 2 of 2,,4,10
23,1,9:04.0,,J. Harden misses 2-pt jump shot from 12 ft,4,10
24,1,9:01.0,Defensive rebound by J. Ingles,,4,10
25,1,8:59.0,Turnover by R. Rubio (bad pass; steal by C. Paul),,4,10
