,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHILADELPHIA_ACTION,SACRAMENTO_SCORE,PHILADELPHIA_SCORE
381,4,8:42.0,,B. Simmons makes 2-pt jump shot from 10 ft,98,105
382,4,8:42.0,Sacramento full timeout,,98,105
383,4,8:42.0,H. Barnes enters the game for M. Bagley,,98,105
384,4,8:42.0,B. Hield enters the game for C. Brewer,,98,105
385,4,8:31.0,Personal foul by B. Simmons (drawn by B. Bogdanović),,98,105
386,4,8:18.0,B. Hield misses 2-pt layup from 2 ft,,98,105
387,4,8:15.0,Offensive rebound by W. Cauley-Stein,,98,105
388,4,8:05.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,98,105
389,4,8:03.0,,Defensive rebound by J. Butler,98,105
390,4,7:41.0,,T. Harris misses 2-pt jump shot from 11 ft,98,105
391,4,7:36.0,,Offensive rebound by J. Ennis,98,105
392,4,7:36.0,,J. Ennis misses 2-pt layup from 1 ft,98,105
393,4,7:35.0,Defensive rebound by W. Cauley-Stein,,98,105
394,4,7:28.0,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by H. Barnes),,100,105
395,4,7:04.0,,T. Harris makes 2-pt jump shot from 12 ft,100,107
396,4,6:53.0,Shooting foul by J. Ennis (drawn by B. Hield),,100,107
397,4,6:53.0,B. Hield makes free throw 1 of 2,,101,107
398,4,6:53.0,D. Fox enters the game for Y. Ferrell,,101,107
399,4,6:53.0,,B. Marjanović enters the game for J. Embiid,101,107
400,4,6:53.0,,T. McConnell enters the game for B. Simmons,101,107
401,4,6:53.0,B. Hield makes free throw 2 of 2,,102,107
402,4,6:39.0,,T. McConnell makes 2-pt layup from 1 ft (assist by J. Butler),102,109
403,4,6:23.0,B. Hield makes 2-pt jump shot from 17 ft,,104,109
404,4,6:11.0,,Turnover by J. Butler (lost ball; steal by B. Bogdanović),104,109
405,4,6:06.0,B. Hield misses 2-pt layup from 5 ft (block by J. Butler),,104,109
406,4,6:03.0,,Defensive rebound by T. McConnell,104,109
407,4,5:40.0,,J. Butler misses 2-pt jump shot from 13 ft,104,109
408,4,5:37.0,Defensive rebound by B. Hield,,104,109
409,4,5:34.0,Personal foul by J. Butler (drawn by D. Fox),,104,109
410,4,5:34.0,D. Fox makes free throw 1 of 2,,105,109
411,4,5:34.0,D. Fox makes free throw 2 of 2,,106,109
412,4,5:19.0,,Shooting foul by W. Cauley-Stein (drawn by T. Harris),106,109
413,4,5:19.0,,T. Harris makes free throw 1 of 2,106,110
414,4,5:19.0,,T. Harris makes free throw 2 of 2,106,111
415,4,5:03.0,B. Hield misses 3-pt jump shot from 26 ft,,106,111
416,4,4:59.0,,Defensive rebound by J. Butler,106,111
417,4,4:51.0,,J. Butler misses 2-pt layup from 3 ft,106,111
418,4,4:50.0,,Offensive rebound by B. Marjanović,106,111
419,4,4:50.0,,B. Marjanović misses 2-pt layup from 1 ft,106,111
420,4,4:50.0,,Offensive rebound by B. Marjanović,106,111
421,4,4:50.0,,Shooting foul by H. Barnes (drawn by B. Marjanović),106,111
422,4,4:50.0,,B. Marjanović misses free throw 1 of 2,106,111
423,4,4:50.0,,Offensive rebound by Team,106,111
424,4,4:50.0,,B. Simmons enters the game for T. McConnell,106,111
425,4,4:50.0,,B. Marjanović makes free throw 2 of 2,106,112
426,4,4:44.0,Personal foul by J. Ennis (drawn by D. Fox),,106,112
427,4,4:44.0,D. Fox makes free throw 1 of 2,,107,112
428,4,4:44.0,,J. Embiid enters the game for B. Marjanović,107,112
429,4,4:44.0,D. Fox makes free throw 2 of 2,,108,112
430,4,4:24.0,,J. Butler makes 2-pt jump shot from 2 ft,108,114
431,4,4:13.0,Personal foul by J. Butler (drawn by D. Fox),,108,114
432,4,4:13.0,D. Fox makes free throw 1 of 2,,109,114
433,4,4:13.0,,J. Redick enters the game for J. Ennis,109,114
434,4,4:13.0,D. Fox misses free throw 2 of 2,,109,114
435,4,4:11.0,,Defensive rebound by J. Embiid,109,114
436,4,3:57.0,,J. Embiid makes 2-pt jump shot from 16 ft (assist by B. Simmons),109,116
437,4,3:38.0,H. Barnes makes 3-pt jump shot from 26 ft,,112,116
438,4,3:36.0,,Philadelphia full timeout,112,116
439,4,3:21.0,,Turnover by J. Butler (traveling),112,116
440,4,3:00.0,W. Cauley-Stein misses 2-pt layup from 3 ft (block by J. Embiid),,112,116
441,4,2:56.0,,Defensive rebound by J. Butler,112,116
442,4,2:49.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),112,119
443,4,2:35.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,114,119
444,4,2:12.0,,J. Embiid misses 2-pt jump shot from 12 ft,114,119
445,4,2:09.0,Defensive rebound by B. Hield,,114,119
446,4,2:03.0,Turnover by H. Barnes (bad pass; steal by J. Embiid),,114,119
447,4,1:45.0,,J. Embiid makes 2-pt jump shot from 14 ft,114,121
448,4,1:45.0,Sacramento full timeout,,114,121
449,4,1:45.0,,J. Ennis enters the game for J. Redick,114,121
450,4,1:36.0,D. Fox misses 2-pt jump shot from 10 ft,,114,121
451,4,1:34.0,,Defensive rebound by J. Ennis,114,121
452,4,1:18.0,,J. Embiid misses 2-pt layup from 4 ft (block by B. Bogdanović),114,121
453,4,1:15.0,Defensive rebound by D. Fox,,114,121
454,4,1:13.0,B. Hield misses 3-pt jump shot from 26 ft,,114,121
455,4,1:08.0,,Defensive rebound by J. Embiid,114,121
456,4,0:50.0,,J. Butler makes 2-pt jump shot from 14 ft (assist by T. Harris),114,123
457,4,0:41.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,114,123
458,4,0:38.0,,Defensive rebound by J. Embiid,114,123
459,4,0:15.0,,Turnover by Team (shot clock),114,123
