,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
0,1,11:42.0,A. Crabbe misses 2-pt jump shot from 22 ft,,0,0
1,1,11:39.0,,Defensive rebound by M. Hezonja,0,0
2,1,11:22.0,,E. Mudiay misses 2-pt jump shot from 9 ft,0,0
3,1,11:19.0,,Offensive rebound by M. Hezonja,0,0
4,1,11:11.0,,M. Hezonja makes 3-pt jump shot from 26 ft (assist by E. Mudiay),0,3
5,1,10:56.0,J. Harris makes 2-pt jump shot from 2 ft (assist by A. Crabbe),,2,3
6,1,10:44.0,,Turnover by E. Mudiay (traveling),2,3
7,1,10:28.0,D. Russell misses 2-pt jump shot from 20 ft,,2,3
8,1,10:26.0,,Defensive rebound by Team,2,3
9,1,10:15.0,,M. Hezonja makes 3-pt jump shot from 27 ft (assist by E. Freedom),2,6
10,1,10:02.0,A. Crabbe makes 2-pt jump shot from 13 ft (assist by D. Russell),,4,6
11,1,9:53.0,,T. Hardaway misses 2-pt jump shot from 11 ft,4,6
12,1,9:48.0,Defensive rebound by J. Allen,,4,6
13,1,9:41.0,A. Crabbe misses 2-pt jump shot from 16 ft,,4,6
14,1,9:38.0,,Defensive rebound by E. Freedom,4,6
15,1,9:23.0,,M. Hezonja misses 3-pt jump shot from 28 ft,4,6
16,1,9:19.0,Defensive rebound by J. Allen,,4,6
17,1,8:55.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,6,6
18,1,8:44.0,,Turnover by E. Mudiay (out of bounds lost ball),6,6
19,1,8:32.0,D. Russell misses 2-pt jump shot from 19 ft,,6,6
20,1,8:23.0,Offensive rebound by J. Allen,,6,6
21,1,8:23.0,J. Allen makes 2-pt layup from 1 ft,,8,6
22,1,8:10.0,,Personal foul by D. Russell (drawn by E. Freedom),8,6
23,1,8:01.0,,E. Freedom makes 2-pt layup from 1 ft (assist by N. Vonleh),8,8
24,1,7:48.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,8,8
25,1,7:46.0,,Defensive rebound by N. Vonleh,8,8
26,1,7:43.0,,E. Mudiay misses 3-pt jump shot from 25 ft,8,8
27,1,7:36.0,Defensive rebound by A. Crabbe,,8,8
28,1,7:26.0,R. Hollis-Jefferson misses 2-pt jump shot from 5 ft,,8,8
29,1,7:21.0,,Defensive rebound by E. Freedom,8,8
30,1,7:14.0,,Personal foul by J. Allen (drawn by E. Freedom),8,8
31,1,7:06.0,,M. Hezonja misses 2-pt jump shot from 16 ft,8,8
32,1,7:01.0,Defensive rebound by J. Harris,,8,8
33,1,6:54.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,10,8
34,1,6:34.0,,E. Freedom makes 2-pt layup from 2 ft (assist by M. Hezonja),10,10
35,1,6:22.0,Turnover by A. Crabbe (bad pass; steal by E. Freedom),,10,10
36,1,6:18.0,,T. Hardaway misses 2-pt jump shot from 17 ft,10,10
37,1,6:17.0,,Offensive rebound by Team,10,10
38,1,6:17.0,Loose ball foul by R. Hollis-Jefferson (drawn by E. Freedom),,10,10
39,1,6:17.0,,New York full timeout,10,10
40,1,6:07.0,,T. Hardaway misses 3-pt jump shot from 26 ft,10,10
41,1,6:03.0,,Offensive rebound by E. Freedom,10,10
42,1,6:00.0,,E. Freedom makes 2-pt layup from 1 ft,10,12
43,1,5:45.0,Turnover by J. Allen (bad pass; steal by N. Vonleh),,10,12
44,1,5:40.0,,E. Freedom makes 2-pt layup at rim (assist by T. Hardaway),10,14
45,1,5:26.0,R. Hollis-Jefferson makes 3-pt jump shot from 24 ft (assist by D. Russell),,13,14
46,1,5:17.0,,Personal foul by A. Crabbe (drawn by M. Hezonja),13,14
47,1,5:17.0,S. Dinwiddie enters the game for D. Russell,,13,14
48,1,5:17.0,,K. Knox enters the game for T. Hardaway,13,14
49,1,5:12.0,,E. Mudiay makes 3-pt jump shot from 24 ft (assist by E. Freedom),13,17
50,1,4:47.0,S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),,16,17
51,1,4:36.0,,E. Mudiay makes 2-pt jump shot from 7 ft,16,19
52,1,4:26.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by J. Harris),,19,19
53,1,4:12.0,,Shooting foul by J. Allen (drawn by E. Freedom),19,19
54,1,4:12.0,,E. Freedom makes free throw 1 of 2,19,20
55,1,4:12.0,D. Carroll enters the game for J. Allen,,19,20
56,1,4:12.0,E. Davis enters the game for J. Harris,,19,20
57,1,4:12.0,,D. Dotson enters the game for N. Vonleh,19,20
