,QUARTER,TIME_REMAINING,UTAH_ACTION,MILWAUKEE_ACTION,UTAH_SCORE,MILWAUKEE_SCORE
33,1,7:42.0,,Offensive rebound by Team,9,9
34,1,7:42.0,,S. Brown enters the game for M. Brogdon,9,9
35,1,7:42.0,,G. Antetokounmpo makes free throw 2 of 2,9,10
36,1,7:34.0,R. Rubio makes 2-pt layup from 1 ft,,11,10
37,1,7:26.0,,E. Bledsoe makes 2-pt layup from 1 ft,11,12
38,1,7:23.0,,Violation by Team (delay of game),11,12
39,1,7:23.0,Utah full timeout,,11,12
40,1,7:23.0,J. Crowder enters the game for D. Favors,,11,12
41,1,7:23.0,K. Korver enters the game for J. Ingles,,11,12
42,1,7:23.0,R. Neto enters the game for R. Rubio,,11,12
43,1,7:03.0,K. Korver makes 2-pt jump shot from 15 ft (assist by R. Neto),,13,12
44,1,6:54.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,13,12
45,1,6:51.0,Defensive rebound by J. Crowder,,13,12
46,1,6:44.0,R. Neto misses 2-pt jump shot from 12 ft,,13,12
47,1,6:42.0,Offensive rebound by R. Gobert,,13,12
48,1,6:40.0,R. Gobert makes 2-pt dunk from 1 ft,,15,12
49,1,6:30.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by S. Brown),15,15
50,1,6:08.0,K. Korver misses 2-pt jump shot from 21 ft,,15,15
51,1,6:06.0,,Defensive rebound by G. Antetokounmpo,15,15
52,1,5:54.0,,S. Brown makes 2-pt layup from 2 ft (assist by E. Bledsoe),15,17
53,1,5:32.0,D. Mitchell makes 3-pt jump shot from 27 ft (assist by J. Crowder),,18,17
54,1,5:17.0,,Personal foul by D. Mitchell (drawn by E. Bledsoe),18,17
55,1,5:17.0,,E. İlyasova enters the game for G. Antetokounmpo,18,17
56,1,5:03.0,,E. İlyasova misses 2-pt jump shot from 10 ft,18,17
57,1,5:01.0,Defensive rebound by R. Gobert,,18,17
58,1,4:52.0,D. Mitchell makes 2-pt layup from 2 ft,,20,17
59,1,4:38.0,,E. Bledsoe makes 2-pt layup from 2 ft,20,19
60,1,4:28.0,Turnover by D. Mitchell (bad pass; steal by E. Bledsoe),,20,19
61,1,4:28.0,,Shooting foul by R. Neto (drawn by K. Middleton),20,19
62,1,4:28.0,,K. Middleton makes free throw 1 of 2,20,20
63,1,4:28.0,D. Favors enters the game for R. Gobert,,20,20
64,1,4:28.0,,G. Hill enters the game for E. Bledsoe,20,20
65,1,4:28.0,,T. Maker enters the game for B. Lopez,20,20
66,1,4:28.0,,K. Middleton misses free throw 2 of 2,20,20
67,1,4:25.0,Defensive rebound by D. Favors,,20,20
68,1,4:10.0,D. Mitchell misses 2-pt jump shot from 16 ft,,20,20
69,1,4:04.0,Offensive rebound by D. Favors,,20,20
70,1,4:04.0,D. Favors makes 2-pt layup at rim,,22,20
71,1,3:57.0,,K. Middleton makes 2-pt jump shot from 13 ft,22,22
72,1,3:44.0,K. Korver makes 2-pt jump shot from 10 ft (assist by J. Crowder),,24,22
73,1,3:27.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by S. Brown),24,25
74,1,3:17.0,Turnover by R. Neto (bad pass; steal by T. Maker),,24,25
75,1,3:17.0,,M. Brogdon enters the game for K. Middleton,24,25
76,1,3:02.0,,T. Maker makes 2-pt hook shot from 6 ft (assist by G. Hill),24,27
77,1,2:51.0,Shooting foul by M. Brogdon (drawn by D. Mitchell),,24,27
78,1,2:51.0,D. Mitchell makes free throw 1 of 2,,25,27
79,1,2:51.0,D. Mitchell makes free throw 2 of 2,,26,27
80,1,2:34.0,,E. İlyasova misses 2-pt layup from 2 ft (block by D. Favors),26,27
81,1,2:32.0,Defensive rebound by Team,,26,27
82,1,2:32.0,,Loose ball foul by S. Brown (drawn by R. Neto),26,27
83,1,2:32.0,J. Ingles enters the game for D. Mitchell,,26,27
84,1,2:18.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by R. Neto),,29,27
85,1,2:03.0,,T. Maker makes 3-pt jump shot from 24 ft (assist by G. Hill),29,30
86,1,1:45.0,Shooting foul by S. Brown (drawn by J. Crowder),,29,30
87,1,1:45.0,J. Crowder makes free throw 1 of 3,,30,30
88,1,1:45.0,J. Crowder makes free throw 2 of 3,,31,30
89,1,1:45.0,,G. Antetokounmpo enters the game for S. Brown,31,30
90,1,1:45.0,,T. Snell enters the game for E. İlyasova,31,30
91,1,1:45.0,J. Crowder makes free throw 3 of 3,,32,30
92,1,1:23.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,32,30
93,1,1:20.0,Defensive rebound by J. Ingles,,32,30
94,1,1:11.0,J. Crowder misses 3-pt jump shot from 27 ft,,32,30
95,1,1:07.0,,Defensive rebound by G. Antetokounmpo,32,30
96,1,1:01.0,,G. Antetokounmpo misses 2-pt layup at rim,32,30
97,1,0:59.0,Defensive rebound by J. Crowder,,32,30
98,1,0:51.0,J. Crowder misses 3-pt jump shot from 27 ft,,32,30
99,1,0:48.0,,Defensive rebound by G. Antetokounmpo,32,30
100,1,0:43.0,,M. Brogdon makes 2-pt layup from 1 ft,32,32
101,1,0:28.0,J. Ingles makes 2-pt layup from 2 ft,,34,32
102,1,0:09.0,,M. Brogdon misses 2-pt layup from 6 ft,34,32
103,1,0:08.0,,Offensive rebound by M. Brogdon,34,32
104,1,0:06.0,,M. Brogdon misses 2-pt layup from 1 ft,34,32
105,1,0:06.0,Defensive rebound by R. Neto,,34,32
106,1,0:00.0,J. Ingles misses 3-pt jump shot from 26 ft,,34,32
107,1,0:00.0,Offensive rebound by Team,,34,32
108,2,11:51.0,Personal foul by T. Snell (drawn by K. Korver),,34,32
109,2,11:41.0,Turnover by J. Ingles (bad pass; steal by T. Maker),,34,32
110,2,11:32.0,,T. Maker makes 3-pt jump shot from 25 ft (assist by M. Brogdon),34,35
111,2,11:13.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Crowder),,37,35
112,2,10:54.0,,T. Snell misses 3-pt jump shot from 22 ft,37,35
113,2,10:54.0,,Offensive rebound by Team,37,35
114,2,10:54.0,Loose ball foul by J. Ingles (drawn by T. Maker),,37,35
115,2,10:54.0,R. Gobert enters the game for D. Favors,,37,35
116,2,10:54.0,,E. Bledsoe enters the game for G. Hill,37,35
117,2,10:41.0,,G. Antetokounmpo misses 2-pt dunk from 3 ft,37,35
118,2,10:38.0,,Offensive rebound by G. Antetokounmpo,37,35
119,2,10:37.0,,G. Antetokounmpo misses 2-pt layup at rim (block by R. Gobert),37,35
120,2,10:34.0,Defensive rebound by J. Crowder,,37,35
121,2,10:32.0,K. Korver misses 3-pt jump shot from 29 ft,,37,35
122,2,10:29.0,,Defensive rebound by G. Antetokounmpo,37,35
123,2,10:16.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by T. Maker),37,37
124,2,10:16.0,,Shooting foul by R. Gobert (drawn by G. Antetokounmpo),37,37
125,2,10:16.0,R. Neto enters the game for K. Korver,,37,37
126,2,10:16.0,,G. Antetokounmpo makes free throw 1 of 1,37,38
127,2,10:02.0,J. Crowder makes 2-pt jump shot from 20 ft (assist by R. Gobert),,39,38
128,2,9:40.0,,T. Snell misses 2-pt jump shot from 14 ft,39,38
129,2,9:40.0,Defensive rebound by Team,,39,38
130,2,9:26.0,Shooting foul by T. Maker (drawn by R. Gobert),,39,38
131,2,9:26.0,R. Gobert makes free throw 1 of 2,,40,38
132,2,9:26.0,D. Favors enters the game for J. Crowder,,40,38
133,2,9:26.0,,B. Lopez enters the game for T. Maker,40,38
134,2,9:26.0,R. Gobert makes free throw 2 of 2,,41,38
135,2,9:08.0,,G. Antetokounmpo makes 2-pt hook shot from 2 ft,41,40
136,2,8:56.0,R. Neto makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,44,40
137,2,8:47.0,,B. Lopez misses 3-pt jump shot from 29 ft,44,40
138,2,8:44.0,,Offensive rebound by T. Snell,44,40
139,2,8:31.0,,E. Bledsoe misses 2-pt jump shot from 12 ft,44,40
140,2,8:29.0,,Offensive rebound by E. Bledsoe,44,40
141,2,8:27.0,,T. Snell makes 3-pt jump shot from 29 ft (assist by E. Bledsoe),44,43
142,2,8:14.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Neto),,46,43
143,2,7:52.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),46,45
144,2,7:39.0,D. Mitchell makes 2-pt jump shot from 10 ft,,48,45
145,2,7:23.0,,E. Bledsoe misses 2-pt jump shot from 9 ft,48,45
146,2,7:20.0,Defensive rebound by R. Gobert,,48,45
147,2,7:06.0,D. Mitchell misses 3-pt jump shot from 28 ft,,48,45
148,2,7:04.0,,Defensive rebound by T. Snell,48,45
149,2,7:03.0,,Milwaukee full timeout,48,45
150,2,7:03.0,K. Korver enters the game for D. Mitchell,,48,45
151,2,7:03.0,,E. İlyasova enters the game for G. Antetokounmpo,48,45
152,2,7:03.0,,K. Middleton enters the game for M. Brogdon,48,45
153,2,6:56.0,,Milwaukee full timeout,48,45
154,2,6:42.0,,Turnover by K. Middleton (bad pass; steal by D. Favors),48,45
155,2,6:28.0,D. Favors misses 3-pt jump shot from 22 ft,,48,45
156,2,6:25.0,,Defensive rebound by B. Lopez,48,45
157,2,6:16.0,,B. Lopez makes 2-pt jump shot from 13 ft (assist by T. Snell),48,47
158,2,5:51.0,D. Favors misses 2-pt jump shot from 5 ft,,48,47
159,2,5:49.0,,Defensive rebound by K. Middleton,48,47
160,2,5:36.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,48,47
161,2,5:33.0,Defensive rebound by J. Ingles,,48,47
162,2,5:26.0,Turnover by R. Neto (back court),,48,47
163,2,5:26.0,J. Crowder enters the game for D. Favors,,48,47
164,2,5:26.0,D. Mitchell enters the game for R. Neto,,48,47
165,2,5:26.0,,G. Hill enters the game for T. Snell,48,47
166,2,5:17.0,,K. Middleton makes 2-pt layup from 2 ft,48,49
167,2,4:53.0,K. Korver makes 2-pt jump shot from 16 ft,,50,49
168,2,4:39.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by E. Bledsoe),50,51
169,2,4:31.0,J. Crowder misses 3-pt jump shot from 26 ft,,50,51
170,2,4:30.0,Offensive rebound by R. Gobert,,50,51
171,2,4:30.0,Shooting foul by K. Middleton (drawn by R. Gobert),,50,51
172,2,4:30.0,R. Gobert misses free throw 1 of 2,,50,51
173,2,4:30.0,Offensive rebound by Team,,50,51
174,2,4:30.0,R. O'Neale enters the game for K. Korver,,50,51
175,2,4:30.0,R. Gobert makes free throw 2 of 2,,51,51
176,2,4:19.0,,Personal foul by J. Crowder (drawn by E. Bledsoe),51,51
177,2,4:08.0,,E. İlyasova misses 2-pt layup from 2 ft,51,51
178,2,4:03.0,Defensive rebound by R. O'Neale,,51,51
179,2,4:01.0,Offensive foul by D. Mitchell (drawn by E. İlyasova),,51,51
180,2,4:01.0,Turnover by D. Mitchell (offensive foul),,51,51
181,2,3:40.0,,G. Hill misses 2-pt jump shot from 21 ft,51,51
182,2,3:38.0,Defensive rebound by R. Gobert,,51,51
183,2,3:28.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Ingles),,54,51
184,2,3:12.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,54,51
185,2,3:10.0,Defensive rebound by R. Gobert,,54,51
186,2,3:04.0,R. O'Neale makes 3-pt jump shot from 24 ft (assist by J. Ingles),,57,51
187,2,3:04.0,,Milwaukee full timeout,57,51
188,2,3:04.0,,G. Antetokounmpo enters the game for E. Bledsoe,57,51
189,2,3:04.0,,M. Brogdon enters the game for E. İlyasova,57,51
190,2,2:41.0,,G. Antetokounmpo misses 2-pt jump shot from 7 ft,57,51
191,2,2:38.0,Defensive rebound by R. Gobert,,57,51
192,2,2:24.0,Personal foul by G. Hill (drawn by J. Ingles),,57,51
193,2,2:14.0,J. Crowder misses 3-pt jump shot from 25 ft,,57,51
194,2,2:11.0,,Defensive rebound by M. Brogdon,57,51
195,2,2:04.0,,M. Brogdon makes 2-pt layup from 2 ft,57,53
196,2,1:41.0,D. Mitchell makes 3-pt jump shot from 27 ft,,60,53
197,2,1:33.0,,Personal foul by R. O'Neale (drawn by M. Brogdon),60,53
198,2,1:33.0,K. Korver enters the game for R. O'Neale,,60,53
199,2,1:23.0,,K. Middleton misses 2-pt jump shot from 6 ft,60,53
200,2,1:20.0,Defensive rebound by R. Gobert,,60,53
201,2,1:14.0,D. Mitchell misses 2-pt layup from 2 ft (block by B. Lopez),,60,53
202,2,1:13.0,,Defensive rebound by M. Brogdon,60,53
203,2,1:13.0,,Personal take foul by J. Crowder (drawn by M. Brogdon),60,53
204,2,1:13.0,,M. Brogdon makes free throw 1 of 2,60,54
205,2,1:13.0,,M. Brogdon makes free throw 2 of 2,60,55
206,2,1:02.0,J. Ingles misses 2-pt jump shot from 11 ft,,60,55
207,2,1:00.0,Offensive rebound by R. Gobert,,60,55
208,2,1:00.0,R. Gobert makes 2-pt layup from 1 ft,,62,55
209,2,0:43.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),62,57
210,2,0:32.0,D. Mitchell misses 2-pt jump shot from 13 ft (block by B. Lopez),,62,57
211,2,0:29.0,,Defensive rebound by K. Middleton,62,57
212,2,0:28.0,,Personal foul by J. Crowder (drawn by G. Antetokounmpo),62,57
213,2,0:28.0,,G. Antetokounmpo makes free throw 1 of 2,62,58
214,2,0:28.0,R. O'Neale enters the game for J. Crowder,,62,58
215,2,0:28.0,,S. Brown enters the game for B. Lopez,62,58
216,2,0:28.0,,G. Antetokounmpo misses free throw 2 of 2,62,58
217,2,0:25.0,Defensive rebound by R. Gobert,,62,58
218,2,0:01.0,D. Mitchell misses 2-pt dunk from 3 ft,,62,58
219,2,0:01.0,,Defensive rebound by S. Brown,62,58
220,2,0:00.0,,S. Brown misses 3-pt jump shot from 57 ft,62,58
221,2,0:00.0,,Offensive rebound by Team,62,58
222,3,11:41.0,R. Gobert misses 2-pt hook shot from 7 ft,,62,58
223,3,11:36.0,Offensive rebound by D. Favors,,62,58
224,3,11:36.0,D. Favors makes 2-pt layup from 1 ft,,64,58
225,3,11:25.0,,G. Antetokounmpo makes 2-pt hook shot from 8 ft,64,60
226,3,11:11.0,R. Neto makes 2-pt jump shot from 14 ft,,66,60
227,3,11:00.0,,K. Middleton misses 2-pt jump shot from 10 ft,66,60
228,3,10:57.0,Defensive rebound by R. Neto,,66,60
229,3,10:47.0,D. Mitchell makes 3-pt jump shot from 27 ft,,69,60
230,3,10:33.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,69,60
231,3,10:31.0,Defensive rebound by R. Neto,,69,60
232,3,10:25.0,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),,71,60
233,3,10:11.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by M. Brogdon),71,63
234,3,10:09.0,D. Mitchell misses 3-pt jump shot from 28 ft,,71,63
235,3,9:59.0,,Defensive rebound by E. Bledsoe,71,63
236,3,9:52.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,71,63
237,3,9:49.0,Defensive rebound by D. Favors,,71,63
238,3,9:36.0,J. Ingles misses 2-pt jump shot from 6 ft,,71,63
239,3,9:30.0,Offensive rebound by J. Ingles,,71,63
240,3,9:30.0,J. Ingles misses 2-pt layup from 1 ft,,71,63
241,3,9:30.0,,Defensive rebound by B. Lopez,71,63
242,3,9:30.0,,Shooting foul by D. Mitchell (drawn by M. Brogdon),71,63
243,3,9:30.0,,M. Brogdon makes free throw 1 of 2,71,64
244,3,9:30.0,,M. Brogdon makes free throw 2 of 2,71,65
245,3,9:07.0,D. Mitchell makes 3-pt jump shot from 30 ft,,74,65
246,3,8:59.0,,M. Brogdon misses 2-pt layup from 5 ft (block by J. Ingles),74,65
247,3,8:59.0,,Offensive rebound by Team,74,65
248,3,8:52.0,,Personal foul by D. Favors (drawn by E. Bledsoe),74,65
249,3,8:46.0,,E. Bledsoe misses 2-pt layup from 3 ft (block by D. Favors),74,65
250,3,8:43.0,Defensive rebound by J. Ingles,,74,65
251,3,8:35.0,R. Gobert misses 2-pt jump shot from 12 ft,,74,65
252,3,8:32.0,,Defensive rebound by G. Antetokounmpo,74,65
253,3,8:30.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,74,67
254,3,8:28.0,Utah full timeout,,74,67
255,3,8:28.0,R. O'Neale enters the game for R. Neto,,74,67
256,3,8:13.0,D. Favors misses 2-pt layup from 3 ft,,74,67
257,3,8:13.0,Offensive rebound by Team,,74,67
258,3,8:12.0,Personal foul by G. Antetokounmpo (drawn by R. Gobert),,74,67
259,3,8:00.0,D. Favors misses 3-pt jump shot from 25 ft,,74,67
260,3,7:57.0,,Defensive rebound by G. Antetokounmpo,74,67
261,3,7:49.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by E. Bledsoe),74,69
262,3,7:26.0,R. O'Neale makes 3-pt jump shot from 25 ft (assist by J. Ingles),,77,69
263,3,7:17.0,,Turnover by E. Bledsoe (bad pass),77,69
264,3,7:04.0,Shooting foul by G. Antetokounmpo (drawn by D. Favors),,77,69
265,3,7:04.0,D. Favors misses free throw 1 of 2,,77,69
266,3,7:04.0,Offensive rebound by Team,,77,69
267,3,7:04.0,,S. Brown enters the game for M. Brogdon,77,69
268,3,7:04.0,D. Favors misses free throw 2 of 2,,77,69
269,3,7:02.0,,Defensive rebound by E. Bledsoe,77,69
270,3,6:43.0,,G. Antetokounmpo misses 2-pt hook shot from 7 ft,77,69
271,3,6:41.0,Defensive rebound by R. Gobert,,77,69
272,3,6:36.0,J. Ingles misses 3-pt jump shot from 27 ft,,77,69
273,3,6:33.0,Offensive rebound by R. O'Neale,,77,69
274,3,6:28.0,D. Favors misses 2-pt jump shot from 19 ft,,77,69
275,3,6:24.0,,Defensive rebound by S. Brown,77,69
276,3,6:18.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by S. Brown),77,71
277,3,6:06.0,D. Mitchell misses 3-pt jump shot from 28 ft,,77,71
278,3,6:02.0,,Defensive rebound by K. Middleton,77,71
279,3,5:58.0,,E. Bledsoe makes 2-pt layup from 3 ft (assist by K. Middleton),77,73
280,3,5:32.0,Turnover by R. Gobert (bad pass; steal by E. Bledsoe),,77,73
281,3,5:32.0,,Personal take foul by R. O'Neale (drawn by E. Bledsoe),77,73
282,3,5:32.0,J. Crowder enters the game for D. Favors,,77,73
283,3,5:32.0,K. Korver enters the game for J. Ingles,,77,73
284,3,5:32.0,,G. Hill enters the game for E. Bledsoe,77,73
285,3,5:19.0,,K. Middleton misses 3-pt jump shot from 27 ft,77,73
286,3,5:17.0,Defensive rebound by R. Gobert,,77,73
287,3,5:10.0,D. Mitchell makes 3-pt jump shot from 27 ft,,80,73
288,3,4:56.0,,G. Antetokounmpo makes 2-pt layup from 5 ft (assist by G. Hill),80,75
289,3,4:33.0,J. Crowder misses 3-pt jump shot from 25 ft,,80,75
290,3,4:33.0,Offensive rebound by Team,,80,75
291,3,4:33.0,,Loose ball foul by K. Middleton (drawn by R. Gobert),80,75
292,3,4:33.0,,E. İlyasova enters the game for G. Antetokounmpo,80,75
293,3,4:20.0,D. Mitchell misses 2-pt layup from 2 ft,,80,75
294,3,4:17.0,Offensive rebound by D. Mitchell,,80,75
295,3,4:11.0,D. Mitchell misses 3-pt jump shot from 25 ft,,80,75
296,3,4:11.0,,Defensive rebound by S. Brown,80,75
297,3,4:08.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by K. Middleton),80,77
298,3,3:51.0,Personal foul by E. İlyasova (drawn by J. Crowder),,80,77
299,3,3:51.0,D. Favors enters the game for R. Gobert,,80,77
300,3,3:51.0,,T. Maker enters the game for B. Lopez,80,77
301,3,3:34.0,J. Crowder misses 3-pt jump shot from 29 ft,,80,77
302,3,3:31.0,Offensive rebound by R. O'Neale,,80,77
303,3,3:29.0,D. Favors misses 2-pt layup from 2 ft (block by E. İlyasova),,80,77
304,3,3:22.0,Offensive rebound by J. Crowder,,80,77
305,3,3:22.0,Turnover by D. Mitchell (lost ball; steal by E. İlyasova),,80,77
306,3,3:22.0,,Personal foul by D. Favors (drawn by G. Hill),80,77
307,3,3:22.0,,Milwaukee full timeout,80,77
308,3,3:22.0,R. Neto enters the game for R. O'Neale,,80,77
309,3,3:22.0,,M. Brogdon enters the game for K. Middleton,80,77
310,3,3:15.0,,M. Brogdon makes 2-pt layup from 2 ft,80,79
311,3,3:15.0,Violation by Team (def goaltending),,80,79
312,3,2:58.0,K. Korver misses 3-pt jump shot from 27 ft,,80,79
313,3,2:54.0,,Defensive rebound by Team,80,79
314,3,2:40.0,,M. Brogdon makes 2-pt layup from 1 ft,80,81
315,3,2:26.0,D. Favors makes 2-pt dunk from 2 ft,,82,81
316,3,2:07.0,,E. İlyasova makes 2-pt jump shot from 13 ft (assist by M. Brogdon),82,83
317,3,2:01.0,Turnover by D. Favors (lost ball; steal by G. Hill),,82,83
318,3,1:51.0,,M. Brogdon misses 2-pt layup from 5 ft,82,83
319,3,1:49.0,Defensive rebound by D. Favors,,82,83
320,3,1:43.0,R. Neto misses 3-pt jump shot from 27 ft,,82,83
321,3,1:38.0,,Defensive rebound by T. Maker,82,83
322,3,1:31.0,,T. Maker misses 3-pt jump shot from 27 ft,82,83
323,3,1:29.0,Defensive rebound by K. Korver,,82,83
324,3,1:19.0,Personal foul by S. Brown (drawn by D. Mitchell),,82,83
325,3,1:19.0,D. Mitchell makes free throw 1 of 2,,83,83
326,3,1:19.0,,G. Antetokounmpo enters the game for S. Brown,83,83
327,3,1:19.0,,T. Snell enters the game for E. İlyasova,83,83
328,3,1:19.0,D. Mitchell makes free throw 2 of 2,,84,83
329,3,1:08.0,,T. Snell misses 3-pt jump shot from 25 ft,84,83
330,3,1:05.0,Defensive rebound by D. Favors,,84,83
331,3,0:50.0,D. Mitchell misses 3-pt jump shot from 26 ft,,84,83
332,3,0:44.0,,Defensive rebound by T. Maker,84,83
333,3,0:34.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,84,83
334,3,0:32.0,,Offensive rebound by G. Antetokounmpo,84,83
335,3,0:31.0,,G. Antetokounmpo misses 2-pt layup at rim,84,83
336,3,0:28.0,Defensive rebound by J. Crowder,,84,83
337,3,0:22.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Neto),,86,83
338,3,0:03.0,,M. Brogdon misses 2-pt jump shot from 8 ft,86,83
339,3,0:01.0,Defensive rebound by K. Korver,,86,83
340,3,0:00.0,K. Korver misses 3-pt jump shot from 32 ft,,86,83
341,3,0:00.0,Offensive rebound by Team,,86,83
342,4,11:43.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),86,85
343,4,11:25.0,K. Korver makes 3-pt jump shot from 26 ft (assist by R. Gobert),,89,85
344,4,11:11.0,,T. Maker misses 2-pt layup from 4 ft,89,85
345,4,11:07.0,,Offensive rebound by T. Maker,89,85
346,4,11:07.0,,T. Maker makes 2-pt layup from 1 ft,89,87
347,4,11:07.0,,Shooting foul by J. Ingles (drawn by T. Maker),89,87
348,4,11:07.0,,T. Maker makes free throw 1 of 1,89,88
349,4,10:52.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Neto),,91,88
350,4,10:38.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,91,88
351,4,10:35.0,,Offensive rebound by M. Brogdon,91,88
352,4,10:21.0,,Turnover by E. Bledsoe (bad pass; steal by R. Gobert),91,88
353,4,10:13.0,K. Korver misses 3-pt jump shot from 27 ft,,91,88
354,4,10:09.0,,Defensive rebound by M. Brogdon,91,88
355,4,10:06.0,,Personal foul by R. Gobert (drawn by G. Antetokounmpo),91,88
356,4,10:06.0,D. Mitchell enters the game for K. Korver,,91,88
357,4,10:06.0,R. O'Neale enters the game for R. Neto,,91,88
358,4,10:00.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,91,88
359,4,9:58.0,Defensive rebound by R. O'Neale,,91,88
360,4,9:40.0,Turnover by D. Mitchell (bad pass; steal by G. Antetokounmpo),,91,88
361,4,9:40.0,,Personal take foul by D. Mitchell (drawn by E. Bledsoe),91,88
362,4,9:32.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),91,90
363,4,9:20.0,Shooting foul by G. Antetokounmpo (drawn by J. Crowder),,91,90
364,4,9:20.0,J. Crowder makes free throw 1 of 2,,92,90
365,4,9:20.0,J. Crowder misses free throw 2 of 2,,92,90
366,4,9:15.0,,Defensive rebound by T. Snell,92,90
367,4,9:11.0,,Turnover by E. Bledsoe (bad pass; steal by J. Ingles),92,90
368,4,9:00.0,Turnover by J. Ingles (bad pass; steal by E. Bledsoe),,92,90
369,4,8:51.0,,T. Maker makes 2-pt dunk from 1 ft (assist by M. Brogdon),92,92
370,4,8:50.0,Utah full timeout,,92,92
371,4,8:50.0,R. Neto enters the game for J. Ingles,,92,92
372,4,8:50.0,,B. Lopez enters the game for M. Brogdon,92,92
373,4,8:50.0,,K. Middleton enters the game for T. Maker,92,92
374,4,8:36.0,D. Mitchell misses 2-pt layup from 10 ft (block by B. Lopez),,92,92
