,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
89,1,0:24.0,C. Paul makes free throw 2 of 2,,25,36
90,1,0:05.0,,Personal take foul by A. Rivers (drawn by T. Dorsey),25,36
91,1,0:00.0,,M. Conley makes 2-pt jump shot from 11 ft,25,38
92,2,11:53.0,,Turnover by C. Parsons (back court),25,38
93,2,11:31.0,C. Paul misses 2-pt jump shot from 18 ft,,25,38
94,2,11:28.0,,Defensive rebound by T. Dorsey,25,38
95,2,11:26.0,,J. Noah misses 2-pt layup from 2 ft,25,38
96,2,11:23.0,,Offensive rebound by T. Dorsey,25,38
97,2,11:19.0,,D. Wright misses 3-pt jump shot from 27 ft,25,38
98,2,11:18.0,,Offensive rebound by Team,25,38
99,2,11:18.0,Loose ball foul by C. Paul (drawn by J. Noah),,25,38
100,2,11:18.0,C. Capela enters the game for A. Rivers,,25,38
101,2,11:05.0,,B. Caboclo makes 2-pt layup from 1 ft (assist by T. Dorsey),25,40
102,2,10:53.0,Turnover by D. House (bad pass; steal by D. Wright),,25,40
103,2,10:53.0,Technical foul by C. Paul,,25,40
104,2,10:53.0,,D. Wright misses technical free throw,25,40
105,2,10:53.0,,Offensive rebound by Team,25,40
106,2,10:53.0,Clear path foul by D. Wright,,25,40
107,2,10:53.0,,D. Wright makes clear path free throw 1 of 2,25,41
108,2,10:53.0,,D. Wright makes clear path free throw 2 of 2,25,42
109,2,10:53.0,J. Harden enters the game for G. Green,,25,42
110,2,10:32.0,,Turnover by D. Wright (bad pass; steal by P. Tucker),25,42
111,2,10:18.0,D. House misses 3-pt jump shot from 27 ft,,25,42
112,2,10:15.0,,Defensive rebound by J. Noah,25,42
113,2,10:07.0,,Shooting foul by D. House (drawn by J. Noah),25,42
114,2,10:07.0,,J. Noah makes free throw 1 of 2,25,43
115,2,10:07.0,,J. Holiday enters the game for T. Dorsey,25,43
116,2,10:07.0,,J. Noah makes free throw 2 of 2,25,44
117,2,9:53.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,27,44
118,2,9:33.0,,J. Noah misses 2-pt hook shot from 7 ft,27,44
119,2,9:29.0,Defensive rebound by P. Tucker,,27,44
120,2,9:18.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,29,44
121,2,9:06.0,,Offensive foul by J. Noah (drawn by D. House),29,44
122,2,9:06.0,,Turnover by J. Noah (offensive foul),29,44
123,2,9:06.0,I. Shumpert enters the game for D. House,,29,44
124,2,8:51.0,J. Harden misses 3-pt jump shot from 26 ft,,29,44
125,2,8:47.0,,Defensive rebound by C. Parsons,29,44
126,2,8:40.0,,C. Parsons misses 3-pt jump shot from 27 ft,29,44
127,2,8:37.0,,Offensive rebound by J. Noah,29,44
128,2,8:29.0,,Shooting foul by P. Tucker (drawn by J. Holiday),29,44
129,2,8:29.0,,J. Holiday makes free throw 1 of 2,29,45
130,2,8:29.0,,J. Holiday makes free throw 2 of 2,29,46
131,2,8:21.0,C. Paul misses 3-pt jump shot from 25 ft,,29,46
132,2,8:17.0,,Defensive rebound by C. Parsons,29,46
133,2,8:01.0,,Personal foul by I. Shumpert (drawn by B. Caboclo),29,46
134,2,8:01.0,,B. Caboclo misses free throw 1 of 2,29,46
135,2,8:01.0,,Offensive rebound by Team,29,46
136,2,8:01.0,,B. Caboclo makes free throw 2 of 2,29,47
137,2,7:49.0,Turnover by J. Harden (bad pass; steal by C. Parsons),,29,47
138,2,7:38.0,,D. Wright misses 2-pt jump shot from 1 ft,29,47
139,2,7:36.0,Defensive rebound by J. Harden,,29,47
140,2,7:25.0,I. Shumpert makes 2-pt layup from 1 ft,,31,47
141,2,7:18.0,,Memphis full timeout,31,47
142,2,7:18.0,D. House enters the game for C. Paul,,31,47
143,2,7:18.0,A. Rivers enters the game for P. Tucker,,31,47
144,2,7:18.0,,M. Conley enters the game for J. Noah,31,47
145,2,7:18.0,,J. Valančiūnas enters the game for D. Wright,31,47
146,2,7:09.0,,Turnover by J. Valančiūnas (lost ball; steal by I. Shumpert),31,47
147,2,7:02.0,J. Harden makes 2-pt jump shot from 3 ft,,33,47
148,2,6:40.0,,Turnover by J. Valančiūnas (traveling),33,47
149,2,6:21.0,I. Shumpert misses 3-pt jump shot from 26 ft,,33,47
150,2,6:18.0,,Defensive rebound by J. Valančiūnas,33,47
151,2,5:59.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by B. Caboclo),33,50
152,2,5:41.0,J. Harden misses 3-pt jump shot from 28 ft,,33,50
153,2,5:37.0,,Defensive rebound by B. Caboclo,33,50
154,2,5:28.0,,C. Parsons misses 3-pt jump shot from 26 ft,33,50
155,2,5:27.0,Defensive rebound by Team,,33,50
156,2,5:27.0,,T. Dorsey enters the game for C. Parsons,33,50
157,2,5:11.0,J. Harden misses 2-pt jump shot from 6 ft,,33,50
158,2,5:08.0,,Defensive rebound by T. Dorsey,33,50
159,2,5:07.0,,Turnover by J. Valančiūnas (bad pass; steal by I. Shumpert),33,50
160,2,5:04.0,J. Harden makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,36,50
161,2,4:49.0,,Personal foul by D. House (drawn by J. Valančiūnas),36,50
162,2,4:49.0,,J. Valančiūnas makes free throw 1 of 2,36,51
163,2,4:49.0,,J. Valančiūnas makes free throw 2 of 2,36,52
164,2,4:39.0,Shooting foul by J. Valančiūnas (drawn by J. Harden),,36,52
165,2,4:39.0,C. Paul enters the game for A. Rivers,,36,52
166,2,4:39.0,P. Tucker enters the game for I. Shumpert,,36,52
167,2,4:39.0,,D. Wright enters the game for B. Caboclo,36,52
168,2,4:39.0,J. Harden makes free throw 1 of 2,,37,52
169,2,4:39.0,J. Harden makes free throw 2 of 2,,38,52
170,2,4:26.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by J. Valančiūnas),38,54
171,2,4:14.0,J. Harden makes 3-pt jump shot from 26 ft,,41,54
172,2,3:55.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft,41,56
173,2,3:37.0,D. House misses 3-pt jump shot from 22 ft,,41,56
174,2,3:35.0,Offensive rebound by C. Capela,,41,56
175,2,3:33.0,C. Capela makes 2-pt layup from 1 ft,,43,56
176,2,3:16.0,,J. Holiday misses 3-pt jump shot from 23 ft,43,56
177,2,3:11.0,Defensive rebound by C. Paul,,43,56
178,2,3:04.0,J. Harden misses 2-pt jump shot from 6 ft,,43,56
179,2,3:02.0,,Defensive rebound by T. Dorsey,43,56
180,2,2:57.0,,J. Holiday misses 2-pt layup from 1 ft,43,56
181,2,2:54.0,,Offensive rebound by J. Valančiūnas,43,56
182,2,2:54.0,,Shooting foul by C. Capela (drawn by J. Valančiūnas),43,56
183,2,2:54.0,Houston full timeout,,43,56
184,2,2:54.0,,J. Valančiūnas makes free throw 1 of 2,43,57
185,2,2:54.0,,J. Valančiūnas makes free throw 2 of 2,43,58
186,2,2:42.0,J. Harden makes 2-pt jump shot from 6 ft (assist by C. Paul),,45,58
187,2,2:42.0,Shooting foul by D. Wright (drawn by J. Harden),,45,58
188,2,2:42.0,J. Harden makes free throw 1 of 1,,46,58
189,2,2:20.0,,J. Valančiūnas makes 2-pt jump shot from 9 ft,46,60
190,2,2:10.0,Shooting foul by J. Holiday (drawn by J. Harden),,46,60
191,2,2:10.0,J. Harden makes free throw 1 of 2,,47,60
192,2,2:10.0,,B. Caboclo enters the game for J. Holiday,47,60
193,2,2:10.0,J. Harden makes free throw 2 of 2,,48,60
194,2,2:01.0,,Shooting foul by P. Tucker (drawn by M. Conley),48,60
195,2,2:01.0,,M. Conley makes free throw 1 of 2,48,61
196,2,2:01.0,,M. Conley makes free throw 2 of 2,48,62
197,2,1:49.0,D. House makes 3-pt jump shot from 22 ft (assist by C. Paul),,51,62
198,2,1:36.0,,T. Dorsey misses 3-pt jump shot from 26 ft,51,62
199,2,1:33.0,Defensive rebound by C. Capela,,51,62
200,2,1:26.0,J. Harden misses 2-pt jump shot from 4 ft,,51,62
201,2,1:25.0,,Defensive rebound by J. Valančiūnas,51,62
202,2,1:13.0,,T. Dorsey misses 3-pt jump shot from 25 ft,51,62
203,2,1:10.0,,Offensive rebound by Team,51,62
204,2,1:10.0,Loose ball foul by P. Tucker (drawn by J. Valančiūnas),,51,62
205,2,1:10.0,,J. Valančiūnas makes free throw 1 of 2,51,63
206,2,1:10.0,,J. Holiday enters the game for T. Dorsey,51,63
207,2,1:10.0,,J. Valančiūnas misses free throw 2 of 2,51,63
208,2,1:08.0,Defensive rebound by P. Tucker,,51,63
209,2,0:51.0,C. Paul misses 2-pt jump shot from 14 ft,,51,63
210,2,0:48.0,Offensive rebound by C. Capela,,51,63
211,2,0:47.0,Shooting foul by J. Valančiūnas (drawn by C. Capela),,51,63
212,2,0:47.0,C. Capela makes free throw 1 of 2,,52,63
213,2,0:47.0,C. Capela makes free throw 2 of 2,,53,63
214,2,0:38.0,,B. Caboclo misses 3-pt jump shot from 23 ft,53,63
215,2,0:35.0,Defensive rebound by C. Capela,,53,63
216,2,0:26.0,D. House misses 3-pt jump shot from 23 ft,,53,63
217,2,0:23.0,Offensive rebound by C. Capela,,53,63
218,2,0:13.0,P. Tucker misses 3-pt jump shot from 23 ft,,53,63
219,2,0:10.0,,Defensive rebound by B. Caboclo,53,63
220,2,0:01.0,,M. Conley misses 2-pt jump shot from 22 ft,53,63
221,2,0:01.0,,Offensive rebound by Team,53,63
222,3,11:42.0,,J. Valančiūnas makes 2-pt jump shot from 7 ft,53,65
223,3,11:24.0,J. Harden misses 2-pt jump shot from 5 ft,,53,65
224,3,11:24.0,Offensive rebound by Team,,53,65
225,3,11:14.0,C. Capela makes 2-pt layup from 3 ft (assist by J. Harden),,55,65
226,3,10:52.0,,M. Conley misses 2-pt jump shot from 14 ft,55,65
227,3,10:50.0,,Offensive rebound by J. Valančiūnas,55,65
228,3,10:49.0,,J. Valančiūnas makes 2-pt dunk from 1 ft,55,67
229,3,10:33.0,C. Paul misses 2-pt jump shot from 7 ft,,55,67
230,3,10:31.0,Offensive rebound by C. Paul,,55,67
231,3,10:29.0,C. Paul makes 2-pt jump shot from 11 ft,,57,67
232,3,10:12.0,,J. Valančiūnas misses 2-pt jump shot from 12 ft,57,67
233,3,10:12.0,Defensive rebound by C. Paul,,57,67
234,3,10:05.0,Turnover by C. Paul (bad pass; steal by J. Holiday),,57,67
235,3,9:49.0,,Shooting foul by J. Harden (drawn by J. Valančiūnas),57,67
236,3,9:49.0,,J. Valančiūnas makes free throw 1 of 2,57,68
237,3,9:49.0,,J. Valančiūnas makes free throw 2 of 2,57,69
238,3,9:36.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by C. Paul),,60,69
239,3,9:19.0,,J. Holiday misses 3-pt jump shot from 22 ft,60,69
240,3,9:19.0,Defensive rebound by Team,,60,69
241,3,9:11.0,Turnover by C. Capela (bad pass),,60,69
242,3,8:57.0,,B. Caboclo makes 2-pt layup from 3 ft (assist by D. Wright),60,71
243,3,8:46.0,D. House makes 3-pt jump shot from 25 ft (assist by J. Harden),,63,71
244,3,8:27.0,,B. Caboclo misses 3-pt jump shot from 27 ft,63,71
245,3,8:23.0,Defensive rebound by J. Harden,,63,71
246,3,8:12.0,J. Harden misses 3-pt jump shot from 27 ft,,63,71
247,3,8:09.0,,Defensive rebound by J. Valančiūnas,63,71
248,3,8:04.0,,M. Conley makes 2-pt layup from 1 ft,63,73
249,3,7:37.0,Turnover by Team (shot clock),,63,73
250,3,7:12.0,,J. Valančiūnas misses 2-pt layup from 6 ft,63,73
251,3,7:10.0,,Offensive rebound by J. Valančiūnas,63,73
252,3,7:10.0,,J. Valančiūnas misses 2-pt layup from 5 ft,63,73
253,3,7:10.0,,Offensive rebound by J. Valančiūnas,63,73
254,3,7:09.0,,J. Valančiūnas misses 2-pt layup from 3 ft,63,73
255,3,7:09.0,,Offensive rebound by J. Valančiūnas,63,73
256,3,7:09.0,,J. Valančiūnas misses 2-pt layup from 1 ft,63,73
257,3,7:09.0,,Offensive rebound by Team,63,73
258,3,7:09.0,N. Hilário enters the game for C. Capela,,63,73
259,3,7:05.0,,D. Wright makes 3-pt jump shot from 23 ft (assist by M. Conley),63,76
260,3,6:54.0,C. Paul makes 2-pt jump shot from 13 ft,,65,76
261,3,6:40.0,,D. Wright makes 2-pt layup from 1 ft (assist by M. Conley),65,78
262,3,6:24.0,C. Paul makes 3-pt jump shot from 25 ft (assist by J. Harden),,68,78
263,3,6:11.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by D. Wright),68,81
264,3,6:01.0,C. Paul makes 2-pt jump shot from 12 ft,,70,81
265,3,5:53.0,,Memphis full timeout,70,81
266,3,5:53.0,A. Rivers enters the game for C. Paul,,70,81
267,3,5:53.0,I. Shumpert enters the game for P. Tucker,,70,81
268,3,5:53.0,,T. Dorsey enters the game for J. Valančiūnas,70,81
269,3,5:53.0,,J. Noah enters the game for D. Wright,70,81
270,3,5:48.0,,Turnover by J. Noah (lost ball; steal by N. Hilário),70,81
271,3,5:41.0,Shooting foul by J. Noah (drawn by J. Harden),,70,81
272,3,5:41.0,J. Harden makes free throw 1 of 2,,71,81
273,3,5:41.0,,C. Parsons enters the game for B. Caboclo,71,81
274,3,5:41.0,J. Harden makes free throw 2 of 2,,72,81
275,3,5:30.0,,Shooting foul by A. Rivers (drawn by M. Conley),72,81
276,3,5:30.0,,M. Conley makes free throw 1 of 3,72,82
277,3,5:30.0,,M. Conley makes free throw 2 of 3,72,83
278,3,5:30.0,,M. Conley makes free throw 3 of 3,72,84
279,3,5:13.0,J. Harden misses 3-pt jump shot from 25 ft,,72,84
280,3,5:10.0,,Defensive rebound by J. Noah,72,84
281,3,4:54.0,,Shooting foul by A. Rivers (drawn by J. Noah),72,84
282,3,4:54.0,,J. Noah makes free throw 1 of 2,72,85
283,3,4:54.0,,J. Noah makes free throw 2 of 2,72,86
284,3,4:37.0,J. Harden misses 3-pt jump shot from 26 ft,,72,86
285,3,4:34.0,,Defensive rebound by M. Conley,72,86
286,3,4:28.0,,T. Dorsey makes 3-pt jump shot from 26 ft (assist by M. Conley),72,89
287,3,4:27.0,Houston full timeout,,72,89
288,3,4:20.0,Offensive foul by D. House (drawn by J. Holiday),,72,89
289,3,4:20.0,Turnover by D. House (offensive foul),,72,89
290,3,3:55.0,,M. Conley misses 2-pt jump shot from 14 ft,72,89
291,3,3:53.0,Defensive rebound by J. Harden,,72,89
292,3,3:45.0,J. Harden makes 2-pt jump shot from 8 ft,,74,89
293,3,3:24.0,,M. Conley misses 2-pt jump shot from 2 ft,74,89
294,3,3:21.0,Defensive rebound by D. House,,74,89
295,3,3:03.0,J. Harden misses 2-pt jump shot from 22 ft,,74,89
296,3,3:02.0,Offensive rebound by D. House,,74,89
297,3,2:55.0,Turnover by A. Rivers (lost ball; steal by C. Parsons),,74,89
298,3,2:55.0,G. Green enters the game for J. Harden,,74,89
299,3,2:55.0,C. Paul enters the game for D. House,,74,89
300,3,2:55.0,P. Tucker enters the game for A. Rivers,,74,89
301,3,2:55.0,,B. Caboclo enters the game for M. Conley,74,89
302,3,2:55.0,,D. Wright enters the game for J. Holiday,74,89
303,3,2:42.0,,J. Noah makes 2-pt layup from 1 ft (assist by C. Parsons),74,91
304,3,2:27.0,I. Shumpert makes 2-pt jump shot from 21 ft,,76,91
305,3,2:09.0,,J. Noah makes 2-pt dunk at rim,76,93
306,3,1:46.0,N. Hilário misses 2-pt jump shot from 20 ft,,76,93
307,3,1:42.0,,Defensive rebound by J. Noah,76,93
308,3,1:32.0,,C. Parsons misses 3-pt jump shot from 24 ft,76,93
309,3,1:30.0,Defensive rebound by N. Hilário,,76,93
310,3,1:30.0,Personal foul by D. Wright (drawn by N. Hilário),,76,93
311,3,1:30.0,C. Capela enters the game for N. Hilário,,76,93
312,3,1:21.0,Turnover by C. Paul (bad pass; steal by D. Wright),,76,93
313,3,1:08.0,,C. Parsons makes 2-pt layup from 4 ft,76,95
314,3,0:49.0,G. Green misses 2-pt layup from 2 ft,,76,95
315,3,0:45.0,,Defensive rebound by J. Noah,76,95
316,3,0:40.0,,Turnover by D. Wright (lost ball; steal by C. Capela),76,95
317,3,0:39.0,Personal take foul by J. Noah (drawn by C. Paul),,76,95
318,3,0:39.0,C. Paul makes free throw 1 of 2,,77,95
319,3,0:39.0,,M. Conley enters the game for B. Caboclo,77,95
320,3,0:39.0,,J. Valančiūnas enters the game for J. Noah,77,95
321,3,0:39.0,C. Paul makes free throw 2 of 2,,78,95
322,3,0:27.0,,M. Conley misses 2-pt jump shot from 3 ft,78,95
323,3,0:26.0,,Offensive rebound by J. Valančiūnas,78,95
324,3,0:26.0,,J. Valančiūnas makes 2-pt layup from 1 ft,78,97
325,3,0:02.0,Turnover by Team (shot clock),,78,97
326,3,0:00.0,,J. Valančiūnas misses 3-pt jump shot from 27 ft,78,97
327,3,0:00.0,,Offensive rebound by Team,78,97
328,4,11:49.0,C. Paul misses 3-pt jump shot from 25 ft,,78,97
329,4,11:49.0,Offensive rebound by Team,,78,97
330,4,11:41.0,J. Harden misses 3-pt jump shot from 24 ft,,78,97
331,4,11:39.0,,Defensive rebound by C. Parsons,78,97
332,4,11:17.0,,J. Holiday misses 2-pt jump shot from 23 ft (block by G. Green),78,97
333,4,11:14.0,Defensive rebound by C. Capela,,78,97
334,4,11:12.0,G. Green makes 3-pt jump shot from 23 ft (assist by J. Harden),,81,97
335,4,10:47.0,,Turnover by J. Valančiūnas (bad pass; steal by C. Paul),81,97
336,4,10:36.0,Turnover by J. Harden (bad pass; steal by C. Parsons),,81,97
337,4,10:32.0,,J. Holiday makes 2-pt layup from 1 ft (assist by C. Parsons),81,99
338,4,10:11.0,C. Paul misses 2-pt jump shot from 9 ft,,81,99
339,4,10:10.0,Offensive rebound by C. Paul,,81,99
340,4,10:08.0,G. Green makes 3-pt jump shot from 26 ft (assist by C. Paul),,84,99
341,4,9:39.0,,Turnover by J. Valančiūnas (lost ball; steal by J. Harden),84,99
342,4,9:31.0,G. Green makes 3-pt jump shot from 25 ft (assist by C. Capela),,87,99
343,4,9:28.0,,Memphis full timeout,87,99
344,4,9:28.0,,B. Caboclo enters the game for T. Dorsey,87,99
345,4,9:28.0,,D. Wright enters the game for C. Parsons,87,99
346,4,9:11.0,,J. Valančiūnas misses 3-pt jump shot from 23 ft,87,99
347,4,9:07.0,Defensive rebound by C. Capela,,87,99
348,4,8:55.0,J. Harden misses 2-pt jump shot from 11 ft,,87,99
349,4,8:51.0,,Defensive rebound by D. Wright,87,99
350,4,8:38.0,,Personal foul by G. Green (drawn by M. Conley),87,99
351,4,8:32.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by J. Holiday),87,101
352,4,8:32.0,,Shooting foul by C. Capela (drawn by J. Valančiūnas),87,101
353,4,8:32.0,,J. Valančiūnas makes free throw 1 of 1,87,102
354,4,8:19.0,G. Green misses 3-pt jump shot from 25 ft,,87,102
355,4,8:16.0,,Defensive rebound by M. Conley,87,102
356,4,8:09.0,,Turnover by B. Caboclo (offensive foul),87,102
357,4,8:09.0,,Offensive foul by B. Caboclo (drawn by C. Capela),87,102
358,4,7:54.0,C. Paul misses 3-pt jump shot from 26 ft,,87,102
359,4,7:52.0,Offensive rebound by D. House,,87,102
360,4,7:42.0,C. Paul misses 3-pt jump shot from 25 ft,,87,102
361,4,7:40.0,,Defensive rebound by D. Wright,87,102
362,4,7:20.0,,M. Conley misses 2-pt jump shot from 20 ft,87,102
363,4,7:15.0,Defensive rebound by G. Green,,87,102
364,4,7:08.0,G. Green misses 3-pt jump shot from 26 ft,,87,102
365,4,7:04.0,,Defensive rebound by J. Valančiūnas,87,102
366,4,6:55.0,,J. Holiday misses 3-pt jump shot from 25 ft,87,102
367,4,6:52.0,,Offensive rebound by B. Caboclo,87,102
368,4,6:51.0,,B. Caboclo makes 2-pt layup from 1 ft,87,104
369,4,6:45.0,Personal foul by D. Wright (drawn by J. Harden),,87,104
370,4,6:45.0,I. Shumpert enters the game for G. Green,,87,104
371,4,6:45.0,P. Tucker enters the game for D. House,,87,104
372,4,6:45.0,,T. Dorsey enters the game for M. Conley,87,104
373,4,6:45.0,,J. Noah enters the game for J. Valančiūnas,87,104
374,4,6:40.0,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Capela),,90,104
375,4,6:24.0,,D. Wright makes 2-pt jump shot from 11 ft,90,106
376,4,6:12.0,J. Harden makes 2-pt layup from 2 ft,,92,106
377,4,5:56.0,,Turnover by J. Noah (traveling),92,106
378,4,5:49.0,Turnover by C. Capela (lost ball; steal by J. Noah),,92,106
379,4,5:26.0,,T. Dorsey misses 3-pt jump shot from 28 ft,92,106
380,4,5:21.0,Defensive rebound by C. Paul,,92,106
381,4,5:17.0,C. Paul makes 2-pt layup from 5 ft,,94,106
382,4,4:47.0,,T. Dorsey misses 2-pt jump shot from 12 ft,94,106
383,4,4:44.0,Defensive rebound by P. Tucker,,94,106
384,4,4:39.0,J. Harden makes 3-pt jump shot from 27 ft,,97,106
385,4,4:37.0,,Memphis full timeout,97,106
386,4,4:37.0,A. Rivers enters the game for C. Paul,,97,106
387,4,4:37.0,,M. Conley enters the game for T. Dorsey,97,106
