,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
380,4,5:52.0,,Turnover by M. Conley (bad pass; steal by O. Porter),89,85
381,4,5:47.0,Z. LaVine makes 2-pt dunk at rim (assist by O. Porter),,91,85
382,4,5:46.0,,Memphis full timeout,91,85
383,4,5:46.0,,J. Holiday enters the game for C. Parsons,91,85
384,4,5:33.0,,A. Bradley misses 3-pt jump shot from 25 ft,91,85
385,4,5:30.0,Defensive rebound by O. Porter,,91,85
386,4,5:16.0,L. Markkanen makes 2-pt layup from 1 ft (assist by O. Porter),,93,85
387,4,5:04.0,,M. Conley makes 3-pt jump shot from 25 ft,93,88
388,4,4:51.0,L. Markkanen makes 2-pt layup from 1 ft,,95,88
389,4,4:36.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by A. Bradley),95,90
390,4,4:18.0,Z. LaVine makes 2-pt jump shot from 13 ft,,97,90
391,4,3:59.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by M. Conley),97,92
392,4,3:41.0,L. Markkanen misses 2-pt jump shot from 18 ft,,97,92
393,4,3:37.0,,Defensive rebound by J. Valančiūnas,97,92
394,4,3:27.0,,Turnover by A. Bradley (bad pass; steal by O. Porter),97,92
395,4,3:24.0,Shooting foul by M. Conley (drawn by O. Porter),,97,92
396,4,3:24.0,O. Porter makes free throw 1 of 2,,98,92
397,4,3:24.0,,B. Caboclo enters the game for J. Holiday,98,92
398,4,3:24.0,,D. Wright enters the game for C. Miles,98,92
399,4,3:24.0,O. Porter makes free throw 2 of 2,,99,92
400,4,3:13.0,,A. Bradley misses 3-pt jump shot from 25 ft,99,92
401,4,3:13.0,,Offensive rebound by Team,99,92
402,4,3:03.0,,Shooting foul by O. Porter (drawn by A. Bradley),99,92
403,4,3:03.0,,A. Bradley makes free throw 1 of 2,99,93
404,4,3:03.0,Chicago full timeout,,99,93
405,4,3:03.0,,A. Bradley makes free throw 2 of 2,99,94
406,4,2:48.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by Z. LaVine),,101,94
407,4,2:30.0,,Personal foul by K. Dunn (drawn by M. Conley),101,94
408,4,2:25.0,,M. Conley misses 3-pt jump shot from 25 ft,101,94
409,4,2:21.0,,Offensive rebound by D. Wright,101,94
410,4,2:21.0,,D. Wright makes 2-pt layup at rim,101,96
411,4,2:02.0,Personal foul by J. Valančiūnas (drawn by Z. LaVine),,101,96
412,4,2:02.0,,J. Noah enters the game for J. Valančiūnas,101,96
413,4,1:53.0,Turnover by Z. LaVine (bad pass; steal by M. Conley),,101,96
414,4,1:48.0,,A. Bradley misses 2-pt layup from 1 ft (block by O. Porter),101,96
415,4,1:45.0,Defensive rebound by L. Markkanen,,101,96
416,4,1:33.0,Shooting foul by B. Caboclo (drawn by K. Dunn),,101,96
417,4,1:33.0,K. Dunn makes free throw 1 of 2,,102,96
418,4,1:33.0,K. Dunn makes free throw 2 of 2,,103,96
419,4,1:20.0,,M. Conley makes 3-pt jump shot from 26 ft,103,99
420,4,1:20.0,,Shooting foul by K. Dunn (drawn by M. Conley),103,99
421,4,1:20.0,,M. Conley makes free throw 1 of 1,103,100
422,4,1:04.0,Z. LaVine makes 2-pt jump shot from 18 ft,,105,100
423,4,0:56.0,,Shooting foul by O. Porter (drawn by D. Wright),105,100
424,4,0:56.0,,D. Wright makes free throw 1 of 2,105,101
425,4,0:56.0,,D. Wright makes free throw 2 of 2,105,102
426,4,0:38.0,Z. LaVine misses 3-pt jump shot from 25 ft,,105,102
427,4,0:35.0,,Defensive rebound by J. Noah,105,102
428,4,0:27.0,,Memphis full timeout,105,102
429,4,0:27.0,,J. Holiday enters the game for B. Caboclo,105,102
430,4,0:27.0,,C. Miles enters the game for D. Wright,105,102
431,4,0:20.0,,J. Holiday misses 3-pt jump shot from 27 ft,105,102
432,4,0:18.0,Defensive rebound by L. Markkanen,,105,102
433,4,0:17.0,Personal foul by J. Noah (drawn by L. Markkanen),,105,102
434,4,0:17.0,L. Markkanen misses free throw 1 of 2,,105,102
435,4,0:17.0,Offensive rebound by Team,,105,102
436,4,0:17.0,L. Markkanen makes free throw 2 of 2,,106,102
437,4,0:17.0,,Memphis full timeout,106,102
438,4,0:17.0,,J. Valančiūnas enters the game for J. Noah,106,102
439,4,0:17.0,,Turnover by C. Miles (bad pass),106,102
440,4,0:17.0,Chicago full timeout,,106,102
441,4,0:17.0,W. Selden enters the game for R. Lopez,,106,102
442,4,0:17.0,,J. Noah enters the game for J. Valančiūnas,106,102
443,4,0:13.0,Personal take foul by M. Conley (drawn by O. Porter),,106,102
444,4,0:13.0,O. Porter makes free throw 1 of 2,,107,102
445,4,0:13.0,,J. Valančiūnas enters the game for J. Noah,107,102
446,4,0:13.0,O. Porter misses free throw 2 of 2,,107,102
447,4,0:11.0,,Defensive rebound by J. Valančiūnas,107,102
448,4,0:06.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by M. Conley),107,104
449,4,0:05.0,Personal take foul by J. Valančiūnas (drawn by L. Markkanen),,107,104
450,4,0:05.0,L. Markkanen makes free throw 1 of 2,,108,104
451,4,0:05.0,L. Markkanen makes free throw 2 of 2,,109,104
452,4,0:00.0,,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by M. Conley),109,107
