,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,OKLAHOMA CITY_ACTION,SACRAMENTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,0,0
1,1,11:42.0,,Defensive rebound by R. Westbrook,0,0
2,1,11:28.0,,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),0,3
3,1,11:12.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by D. Fox),,3,3
4,1,11:01.0,,P. Patterson misses 3-pt jump shot from 25 ft,3,3
5,1,10:58.0,Defensive rebound by B. Hield,,3,3
6,1,10:56.0,B. Hield makes 2-pt layup from 2 ft,,5,3
7,1,10:56.0,Shooting foul by P. George (drawn by B. Hield),,5,3
8,1,10:56.0,B. Hield makes free throw 1 of 1,,6,3
9,1,10:42.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by P. George),6,5
10,1,10:29.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),,9,5
11,1,10:19.0,,T. Ferguson misses 2-pt layup from 2 ft,9,5
12,1,10:17.0,Defensive rebound by N. Bjelica,,9,5
13,1,10:09.0,N. Bjelica misses 2-pt dunk from 2 ft (block by S. Adams),,9,5
14,1,10:06.0,,Defensive rebound by P. Patterson,9,5
15,1,10:03.0,,T. Ferguson misses 2-pt layup from 3 ft,9,5
16,1,10:03.0,,Offensive rebound by T. Ferguson,9,5
17,1,10:00.0,,Oklahoma City full timeout,9,5
18,1,9:54.0,,P. Patterson misses 3-pt jump shot from 25 ft,9,5
19,1,9:49.0,Defensive rebound by B. Hield,,9,5
20,1,9:47.0,N. Bjelica makes 2-pt layup from 1 ft (assist by B. Hield),,11,5
21,1,9:38.0,,Shooting foul by B. Hield (drawn by R. Westbrook),11,5
22,1,9:38.0,,R. Westbrook makes free throw 1 of 2,11,6
23,1,9:38.0,,R. Westbrook misses free throw 2 of 2,11,6
24,1,9:36.0,,Offensive rebound by S. Adams,11,6
25,1,9:34.0,,T. Ferguson misses 3-pt jump shot from 25 ft,11,6
26,1,9:31.0,,Offensive rebound by Team,11,6
27,1,9:24.0,,R. Westbrook makes 2-pt jump shot from 10 ft,11,8
28,1,9:07.0,Turnover by D. Fox (lost ball; steal by T. Ferguson),,11,8
29,1,9:04.0,,P. George misses 3-pt jump shot from 24 ft,11,8
30,1,9:01.0,Defensive rebound by N. Bjelica,,11,8
31,1,8:53.0,I. Shumpert makes 3-pt jump shot from 25 ft,,14,8
32,1,8:44.0,,P. George makes 2-pt jump shot from 17 ft,14,10
33,1,8:28.0,I. Shumpert makes 3-pt jump shot from 25 ft,,17,10
34,1,8:15.0,,Turnover by P. George (lost ball; steal by W. Cauley-Stein),17,10
35,1,8:12.0,B. Hield misses 3-pt jump shot from 25 ft,,17,10
36,1,8:08.0,,Defensive rebound by S. Adams,17,10
37,1,8:02.0,,S. Adams misses 2-pt layup from 1 ft,17,10
38,1,8:00.0,,Offensive rebound by S. Adams,17,10
39,1,7:59.0,,S. Adams makes 2-pt dunk at rim,17,12
40,1,7:50.0,Turnover by D. Fox (lost ball; steal by S. Adams),,17,12
41,1,7:37.0,,T. Ferguson misses 3-pt jump shot from 23 ft,17,12
42,1,7:34.0,,Offensive rebound by S. Adams,17,12
43,1,7:32.0,,P. George misses 3-pt jump shot from 22 ft,17,12
44,1,7:32.0,,Offensive rebound by Team,17,12
45,1,7:32.0,Loose ball foul by D. Fox (drawn by T. Ferguson),,17,12
46,1,7:32.0,,J. Grant enters the game for P. Patterson,17,12
47,1,7:22.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by J. Grant),17,15
48,1,7:09.0,D. Fox makes 2-pt jump shot from 9 ft (assist by N. Bjelica),,19,15
49,1,6:58.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),19,17
50,1,6:43.0,I. Shumpert misses 3-pt jump shot from 25 ft,,19,17
51,1,6:41.0,,Defensive rebound by R. Westbrook,19,17
52,1,6:37.0,,Turnover by R. Westbrook (bad pass; steal by I. Shumpert),19,17
53,1,6:29.0,B. Hield makes 2-pt layup from 1 ft,,21,17
54,1,6:18.0,,J. Grant misses 3-pt jump shot from 25 ft,21,17
55,1,6:16.0,,Offensive rebound by Team,21,17
56,1,6:16.0,Loose ball foul by W. Cauley-Stein (drawn by S. Adams),,21,17
57,1,6:16.0,H. Giles enters the game for W. Cauley-Stein,,21,17
58,1,6:06.0,,J. Grant makes 2-pt layup from 2 ft,21,19
59,1,5:48.0,Shooting foul by P. George (drawn by I. Shumpert),,21,19
60,1,5:48.0,I. Shumpert makes free throw 1 of 3,,22,19
61,1,5:48.0,I. Shumpert misses free throw 2 of 3,,22,19
62,1,5:48.0,Offensive rebound by Team,,22,19
63,1,5:48.0,M. Bagley enters the game for B. Hield,,22,19
64,1,5:48.0,,D. Schröder enters the game for T. Ferguson,22,19
65,1,5:48.0,I. Shumpert makes free throw 3 of 3,,23,19
66,1,5:38.0,,R. Westbrook misses 2-pt layup from 1 ft (block by H. Giles),23,19
67,1,5:33.0,,Offensive rebound by R. Westbrook,23,19
68,1,5:28.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),23,21
69,1,5:15.0,Turnover by I. Shumpert (bad pass),,23,21
70,1,5:05.0,,P. George misses 2-pt jump shot from 6 ft,23,21
71,1,5:04.0,,Offensive rebound by S. Adams,23,21
72,1,5:04.0,,S. Adams misses 2-pt layup at rim,23,21
73,1,5:02.0,,Offensive rebound by Team,23,21
74,1,5:02.0,,Personal foul by N. Bjelica (drawn by P. George),23,21
75,1,4:53.0,,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),23,23
