,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHILADELPHIA_ACTION,LA LAKERS_SCORE,PHILADELPHIA_SCORE
381,4,9:10.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Bullock),,102,118
382,4,8:43.0,,Turnover by J. Embiid (bad pass; steal by K. Caldwell-Pope),102,118
383,4,8:25.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,102,118
384,4,8:20.0,,Defensive rebound by J. Embiid,102,118
385,4,8:11.0,,M. Scott misses 3-pt jump shot from 26 ft,102,118
386,4,8:08.0,Defensive rebound by L. James,,102,118
387,4,8:06.0,R. Bullock makes 2-pt layup from 1 ft (assist by L. James),,104,118
388,4,7:43.0,,J. Butler makes 2-pt dunk from 1 ft (assist by J. Embiid),104,120
389,4,7:25.0,L. James makes 2-pt layup from 2 ft,,106,120
390,4,7:11.0,,M. Scott misses 3-pt jump shot from 24 ft,106,120
391,4,7:07.0,Defensive rebound by K. Caldwell-Pope,,106,120
392,4,7:01.0,L. James makes 2-pt jump shot from 21 ft,,108,120
393,4,6:44.0,,Shooting foul by J. McGee (drawn by J. Embiid),108,120
394,4,6:44.0,,J. Embiid makes free throw 1 of 2,108,121
395,4,6:44.0,K. Kuzma enters the game for J. McGee,,108,121
396,4,6:44.0,,T. Harris enters the game for J. Butler,108,121
397,4,6:44.0,,J. Redick enters the game for T. McConnell,108,121
398,4,6:44.0,,B. Simmons enters the game for M. Scott,108,121
399,4,6:44.0,,J. Embiid makes free throw 2 of 2,108,122
400,4,6:33.0,Turnover by L. James (bad pass),,108,122
401,4,6:33.0,,B. Marjanović enters the game for J. Embiid,108,122
402,4,6:21.0,,Def 3 sec tech foul by Team,108,122
403,4,6:21.0,,J. Redick makes technical free throw,108,123
404,4,6:21.0,,M. Scott enters the game for B. Marjanović,108,123
405,4,6:15.0,,Shooting foul by L. James (drawn by B. Simmons),108,123
406,4,6:15.0,,B. Simmons makes free throw 1 of 2,108,124
407,4,6:15.0,,B. Simmons makes free throw 2 of 2,108,125
408,4,6:04.0,Turnover by B. Ingram (bad pass; steal by F. Korkmaz),,108,125
409,4,5:56.0,,M. Scott misses 2-pt jump shot from 2 ft,108,125
410,4,5:51.0,,Offensive rebound by F. Korkmaz,108,125
411,4,5:51.0,,F. Korkmaz makes 2-pt layup at rim,108,127
412,4,5:48.0,K. Kuzma makes 2-pt jump shot from 6 ft (assist by L. James),,110,127
413,4,5:48.0,,Philadelphia full timeout,110,127
414,4,5:37.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by T. Harris),110,130
415,4,5:11.0,L. James misses 2-pt layup from 6 ft (block by B. Simmons),,110,130
416,4,5:07.0,,Defensive rebound by F. Korkmaz,110,130
417,4,4:49.0,,T. Harris misses 3-pt jump shot from 25 ft,110,130
418,4,4:46.0,Defensive rebound by K. Caldwell-Pope,,110,130
419,4,4:42.0,L. James misses 3-pt jump shot from 29 ft,,110,130
420,4,4:38.0,,Defensive rebound by F. Korkmaz,110,130
421,4,4:37.0,,Turnover by F. Korkmaz (bad pass; steal by R. Bullock),110,130
422,4,4:32.0,L. James makes 2-pt layup from 4 ft (assist by R. Bullock),,112,130
423,4,4:13.0,,M. Scott misses 2-pt jump shot from 9 ft,112,130
424,4,4:10.0,Defensive rebound by L. James,,112,130
425,4,4:08.0,,Violation by Team (kicked ball),112,130
426,4,4:08.0,,J. Embiid enters the game for M. Scott,112,130
427,4,4:02.0,K. Kuzma misses 2-pt hook shot from 9 ft (block by T. Harris),,112,130
428,4,3:59.0,,Defensive rebound by F. Korkmaz,112,130
429,4,3:44.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Redick),112,132
430,4,3:33.0,R. Bullock misses 3-pt jump shot from 26 ft,,112,132
431,4,3:29.0,,Defensive rebound by J. Embiid,112,132
432,4,3:20.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by T. Harris),112,134
433,4,3:19.0,LA Lakers full timeout,,112,134
434,4,3:19.0,M. Muscala enters the game for B. Ingram,,112,134
435,4,3:19.0,L. Stephenson enters the game for L. James,,112,134
436,4,3:19.0,M. Wagner enters the game for K. Kuzma,,112,134
437,4,3:19.0,,J. Ennis enters the game for J. Embiid,112,134
438,4,3:19.0,,B. Marjanović enters the game for T. Harris,112,134
439,4,3:19.0,,T. McConnell enters the game for F. Korkmaz,112,134
440,4,3:19.0,,M. Scott enters the game for J. Redick,112,134
441,4,3:19.0,,J. Simmons enters the game for B. Simmons,112,134
442,4,3:05.0,M. Wagner misses 2-pt layup from 2 ft,,112,134
443,4,3:02.0,,Defensive rebound by J. Simmons,112,134
444,4,2:46.0,,T. McConnell makes 2-pt jump shot from 8 ft,112,136
445,4,2:30.0,M. Wagner makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,115,136
446,4,2:06.0,,B. Marjanović makes 2-pt layup from 3 ft (assist by J. Simmons),115,138
447,4,1:44.0,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by L. Stephenson),,117,138
448,4,1:27.0,,J. Ennis misses 2-pt layup from 4 ft (block by R. Bullock),117,138
449,4,1:24.0,Defensive rebound by R. Bullock,,117,138
450,4,1:20.0,Turnover by K. Caldwell-Pope (lost ball; steal by T. McConnell),,117,138
451,4,1:09.0,,J. Simmons makes 2-pt layup from 2 ft,117,140
452,4,1:09.0,,Shooting foul by K. Caldwell-Pope (drawn by J. Simmons),117,140
453,4,1:09.0,,J. Simmons makes free throw 1 of 1,117,141
454,4,0:55.0,Turnover by L. Stephenson (bad pass),,117,141
455,4,0:44.0,,B. Marjanović makes 2-pt jump shot from 12 ft (assist by J. Simmons),117,143
456,4,0:28.0,M. Muscala makes 3-pt jump shot from 23 ft (assist by M. Wagner),,120,143
457,4,0:03.0,,Turnover by Team (shot clock),120,143
