,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
47,1,7:15.0,Shooting foul by J. Winslow (drawn by T. Ariza),,6,17
48,1,7:15.0,T. Ariza makes free throw 1 of 2,,7,17
49,1,7:15.0,T. Ariza makes free throw 2 of 2,,8,17
50,1,6:57.0,,R. McGruder misses 2-pt layup from 2 ft,8,17
51,1,6:54.0,Defensive rebound by J. Green,,8,17
52,1,6:51.0,B. Beal misses 3-pt jump shot from 26 ft,,8,17
53,1,6:48.0,Offensive rebound by I. Mahinmi,,8,17
54,1,6:45.0,I. Mahinmi makes 2-pt layup from 2 ft,,10,17
55,1,6:40.0,,J. Johnson makes 3-pt jump shot from 26 ft (assist by J. Winslow),10,20
56,1,6:24.0,T. Satoranský misses 2-pt jump shot from 8 ft,,10,20
57,1,6:24.0,,Defensive rebound by H. Whiteside,10,20
58,1,6:17.0,,Turnover by J. Richardson (bad pass),10,20
59,1,6:10.0,T. Ariza misses 2-pt layup from 1 ft,,10,20
60,1,6:08.0,,Defensive rebound by J. Richardson,10,20
61,1,6:01.0,,Offensive foul by J. Johnson (drawn by I. Mahinmi),10,20
62,1,6:01.0,,Turnover by J. Johnson (offensive foul),10,20
63,1,5:47.0,B. Beal makes 2-pt jump shot from 15 ft (assist by T. Ariza),,12,20
64,1,5:34.0,,J. Johnson misses 2-pt layup from 2 ft (block by I. Mahinmi),12,20
65,1,5:34.0,,Offensive rebound by Team,12,20
66,1,5:34.0,,D. Wade enters the game for J. Richardson,12,20
67,1,5:25.0,,J. Johnson misses 3-pt jump shot from 26 ft,12,20
68,1,5:24.0,,Offensive rebound by Team,12,20
69,1,5:11.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by J. Winslow),12,22
70,1,5:03.0,T. Ariza makes 2-pt dunk from 1 ft (assist by J. Green),,14,22
71,1,4:45.0,,D. Wade misses 2-pt jump shot from 19 ft,14,22
72,1,4:42.0,Defensive rebound by T. Satoranský,,14,22
73,1,4:25.0,T. Ariza misses 2-pt layup from 1 ft (block by H. Whiteside),,14,22
74,1,4:25.0,Offensive rebound by Team,,14,22
75,1,4:25.0,O. Porter enters the game for J. Green,,14,22
76,1,4:23.0,I. Mahinmi misses 2-pt layup from 4 ft,,14,22
77,1,4:22.0,Offensive rebound by Team,,14,22
78,1,4:22.0,Turnover by Team (shot clock),,14,22
79,1,4:15.0,,Personal foul by I. Mahinmi (drawn by H. Whiteside),14,22
80,1,4:05.0,,R. McGruder misses 3-pt jump shot from 23 ft,14,22
81,1,4:03.0,Defensive rebound by T. Satoranský,,14,22
82,1,4:03.0,Personal take foul by J. Johnson (drawn by T. Satoranský),,14,22
83,1,4:03.0,S. Dekker enters the game for T. Ariza,,14,22
84,1,4:03.0,,T. Johnson enters the game for J. Johnson,14,22
85,1,4:03.0,,D. Jones enters the game for R. McGruder,14,22
86,1,3:46.0,B. Beal makes 2-pt layup from 2 ft,,16,22
87,1,3:26.0,,T. Johnson makes 2-pt jump shot from 10 ft (assist by D. Wade),16,24
88,1,3:15.0,O. Porter misses 3-pt jump shot from 25 ft,,16,24
89,1,3:15.0,,Defensive rebound by H. Whiteside,16,24
90,1,3:09.0,,Miami full timeout,16,24
91,1,3:09.0,C. Randle enters the game for T. Satoranský,,16,24
92,1,2:52.0,,Turnover by D. Wade (bad pass),16,24
93,1,2:38.0,C. Randle misses 3-pt jump shot from 23 ft,,16,24
94,1,2:35.0,,Defensive rebound by H. Whiteside,16,24
95,1,2:25.0,,T. Johnson misses 2-pt jump shot from 11 ft,16,24
96,1,2:22.0,,Offensive rebound by H. Whiteside,16,24
97,1,2:20.0,,H. Whiteside makes 2-pt layup from 11 ft,16,26
98,1,2:11.0,O. Porter misses 3-pt jump shot from 26 ft,,16,26
99,1,2:07.0,Offensive rebound by I. Mahinmi,,16,26
100,1,2:07.0,O. Porter makes 2-pt jump shot from 7 ft (assist by I. Mahinmi),,18,26
101,1,2:07.0,Shooting foul by J. Winslow (drawn by O. Porter),,18,26
102,1,2:07.0,,B. Adebayo enters the game for H. Whiteside,18,26
103,1,2:07.0,,K. Olynyk enters the game for J. Winslow,18,26
104,1,2:07.0,O. Porter misses free throw 1 of 1,,18,26
105,1,2:04.0,,Defensive rebound by K. Olynyk,18,26
106,1,1:45.0,,D. Wade makes 2-pt jump shot from 10 ft,18,28
107,1,1:29.0,I. Mahinmi makes 2-pt layup from 2 ft (assist by C. Randle),,20,28
108,1,1:29.0,Shooting foul by K. Olynyk (drawn by I. Mahinmi),,20,28
109,1,1:29.0,I. Mahinmi misses free throw 1 of 1,,20,28
110,1,1:25.0,,Defensive rebound by D. Jones,20,28
111,1,1:19.0,,D. Wade misses 2-pt layup from 3 ft (block by I. Mahinmi),20,28
112,1,1:19.0,,Offensive rebound by Team,20,28
113,1,1:10.0,,Turnover by D. Wade (bad pass; steal by I. Mahinmi),20,28
114,1,1:04.0,Personal foul by D. Jones (drawn by B. Beal),,20,28
115,1,1:04.0,B. Beal makes free throw 1 of 2,,21,28
116,1,1:04.0,B. Beal makes free throw 2 of 2,,22,28
117,1,0:54.0,,B. Adebayo makes 2-pt jump shot from 13 ft (assist by T. Johnson),22,30
118,1,0:40.0,C. Randle makes 2-pt jump shot from 7 ft (assist by B. Beal),,24,30
119,1,0:35.0,,Personal foul by I. Mahinmi (drawn by D. Wade),24,30
120,1,0:35.0,,D. Wade misses free throw 1 of 2,24,30
121,1,0:35.0,,Offensive rebound by Team,24,30
122,1,0:35.0,J. Green enters the game for I. Mahinmi,,24,30
123,1,0:35.0,,D. Wade makes free throw 2 of 2,24,31
124,1,0:29.0,B. Beal misses 2-pt jump shot from 8 ft,,24,31
125,1,0:28.0,,Defensive rebound by B. Adebayo,24,31
126,1,0:09.0,,D. Wade misses 3-pt jump shot from 25 ft,24,31
127,1,0:06.0,Defensive rebound by S. Dekker,,24,31
128,1,0:02.0,O. Porter misses 3-pt jump shot from 24 ft,,24,31
129,1,0:01.0,Offensive rebound by S. Dekker,,24,31
130,1,0:00.0,S. Dekker misses 2-pt layup from 1 ft,,24,31
131,1,0:00.0,Offensive rebound by Team,,24,31
132,2,11:46.0,J. Green misses 2-pt jump shot from 12 ft,,24,31
133,2,11:42.0,,Defensive rebound by D. Jones,24,31
134,2,11:37.0,,T. Johnson misses 3-pt jump shot from 28 ft,24,31
135,2,11:35.0,Defensive rebound by O. Porter,,24,31
136,2,11:28.0,C. Randle makes 3-pt jump shot from 25 ft,,27,31
137,2,11:13.0,,Turnover by T. Johnson (bad pass; steal by S. Dekker),27,31
138,2,10:55.0,O. Porter makes 2-pt dunk from 1 ft (assist by T. Ariza),,29,31
139,2,10:33.0,,K. Olynyk makes 3-pt jump shot from 24 ft (assist by B. Adebayo),29,34
140,2,10:09.0,C. Randle misses 3-pt jump shot from 22 ft,,29,34
141,2,10:07.0,,Defensive rebound by B. Adebayo,29,34
142,2,10:00.0,,K. Olynyk misses 3-pt jump shot from 26 ft,29,34
143,2,9:58.0,Defensive rebound by J. Green,,29,34
144,2,9:52.0,Turnover by J. Green (lost ball; steal by D. Wade),,29,34
145,2,9:39.0,,Personal foul by S. Dekker (drawn by K. Olynyk),29,34
146,2,9:33.0,,K. Olynyk misses 2-pt layup from 4 ft,29,34
147,2,9:30.0,Defensive rebound by O. Porter,,29,34
148,2,9:26.0,S. Dekker misses 2-pt layup from 2 ft (block by B. Adebayo),,29,34
149,2,9:21.0,Offensive rebound by O. Porter,,29,34
150,2,9:20.0,O. Porter makes 2-pt layup from 2 ft,,31,34
151,2,9:06.0,,T. Johnson misses 2-pt layup from 2 ft,31,34
152,2,9:05.0,,Offensive rebound by T. Johnson,31,34
153,2,9:05.0,,T. Johnson misses 2-pt layup from 2 ft,31,34
154,2,9:04.0,,Offensive rebound by T. Johnson,31,34
155,2,9:01.0,,T. Johnson misses 2-pt layup at rim,31,34
156,2,9:00.0,,Offensive rebound by D. Jones,31,34
157,2,8:54.0,,D. Wade misses 3-pt jump shot from 25 ft,31,34
158,2,8:54.0,,Offensive rebound by D. Jones,31,34
159,2,8:44.0,,D. Wade makes 2-pt layup from 2 ft,31,36
160,2,8:31.0,T. Ariza makes 3-pt jump shot from 23 ft,,34,36
161,2,8:10.0,,D. Jones makes 2-pt layup from 1 ft (assist by T. Johnson),34,38
162,2,7:59.0,O. Porter makes 2-pt jump shot from 11 ft (assist by C. Randle),,36,38
163,2,7:59.0,,Miami full timeout,36,38
164,2,7:59.0,B. Beal enters the game for O. Porter,,36,38
165,2,7:59.0,,J. Richardson enters the game for D. Wade,36,38
166,2,7:42.0,,T. Johnson makes 2-pt layup from 3 ft (assist by B. Adebayo),36,40
167,2,7:34.0,Shooting foul by B. Adebayo (drawn by J. Green),,36,40
168,2,7:34.0,J. Green makes free throw 1 of 2,,37,40
169,2,7:34.0,T. Satoranský enters the game for C. Randle,,37,40
170,2,7:34.0,J. Green makes free throw 2 of 2,,38,40
171,2,7:25.0,,J. Richardson misses 3-pt jump shot from 25 ft,38,40
172,2,7:22.0,Defensive rebound by T. Satoranský,,38,40
173,2,7:13.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,41,40
174,2,6:52.0,,Turnover by K. Olynyk (bad pass; steal by T. Ariza),41,40
175,2,6:45.0,Turnover by T. Satoranský (bad pass; steal by T. Johnson),,41,40
176,2,6:39.0,,B. Adebayo misses 2-pt layup from 2 ft,41,40
177,2,6:36.0,,Offensive rebound by B. Adebayo,41,40
178,2,6:33.0,,B. Adebayo makes 2-pt layup from 2 ft,41,42
179,2,6:23.0,T. Ariza misses 3-pt jump shot from 26 ft,,41,42
180,2,6:21.0,,Defensive rebound by T. Johnson,41,42
181,2,6:19.0,,Shooting foul by T. Ariza (drawn by J. Richardson),41,42
182,2,6:19.0,,J. Richardson makes free throw 1 of 2,41,43
183,2,6:19.0,T. Bryant enters the game for S. Dekker,,41,43
184,2,6:19.0,,H. Whiteside enters the game for B. Adebayo,41,43
185,2,6:19.0,,J. Winslow enters the game for K. Olynyk,41,43
186,2,6:19.0,,J. Richardson makes free throw 2 of 2,41,44
187,2,6:12.0,T. Satoranský misses 2-pt layup from 2 ft,,41,44
188,2,6:12.0,Offensive rebound by Team,,41,44
189,2,6:12.0,Personal foul by D. Jones (drawn by T. Bryant),,41,44
190,2,6:04.0,T. Bryant makes 2-pt jump shot from 13 ft (assist by B. Beal),,43,44
191,2,5:51.0,,T. Johnson makes 2-pt layup from 1 ft,43,46
192,2,5:35.0,B. Beal makes 3-pt jump shot from 23 ft (assist by T. Ariza),,46,46
193,2,5:14.0,,Shooting foul by B. Beal (drawn by H. Whiteside),46,46
194,2,5:14.0,,H. Whiteside makes free throw 1 of 2,46,47
195,2,5:14.0,,J. Johnson enters the game for D. Jones,46,47
196,2,5:14.0,,H. Whiteside misses free throw 2 of 2,46,47
197,2,5:12.0,Defensive rebound by T. Bryant,,46,47
198,2,5:01.0,J. Green makes 2-pt jump shot from 12 ft,,48,47
199,2,4:47.0,,T. Johnson misses 3-pt jump shot from 26 ft,48,47
200,2,4:43.0,Defensive rebound by T. Ariza,,48,47
201,2,4:27.0,T. Bryant makes 2-pt jump shot from 4 ft (assist by J. Green),,50,47
202,2,4:10.0,,H. Whiteside makes 2-pt dunk from 1 ft,50,49
203,2,4:08.0,,Violation by Team (delay of game),50,49
204,2,3:51.0,B. Beal makes 2-pt jump shot from 4 ft,,52,49
205,2,3:40.0,,Shooting foul by T. Satoranský (drawn by J. Winslow),52,49
206,2,3:40.0,,J. Winslow misses free throw 1 of 2,52,49
207,2,3:40.0,,Offensive rebound by Team,52,49
208,2,3:40.0,,R. McGruder enters the game for T. Johnson,52,49
209,2,3:40.0,,J. Winslow makes free throw 2 of 2,52,50
210,2,3:34.0,T. Ariza misses 3-pt jump shot from 24 ft,,52,50
211,2,3:34.0,,Defensive rebound by Team,52,50
212,2,3:21.0,,J. Richardson makes 2-pt layup from 2 ft (assist by J. Winslow),52,52
213,2,3:09.0,B. Beal misses 2-pt jump shot from 1 ft,,52,52
214,2,3:06.0,,Defensive rebound by H. Whiteside,52,52
215,2,3:01.0,,J. Richardson misses 3-pt jump shot from 23 ft,52,52
216,2,2:59.0,Defensive rebound by T. Bryant,,52,52
217,2,2:49.0,T. Bryant makes 2-pt layup from 2 ft (assist by B. Beal),,54,52
218,2,2:42.0,,R. McGruder makes 2-pt layup from 1 ft (assist by J. Winslow),54,54
219,2,2:42.0,Washington full timeout,,54,54
220,2,2:26.0,B. Beal misses 3-pt jump shot from 26 ft,,54,54
221,2,2:24.0,,Defensive rebound by J. Winslow,54,54
222,2,2:14.0,,H. Whiteside misses 2-pt hook shot from 7 ft,54,54
223,2,2:12.0,Defensive rebound by B. Beal,,54,54
224,2,2:05.0,B. Beal misses 3-pt jump shot from 25 ft,,54,54
225,2,2:03.0,,Defensive rebound by H. Whiteside,54,54
226,2,1:51.0,,J. Winslow makes 2-pt layup from 2 ft,54,56
227,2,1:36.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,57,56
228,2,1:15.0,,J. Richardson makes 2-pt layup from 2 ft (assist by J. Winslow),57,58
229,2,0:54.0,B. Beal misses 2-pt layup from 2 ft (block by H. Whiteside),,57,58
230,2,0:54.0,,Defensive rebound by Team,57,58
231,2,0:54.0,Loose ball foul by T. Bryant (drawn by J. Winslow),,57,58
232,2,0:54.0,,J. Winslow makes free throw 1 of 2,57,59
233,2,0:54.0,O. Porter enters the game for T. Bryant,,57,59
234,2,0:54.0,,D. Jones enters the game for J. Johnson,57,59
235,2,0:54.0,,J. Winslow misses free throw 2 of 2,57,59
236,2,0:53.0,Defensive rebound by Team,,57,59
237,2,0:53.0,Personal foul by J. Richardson (drawn by O. Porter),,57,59
238,2,0:33.0,Shooting foul by D. Jones (drawn by B. Beal),,57,59
239,2,0:33.0,B. Beal misses free throw 1 of 2,,57,59
240,2,0:33.0,Offensive rebound by Team,,57,59
241,2,0:33.0,,T. Johnson enters the game for D. Jones,57,59
242,2,0:33.0,B. Beal makes free throw 2 of 2,,58,59
243,2,0:18.0,,H. Whiteside makes 2-pt hook shot from 4 ft (assist by J. Winslow),58,61
244,2,0:03.0,J. Green misses 2-pt jump shot from 7 ft,,58,61
245,2,0:02.0,Offensive rebound by O. Porter,,58,61
246,2,0:01.0,O. Porter misses 2-pt layup from 1 ft,,58,61
247,2,0:00.0,Offensive rebound by Team,,58,61
248,3,11:45.0,T. Ariza misses 3-pt jump shot from 25 ft,,58,61
249,3,11:42.0,,Defensive rebound by H. Whiteside,58,61
250,3,11:22.0,,H. Whiteside misses 2-pt hook shot from 10 ft,58,61
251,3,11:20.0,Defensive rebound by T. Bryant,,58,61
252,3,11:06.0,T. Satoranský makes 2-pt jump shot from 18 ft,,60,61
253,3,10:49.0,,J. Johnson misses 3-pt jump shot from 23 ft,60,61
254,3,10:47.0,Defensive rebound by T. Satoranský,,60,61
255,3,10:39.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Green),,63,61
256,3,10:26.0,,R. McGruder makes 3-pt jump shot from 26 ft (assist by J. Winslow),63,64
257,3,10:03.0,B. Beal makes 3-pt jump shot from 24 ft,,66,64
258,3,9:52.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Winslow),66,66
259,3,9:34.0,T. Bryant makes 2-pt jump shot from 19 ft (assist by T. Ariza),,68,66
260,3,9:20.0,,H. Whiteside misses 2-pt jump shot from 8 ft,68,66
261,3,9:18.0,Defensive rebound by T. Bryant,,68,66
262,3,9:12.0,B. Beal misses 3-pt jump shot from 25 ft,,68,66
263,3,9:10.0,,Defensive rebound by J. Johnson,68,66
264,3,9:00.0,,J. Richardson makes 2-pt layup from 2 ft,68,68
265,3,8:38.0,Turnover by B. Beal (bad pass; steal by H. Whiteside),,68,68
266,3,8:28.0,,J. Johnson makes 2-pt dunk at rim (assist by J. Richardson),68,70
267,3,8:06.0,Shooting foul by R. McGruder (drawn by B. Beal),,68,70
268,3,8:06.0,B. Beal misses free throw 1 of 3,,68,70
269,3,8:06.0,Offensive rebound by Team,,68,70
270,3,8:06.0,B. Beal makes free throw 2 of 3,,69,70
271,3,8:06.0,B. Beal makes free throw 3 of 3,,70,70
272,3,7:54.0,,R. McGruder misses 2-pt layup from 1 ft,70,70
273,3,7:53.0,,Offensive rebound by H. Whiteside,70,70
274,3,7:52.0,,H. Whiteside makes 2-pt dunk from 1 ft,70,72
275,3,7:31.0,T. Bryant makes 2-pt dunk from 1 ft (assist by B. Beal),,72,72
276,3,7:14.0,,H. Whiteside misses 2-pt jump shot from 19 ft,72,72
277,3,7:12.0,Defensive rebound by J. Green,,72,72
278,3,7:07.0,B. Beal misses 2-pt jump shot from 9 ft,,72,72
279,3,7:06.0,Offensive rebound by B. Beal,,72,72
280,3,7:05.0,B. Beal misses 2-pt layup from 4 ft,,72,72
281,3,7:04.0,,Defensive rebound by H. Whiteside,72,72
282,3,6:56.0,,J. Johnson misses 2-pt layup from 1 ft,72,72
283,3,6:53.0,Defensive rebound by T. Bryant,,72,72
284,3,6:34.0,T. Bryant misses 2-pt jump shot from 16 ft,,72,72
285,3,6:32.0,,Defensive rebound by J. Johnson,72,72
286,3,6:24.0,,J. Johnson makes 3-pt jump shot from 26 ft (assist by R. McGruder),72,75
287,3,5:55.0,J. Green makes 2-pt jump shot from 12 ft,,74,75
288,3,5:45.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by J. Winslow),74,78
289,3,5:45.0,Washington full timeout,,74,78
290,3,5:45.0,,D. Wade enters the game for J. Richardson,74,78
291,3,5:35.0,J. Green makes 2-pt dunk from 1 ft (assist by T. Satoranský),,76,78
292,3,5:17.0,,R. McGruder misses 3-pt jump shot from 23 ft,76,78
293,3,5:13.0,Defensive rebound by J. Green,,76,78
294,3,5:08.0,Shooting foul by R. McGruder (drawn by B. Beal),,76,78
295,3,5:08.0,B. Beal makes free throw 1 of 2,,77,78
296,3,5:08.0,O. Porter enters the game for J. Green,,77,78
297,3,5:08.0,B. Beal makes free throw 2 of 2,,78,78
298,3,4:45.0,,J. Winslow misses 2-pt jump shot from 11 ft,78,78
299,3,4:44.0,,Offensive rebound by H. Whiteside,78,78
300,3,4:38.0,,H. Whiteside makes 2-pt dunk at rim,78,80
301,3,4:32.0,B. Beal makes 2-pt layup from 1 ft,,80,80
302,3,4:24.0,,Turnover by H. Whiteside (bad pass),80,80
303,3,4:24.0,,J. Richardson enters the game for R. McGruder,80,80
304,3,4:12.0,B. Beal misses 2-pt jump shot from 12 ft,,80,80
305,3,4:12.0,Offensive rebound by B. Beal,,80,80
306,3,4:07.0,T. Ariza misses 3-pt jump shot from 26 ft,,80,80
307,3,4:04.0,,Defensive rebound by H. Whiteside,80,80
308,3,3:54.0,,J. Winslow makes 2-pt layup from 1 ft (assist by J. Richardson),80,82
309,3,3:37.0,T. Satoranský misses 2-pt jump shot from 11 ft,,80,82
310,3,3:35.0,,Defensive rebound by H. Whiteside,80,82
311,3,3:22.0,,Shooting foul by T. Satoranský (drawn by J. Johnson),80,82
312,3,3:22.0,,J. Johnson makes free throw 1 of 2,80,83
313,3,3:22.0,S. Dekker enters the game for T. Ariza,,80,83
314,3,3:22.0,C. Randle enters the game for T. Satoranský,,80,83
315,3,3:22.0,,J. Johnson makes free throw 2 of 2,80,84
316,3,2:59.0,S. Dekker makes 2-pt dunk from 1 ft (assist by C. Randle),,82,84
317,3,2:42.0,,D. Wade misses 3-pt jump shot from 23 ft,82,84
318,3,2:40.0,Defensive rebound by B. Beal,,82,84
319,3,2:33.0,O. Porter misses 3-pt jump shot from 25 ft,,82,84
320,3,2:31.0,,Defensive rebound by J. Richardson,82,84
321,3,2:20.0,,Turnover by J. Johnson (bad pass; steal by O. Porter),82,84
322,3,2:17.0,Turnover by B. Beal (out of bounds lost ball),,82,84
323,3,2:17.0,,Miami full timeout,82,84
324,3,2:17.0,I. Mahinmi enters the game for T. Bryant,,82,84
325,3,2:17.0,,B. Adebayo enters the game for H. Whiteside,82,84
326,3,2:17.0,,T. Johnson enters the game for J. Winslow,82,84
327,3,2:06.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Wade),82,86
328,3,1:38.0,C. Randle misses 2-pt layup from 1 ft (block by T. Johnson),,82,86
329,3,1:38.0,Offensive rebound by Team,,82,86
330,3,1:38.0,Turnover by Team (shot clock),,82,86
331,3,1:38.0,T. Ariza enters the game for B. Beal,,82,86
332,3,1:20.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),82,89
333,3,1:05.0,T. Ariza misses 3-pt jump shot from 23 ft,,82,89
334,3,1:03.0,,Defensive rebound by Team,82,89
335,3,0:53.0,,B. Adebayo makes 2-pt layup from 4 ft (assist by D. Wade),82,91
336,3,0:43.0,Shooting foul by B. Adebayo (drawn by T. Ariza),,82,91
337,3,0:43.0,T. Ariza makes free throw 1 of 2,,83,91
338,3,0:43.0,T. Ariza makes free throw 2 of 2,,84,91
339,3,0:35.0,,Shooting foul by I. Mahinmi (drawn by B. Adebayo),84,91
340,3,0:35.0,,B. Adebayo makes free throw 1 of 2,84,92
341,3,0:35.0,,B. Adebayo makes free throw 2 of 2,84,93
342,3,0:19.0,T. Ariza misses 2-pt layup from 1 ft,,84,93
343,3,0:16.0,,Defensive rebound by D. Wade,84,93
344,3,0:14.0,,J. Johnson makes 2-pt dunk from 2 ft (assist by D. Wade),84,95
345,3,0:06.0,C. Randle misses 3-pt jump shot from 25 ft,,84,95
346,3,0:05.0,Offensive rebound by S. Dekker,,84,95
347,3,0:01.0,O. Porter makes 2-pt jump shot from 17 ft (assist by T. Ariza),,86,95
348,4,11:49.0,,T. Johnson misses 2-pt jump shot from 5 ft,86,95
349,4,11:48.0,,Offensive rebound by B. Adebayo,86,95
350,4,11:47.0,,B. Adebayo misses 2-pt layup from 1 ft,86,95
351,4,11:46.0,,Offensive rebound by Team,86,95
352,4,11:42.0,,Turnover by T. Johnson (bad pass; steal by O. Porter),86,95
353,4,11:36.0,T. Ariza misses 2-pt layup from 1 ft (block by J. Richardson),,86,95
354,4,11:32.0,,Defensive rebound by B. Adebayo,86,95
355,4,11:29.0,,Turnover by B. Adebayo (bad pass; steal by S. Dekker),86,95
356,4,11:16.0,O. Porter misses 2-pt jump shot from 12 ft,,86,95
357,4,11:13.0,,Defensive rebound by D. Wade,86,95
358,4,11:08.0,,J. Richardson misses 3-pt jump shot from 25 ft,86,95
359,4,11:06.0,Defensive rebound by I. Mahinmi,,86,95
360,4,10:49.0,S. Dekker makes 2-pt layup from 3 ft (assist by O. Porter),,88,95
361,4,10:27.0,,B. Adebayo misses 2-pt hook shot from 6 ft,88,95
362,4,10:24.0,Defensive rebound by O. Porter,,88,95
363,4,10:19.0,Turnover by O. Porter (lost ball; steal by D. Jones),,88,95
364,4,10:15.0,,D. Wade makes 2-pt layup from 1 ft (assist by B. Adebayo),88,97
365,4,9:58.0,O. Porter makes 2-pt jump shot from 18 ft,,90,97
366,4,9:41.0,,Turnover by D. Jones (step out of bounds),90,97
367,4,9:41.0,B. Beal enters the game for C. Randle,,90,97
368,4,9:30.0,Turnover by B. Beal (bad pass; steal by T. Johnson),,90,97
369,4,9:16.0,,J. Richardson misses 2-pt jump shot from 12 ft,90,97
370,4,9:16.0,,Offensive rebound by Team,90,97
371,4,9:16.0,Loose ball foul by S. Dekker (drawn by B. Adebayo),,90,97
372,4,9:15.0,,Personal foul by I. Mahinmi (drawn by B. Adebayo),90,97
373,4,9:02.0,,J. Richardson misses 3-pt jump shot from 25 ft,90,97
374,4,9:00.0,,Offensive rebound by B. Adebayo,90,97
375,4,9:00.0,Technical foul by I. Mahinmi,,90,97
376,4,9:00.0,,J. Richardson makes technical free throw,90,98
377,4,9:00.0,T. Bryant enters the game for I. Mahinmi,,90,98
378,4,8:48.0,,J. Richardson makes 2-pt jump shot from 19 ft (assist by B. Adebayo),90,100
379,4,8:35.0,T. Ariza misses 2-pt layup from 2 ft (block by D. Wade),,90,100
380,4,8:34.0,Offensive rebound by O. Porter,,90,100
381,4,8:30.0,O. Porter makes 2-pt layup from 2 ft,,92,100
382,4,8:23.0,,Personal foul by O. Porter (drawn by B. Adebayo),92,100
383,4,8:23.0,T. Satoranský enters the game for O. Porter,,92,100
