,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,UTAH_ACTION,MILWAUKEE_SCORE,UTAH_SCORE
376,3,2:02.0,,R. Gobert enters the game for D. Favors,72,71
377,3,2:02.0,,J. Ingles enters the game for D. Mitchell,72,71
378,3,2:02.0,P. Connaughton makes free throw 2 of 2,,73,71
379,3,1:46.0,,T. Sefolosha misses 2-pt layup from 3 ft,73,71
380,3,1:45.0,Defensive rebound by Team,,73,71
381,3,1:33.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,73,71
382,3,1:29.0,G. Antetokounmpo makes 2-pt layup at rim,,75,71
383,3,1:29.0,Offensive rebound by G. Antetokounmpo,,75,71
384,3,1:18.0,,R. Rubio misses 3-pt jump shot from 25 ft,75,71
385,3,1:15.0,Defensive rebound by P. Connaughton,,75,71
386,3,1:09.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,78,71
387,3,0:56.0,,T. Sefolosha makes 2-pt layup from 3 ft (assist by J. Ingles),78,73
388,3,0:43.0,P. Connaughton misses 3-pt jump shot from 25 ft,,78,73
389,3,0:40.0,,Defensive rebound by R. Gobert,78,73
390,3,0:19.0,,Shooting foul by P. Connaughton (drawn by R. Gobert),78,73
391,3,0:19.0,,Offensive rebound by Team,78,73
392,3,0:19.0,,R. Gobert misses free throw 1 of 2,78,73
393,3,0:19.0,E. İlyasova enters the game for C. Wood,,78,73
394,3,0:19.0,,R. Gobert misses free throw 2 of 2,78,73
395,3,0:17.0,Defensive rebound by N. Mirotić,,78,73
396,3,0:00.0,E. İlyasova misses 3-pt jump shot from 24 ft,,78,73
397,3,0:00.0,Offensive rebound by Team,,78,73
398,4,11:48.0,N. Mirotić misses 3-pt jump shot from 25 ft,,78,73
399,4,11:45.0,Offensive rebound by E. İlyasova,,78,73
400,4,11:34.0,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,81,73
401,4,11:17.0,,K. Korver misses 3-pt jump shot from 24 ft,81,73
402,4,11:13.0,Defensive rebound by N. Mirotić,,81,73
403,4,11:04.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,83,73
404,4,10:49.0,,Shooting foul by G. Antetokounmpo (drawn by R. Gobert),83,73
405,4,10:49.0,,Offensive rebound by Team,83,73
406,4,10:49.0,,R. Gobert misses free throw 1 of 2,83,73
407,4,10:49.0,,R. Gobert misses free throw 2 of 2,83,73
408,4,10:48.0,Defensive rebound by N. Mirotić,,83,73
409,4,10:34.0,G. Antetokounmpo makes 2-pt hook shot from 10 ft,,85,73
410,4,10:21.0,,Turnover by R. Gobert (lost ball; steal by G. Antetokounmpo),85,73
411,4,10:17.0,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,88,73
412,4,10:15.0,,Utah full timeout,88,73
413,4,10:15.0,,J. Crowder enters the game for R. Gobert,88,73
414,4,10:15.0,,D. Favors enters the game for R. Rubio,88,73
415,4,10:15.0,,D. Mitchell enters the game for T. Sefolosha,88,73
416,4,9:59.0,,J. Crowder misses 3-pt jump shot from 22 ft,88,73
417,4,9:56.0,Defensive rebound by N. Mirotić,,88,73
418,4,9:39.0,P. Connaughton makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,90,73
419,4,9:26.0,,Personal foul by N. Mirotić (drawn by D. Favors),90,73
420,4,9:18.0,,J. Ingles makes 2-pt jump shot from 23 ft (assist by D. Mitchell),90,75
421,4,9:03.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,90,75
422,4,8:59.0,,Defensive rebound by J. Crowder,90,75
423,4,8:41.0,,D. Favors makes 2-pt jump shot from 11 ft (assist by J. Ingles),90,77
424,4,8:16.0,E. İlyasova misses 2-pt jump shot from 20 ft,,90,77
425,4,8:12.0,,Defensive rebound by D. Favors,90,77
426,4,8:10.0,,D. Mitchell makes 3-pt jump shot from 25 ft,90,80
427,4,8:08.0,Milwaukee full timeout,,90,80
428,4,8:08.0,K. Middleton enters the game for G. Antetokounmpo,,90,80
429,4,7:55.0,T. Snell misses 3-pt jump shot from 22 ft,,90,80
430,4,7:53.0,,Defensive rebound by J. Crowder,90,80
431,4,7:45.0,,D. Mitchell makes 2-pt dunk from 2 ft,90,82
432,4,7:21.0,E. İlyasova makes 2-pt layup from 3 ft (assist by T. Snell),,92,82
433,4,7:06.0,,D. Mitchell makes 2-pt layup from 3 ft,92,84
434,4,7:04.0,,Violation by Team (delay of game),92,84
435,4,6:51.0,K. Middleton misses 2-pt jump shot from 10 ft,,92,84
436,4,6:49.0,,Defensive rebound by D. Favors,92,84
437,4,6:42.0,,D. Mitchell misses 2-pt jump shot from 23 ft,92,84
438,4,6:38.0,,Offensive rebound by D. Favors,92,84
439,4,6:36.0,,D. Favors makes 2-pt layup from 2 ft,92,86
440,4,6:19.0,E. İlyasova misses 2-pt jump shot from 8 ft (block by D. Favors),,92,86
441,4,6:17.0,Offensive rebound by P. Connaughton,,92,86
442,4,6:15.0,T. Snell misses 3-pt jump shot from 25 ft,,92,86
443,4,6:13.0,,Defensive rebound by D. Favors,92,86
444,4,6:07.0,,K. Korver makes 2-pt jump shot from 23 ft (assist by D. Mitchell),92,88
445,4,5:51.0,N. Mirotić misses 3-pt jump shot from 28 ft,,92,88
446,4,5:48.0,,Defensive rebound by K. Korver,92,88
447,4,5:39.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),92,90
448,4,5:23.0,K. Middleton makes 3-pt jump shot from 26 ft,,95,90
449,4,5:05.0,,D. Favors makes 2-pt layup from 3 ft (assist by J. Ingles),95,92
450,4,5:05.0,,Shooting foul by E. İlyasova (drawn by D. Favors),95,92
451,4,5:05.0,G. Antetokounmpo enters the game for E. İlyasova,,95,92
452,4,5:05.0,B. Lopez enters the game for N. Mirotić,,95,92
453,4,5:05.0,,D. Favors makes free throw 1 of 1,95,93
454,4,4:49.0,K. Middleton misses 3-pt jump shot from 26 ft,,95,93
455,4,4:46.0,,Defensive rebound by K. Korver,95,93
456,4,4:36.0,,D. Mitchell makes 2-pt jump shot from 13 ft,95,95
457,4,4:24.0,G. Antetokounmpo makes 2-pt hook shot from 8 ft,,97,95
458,4,4:07.0,,D. Mitchell makes 2-pt jump shot from 10 ft,97,97
459,4,3:56.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft,,100,97
460,4,3:54.0,,Utah full timeout,100,97
461,4,3:40.0,,D. Mitchell misses 2-pt jump shot from 7 ft,100,97
462,4,3:38.0,,D. Favors makes 2-pt layup from 1 ft,100,99
463,4,3:38.0,,Offensive rebound by D. Favors,100,99
464,4,3:25.0,G. Antetokounmpo misses 2-pt hook shot from 5 ft,,100,99
465,4,3:23.0,,Defensive rebound by K. Korver,100,99
466,4,3:19.0,,J. Crowder makes 2-pt jump shot from 21 ft (assist by D. Mitchell),100,101
467,4,2:58.0,K. Middleton misses 2-pt layup from 4 ft,,100,101
468,4,2:56.0,,Defensive rebound by K. Korver,100,101
469,4,2:44.0,,D. Mitchell misses 2-pt layup from 4 ft,100,101
470,4,2:43.0,,Offensive rebound by D. Favors,100,101
471,4,2:38.0,,J. Crowder misses 3-pt jump shot from 25 ft,100,101
472,4,2:31.0,Defensive rebound by P. Connaughton,,100,101
473,4,2:25.0,Shooting foul by J. Crowder (drawn by K. Middleton),,100,101
474,4,2:25.0,K. Middleton makes free throw 1 of 2,,101,101
475,4,2:25.0,E. İlyasova enters the game for B. Lopez,,101,101
476,4,2:25.0,K. Middleton makes free throw 2 of 2,,102,101
477,4,2:14.0,,Turnover by D. Favors (lost ball; steal by K. Middleton),102,101
478,4,2:09.0,E. İlyasova misses 3-pt jump shot from 24 ft,,102,101
479,4,2:05.0,,Defensive rebound by D. Mitchell,102,101
480,4,2:01.0,,J. Ingles makes 2-pt layup from 3 ft (assist by J. Crowder),102,103
481,4,1:46.0,K. Middleton misses 2-pt jump shot from 16 ft,,102,103
482,4,1:43.0,,Defensive rebound by D. Favors,102,103
483,4,1:29.0,,D. Mitchell makes 3-pt jump shot from 26 ft,102,106
484,4,1:21.0,Shooting foul by D. Favors (drawn by G. Antetokounmpo),,102,106
485,4,1:21.0,Offensive rebound by Team,,102,106
486,4,1:21.0,G. Antetokounmpo misses free throw 1 of 2,,102,106
487,4,1:21.0,G. Antetokounmpo makes free throw 2 of 2,,103,106
488,4,1:07.0,,J. Ingles makes 2-pt layup from 4 ft,103,108
489,4,0:59.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,105,108
490,4,0:43.0,,D. Mitchell makes 3-pt jump shot from 28 ft,105,111
491,4,0:42.0,Milwaukee full timeout,,105,111
492,4,0:42.0,B. Lopez enters the game for E. İlyasova,,105,111
493,4,0:42.0,N. Mirotić enters the game for T. Snell,,105,111
494,4,0:41.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,108,111
495,4,0:20.0,,Shooting foul by K. Middleton (drawn by D. Favors),108,111
496,4,0:20.0,,D. Favors makes free throw 1 of 2,108,112
497,4,0:20.0,,R. O'Neale enters the game for K. Korver,108,112
498,4,0:20.0,,D. Favors makes free throw 2 of 2,108,113
499,4,0:16.0,Personal foul by D. Favors (drawn by G. Antetokounmpo),,108,113
500,4,0:16.0,G. Antetokounmpo makes free throw 1 of 2,,109,113
501,4,0:16.0,T. Snell enters the game for B. Lopez,,109,113
502,4,0:16.0,,K. Korver enters the game for R. O'Neale,109,113
503,4,0:16.0,G. Antetokounmpo makes free throw 2 of 2,,110,113
504,4,0:12.0,,Personal foul by P. Connaughton (drawn by D. Mitchell),110,113
505,4,0:12.0,,D. Mitchell misses free throw 1 of 2,110,113
506,4,0:12.0,,Offensive rebound by Team,110,113
507,4,0:12.0,B. Lopez enters the game for T. Snell,,110,113
508,4,0:12.0,,R. O'Neale enters the game for K. Korver,110,113
509,4,0:12.0,,D. Mitchell misses free throw 2 of 2,110,113
510,4,0:09.0,Defensive rebound by G. Antetokounmpo,,110,113
511,4,0:09.0,Personal foul by D. Favors (drawn by G. Antetokounmpo),,110,113
512,4,0:09.0,Offensive rebound by Team,,110,113
513,4,0:09.0,G. Antetokounmpo misses free throw 1 of 2,,110,113
514,4,0:09.0,T. Snell enters the game for B. Lopez,,110,113
515,4,0:09.0,,R. Gobert enters the game for J. Crowder,110,113
516,4,0:09.0,G. Antetokounmpo makes free throw 2 of 2,,111,113
517,4,0:09.0,,Utah full timeout,111,113
518,4,0:09.0,B. Lopez enters the game for T. Snell,,111,113
519,4,0:09.0,,J. Crowder enters the game for R. Gobert,111,113
520,4,0:09.0,,K. Korver enters the game for R. O'Neale,111,113
521,4,0:08.0,,Personal foul by N. Mirotić (drawn by D. Mitchell),111,113
522,4,0:08.0,,D. Mitchell makes free throw 1 of 2,111,114
523,4,0:08.0,,R. O'Neale enters the game for K. Korver,111,114
524,4,0:08.0,,D. Mitchell makes free throw 2 of 2,111,115
525,4,0:04.0,K. Middleton misses 3-pt jump shot from 26 ft,,111,115
526,4,0:01.0,Offensive rebound by G. Antetokounmpo,,111,115
527,4,0:01.0,Shooting foul by R. O'Neale (drawn by G. Antetokounmpo),,111,115
528,4,0:01.0,G. Antetokounmpo misses free throw 1 of 2,,111,115
529,4,0:01.0,Offensive rebound by Team,,111,115
530,4,0:01.0,,R. Gobert enters the game for J. Crowder,111,115
531,4,0:01.0,G. Antetokounmpo misses free throw 2 of 2,,111,115
532,4,0:01.0,Offensive rebound by B. Lopez,,111,115
533,4,0:00.0,Offensive rebound by Team,,111,115
534,4,0:00.0,B. Lopez misses 2-pt layup from 2 ft,,111,115
