,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MINNESOTA_ACTION,PHILADELPHIA_SCORE,MINNESOTA_SCORE
125,2,8:46.0,,G. Dieng misses 2-pt jump shot from 21 ft,46,31
126,2,8:42.0,Defensive rebound by B. Simmons,,46,31
127,2,8:39.0,J. Ennis makes 2-pt layup from 1 ft (assist by B. Simmons),,48,31
128,2,8:36.0,,Shooting foul by B. Simmons (drawn by A. Wiggins),48,31
129,2,8:36.0,,A. Wiggins makes free throw 1 of 2,48,32
130,2,8:36.0,,A. Wiggins makes free throw 2 of 2,48,33
131,2,8:19.0,B. Simmons makes 2-pt layup at rim (assist by T. Harris),,50,33
132,2,8:08.0,,A. Wiggins makes 2-pt hook shot from 7 ft,50,35
133,2,8:05.0,Philadelphia full timeout,,50,35
134,2,8:05.0,J. Butler enters the game for J. Ennis,,50,35
135,2,8:05.0,T. McConnell enters the game for J. Redick,,50,35
136,2,8:05.0,M. Scott enters the game for B. Simmons,,50,35
137,2,7:51.0,Personal foul by K. Bates-Diop (drawn by J. Butler),,50,35
138,2,7:45.0,T. McConnell makes 3-pt jump shot from 23 ft (assist by M. Scott),,53,35
139,2,7:26.0,,Turnover by A. Tolliver (bad pass),53,35
140,2,7:19.0,J. Butler misses 3-pt jump shot from 23 ft,,53,35
141,2,7:16.0,,Defensive rebound by A. Tolliver,53,35
142,2,7:05.0,,G. Dieng makes 2-pt dunk from 1 ft (assist by J. Bayless),53,37
143,2,6:52.0,Personal foul by G. Dieng (drawn by B. Marjanović),,53,37
144,2,6:52.0,,T. Jones enters the game for J. Bayless,53,37
145,2,6:52.0,,D. Šarić enters the game for A. Tolliver,53,37
146,2,6:44.0,B. Marjanović misses 2-pt dunk from 1 ft,,53,37
147,2,6:42.0,,Defensive rebound by A. Wiggins,53,37
148,2,6:30.0,,G. Dieng makes 2-pt jump shot from 20 ft (assist by A. Wiggins),53,39
149,2,6:12.0,T. Harris misses 3-pt jump shot from 25 ft,,53,39
150,2,6:09.0,,Defensive rebound by G. Dieng,53,39
151,2,5:56.0,,G. Dieng makes 3-pt jump shot from 22 ft (assist by A. Wiggins),53,42
152,2,5:43.0,B. Marjanović makes 2-pt dunk from 1 ft (assist by T. McConnell),,55,42
153,2,5:34.0,,T. Jones makes 2-pt jump shot from 11 ft,55,44
154,2,5:15.0,T. Harris makes 2-pt layup from 1 ft (assist by J. Butler),,57,44
155,2,4:57.0,,T. Jones misses 2-pt jump shot from 8 ft,57,44
156,2,4:54.0,Defensive rebound by B. Marjanović,,57,44
157,2,4:49.0,T. Harris misses 2-pt layup from 3 ft (block by A. Wiggins),,57,44
158,2,4:41.0,Offensive rebound by J. Butler,,57,44
159,2,4:41.0,J. Butler makes 2-pt dunk from 1 ft,,59,44
160,2,4:41.0,,Minnesota full timeout,59,44
161,2,4:41.0,J. Bolden enters the game for B. Marjanović,,59,44
162,2,4:41.0,,J. Okogie enters the game for K. Bates-Diop,59,44
163,2,4:41.0,,C. Reynolds enters the game for G. Dieng,59,44
164,2,4:41.0,,K. Towns enters the game for A. Wiggins,59,44
165,2,4:27.0,,C. Reynolds misses 3-pt jump shot from 25 ft,59,44
166,2,4:23.0,Defensive rebound by M. Scott,,59,44
167,2,4:12.0,J. Butler misses 2-pt jump shot from 20 ft,,59,44
168,2,4:09.0,,Defensive rebound by C. Reynolds,59,44
169,2,4:02.0,,K. Towns makes 2-pt layup from 1 ft (assist by T. Jones),59,46
170,2,3:45.0,M. Scott misses 2-pt jump shot from 9 ft,,59,46
171,2,3:43.0,Offensive rebound by J. Bolden,,59,46
172,2,3:39.0,J. Butler misses 2-pt layup from 5 ft,,59,46
173,2,3:36.0,,Defensive rebound by J. Okogie,59,46
174,2,3:30.0,,Shooting foul by M. Scott (drawn by D. Šarić),59,46
175,2,3:30.0,,D. Šarić makes free throw 1 of 2,59,47
176,2,3:30.0,J. Redick enters the game for T. McConnell,,59,47
177,2,3:30.0,B. Simmons enters the game for M. Scott,,59,47
178,2,3:30.0,,D. Šarić makes free throw 2 of 2,59,48
179,2,3:19.0,T. Harris makes 2-pt layup from 2 ft (assist by J. Bolden),,61,48
180,2,3:02.0,,K. Towns misses 2-pt jump shot from 16 ft,61,48
181,2,3:01.0,,Offensive rebound by Team,61,48
182,2,3:01.0,Loose ball foul by J. Redick (drawn by C. Reynolds),,61,48
183,2,3:01.0,,C. Reynolds makes free throw 1 of 2,61,49
184,2,3:01.0,,C. Reynolds makes free throw 2 of 2,61,50
185,2,2:48.0,J. Redick makes 2-pt jump shot from 22 ft (assist by J. Bolden),,63,50
186,2,2:33.0,,J. Okogie misses 2-pt layup from 3 ft,63,50
187,2,2:31.0,Defensive rebound by B. Simmons,,63,50
188,2,2:28.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),,65,50
189,2,2:28.0,Shooting foul by D. Šarić (drawn by J. Butler),,65,50
190,2,2:28.0,,A. Wiggins enters the game for C. Reynolds,65,50
191,2,2:28.0,J. Butler makes free throw 1 of 1,,66,50
192,2,2:11.0,,K. Towns makes 2-pt hook shot from 7 ft,66,52
193,2,1:58.0,J. Bolden misses 2-pt layup from 4 ft (block by A. Wiggins),,66,52
194,2,1:56.0,Offensive rebound by J. Bolden,,66,52
195,2,1:55.0,J. Bolden makes 2-pt layup from 2 ft,,68,52
196,2,1:36.0,,T. Jones misses 3-pt jump shot from 24 ft,68,52
197,2,1:33.0,Defensive rebound by B. Simmons,,68,52
198,2,1:16.0,J. Butler misses 2-pt jump shot from 22 ft,,68,52
199,2,1:13.0,,Defensive rebound by D. Šarić,68,52
200,2,1:07.0,,A. Wiggins misses 3-pt jump shot from 26 ft,68,52
201,2,1:06.0,,Offensive rebound by A. Wiggins,68,52
202,2,0:53.0,,Shooting foul by J. Butler (drawn by K. Towns),68,52
203,2,0:53.0,,K. Towns makes free throw 1 of 2,68,53
204,2,0:53.0,,K. Towns misses free throw 2 of 2,68,53
205,2,0:51.0,Defensive rebound by J. Butler,,68,53
206,2,0:32.0,J. Butler misses 2-pt layup from 2 ft,,68,53
207,2,0:32.0,Offensive rebound by J. Butler,,68,53
208,2,0:27.0,B. Simmons misses 2-pt layup from 1 ft,,68,53
209,2,0:25.0,,Defensive rebound by A. Wiggins,68,53
210,2,0:18.0,,K. Towns makes 2-pt dunk from 1 ft (assist by T. Jones),68,55
211,2,0:00.0,J. Redick misses 3-pt jump shot from 24 ft,,68,55
212,2,0:00.0,Offensive rebound by Team,,68,55
213,3,11:50.0,B. Simmons makes 2-pt layup from 1 ft,,70,55
214,3,11:31.0,,J. Okogie misses 3-pt jump shot from 24 ft,70,55
215,3,11:29.0,Defensive rebound by J. Redick,,70,55
216,3,11:21.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Redick),,72,55
217,3,11:21.0,,Minnesota full timeout,72,55
218,3,11:02.0,,T. Jones misses 2-pt jump shot from 17 ft,72,55
219,3,10:58.0,Defensive rebound by B. Simmons,,72,55
220,3,10:55.0,Personal foul by J. Okogie (drawn by B. Simmons),,72,55
221,3,10:54.0,B. Simmons misses 2-pt layup from 2 ft,,72,55
222,3,10:52.0,,Defensive rebound by K. Towns,72,55
223,3,10:40.0,,J. Okogie misses 3-pt jump shot from 22 ft,72,55
224,3,10:37.0,Defensive rebound by J. Butler,,72,55
225,3,10:26.0,T. Harris misses 3-pt jump shot from 25 ft,,72,55
226,3,10:23.0,,Defensive rebound by A. Wiggins,72,55
227,3,10:19.0,,A. Wiggins makes 3-pt jump shot from 25 ft,72,58
228,3,10:01.0,J. Bolden misses 3-pt jump shot from 25 ft,,72,58
229,3,9:58.0,Offensive rebound by J. Butler,,72,58
230,3,9:58.0,J. Butler misses 2-pt layup from 1 ft (block by K. Towns),,72,58
231,3,9:58.0,Offensive rebound by Team,,72,58
232,3,9:51.0,Offensive foul by J. Bolden (drawn by T. Jones),,72,58
233,3,9:51.0,Turnover by J. Bolden (offensive foul),,72,58
234,3,9:38.0,,Personal foul by J. Bolden (drawn by K. Towns),72,58
235,3,9:25.0,,Shooting foul by B. Simmons (drawn by J. Okogie),72,58
236,3,9:25.0,,J. Okogie misses free throw 1 of 2,72,58
237,3,9:25.0,,Offensive rebound by Team,72,58
238,3,9:25.0,,J. Okogie makes free throw 2 of 2,72,59
239,3,9:11.0,J. Redick makes 2-pt jump shot from 16 ft (assist by J. Butler),,74,59
240,3,8:48.0,,Turnover by A. Wiggins (lost ball; steal by J. Butler),74,59
241,3,8:44.0,J. Butler misses 2-pt layup from 4 ft,,74,59
242,3,8:44.0,Shooting foul by A. Wiggins (drawn by T. Harris),,74,59
243,3,8:44.0,Offensive rebound by T. Harris,,74,59
244,3,8:44.0,T. Harris misses free throw 1 of 2,,74,59
245,3,8:44.0,Offensive rebound by Team,,74,59
246,3,8:44.0,T. Harris makes free throw 2 of 2,,75,59
247,3,8:29.0,,D. Šarić makes 2-pt layup from 2 ft,75,61
248,3,8:13.0,J. Redick misses 3-pt jump shot from 25 ft,,75,61
249,3,8:11.0,,Defensive rebound by J. Okogie,75,61
250,3,8:03.0,,Turnover by D. Šarić (bad pass; steal by J. Butler),75,61
251,3,7:58.0,T. Harris misses 3-pt jump shot from 23 ft,,75,61
252,3,7:54.0,,Defensive rebound by J. Okogie,75,61
253,3,7:41.0,,K. Towns misses 2-pt layup from 2 ft,75,61
254,3,7:39.0,,Offensive rebound by K. Towns,75,61
255,3,7:36.0,,K. Towns misses 2-pt jump shot from 19 ft,75,61
256,3,7:34.0,Defensive rebound by B. Simmons,,75,61
257,3,7:20.0,T. Harris misses 2-pt layup from 2 ft,,75,61
258,3,7:18.0,Offensive rebound by J. Butler,,75,61
259,3,7:16.0,J. Bolden makes 3-pt jump shot from 27 ft (assist by J. Butler),,78,61
260,3,7:02.0,,Shooting foul by J. Redick (drawn by T. Jones),78,61
261,3,7:02.0,,T. Jones makes free throw 1 of 2,78,62
262,3,7:02.0,T. McConnell enters the game for J. Redick,,78,62
263,3,7:02.0,M. Scott enters the game for B. Simmons,,78,62
264,3,7:02.0,,K. Bates-Diop enters the game for J. Okogie,78,62
265,3,7:02.0,,A. Tolliver enters the game for D. Šarić,78,62
266,3,7:02.0,,T. Jones makes free throw 2 of 2,78,63
267,3,6:47.0,J. Butler misses 2-pt jump shot from 19 ft,,78,63
268,3,6:45.0,Offensive rebound by J. Butler,,78,63
269,3,6:43.0,J. Butler makes 2-pt jump shot from 12 ft,,80,63
270,3,6:21.0,,K. Towns makes 2-pt jump shot from 15 ft,80,65
271,3,6:10.0,T. Harris misses 2-pt dunk from 3 ft (block by K. Bates-Diop),,80,65
272,3,6:07.0,,Defensive rebound by K. Towns,80,65
273,3,5:57.0,,Shooting foul by M. Scott (drawn by K. Towns),80,65
274,3,5:57.0,,K. Towns makes free throw 1 of 2,80,66
275,3,5:57.0,A. Johnson enters the game for J. Bolden,,80,66
276,3,5:57.0,,J. Bayless enters the game for T. Jones,80,66
277,3,5:57.0,,K. Towns makes free throw 2 of 2,80,67
278,3,5:42.0,J. Butler misses 2-pt jump shot from 7 ft,,80,67
279,3,5:38.0,,Defensive rebound by K. Towns,80,67
280,3,5:32.0,,J. Bayless misses 2-pt layup from 2 ft,80,67
281,3,5:30.0,Defensive rebound by A. Johnson,,80,67
282,3,5:23.0,T. Harris makes 2-pt layup from 2 ft (assist by T. McConnell),,82,67
283,3,5:07.0,,A. Tolliver makes 3-pt jump shot from 24 ft (assist by K. Bates-Diop),82,70
284,3,4:39.0,M. Scott makes 2-pt layup from 2 ft (assist by T. McConnell),,84,70
285,3,4:26.0,,A. Wiggins makes 2-pt jump shot from 19 ft,84,72
286,3,4:02.0,T. McConnell misses 2-pt layup from 1 ft,,84,72
287,3,4:02.0,,Defensive rebound by Team,84,72
288,3,4:02.0,J. Ennis enters the game for T. Harris,,84,72
289,3,4:02.0,,G. Dieng enters the game for K. Towns,84,72
290,3,4:02.0,,C. Reynolds enters the game for A. Wiggins,84,72
291,3,3:50.0,,J. Bayless misses 2-pt jump shot from 18 ft,84,72
292,3,3:47.0,Defensive rebound by Team,,84,72
293,3,3:32.0,M. Scott misses 2-pt layup from 3 ft,,84,72
294,3,3:30.0,Offensive rebound by J. Butler,,84,72
295,3,3:27.0,T. McConnell misses 2-pt jump shot from 13 ft,,84,72
296,3,3:22.0,,Defensive rebound by A. Tolliver,84,72
297,3,3:14.0,,J. Bayless makes 2-pt layup from 1 ft,84,74
298,3,3:14.0,,Shooting foul by T. McConnell (drawn by J. Bayless),84,74
299,3,3:14.0,J. Redick enters the game for J. Butler,,84,74
300,3,3:14.0,B. Simmons enters the game for T. McConnell,,84,74
301,3,3:14.0,,J. Bayless makes free throw 1 of 1,84,75
302,3,2:55.0,M. Scott misses 2-pt jump shot from 10 ft,,84,75
303,3,2:53.0,Offensive rebound by A. Johnson,,84,75
304,3,2:51.0,J. Redick makes 3-pt jump shot from 24 ft (assist by A. Johnson),,87,75
305,3,2:32.0,,K. Bates-Diop makes 3-pt jump shot from 25 ft (assist by J. Bayless),87,78
306,3,2:31.0,Philadelphia full timeout,,87,78
307,3,2:23.0,M. Scott misses 3-pt jump shot from 25 ft,,87,78
308,3,2:18.0,,Defensive rebound by G. Dieng,87,78
309,3,2:01.0,,Turnover by G. Dieng (out of bounds lost ball),87,78
310,3,1:48.0,B. Simmons makes 2-pt jump shot from 7 ft (assist by J. Redick),,89,78
311,3,1:29.0,,J. Bayless misses 2-pt jump shot from 7 ft,89,78
312,3,1:27.0,Defensive rebound by B. Simmons,,89,78
313,3,1:24.0,Shooting foul by C. Reynolds (drawn by B. Simmons),,89,78
314,3,1:24.0,B. Simmons misses free throw 1 of 2,,89,78
315,3,1:24.0,Offensive rebound by Team,,89,78
316,3,1:24.0,B. Simmons makes free throw 2 of 2,,90,78
317,3,1:02.0,,K. Bates-Diop misses 2-pt jump shot from 14 ft,90,78
318,3,1:00.0,,C. Reynolds misses 2-pt layup from 1 ft,90,78
319,3,1:00.0,,Offensive rebound by C. Reynolds,90,78
320,3,0:58.0,Defensive rebound by A. Johnson,,90,78
321,3,0:41.0,J. Ennis misses 3-pt jump shot from 24 ft,,90,78
322,3,0:38.0,,Defensive rebound by A. Tolliver,90,78
323,3,0:30.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by C. Reynolds),90,81
324,3,0:12.0,B. Simmons makes 2-pt jump shot from 11 ft,,92,81
325,3,0:00.0,,Turnover by G. Dieng (bad pass),92,81
326,3,0:00.0,B. Simmons misses 3-pt jump shot from 30 ft,,92,81
327,3,0:00.0,Offensive rebound by Team,,92,81
328,4,11:49.0,,Shooting foul by A. Johnson (drawn by A. Tolliver),92,81
329,4,11:49.0,,A. Tolliver misses free throw 1 of 2,92,81
330,4,11:49.0,,Offensive rebound by Team,92,81
331,4,11:49.0,,A. Tolliver makes free throw 2 of 2,92,82
332,4,11:35.0,Turnover by J. Redick (bad pass; steal by K. Bates-Diop),,92,82
333,4,11:29.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by J. Bayless),92,85
334,4,11:09.0,Shooting foul by C. Reynolds (drawn by J. Redick),,92,85
335,4,11:09.0,J. Redick makes free throw 1 of 2,,93,85
336,4,11:09.0,J. Redick makes free throw 2 of 2,,94,85
337,4,10:46.0,,G. Dieng makes 2-pt jump shot from 17 ft,94,87
338,4,10:31.0,Shooting foul by K. Bates-Diop (drawn by B. Simmons),,94,87
339,4,10:31.0,B. Simmons misses free throw 1 of 2,,94,87
340,4,10:31.0,Offensive rebound by Team,,94,87
341,4,10:31.0,B. Simmons makes free throw 2 of 2,,95,87
342,4,10:18.0,,J. Bayless makes 2-pt jump shot from 18 ft,95,89
343,4,10:04.0,A. Johnson makes 2-pt layup from 3 ft (assist by B. Simmons),,97,89
344,4,9:51.0,,C. Reynolds makes 3-pt jump shot from 26 ft (assist by J. Bayless),97,92
345,4,9:34.0,Shooting foul by K. Bates-Diop (drawn by J. Ennis),,97,92
346,4,9:34.0,J. Ennis misses free throw 1 of 2,,97,92
347,4,9:34.0,Offensive rebound by Team,,97,92
348,4,9:34.0,J. Butler enters the game for J. Redick,,97,92
349,4,9:34.0,T. Harris enters the game for M. Scott,,97,92
350,4,9:34.0,J. Ennis misses free throw 2 of 2,,97,92
351,4,9:32.0,,Defensive rebound by A. Tolliver,97,92
352,4,9:18.0,,G. Dieng misses 2-pt jump shot from 13 ft,97,92
353,4,9:14.0,,Offensive rebound by J. Bayless,97,92
354,4,9:13.0,,J. Bayless misses 3-pt jump shot from 25 ft,97,92
355,4,9:13.0,Defensive rebound by J. Butler,,97,92
356,4,9:02.0,J. Butler misses 2-pt jump shot from 16 ft,,97,92
357,4,8:56.0,,Defensive rebound by K. Bates-Diop,97,92
358,4,8:56.0,J. Ennis misses 2-pt layup at rim,,97,92
359,4,8:56.0,Offensive rebound by J. Ennis,,97,92
360,4,8:46.0,,C. Reynolds makes 2-pt jump shot from 7 ft,97,94
361,4,8:45.0,Philadelphia full timeout,,97,94
362,4,8:45.0,J. Bolden enters the game for A. Johnson,,97,94
363,4,8:45.0,,A. Wiggins enters the game for K. Bates-Diop,97,94
364,4,8:30.0,T. Harris misses 3-pt jump shot from 23 ft,,97,94
365,4,8:26.0,Offensive rebound by J. Bolden,,97,94
366,4,8:25.0,J. Ennis makes 3-pt jump shot from 25 ft (assist by J. Bolden),,100,94
367,4,8:01.0,,A. Wiggins misses 2-pt layup from 4 ft (block by B. Simmons),100,94
368,4,7:58.0,Defensive rebound by J. Ennis,,100,94
369,4,7:48.0,Turnover by B. Simmons (bad pass; steal by G. Dieng),,100,94
370,4,7:45.0,,Turnover by G. Dieng (bad pass; steal by J. Bolden),100,94
371,4,7:42.0,Shooting foul by A. Wiggins (drawn by B. Simmons),,100,94
372,4,7:42.0,B. Simmons makes free throw 1 of 2,,101,94
373,4,7:42.0,,K. Towns enters the game for G. Dieng,101,94
374,4,7:42.0,B. Simmons makes free throw 2 of 2,,102,94
375,4,7:29.0,,A. Wiggins makes 2-pt jump shot from 20 ft (assist by K. Towns),102,96
376,4,7:01.0,Turnover by Team (shot clock),,102,96
377,4,6:43.0,,K. Towns makes 2-pt hook shot from 5 ft,102,98
378,4,6:24.0,J. Bolden makes 3-pt jump shot from 26 ft (assist by T. Harris),,105,98
379,4,6:18.0,,Personal foul by J. Bolden (drawn by K. Towns),105,98
380,4,6:18.0,,Minnesota full timeout,105,98
