,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MILWAUKEE_ACTION,HOUSTON_SCORE,MILWAUKEE_SCORE
378,4,8:15.0,G. Clark makes 3-pt jump shot from 27 ft (assist by C. Paul),,82,98
379,4,7:55.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,82,98
380,4,7:53.0,Defensive rebound by J. Harden,,82,98
381,4,7:48.0,J. Harden misses 3-pt jump shot from 29 ft,,82,98
382,4,7:44.0,,Defensive rebound by P. Connaughton,82,98
383,4,7:25.0,,K. Middleton misses 2-pt jump shot from 18 ft,82,98
384,4,7:22.0,Defensive rebound by D. House,,82,98
385,4,7:11.0,C. Paul misses 3-pt jump shot from 28 ft,,82,98
386,4,7:08.0,,Defensive rebound by S. Brown,82,98
387,4,6:50.0,,Milwaukee full timeout,82,98
388,4,6:50.0,C. Capela enters the game for D. House,,82,98
389,4,6:46.0,,Personal foul by C. Capela (drawn by B. Lopez),82,98
390,4,6:36.0,,E. Bledsoe misses 2-pt layup from 2 ft (block by C. Capela),82,98
391,4,6:30.0,Defensive rebound by J. Harden,,82,98
392,4,6:27.0,C. Paul misses 3-pt jump shot from 27 ft,,82,98
393,4,6:22.0,,Defensive rebound by S. Brown,82,98
394,4,6:17.0,,Turnover by E. Bledsoe (bad pass; steal by G. Clark),82,98
395,4,6:12.0,G. Clark misses 3-pt jump shot from 29 ft,,82,98
396,4,6:10.0,Offensive rebound by Team,,82,98
397,4,6:10.0,,G. Antetokounmpo enters the game for E. Bledsoe,82,98
398,4,6:10.0,,G. Hill enters the game for S. Brown,82,98
399,4,6:04.0,J. Harden misses 3-pt jump shot from 24 ft,,82,98
400,4,6:04.0,,Defensive rebound by K. Middleton,82,98
401,4,5:49.0,,G. Antetokounmpo misses 2-pt jump shot from 16 ft,82,98
402,4,5:47.0,Defensive rebound by G. Clark,,82,98
403,4,5:40.0,A. Rivers misses 2-pt jump shot from 15 ft,,82,98
404,4,5:36.0,,Defensive rebound by G. Antetokounmpo,82,98
405,4,5:23.0,,K. Middleton misses 3-pt jump shot from 27 ft,82,98
406,4,5:20.0,Defensive rebound by C. Paul,,82,98
407,4,5:10.0,G. Clark misses 3-pt jump shot from 26 ft (block by P. Connaughton),,82,98
408,4,5:05.0,Offensive rebound by C. Paul,,82,98
409,4,5:02.0,G. Clark misses 3-pt jump shot from 24 ft,,82,98
410,4,4:57.0,,Defensive rebound by K. Middleton,82,98
411,4,4:40.0,,G. Hill makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),82,100
412,4,4:28.0,C. Paul misses 2-pt jump shot from 16 ft,,82,100
413,4,4:25.0,Offensive rebound by C. Paul,,82,100
414,4,4:23.0,C. Paul makes 3-pt jump shot from 22 ft,,85,100
415,4,3:59.0,,K. Middleton makes 2-pt jump shot from 15 ft,85,102
416,4,3:47.0,J. Harden makes 2-pt jump shot from 12 ft,,87,102
417,4,3:28.0,,Turnover by G. Antetokounmpo (traveling),87,102
418,4,3:28.0,D. House enters the game for G. Clark,,87,102
419,4,3:28.0,P. Tucker enters the game for C. Paul,,87,102
420,4,3:20.0,A. Rivers misses 2-pt jump shot from 6 ft,,87,102
421,4,3:17.0,,Defensive rebound by P. Connaughton,87,102
422,4,3:14.0,,Milwaukee full timeout,87,102
423,4,3:14.0,C. Paul enters the game for A. Rivers,,87,102
424,4,3:01.0,,K. Middleton misses 3-pt jump shot from 27 ft,87,102
425,4,2:58.0,Defensive rebound by P. Tucker,,87,102
426,4,2:50.0,J. Harden makes 2-pt layup from 1 ft,,89,102
427,4,2:25.0,,Shooting foul by J. Harden (drawn by G. Hill),89,102
428,4,2:25.0,,G. Hill makes free throw 1 of 2,89,103
429,4,2:25.0,,E. Bledsoe enters the game for P. Connaughton,89,103
430,4,2:25.0,,G. Hill makes free throw 2 of 2,89,104
431,4,1:58.0,J. Harden misses 3-pt jump shot from 33 ft,,89,104
432,4,1:54.0,,Defensive rebound by B. Lopez,89,104
433,4,1:50.0,,K. Middleton misses 3-pt jump shot from 27 ft,89,104
434,4,1:47.0,Defensive rebound by D. House,,89,104
435,4,1:39.0,C. Paul misses 2-pt jump shot from 14 ft,,89,104
436,4,1:37.0,Offensive rebound by C. Capela,,89,104
437,4,1:37.0,C. Capela makes 2-pt hook shot from 7 ft,,91,104
438,4,1:15.0,,Personal foul by J. Harden (drawn by G. Antetokounmpo),91,104
439,4,1:15.0,,G. Antetokounmpo makes free throw 1 of 2,91,105
440,4,1:15.0,C. Chiozza enters the game for J. Harden,,91,105
441,4,1:15.0,G. Clark enters the game for C. Paul,,91,105
442,4,1:15.0,A. Rivers enters the game for P. Tucker,,91,105
443,4,1:15.0,,S. Brown enters the game for E. Bledsoe,91,105
444,4,1:15.0,,P. Connaughton enters the game for G. Hill,91,105
445,4,1:15.0,,T. Frazier enters the game for B. Lopez,91,105
446,4,1:15.0,,D. Wilson enters the game for K. Middleton,91,105
447,4,1:15.0,,G. Antetokounmpo makes free throw 2 of 2,91,106
448,4,1:10.0,Personal take foul by T. Frazier (drawn by C. Chiozza),,91,106
449,4,1:10.0,I. Hartenstein enters the game for C. Capela,,91,106
450,4,1:10.0,,B. Colson enters the game for G. Antetokounmpo,91,106
451,4,1:02.0,C. Chiozza misses 2-pt jump shot from 18 ft,,91,106
452,4,0:58.0,,Defensive rebound by S. Brown,91,106
453,4,0:44.0,,D. Wilson makes 2-pt jump shot from 21 ft (assist by S. Brown),91,108
454,4,0:35.0,D. House makes 3-pt jump shot from 28 ft (assist by I. Hartenstein),,94,108
455,4,0:15.0,,D. Wilson misses 2-pt jump shot from 19 ft,94,108
456,4,0:12.0,,Offensive rebound by P. Connaughton,94,108
457,4,0:00.0,,Turnover by Team (shot clock),94,108
