,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
389,4,8:12.0,A. Len misses 2-pt layup from 1 ft,,83,75
390,4,8:10.0,,Defensive rebound by Z. Pachulia,83,75
391,4,8:04.0,,L. Galloway misses 3-pt jump shot from 30 ft,83,75
392,4,8:01.0,Defensive rebound by T. Young,,83,75
393,4,7:57.0,K. Huerter makes 2-pt layup from 2 ft (assist by T. Young),,85,75
394,4,7:37.0,,Turnover by J. Calderón (bad pass),85,75
395,4,7:19.0,T. Young misses 2-pt layup from 6 ft (block by S. Johnson),,85,75
396,4,7:16.0,,Defensive rebound by L. Galloway,85,75
397,4,7:14.0,,Offensive foul by S. Johnson (drawn by K. Bazemore),85,75
398,4,7:14.0,,Turnover by S. Johnson (offensive foul),85,75
399,4,7:00.0,Turnover by T. Young (bad pass; steal by Z. Pachulia),,85,75
400,4,7:00.0,Loose ball foul by A. Len (drawn by Z. Pachulia),,85,75
401,4,6:48.0,,L. Galloway misses 2-pt jump shot from 19 ft,85,75
402,4,6:45.0,Defensive rebound by V. Carter,,85,75
403,4,6:28.0,V. Carter misses 3-pt jump shot from 27 ft,,85,75
404,4,6:25.0,,Defensive rebound by B. Griffin,85,75
405,4,6:19.0,,Personal foul by K. Huerter (drawn by J. Calderón),85,75
406,4,6:19.0,,Detroit full timeout,85,75
407,4,6:19.0,,R. Bullock enters the game for J. Calderón,85,75
408,4,6:19.0,,R. Jackson enters the game for S. Johnson,85,75
409,4,6:12.0,,L. Galloway makes 2-pt layup from 5 ft (assist by Z. Pachulia),85,77
410,4,5:57.0,K. Bazemore misses 2-pt layup from 4 ft (block by Z. Pachulia),,85,77
411,4,5:57.0,,Defensive rebound by B. Griffin,85,77
412,4,5:56.0,,Personal foul by K. Bazemore (drawn by B. Griffin),85,77
413,4,5:44.0,,Shooting foul by K. Bazemore (drawn by L. Galloway),85,77
414,4,5:44.0,,L. Galloway makes free throw 1 of 3,85,78
415,4,5:44.0,,L. Galloway makes free throw 2 of 3,85,79
416,4,5:44.0,D. Dedmon enters the game for V. Carter,,85,79
417,4,5:44.0,,L. Galloway makes free throw 3 of 3,85,80
418,4,5:37.0,Personal foul by R. Bullock (drawn by T. Young),,85,80
419,4,5:30.0,K. Huerter misses 3-pt jump shot from 29 ft,,85,80
420,4,5:26.0,,Defensive rebound by B. Griffin,85,80
421,4,5:19.0,,B. Griffin misses 3-pt jump shot from 25 ft,85,80
422,4,5:13.0,Defensive rebound by K. Huerter,,85,80
423,4,4:56.0,D. Dedmon misses 2-pt hook shot from 8 ft,,85,80
424,4,4:54.0,,Defensive rebound by Z. Pachulia,85,80
425,4,4:42.0,,R. Jackson misses 3-pt jump shot from 29 ft,85,80
426,4,4:42.0,Defensive rebound by Team,,85,80
427,4,4:30.0,Personal foul by R. Bullock (drawn by T. Young),,85,80
428,4,4:21.0,T. Young misses 2-pt layup from 2 ft,,85,80
429,4,4:18.0,,Defensive rebound by Z. Pachulia,85,80
430,4,4:18.0,J. Lin enters the game for T. Young,,85,80
431,4,3:56.0,,R. Jackson makes 3-pt jump shot from 26 ft,85,83
432,4,3:44.0,K. Bazemore makes 3-pt jump shot from 27 ft (assist by A. Len),,88,83
433,4,3:26.0,,R. Bullock misses 2-pt layup from 3 ft (block by A. Len),88,83
434,4,3:17.0,,Offensive rebound by Z. Pachulia,88,83
435,4,3:17.0,,Z. Pachulia makes 2-pt layup at rim,88,85
436,4,3:09.0,K. Bazemore misses 2-pt jump shot from 18 ft,,88,85
437,4,3:04.0,,Defensive rebound by Z. Pachulia,88,85
438,4,2:55.0,,Personal foul by D. Dedmon (drawn by B. Griffin),88,85
439,4,2:55.0,Atlanta full timeout,,88,85
440,4,2:55.0,V. Carter enters the game for D. Dedmon,,88,85
441,4,2:55.0,,B. Griffin makes free throw 1 of 2,88,86
442,4,2:55.0,,B. Griffin makes free throw 2 of 2,88,87
443,4,2:35.0,V. Carter makes 2-pt jump shot from 14 ft,,90,87
444,4,2:19.0,,L. Galloway makes 2-pt jump shot from 6 ft (assist by B. Griffin),90,89
445,4,1:58.0,V. Carter misses 2-pt jump shot from 14 ft,,90,89
446,4,1:52.0,,Defensive rebound by R. Bullock,90,89
447,4,1:34.0,,R. Jackson misses 3-pt jump shot from 27 ft,90,89
448,4,1:32.0,Defensive rebound by Team,,90,89
449,4,1:22.0,J. Lin makes 2-pt layup from 6 ft,,92,89
450,4,1:22.0,,Detroit full timeout,92,89
451,4,1:11.0,,Offensive foul by R. Jackson (drawn by J. Lin),92,89
452,4,1:11.0,,Turnover by R. Jackson (offensive foul),92,89
453,4,1:02.0,V. Carter misses 3-pt jump shot from 26 ft,,92,89
454,4,0:59.0,,Defensive rebound by L. Galloway,92,89
455,4,0:55.0,,Shooting foul by A. Len (drawn by R. Jackson),92,89
456,4,0:55.0,,R. Jackson makes free throw 1 of 2,92,90
457,4,0:55.0,,R. Jackson makes free throw 2 of 2,92,91
458,4,0:36.0,Turnover by J. Lin (bad pass; steal by Z. Pachulia),,92,91
459,4,0:23.0,,Shooting foul by V. Carter (drawn by B. Griffin),92,91
460,4,0:23.0,,B. Griffin misses free throw 1 of 2,92,91
461,4,0:23.0,,Offensive rebound by Team,92,91
462,4,0:23.0,Atlanta full timeout,,92,91
463,4,0:23.0,,B. Brown enters the game for L. Galloway,92,91
464,4,0:23.0,,A. Drummond enters the game for R. Jackson,92,91
465,4,0:23.0,,B. Griffin misses free throw 2 of 2,92,91
466,4,0:21.0,Defensive rebound by J. Lin,,92,91
467,4,0:21.0,Personal foul by Z. Pachulia (drawn by J. Lin),,92,91
468,4,0:21.0,J. Lin makes free throw 1 of 2,,93,91
469,4,0:21.0,J. Lin makes free throw 2 of 2,,94,91
470,4,0:21.0,,Detroit full timeout,94,91
471,4,0:21.0,J. Anderson enters the game for K. Huerter,,94,91
472,4,0:21.0,D. Bembry enters the game for A. Len,,94,91
473,4,0:21.0,,L. Galloway enters the game for B. Brown,94,91
474,4,0:21.0,,R. Jackson enters the game for A. Drummond,94,91
475,4,0:13.0,,R. Jackson makes 2-pt dunk from 4 ft,94,93
476,4,0:12.0,Personal foul by R. Jackson (drawn by J. Lin),,94,93
477,4,0:12.0,J. Lin makes free throw 1 of 2,,95,93
478,4,0:12.0,J. Lin makes free throw 2 of 2,,96,93
479,4,0:04.0,,L. Galloway misses 2-pt layup from 6 ft,96,93
480,4,0:04.0,Defensive rebound by K. Bazemore,,96,93
481,4,0:04.0,Personal foul by R. Jackson (drawn by K. Bazemore),,96,93
482,4,0:04.0,K. Bazemore makes free throw 1 of 2,,97,93
483,4,0:04.0,,J. Calderón enters the game for R. Jackson,97,93
484,4,0:04.0,K. Bazemore makes free throw 2 of 2,,98,93
485,4,0:00.0,,Personal foul by J. Anderson (drawn by B. Griffin),98,93
486,4,0:00.0,,B. Griffin makes free throw 1 of 2,98,94
487,4,0:00.0,,B. Griffin makes free throw 2 of 2,98,95
