,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
0,1,11:44.0,Shooting foul by C. Sexton (drawn by E. Bledsoe),,0,0
1,1,11:44.0,E. Bledsoe makes free throw 1 of 2,,1,0
2,1,11:44.0,E. Bledsoe makes free throw 2 of 2,,2,0
3,1,11:25.0,,B. Knight makes 2-pt jump shot from 18 ft,2,2
4,1,11:15.0,K. Middleton misses 2-pt jump shot from 9 ft,,2,2
5,1,11:11.0,Offensive rebound by K. Middleton,,2,2
6,1,11:11.0,K. Middleton misses 2-pt layup from 1 ft,,2,2
7,1,11:10.0,Offensive rebound by K. Middleton,,2,2
8,1,11:09.0,T. Snell misses 3-pt jump shot from 27 ft,,2,2
9,1,11:06.0,,Defensive rebound by K. Love,2,2
10,1,10:55.0,,C. Sexton makes 2-pt layup from 1 ft,2,4
11,1,10:43.0,E. Bledsoe misses 2-pt jump shot from 6 ft,,2,4
12,1,10:41.0,,Defensive rebound by K. Love,2,4
13,1,10:30.0,,C. Osman misses 2-pt jump shot from 12 ft,2,4
14,1,10:27.0,Defensive rebound by T. Snell,,2,4
15,1,10:25.0,Offensive foul by E. İlyasova (drawn by K. Love),,2,4
16,1,10:25.0,Turnover by E. İlyasova (offensive foul),,2,4
17,1,10:06.0,,K. Love misses 3-pt jump shot from 24 ft,2,4
18,1,10:03.0,Defensive rebound by T. Snell,,2,4
19,1,9:58.0,K. Middleton makes 3-pt jump shot from 27 ft,,5,4
20,1,9:46.0,,C. Osman misses 3-pt jump shot from 28 ft,5,4
21,1,9:43.0,Defensive rebound by T. Snell,,5,4
22,1,9:29.0,K. Middleton makes 3-pt jump shot from 29 ft (assist by B. Lopez),,8,4
23,1,9:20.0,,C. Sexton misses 2-pt layup from 2 ft (block by T. Snell),8,4
24,1,9:20.0,Defensive rebound by Team,,8,4
25,1,9:03.0,K. Middleton makes 3-pt jump shot from 26 ft,,11,4
26,1,9:03.0,,Cleveland full timeout,11,4
27,1,8:42.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by C. Sexton),11,7
28,1,8:32.0,T. Snell misses 3-pt jump shot from 26 ft,,11,7
29,1,8:30.0,,Defensive rebound by C. Osman,11,7
30,1,8:24.0,,K. Love misses 3-pt jump shot from 34 ft,11,7
31,1,8:21.0,Defensive rebound by E. Bledsoe,,11,7
32,1,8:16.0,Shooting foul by A. Žižić (drawn by E. İlyasova),,11,7
33,1,8:16.0,E. İlyasova misses free throw 1 of 2,,11,7
34,1,8:16.0,Offensive rebound by Team,,11,7
35,1,8:16.0,D. Wilson enters the game for B. Lopez,,11,7
