,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
175,2,5:42.0,,Loose ball foul by J. Murray (drawn by G. Temple),43,45
176,2,5:42.0,G. Temple makes free throw 1 of 2,,44,45
177,2,5:42.0,,N. Jokić enters the game for J. Hernangómez,44,45
178,2,5:42.0,G. Temple makes free throw 2 of 2,,45,45
179,2,5:35.0,,Personal foul by I. Zubac (drawn by N. Jokić),45,45
180,2,5:35.0,,N. Jokić makes free throw 1 of 2,45,46
181,2,5:35.0,,N. Jokić makes free throw 2 of 2,45,47
182,2,5:26.0,D. Gallinari misses 3-pt jump shot from 24 ft,,45,47
183,2,5:23.0,Offensive rebound by I. Zubac,,45,47
184,2,5:21.0,I. Zubac misses 2-pt hook shot from 5 ft,,45,47
185,2,5:18.0,,Defensive rebound by W. Barton,45,47
186,2,5:14.0,,W. Barton makes 3-pt jump shot from 26 ft (assist by J. Murray),45,50
187,2,4:58.0,Turnover by D. Gallinari (traveling),,45,50
188,2,4:58.0,M. Harrell enters the game for I. Zubac,,45,50
189,2,4:50.0,,J. Murray makes 3-pt jump shot from 25 ft,45,53
190,2,4:39.0,Offensive foul by S. Gilgeous-Alexander (drawn by J. Murray),,45,53
191,2,4:39.0,Turnover by S. Gilgeous-Alexander (offensive foul),,45,53
192,2,4:39.0,P. Beverley enters the game for G. Temple,,45,53
193,2,4:29.0,,J. Murray makes 2-pt layup from 3 ft,45,55
194,2,4:14.0,D. Gallinari misses 2-pt jump shot from 18 ft,,45,55
195,2,4:12.0,,Defensive rebound by N. Jokić,45,55
196,2,4:05.0,,J. Murray misses 3-pt jump shot from 25 ft,45,55
197,2,4:01.0,Defensive rebound by P. Beverley,,45,55
198,2,3:54.0,M. Harrell misses 2-pt jump shot from 10 ft,,45,55
199,2,3:53.0,,Defensive rebound by Team,45,55
200,2,3:53.0,Loose ball foul by M. Harrell (drawn by P. Millsap),,45,55
201,2,3:53.0,,P. Millsap misses free throw 1 of 2,45,55
202,2,3:53.0,,Offensive rebound by Team,45,55
203,2,3:53.0,J. Green enters the game for S. Gilgeous-Alexander,,45,55
204,2,3:53.0,L. Williams enters the game for M. Harrell,,45,55
205,2,3:53.0,,P. Millsap makes free throw 2 of 2,45,56
206,2,3:40.0,L. Williams misses 3-pt jump shot from 25 ft,,45,56
207,2,3:36.0,,Defensive rebound by N. Jokić,45,56
208,2,3:30.0,,P. Millsap misses 2-pt dunk from 1 ft,45,56
209,2,3:28.0,Defensive rebound by D. Gallinari,,45,56
210,2,3:20.0,Shooting foul by N. Jokić (drawn by J. Green),,45,56
211,2,3:20.0,J. Green misses free throw 1 of 2,,45,56
212,2,3:20.0,Offensive rebound by Team,,45,56
213,2,3:20.0,J. Green makes free throw 2 of 2,,46,56
214,2,3:04.0,,N. Jokić makes 2-pt layup from 1 ft,46,58
215,2,2:58.0,Personal foul by M. Beasley (drawn by L. Williams),,46,58
216,2,2:58.0,L. Williams makes free throw 1 of 2,,47,58
217,2,2:58.0,L. Williams makes free throw 2 of 2,,48,58
218,2,2:48.0,,N. Jokić makes 2-pt jump shot from 17 ft (assist by J. Murray),48,60
219,2,2:47.0,,Away from play foul by J. Green (drawn by P. Millsap),48,60
220,2,2:47.0,,P. Millsap misses free throw 1 of 1,48,60
221,2,2:46.0,Defensive rebound by Team,,48,60
222,2,2:39.0,,Violation by Team (kicked ball),48,60
223,2,2:25.0,Shooting foul by J. Murray (drawn by L. Williams),,48,60
224,2,2:25.0,L. Williams makes free throw 1 of 2,,49,60
225,2,2:25.0,L. Williams makes free throw 2 of 2,,50,60
226,2,2:13.0,,Personal foul by L. Shamet (drawn by N. Jokić),50,60
227,2,2:13.0,,N. Jokić makes free throw 1 of 2,50,61
228,2,2:13.0,,N. Jokić misses free throw 2 of 2,50,61
229,2,2:11.0,Defensive rebound by J. Green,,50,61
230,2,1:58.0,J. Green misses 3-pt jump shot from 23 ft,,50,61
231,2,1:54.0,,Defensive rebound by J. Murray,50,61
232,2,1:51.0,,Personal foul by P. Beverley (drawn by J. Murray),50,61
233,2,1:51.0,,J. Murray makes free throw 1 of 2,50,62
234,2,1:51.0,,J. Murray misses free throw 2 of 2,50,62
235,2,1:48.0,Defensive rebound by J. Green,,50,62
236,2,1:38.0,Personal foul by M. Beasley (drawn by D. Gallinari),,50,62
237,2,1:38.0,D. Gallinari makes free throw 1 of 2,,51,62
238,2,1:38.0,D. Gallinari makes free throw 2 of 2,,52,62
239,2,1:27.0,,W. Barton misses 2-pt layup from 2 ft,52,62
240,2,1:25.0,Defensive rebound by P. Beverley,,52,62
241,2,1:22.0,L. Williams misses 3-pt jump shot from 23 ft,,52,62
242,2,1:20.0,Offensive rebound by Team,,52,62
243,2,1:06.0,J. Green makes 2-pt layup from 1 ft,,54,62
244,2,0:57.0,,Loose ball foul by N. Jokić (drawn by P. Beverley),54,62
245,2,0:57.0,,Turnover by N. Jokić (lost ball),54,62
246,2,0:57.0,P. Beverley makes free throw 1 of 2,,55,62
247,2,0:57.0,,M. Morris enters the game for J. Murray,55,62
248,2,0:57.0,P. Beverley makes free throw 2 of 2,,56,62
249,2,0:42.0,,M. Beasley makes 2-pt dunk from 2 ft (assist by M. Morris),56,64
250,2,0:33.0,D. Gallinari misses 3-pt jump shot from 25 ft,,56,64
251,2,0:30.0,,Defensive rebound by P. Millsap,56,64
252,2,0:11.0,,N. Jokić misses 2-pt jump shot from 7 ft,56,64
253,2,0:09.0,Defensive rebound by J. Green,,56,64
254,2,0:07.0,L. Shamet misses 3-pt jump shot from 26 ft,,56,64
255,2,0:03.0,Offensive rebound by J. Green,,56,64
256,2,0:03.0,Turnover by J. Green (bad pass; steal by P. Millsap),,56,64
257,2,0:00.0,,Turnover by P. Millsap (bad pass; steal by L. Shamet),56,64
258,3,11:45.0,Turnover by L. Shamet (bad pass; steal by N. Jokić),,56,64
259,3,11:32.0,,J. Murray misses 3-pt jump shot from 22 ft,56,64
260,3,11:28.0,,Offensive rebound by P. Millsap,56,64
261,3,11:19.0,,P. Millsap misses 3-pt jump shot from 25 ft,56,64
262,3,11:15.0,,Offensive rebound by Team,56,64
263,3,11:12.0,,Offensive foul by N. Jokić (drawn by I. Zubac),56,64
264,3,11:12.0,,Turnover by N. Jokić (offensive foul),56,64
265,3,10:54.0,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,,56,64
266,3,10:52.0,,Defensive rebound by N. Jokić,56,64
267,3,10:49.0,,Turnover by N. Jokić (bad pass; steal by S. Gilgeous-Alexander),56,64
268,3,10:42.0,I. Zubac misses 2-pt layup from 2 ft (block by P. Millsap),,56,64
269,3,10:40.0,,Defensive rebound by N. Jokić,56,64
270,3,10:34.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by J. Murray),56,67
271,3,10:19.0,L. Shamet misses 2-pt jump shot from 21 ft,,56,67
272,3,10:17.0,,Defensive rebound by N. Jokić,56,67
273,3,10:05.0,,N. Jokić misses 2-pt jump shot from 9 ft,56,67
274,3,10:04.0,Defensive rebound by D. Gallinari,,56,67
275,3,10:00.0,Personal take foul by N. Jokić (drawn by P. Beverley),,56,67
276,3,10:00.0,,M. Plumlee enters the game for N. Jokić,56,67
277,3,9:50.0,D. Gallinari misses 2-pt jump shot from 10 ft,,56,67
278,3,9:48.0,Offensive rebound by I. Zubac,,56,67
279,3,9:48.0,I. Zubac misses 2-pt layup from 3 ft,,56,67
280,3,9:46.0,,Defensive rebound by P. Millsap,56,67
281,3,9:40.0,,W. Barton misses 3-pt jump shot from 25 ft,56,67
282,3,9:37.0,,Offensive rebound by M. Beasley,56,67
283,3,9:34.0,,P. Millsap makes 2-pt jump shot from 4 ft,56,69
284,3,9:20.0,D. Gallinari misses 2-pt jump shot from 9 ft,,56,69
285,3,9:17.0,,Defensive rebound by P. Millsap,56,69
286,3,9:10.0,,M. Plumlee makes 3-pt jump shot from 25 ft (assist by M. Beasley),56,72
287,3,9:08.0,LA Clippers full timeout,,56,72
288,3,8:56.0,D. Gallinari misses 3-pt jump shot from 25 ft,,56,72
289,3,8:53.0,,Defensive rebound by W. Barton,56,72
290,3,8:42.0,,Turnover by W. Barton (bad pass),56,72
291,3,8:27.0,Turnover by I. Zubac (lost ball; steal by P. Millsap),,56,72
292,3,8:27.0,,Personal take foul by P. Beverley (drawn by P. Millsap),56,72
293,3,8:14.0,,J. Murray makes 2-pt layup from 1 ft (assist by M. Plumlee),56,74
294,3,8:03.0,D. Gallinari makes 2-pt jump shot from 12 ft (assist by L. Shamet),,58,74
295,3,8:03.0,M. Harrell enters the game for S. Gilgeous-Alexander,,58,74
296,3,8:03.0,L. Williams enters the game for I. Zubac,,58,74
297,3,7:34.0,,Turnover by Team (shot clock),58,74
298,3,7:27.0,Turnover by M. Harrell (bad pass),,58,74
299,3,7:11.0,,J. Murray misses 2-pt layup from 2 ft,58,74
300,3,7:10.0,,Offensive rebound by M. Plumlee,58,74
301,3,7:10.0,,M. Plumlee misses 2-pt layup at rim,58,74
302,3,7:10.0,Defensive rebound by Team,,58,74
303,3,7:00.0,Turnover by D. Gallinari (lost ball; steal by J. Murray),,58,74
304,3,6:55.0,,W. Barton misses 3-pt jump shot from 24 ft,58,74
305,3,6:52.0,,Offensive rebound by P. Millsap,58,74
306,3,6:49.0,,J. Murray misses 3-pt jump shot from 22 ft,58,74
307,3,6:46.0,,Offensive rebound by P. Millsap,58,74
308,3,6:42.0,,M. Beasley makes 3-pt jump shot from 22 ft (assist by J. Murray),58,77
309,3,6:33.0,L. Williams makes 2-pt jump shot from 10 ft,,60,77
310,3,6:33.0,Shooting foul by M. Plumlee (drawn by L. Williams),,60,77
311,3,6:33.0,L. Williams makes free throw 1 of 1,,61,77
312,3,6:20.0,,P. Millsap makes 2-pt jump shot from 7 ft,61,79
313,3,6:20.0,,Shooting foul by D. Gallinari (drawn by P. Millsap),61,79
314,3,6:20.0,,P. Millsap makes free throw 1 of 1,61,80
315,3,6:11.0,L. Williams makes 3-pt jump shot from 25 ft,,64,80
316,3,5:52.0,,J. Murray misses 2-pt layup from 2 ft (block by M. Harrell),64,80
317,3,5:49.0,,Offensive rebound by M. Plumlee,64,80
318,3,5:47.0,,P. Millsap misses 3-pt jump shot from 25 ft,64,80
319,3,5:44.0,Defensive rebound by D. Gallinari,,64,80
320,3,5:36.0,M. Harrell misses 2-pt layup from 3 ft,,64,80
321,3,5:34.0,,Defensive rebound by P. Millsap,64,80
322,3,5:31.0,,Turnover by P. Millsap (lost ball; steal by M. Harrell),64,80
323,3,5:19.0,D. Gallinari makes 2-pt layup from 4 ft (assist by M. Harrell),,66,80
324,3,5:19.0,,Denver full timeout,66,80
325,3,5:19.0,G. Temple enters the game for L. Shamet,,66,80
326,3,5:19.0,,G. Harris enters the game for W. Barton,66,80
327,3,5:19.0,,J. Hernangómez enters the game for M. Plumlee,66,80
328,3,5:00.0,,Turnover by J. Murray (bad pass; steal by D. Gallinari),66,80
329,3,4:48.0,L. Williams makes 2-pt layup from 3 ft,,68,80
330,3,4:37.0,,G. Harris makes 2-pt jump shot from 19 ft (assist by P. Millsap),68,82
331,3,4:22.0,Shooting foul by G. Harris (drawn by D. Gallinari),,68,82
332,3,4:22.0,D. Gallinari makes free throw 1 of 2,,69,82
333,3,4:22.0,,M. Morris enters the game for J. Murray,69,82
334,3,4:22.0,D. Gallinari makes free throw 2 of 2,,70,82
335,3,4:10.0,,Turnover by G. Harris (out of bounds lost ball),70,82
336,3,4:00.0,G. Temple misses 3-pt jump shot from 22 ft,,70,82
337,3,3:56.0,,Defensive rebound by P. Millsap,70,82
338,3,3:45.0,,P. Millsap misses 2-pt dunk from 2 ft (block by M. Harrell),70,82
339,3,3:41.0,,Offensive rebound by P. Millsap,70,82
340,3,3:40.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by P. Millsap),70,85
341,3,3:16.0,L. Williams misses 2-pt jump shot from 12 ft,,70,85
342,3,3:15.0,Offensive rebound by Team,,70,85
343,3,3:15.0,,Loose ball foul by M. Morris (drawn by M. Harrell),70,85
344,3,3:15.0,J. Green enters the game for D. Gallinari,,70,85
345,3,3:15.0,,M. Plumlee enters the game for P. Millsap,70,85
346,3,3:06.0,L. Williams misses 2-pt jump shot from 4 ft,,70,85
347,3,3:04.0,,Defensive rebound by M. Plumlee,70,85
348,3,3:02.0,,G. Harris misses 3-pt jump shot from 24 ft,70,85
349,3,2:58.0,,Offensive rebound by M. Beasley,70,85
350,3,2:54.0,,Shooting foul by M. Harrell (drawn by J. Hernangómez),70,85
351,3,2:54.0,,J. Hernangómez misses free throw 1 of 3,70,85
352,3,2:54.0,,Offensive rebound by Team,70,85
353,3,2:54.0,,J. Hernangómez misses free throw 2 of 3,70,85
354,3,2:54.0,,Offensive rebound by Team,70,85
355,3,2:54.0,,I. Thomas enters the game for M. Beasley,70,85
356,3,2:54.0,,J. Hernangómez makes free throw 3 of 3,70,86
357,3,2:47.0,Turnover by L. Williams (bad pass; steal by G. Harris),,70,86
358,3,2:44.0,,M. Morris makes 2-pt layup at rim (assist by G. Harris),70,88
359,3,2:26.0,Offensive foul by M. Harrell (drawn by M. Plumlee),,70,88
360,3,2:26.0,Turnover by M. Harrell (offensive foul),,70,88
361,3,2:26.0,S. Gilgeous-Alexander enters the game for P. Beverley,,70,88
362,3,2:26.0,I. Zubac enters the game for M. Harrell,,70,88
363,3,2:18.0,,Personal foul by G. Temple (drawn by J. Hernangómez),70,88
364,3,2:13.0,,Shooting foul by I. Zubac (drawn by M. Plumlee),70,88
365,3,2:13.0,,M. Plumlee makes free throw 1 of 2,70,89
366,3,2:13.0,,M. Plumlee makes free throw 2 of 2,70,90
367,3,1:55.0,S. Gilgeous-Alexander misses 2-pt dunk from 2 ft (block by M. Plumlee),,70,90
368,3,1:51.0,,Defensive rebound by M. Morris,70,90
369,3,1:49.0,,M. Morris makes 2-pt layup from 1 ft,70,92
370,3,1:36.0,L. Williams misses 3-pt jump shot from 26 ft,,70,92
371,3,1:35.0,Offensive rebound by I. Zubac,,70,92
372,3,1:32.0,I. Zubac makes 2-pt hook shot from 3 ft,,72,92
373,3,1:16.0,,I. Thomas makes 2-pt layup from 4 ft (assist by M. Plumlee),72,94
374,3,1:06.0,Def 3 sec tech foul by Team,,72,94
375,3,1:06.0,L. Williams makes technical free throw,,73,94
376,3,0:57.0,J. Green makes 2-pt jump shot from 8 ft (assist by I. Zubac),,75,94
377,3,0:40.0,,Turnover by M. Morris (bad pass; steal by L. Williams),75,94
378,3,0:36.0,Shooting foul by J. Hernangómez (drawn by J. Green),,75,94
379,3,0:36.0,J. Green makes free throw 1 of 2,,76,94
380,3,0:36.0,J. Green makes free throw 2 of 2,,77,94
381,3,0:28.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by I. Thomas),77,97
382,3,0:07.0,L. Williams misses 2-pt jump shot from 15 ft,,77,97
383,3,0:05.0,,Defensive rebound by J. Hernangómez,77,97
