,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
0,1,11:40.0,,K. Dunn makes 2-pt jump shot from 9 ft,0,2
1,1,11:19.0,C. Sexton makes 2-pt layup from 1 ft (assist by A. Žižić),,2,2
2,1,10:53.0,,W. Selden makes 2-pt jump shot from 10 ft,2,4
3,1,10:26.0,A. Žižić misses 2-pt jump shot from 9 ft,,2,4
4,1,10:24.0,,Defensive rebound by L. Markkanen,2,4
5,1,10:09.0,,R. Lopez makes 2-pt jump shot from 12 ft (assist by L. Markkanen),2,6
6,1,9:47.0,A. Burks makes 3-pt jump shot from 26 ft (assist by R. Hood),,5,6
7,1,9:29.0,,R. Lopez makes 2-pt hook shot from 8 ft (assist by Z. LaVine),5,8
8,1,9:14.0,C. Sexton misses 2-pt layup from 5 ft (block by K. Dunn),,5,8
9,1,9:10.0,Offensive rebound by C. Sexton,,5,8
10,1,9:06.0,C. Osman makes 3-pt jump shot from 24 ft (assist by A. Burks),,8,8
11,1,8:58.0,,R. Lopez makes 2-pt layup from 5 ft (assist by K. Dunn),8,10
12,1,8:44.0,C. Sexton misses 2-pt jump shot from 15 ft,,8,10
13,1,8:41.0,,Defensive rebound by L. Markkanen,8,10
14,1,8:36.0,,K. Dunn misses 3-pt jump shot from 25 ft,8,10
15,1,8:33.0,Defensive rebound by C. Osman,,8,10
16,1,8:20.0,C. Osman misses 3-pt jump shot from 25 ft,,8,10
17,1,8:17.0,,Defensive rebound by W. Selden,8,10
18,1,8:11.0,,L. Markkanen misses 3-pt jump shot from 26 ft,8,10
19,1,8:09.0,Defensive rebound by A. Burks,,8,10
20,1,7:53.0,C. Sexton makes 3-pt jump shot from 24 ft (assist by A. Žižić),,11,10
21,1,7:38.0,,Z. LaVine misses 2-pt jump shot from 14 ft,11,10
22,1,7:36.0,Defensive rebound by A. Žižić,,11,10
23,1,7:24.0,A. Žižić misses 2-pt layup from 2 ft,,11,10
24,1,7:22.0,,Defensive rebound by L. Markkanen,11,10
25,1,7:17.0,,L. Markkanen makes 2-pt layup from 4 ft,11,12
26,1,7:02.0,A. Burks misses 3-pt jump shot from 26 ft,,11,12
27,1,6:59.0,,Defensive rebound by L. Markkanen,11,12
28,1,6:49.0,,Offensive foul by R. Lopez (drawn by C. Sexton),11,12
29,1,6:49.0,,Turnover by R. Lopez (offensive foul),11,12
30,1,6:49.0,,Chicago full timeout,11,12
