,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BOSTON_ACTION,WASHINGTON_SCORE,BOSTON_SCORE
0,1,11:45.0,,K. Irving makes 2-pt jump shot from 21 ft,0,2
1,1,11:35.0,Turnover by T. Satoranský (bad pass; steal by M. Smart),,0,2
2,1,11:32.0,,M. Smart makes 2-pt layup from 3 ft,0,4
3,1,11:07.0,Shooting foul by M. Smart (drawn by B. Beal),,0,4
4,1,11:07.0,B. Beal misses free throw 1 of 2,,0,4
5,1,11:07.0,Offensive rebound by Team,,0,4
6,1,11:07.0,B. Beal makes free throw 2 of 2,,1,4
7,1,10:53.0,,Shooting foul by B. Portis (drawn by A. Horford),1,4
8,1,10:53.0,,A. Horford makes free throw 1 of 2,1,5
9,1,10:53.0,,A. Horford makes free throw 2 of 2,1,6
10,1,10:41.0,T. Ariza misses 2-pt hook shot from 11 ft,,1,6
11,1,10:40.0,,Defensive rebound by A. Horford,1,6
12,1,10:24.0,,K. Irving misses 2-pt jump shot from 4 ft,1,6
13,1,10:22.0,Defensive rebound by B. Portis,,1,6
14,1,10:11.0,B. Beal misses 3-pt jump shot from 25 ft,,1,6
15,1,10:09.0,,Defensive rebound by K. Irving,1,6
16,1,10:04.0,,J. Tatum makes 2-pt dunk at rim (assist by K. Irving),1,8
17,1,10:04.0,Washington full timeout,,1,8
18,1,9:51.0,B. Beal misses 2-pt jump shot from 21 ft,,1,8
19,1,9:49.0,,Defensive rebound by J. Tatum,1,8
20,1,9:27.0,,M. Smart misses 2-pt layup from 2 ft,1,8
21,1,9:27.0,Defensive rebound by Team,,1,8
22,1,9:27.0,,Loose ball foul by M. Morris (drawn by J. Green),1,8
23,1,9:17.0,Turnover by B. Portis (out of bounds lost ball),,1,8
24,1,9:02.0,,A. Horford makes 2-pt jump shot from 14 ft,1,10
25,1,8:42.0,B. Portis misses 2-pt jump shot from 21 ft,,1,10
26,1,8:40.0,,Defensive rebound by J. Tatum,1,10
27,1,8:32.0,,J. Tatum misses 2-pt jump shot from 7 ft,1,10
28,1,8:30.0,Defensive rebound by B. Portis,,1,10
29,1,8:24.0,J. Green misses 3-pt jump shot from 26 ft,,1,10
30,1,8:20.0,Offensive rebound by T. Ariza,,1,10
31,1,8:18.0,B. Beal misses 2-pt jump shot from 20 ft,,1,10
32,1,8:16.0,,Defensive rebound by A. Horford,1,10
33,1,8:10.0,,Turnover by J. Tatum (bad pass; steal by J. Green),1,10
34,1,8:07.0,Shooting foul by A. Horford (drawn by J. Green),,1,10
35,1,8:07.0,J. Green misses free throw 1 of 2,,1,10
36,1,8:07.0,Offensive rebound by Team,,1,10
37,1,8:07.0,J. Green makes free throw 2 of 2,,2,10
38,1,7:54.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by K. Irving),2,13
39,1,7:32.0,T. Ariza misses 2-pt layup from 4 ft (block by M. Morris),,2,13
40,1,7:30.0,,Defensive rebound by M. Morris,2,13
41,1,7:19.0,,M. Morris misses 3-pt jump shot from 23 ft,2,13
42,1,7:17.0,Defensive rebound by B. Portis,,2,13
43,1,7:01.0,T. Satoranský misses 3-pt jump shot from 24 ft,,2,13
44,1,6:57.0,,Defensive rebound by K. Irving,2,13
45,1,6:51.0,,A. Horford misses 2-pt layup from 3 ft,2,13
46,1,6:49.0,Defensive rebound by J. Green,,2,13
47,1,6:40.0,T. Ariza misses 2-pt layup from 2 ft,,2,13
48,1,6:38.0,Offensive rebound by B. Portis,,2,13
49,1,6:37.0,B. Portis misses 2-pt layup from 2 ft,,2,13
50,1,6:36.0,,Defensive rebound by M. Morris,2,13
51,1,6:34.0,,Personal foul by T. Satoranský (drawn by M. Morris),2,13
52,1,6:23.0,,J. Tatum misses 3-pt jump shot from 26 ft,2,13
53,1,6:20.0,Defensive rebound by B. Beal,,2,13
54,1,6:16.0,B. Beal makes 2-pt dunk from 1 ft,,4,13
55,1,6:07.0,,A. Horford makes 2-pt layup from 1 ft (assist by K. Irving),4,15
56,1,6:07.0,,Shooting foul by B. Beal (drawn by A. Horford),4,15
57,1,6:07.0,,J. Brown enters the game for M. Morris,4,15
58,1,6:07.0,,G. Hayward enters the game for M. Smart,4,15
59,1,6:07.0,,A. Horford misses free throw 1 of 1,4,15
60,1,6:07.0,Defensive rebound by B. Portis,,4,15
61,1,5:51.0,Turnover by B. Portis (lost ball; steal by J. Tatum),,4,15
62,1,5:46.0,,J. Tatum misses 3-pt jump shot from 25 ft,4,15
63,1,5:44.0,Defensive rebound by T. Ariza,,4,15
64,1,5:31.0,T. Satoranský makes 2-pt layup from 2 ft,,6,15
65,1,5:07.0,,A. Horford makes 2-pt dunk from 1 ft (assist by K. Irving),6,17
66,1,4:53.0,Personal foul by K. Irving (drawn by T. Satoranský),,6,17
67,1,4:53.0,J. Parker enters the game for J. Green,,6,17
68,1,4:53.0,,D. Theis enters the game for A. Horford,6,17
69,1,4:38.0,Turnover by T. Ariza (bad pass; steal by J. Tatum),,6,17
70,1,4:36.0,,Shooting foul by T. Ariza (drawn by J. Tatum),6,17
71,1,4:36.0,,J. Tatum makes free throw 1 of 2,6,18
72,1,4:36.0,,J. Tatum makes free throw 2 of 2,6,19
73,1,4:36.0,Washington full timeout,,6,19
74,1,4:36.0,T. Bryant enters the game for B. Portis,,6,19
75,1,4:36.0,C. Randle enters the game for T. Satoranský,,6,19
76,1,4:20.0,J. Parker misses 2-pt hook shot from 5 ft,,6,19
77,1,4:18.0,,Defensive rebound by K. Irving,6,19
78,1,4:06.0,,J. Brown misses 2-pt layup from 2 ft,6,19
79,1,4:04.0,,Offensive rebound by D. Theis,6,19
80,1,4:03.0,,D. Theis misses 2-pt layup from 1 ft,6,19
81,1,4:02.0,Defensive rebound by B. Beal,,6,19
82,1,3:58.0,B. Beal makes 2-pt layup from 5 ft,,8,19
83,1,3:40.0,,Shooting foul by J. Parker (drawn by G. Hayward),8,19
84,1,3:40.0,,G. Hayward makes free throw 1 of 2,8,20
85,1,3:40.0,,G. Hayward makes free throw 2 of 2,8,21
86,1,3:26.0,T. Bryant misses 2-pt hook shot from 9 ft,,8,21
87,1,3:23.0,,Defensive rebound by D. Theis,8,21
88,1,3:17.0,,Turnover by G. Hayward (bad pass; steal by C. Randle),8,21
89,1,3:09.0,T. Ariza misses 3-pt jump shot from 24 ft,,8,21
90,1,3:05.0,Offensive rebound by T. Bryant,,8,21
91,1,3:04.0,B. Beal misses 3-pt jump shot from 24 ft,,8,21
92,1,3:01.0,,Defensive rebound by G. Hayward,8,21
93,1,2:57.0,,J. Brown makes 2-pt layup from 1 ft (assist by G. Hayward),8,23
94,1,2:51.0,Turnover by B. Beal (lost ball; steal by D. Theis),,8,23
95,1,2:43.0,,Turnover by J. Tatum (bad pass; steal by T. Bryant),8,23
96,1,2:40.0,Shooting foul by K. Irving (drawn by T. Ariza),,8,23
97,1,2:40.0,T. Ariza makes free throw 1 of 2,,9,23
98,1,2:40.0,T. Ariza makes free throw 2 of 2,,10,23
99,1,2:22.0,,D. Theis makes 2-pt jump shot from 9 ft (assist by K. Irving),10,25
100,1,2:11.0,C. Randle misses 2-pt jump shot from 8 ft,,10,25
101,1,2:10.0,Offensive rebound by J. Parker,,10,25
102,1,2:10.0,J. Parker makes 2-pt layup from 1 ft,,12,25
103,1,2:10.0,Shooting foul by D. Theis (drawn by J. Parker),,12,25
104,1,2:10.0,T. Brown enters the game for T. Ariza,,12,25
105,1,2:10.0,,T. Rozier enters the game for K. Irving,12,25
106,1,2:10.0,J. Parker misses free throw 1 of 1,,12,25
107,1,2:10.0,,Defensive rebound by G. Hayward,12,25
108,1,1:56.0,,Turnover by J. Tatum (lost ball; steal by B. Beal),12,25
109,1,1:52.0,B. Beal makes 2-pt dunk from 2 ft (assist by T. Bryant),,14,25
110,1,1:38.0,,Turnover by J. Brown (out of bounds lost ball),14,25
111,1,1:32.0,B. Beal makes 3-pt jump shot from 27 ft,,17,25
112,1,1:12.0,,D. Theis makes 3-pt jump shot from 25 ft (assist by G. Hayward),17,28
113,1,0:57.0,T. Brown makes 2-pt jump shot from 18 ft (assist by J. Parker),,19,28
114,1,0:39.0,,D. Theis makes 2-pt dunk from 1 ft (assist by J. Tatum),19,30
115,1,0:29.0,Shooting foul by J. Tatum (drawn by J. Parker),,19,30
116,1,0:29.0,J. Parker makes free throw 1 of 2,,20,30
117,1,0:29.0,,M. Morris enters the game for J. Tatum,20,30
118,1,0:29.0,J. Parker misses free throw 2 of 2,,20,30
119,1,0:27.0,,Defensive rebound by D. Theis,20,30
120,1,0:10.0,,J. Brown misses 3-pt jump shot from 25 ft,20,30
121,1,0:07.0,Defensive rebound by B. Beal,,20,30
122,1,0:01.0,T. Brown misses 3-pt jump shot from 23 ft,,20,30
123,1,0:01.0,,Defensive rebound by Team,20,30
124,2,11:45.0,T. Brown misses 2-pt jump shot from 13 ft,,20,30
125,2,11:43.0,,Defensive rebound by M. Morris,20,30
126,2,11:36.0,,Turnover by T. Rozier (traveling),20,30
127,2,11:26.0,W. Johnson makes 3-pt jump shot from 26 ft (assist by J. Parker),,23,30
128,2,11:05.0,,M. Morris misses 2-pt jump shot from 18 ft,23,30
129,2,11:03.0,Defensive rebound by T. Bryant,,23,30
130,2,10:55.0,W. Johnson misses 3-pt jump shot from 23 ft,,23,30
131,2,10:52.0,,Defensive rebound by G. Hayward,23,30
132,2,10:48.0,,J. Brown misses 2-pt layup from 2 ft,23,30
